
[0057]  [070]  []  []

-Z/11/250/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΘΕΡΑ-
-Z/11/262/15	θερμότητα, τούτου καὶ τἄλλα μέρη τοῦ σώματος εὐθέως 
-Z/11/262/16	μεταλαμβάνει. γίγνεται δὲ καὶ καθ' ἕν τι μέρος ἐνίοτε παρὰ 
-Z/11/262/17	φύσιν ἤτοι θερμότης ἢ ψυχρότης, ὡς δέδεικται πολλάκις 
-Z/11/262/18	ἐν ἑτέροις ὑπομνήμασι. καὶ γενέσεις δὲ τούτων ἐν διττῷ  
-Z/11/263/1	τρόπῳ, ποτὲ μὲν ἐπὶ χυμοῖς θερμοῖς ἢ ψυχροῖς, ἐνίοτε 
-Z/11/263/2	δὲ καὶ κατὰ δυσκρασίαν μόνην. ἀλλ' αἱ μερικαὶ θερμότητες 
-Z/11/263/3	καὶ ψύξεις, ὅσαι μὲν ἐγγύς εἰσι τῷ πεπονθότι μορίῳ συμμε-
-Z/11/263/4	ταβάλλουσιν, εἰς ὅλον δ' οὐκ ἐκτείνονται τὸ σῶμα πρὶν τὴν 
-Z/11/263/5	καρδίαν ἀλλοιῶσαι. κατὰ δὲ τὸν αὐτὸν τρόπον ἐπεδείχθη καὶ 
-Z/11/263/6	τὸ σῶμα τῆς καρδίας ἀλλοιούμενον διττῶς, ἤτοι κατὰ δυσ-
-Z/11/263/7	κρασίαν ἢ διὰ χυμοὺς θερμοὺς ἢ ψυχροὺς ἢ δι' ἔνδειαν τινὸς 
-Z/11/263/8	αὐτῶν. οἱ χυμοὶ δὲ ἐδείχθησαν θερμοὶ καὶ ψυχροὶ γινόμενοι 
-Z/11/263/9	διά τε τὸ ποσὸν τῶν ἐσθιομένων τε καὶ πινομένων καὶ δι' 
-Z/11/263/10	ἡσυχίας τε καὶ κινήσεις σώματός τε καὶ ψυχῆς πλείους. ὥσπερ 
-Z/11/263/11	δὲ ἐν τῇ γαστρὶ πολλάκις αἱ πέψεις γίνονται μοχθηραὶ, φλεγ-
-Z/11/263/12	ματωδεστέρων ἢ χολωδεστέρων ἀποτελουμένων τῶν ληφθέν-
-Z/11/263/13	των, ἢ τινὰ παρὰ φύσιν ἑτέραν διαφθορὰν ἰσχόντων ἢ ὠμῶν 
-Z/11/263/14	καὶ ἀμεταβλήτων ἄχρι πλείστου μενόντων καὶ πνευματουμένων, 
-Z/11/263/15	οὕτω καὶ κατὰ τὴν τοῦ αἵματος γένεσιν ἀποτυγχανομένων. 
-Z/11/263/16	ἀνάλογον ταῖς ἐπὶ τῆς γαστρὸς ἀποτυχίαις τῆς πέψεως, ἔσον-
-Z/11/263/17	ται κατ' αὐτὰς τὰς ἀρτηρίας καὶ τὰς φλέβας κατὰ τοὺς χυμοὺς  
-Z/11/264/1	διαθέσεις. ἐπεὶ δὲ πάντα τὰ θερμὰ καὶ ὑγρὰ φαίνεται τάχι-
-Z/11/264/2	στα σηπόμενα, καὶ μάλισθ' ὅταν ἐν θερμοῖς ᾖ χωρίοις, ἀναγ-
-Z/11/264/3	καῖον ἔσται καὶ τὴν ἐκ τῆς κοιλίας ἀναδιδομένην τροφὴν, 
-Z/11/264/4	ὅταν μὴ κρατῆται καὶ μεταβάλληται πρὸς τῆς φύσεως εἰς 
-Z/11/264/5	γένεσιν αἵματος χρηστοῦ, σηπεδόνας ἴσχειν ἄλλοτε ἀλλοίας. 
-Z/11/264/6	ἐπεὶ δὲ τοῖς ἐξ ὕλης θερμοῦ σηπομένοις συμβαίνει γίνεσθαι 
-Z/11/264/7	θερμοτέροις, διὰ τοῦτο θερμότερον ἔσται τὸ σηπόμενον αἷμα. 
-Z/11/264/8	τούτου δὲ θερμοτέρου γιγνομένου καὶ τὸ μόριον ἐν ᾧ σήπεται 
-Z/11/264/9	θερμότερον αἰσθητῶς ἔσται. ἐπεὶ δ' ὑπὸ τῶν αἰσθητῶς θερ-
-Z/11/264/10	μῶν τὰ πλησιάζοντα συνθερμαίνεται, συνθερμανθήσεται τοῖς 
-Z/11/264/11	οὕτω διακειμένοις μορίοις τὰ πέριξ ἅπαντα, δακνώδει καὶ 
-Z/11/264/12	δριμείᾳ δηλονότι θερμασίᾳ, τοιαύτη γὰρ ἡ ἐκ σηπεδόνος. 
-Z/11/264/13	ἐὰν οὖν ἀξιόλογόν τε τὸ μόριον ᾖ τὸ οὕτως θερμανθὲν, ἐκτεί-
-Z/11/264/14	νειν τε τὴν ἑαυτοῦ θερμασίαν ἐπὶ τὴν καρδίαν ἱκανὸν, ἤτοι 
-Z/11/264/15	γε ὅτι πλησίον αὐτῆς ἐστὶν, ἢ ὅτι κύριον, ἢ ὅτι θερμὸν, συνεκ-
-Z/11/264/16	πυρώσει κᾀκείνην, ἅτε φύσει θερμοτάτην οὖσαν. εἰ δὲ ἅπαξ 
-Z/11/264/17	αὐτὴ πυρωθείη, ῥᾳδίως ἤδη τὸ πᾶν αὐτῆς σῶμα συνεκθερμαν- 
-Z/11/265/1	θήσεται, καθάπερ τινὸς ἑστίας φλόγα πολλὴν ἐχούσης ὁ 
-Z/11/265/2	περιέχων αὐτὴν οἶκος. ὀνομάζουσι δὲ τὸ τοιοῦτον πάθημα 
-Z/11/265/3	τοῦ σώματος οἱ Ἕλληνες πυρετόν. ἐνίοτε δὲ πρὶν ἄρχεσθαι 
-Z/11/265/4	σήπεσθαι τὸ πλῆθος τοῦ αἵματος, ἐπί τι μόριον ἀθρόως 
-Z/11/265/5	ἀφικόμενον ἤτοι τελέως ἐνέκρωσεν, ὥστε διαφθεῖραι τὴν 
-Z/11/265/6	ἐνέργειαν, ἢ βλάβην ἀξιόλογον ἐνεγκεῖν. αἱ γοῦν ἀποπληξίαι 
-Z/11/265/7	κατὰ τοῦτον γίνονται τὸν τρόπον, ἐπὶ τὴν ἀρχὴν τοῦ ζώου 
-Z/11/265/8	ῥυέντος ἀθρόως αἵματος πολλοῦ. ὡς ὅταν γ' εἰς ἄλλο τι 
-Z/11/265/9	κατασκήψη μόριον, ὄγκον ἐν τούτῳ παρὰ φύσιν ἐργάζεται. 
[0057]  [070]  []  []

-Z/11/265/10	ἐκ τούτου τοῦ γένους ἐστὶ καὶ ἡ φλεγμονή. ὅταν δὲ παχύτε-
-Z/11/265/11	ρόν τε καὶ μελαγχολικώτερον ᾖ τὸ κατασκῆψαν αἷμα, σκιῤ-
-Z/11/265/12	ῥώδης ὁ ὄγκος γίνεται, καθάπερ γε καὶ χαῦνος, ὅταν ᾖ φλεγ-
-Z/11/265/13	ματικώτερον τὸ ῥεῦμα· χολώδους δὲ ὄντος ἐρυσίπελας 
-Z/11/265/14	ἀποτελεῖται. διωρισμένα δ' ἀκριβῶς ἔχεις ἅπαντα ταῦτα 
-Z/11/265/15	κατὰ τὰς προειρημένας ἄρτι πραγματείας, ἀλλὰ νῦν γ', ὡς 
-Z/11/265/16	ἔφην, ὑποθέσεις τῷ παρόντι λόγῳ τὰ δεδειγμένα ποιούμενος 
-Z/11/265/17	ἀκολούθως αὐτοῖς τὸν περὶ τῆς φλεβοτομίας ἐπιδείκνυμι 
-Z/11/265/18	λόγον. ὄντος οὖν πλήθους διττοῦ, κάλλιστον γὰρ ἐντεῦθεν  
-Z/11/266/1	ἄρξασθαι, καὶ τοῦ μὲν ὡς πρὸς τὴν δύναμιν εἰς σηπεδόνα 
-Z/11/266/2	τε ῥᾳδίως ἀφικνουμένου καὶ μέντοι καὶ κατασκήπτοντος 
-Z/11/266/3	ἐνίοτε εἰς μόριά τινα, κᾀν τούτοις ἐργαζομένου τοὺς παρὰ 
-Z/11/266/4	φύσιν ὄγκους, ἑτέρου δὲ τοῦ κατὰ τὸ καλούμενον 
-Z/11/266/5	ἔγχυμα, κατασκήπτοντος μὲν καὶ τούτου πολλάκις εἰς μόρια 
-Z/11/266/6	καὶ γεννῶντος ὄγκους, ἀλλὰ καὶ τὰς ἀποπληξίας καὶ τὰς 
-Z/11/266/7	ῥήξεις τῶν φλεβῶν ἐργαζομένου, πειρᾶσθαι χρὴ κενοῦν αὐτὸ 
-Z/11/266/8	διὰ ταχέων, πρὶν ἄρξασθαί τι μέγα κακὸν ἐργάσασθαι περὶ 
-Z/11/266/9	τὸν ἄνθρωπον. εἴρηται δ' ἐπὶ πλέον ὅπως τε χρὴ διαγινώσκειν 
-Z/11/266/10	ἄμφω τὰ πάθη καὶ ὅπως ἰᾶσθαι, κατὰ τὴν τῶν ὑγιεινῶν 
-Z/11/266/11	πραγματείαν, ὥσπερ γε κἀπειδὰν ἤτοι πυρετὸς ἢ αἵματος 
-Z/11/266/12	ἀναγωγὴ γένηται διὰ πλῆθος, ἤτοι τῶν ἀποπληκτικῶν ἀῤῥω-
-Z/11/266/13	στημάτων, ὅπως χρὴ καὶ τοῦτο θεραπεύειν ἐν τοῖς τῆς 
-Z/11/266/14	θεραπευτικῆς μεθόδου γράμμασιν εἴρηται, διὸ καὶ περιττὴν 
-Z/11/266/15	ἡγοῦμαι τήνδε τὴν συγγραφήν. εἰ μὲν γὰρ ὡσαύτως καὶ ἐν 
-Z/11/266/16	ἐκείναις ταῖς πραγματείαις ἔγραψα, κἀνταῦθα γράφοιμι, δὶς 
-Z/11/266/17	περὶ τῶν αὐτῶν ἀναγκασθήσομαι διέρχεσθαι, καὶ διὰ ταῦτα 
-Z/11/266/18	μακρὸν ἀποτείνειν τὸν λόγον. εἰ δὲ ἐπὶ τὸ συντομώτερον 
-Z/11/266/19	ἄγοιμι τὸν λόγον τόνδε, κινδυνεύσω παθεῖν δυοῖν θάτερον,  
-Z/11/267/1	ἢ ἀσαφῶς τι διὰ τὴν βραχυλογίαν εἰπεῖν, ἢ διορισμόν τινα 
-Z/11/267/2	τῶν χρησίμων παραλιπεῖν. ἀλλ' ἐπεὶ μὴ κατὰ τὴν ἐμαυτοῦ 
-Z/11/267/3	προαίρεσιν ἧκον ἐπὶ τὸν λόγον τοῦτον, εἴ τι γίγνοιτο τῶν 
-Z/11/267/4	εἰρημένων τούτων ἐν αὐτῷ σφάλμα, τὴν αἰτίαν οἱ ἀξιώσαντες 
-Z/11/267/5	ἕξουσιν, ὥσπερ γε καὶ εἰ κατορθωθείη καὶ φανείη χρήσιμος, 
-Z/11/267/6	ἀποστήσομαι τῶν ἐπαίνων ἐκείνοις. 
-Z/11/267/7	  Ἥδε οὖν αὖθις ἀρχὴ γιγνέσθω τῷ λόγῳ. 
-Z/11/267/8	τοῖς μὲν τὰ συνήθη πράττουσιν, ἤτοι δὲ τῶν κυρίων τι μορίων 
-Z/11/267/9	καὶ σύμπαν τὸ σῶμα βαρυνομένοις ἢ τεινομένοις, ἀναγκαία 
-Z/11/267/10	μέν ἐστιν ἡ κένωσις· εἰ δὲ κατὰ τὴν ἡλικίαν μήτε παῖδες εἶεν 
-Z/11/267/11	ἔτι μήτε ἤδη γέροντες, ἐπισκέπτου περὶ φλεβοτομίας ἀποβλέ-
-Z/11/267/12	πων, μάλιστα μὲν εἰς τοὺς πρώτους σκοποὺς τούσδε, τήν τε 
-Z/11/267/13	ποσότητα τοῦ πλήθους καὶ τὴν ποιότητα καὶ τὴν τῆς δυνά-
-Z/11/267/14	μεως ῥώμην ἢ ἀῤῥωστίαν, ἐφεξῆς δὲ τὴν φυσικὴν ἕξιν ὅλου 
-Z/11/267/15	τοῦ σώματος, ὥραν τε καὶ χώραν καὶ τὸν προγεγενημένον 
-Z/11/267/16	βίον, εἰ πλῆθος ἐδεσμάτων καὶ πομάτων καὶ μάλιστα πολυ-
-Z/11/267/17	τρόφων ὁ οὕτως ἔχων προσηνέγκατο τὸ ἔθος τε καὶ παρὰ 
-Z/11/267/18	τὸ ἔθος, κινήσεις τε τίνας ἐκινήθη, ἐκκρίσεις τε τίνας ἔσχεν  
-Z/11/268/1	ἢ ἐπεσχέθη παρὰ τὸ ἔθος, ἐπὶ δὲ τούτοις ἅπασι πότερον 
-Z/11/268/2	ἰσχνότερος ἢ παχύτερος ἐγένετο. ἡ μὲν δὴ τοῦ πλήθους ἑκα-
-Z/11/268/3	τέρου ποσότης ἐκ τοῦ μεγέθους τῶν ἰδίων ὀρισθήσεται 
-Z/11/268/4	σημείων. εἰς ὅσον γὰρ ἑαυτῷ βαρύτερος ὁ ἄνθρωπος εἶναι 
-Z/11/268/5	δοκεῖ, πρόδηλον ὅτι καὶ τὸ πρὸς τὴν δύναμιν πλῆθος εἰς 
-Z/11/268/6	τοσοῦτον ηὔξηται. κατὰ δὲ τὸν αὐτὸν λόγον εἰς ὅσον ἡ τονώ-
-Z/11/268/7	δης αἴσθησις ηὔξεται, κατὰ τοσοῦτον καὶ τὸ ἕτερον πλῆθος, 
-Z/11/268/8	ὃ καλεῖσθαι πρός τινων ἔφην κατὰ τὸ ἔγχυμα. τὴν ποιότητα 
-Z/11/268/9	δ' ἐφ' ἑκατέρου τοῦ πλήθους ἔκ τε τοῦ χρώματος δια-
-Z/11/268/10	γνώσῃ, μεμνημένος ὅτι τὸ χρῶμα χυμῶν ἐστιν, ἐπειδὰν μετρίως 
-Z/11/268/11	ἔχει θερμότητος λείπων σῶμα φύσει. τοῖς μὲν γὰρ ψυχροτέ-
-Z/11/268/12	ροις ψυχροτέρα τοῦ παντὸς σώματος ἡ αἴσθησις ἕπεται, τοῖς 
-Z/11/268/13	δὲ θερμοτέροις θερμοτέρα, καὶ τοῖς μὲν κατὰ τὰς φλέβας 
-Z/11/268/14	ἠθροισμένοις χυμοῖς ὄγκος καὶ διάθεσις τῶν ἀγγείων, τοῖς 
-Z/11/268/15	δ' ἐν τῇ σαρκὶ, κατ' ἐκείνην ἡ αἴσθησις ἤτοι τοῦ βάρους ἢ 
-Z/11/268/16	τῆς τάσεως, ὥσπερ γε καὶ θερμότητος. αἱ δὲ τῶν διοικουσῶν 
-Z/11/268/17	ἡμᾶς δυνάμεων ἀῤῥωστίαι τε καὶ ῥῶμαι ταῖς οἰκείαις ἐνερ-
-Z/11/268/18	γείαις ἐδείχθησαν κρινόμεναι, προαιρετικαῖς μὲν κατὰ  
-Z/11/269/1	τὰ νεῦρα καὶ τὴν τούτων ἀρχὴν τὸν ἐγκέφαλον, ταῖς δὲ κατὰ 
-Z/11/269/2	τοὺς σφυγμοὺς κατὰ τὰς ἀρτηρίας τε καὶ τὴν καρδίαν, τῇ δὲ 
-Z/11/269/3	κατ' εὐτροφίαν τε καὶ ἀτροφίαν εὔχροιάν τε καὶ ἄχροιαν ἡ 
-Z/11/269/4	τρίτη δύναμις ἡ θρεπτικὴ, ἣν ἐξ ἥπατος ὁρμᾶσθαι ἐδείκνυεν 
-Z/11/269/5	τὴν διάγνωσιν ἐλάμβανεν. ὅταν οὖν ἐπὶ τοῖς τοῦ πλήθους 
-Z/11/269/6	σημείοις αἱ δυνάμεις ἐῤῥωμέναι τυγχάνουσιν οὖσαι, φλεβοτο-
-Z/11/269/7	μήσεις δηλονότι κατὰ μὲν τὴν τονώδη διάθεσιν οὐδὲν ἐπιδιο-
-Z/11/269/8	ριζόμενος, ἔτι δὲ μᾶλλον οὐδὲ κατὰ τὴν φλεγμονώδη. τοῦ 
-Z/11/269/9	δὲ βαρύνοντος πλήθους ἐνοχλοῦντος οὐ πάντως αἵματος 
-Z/11/269/10	ἀφαιρετέον. ἐνδέχεται γὰρ ὠμὸν ἠθροῖσθαι κατὰ τὸ σῶμα 
-Z/11/269/11	χυμὸν, ἐφ' οὗ προσέχειν ἀκριβῶς χρὴ μέχρι πόσου μὲν ἡ 
-Z/11/269/12	δύναμις ἔῤῥωται, μέχρι δὲ πόσου αὐτὸς ὁ χυμὸς ἔφυ. προκα-
-Z/11/269/13	ταλυθεῖσα γὰρ ὑπὸ τῶν τοιούτων διαθέσεων ἡ δύναμις ἐν 
-Z/11/269/14	ταῖς φλεβοτομίας εἴωθε καταπίπτειν ἐς ἔσχατον, ὡς μηκέτ' 
-Z/11/269/15	αὐτὴν ἀνακτήσασθαι δυνηθῆναι. τούτου δὲ γενομένου κίν-
-Z/11/269/16	δυνος οὐ σμικρὸς ἕπεται, μάλισθ' ὅταν ἐπιπέσῃ πυρετὸς ἐν 
-Z/11/269/17	καταστάσει θερινῇ στομάχου μοχθηρῶς ἔχοντος, ἢ τοῦ σώμα-
-Z/11/269/18	τος ὅλου μαλακοῦ τε φύσει καὶ ὑγροῦ τὴν κρᾶσιν ὄντος.  
-Z/11/270/1	διαφοροῦνται γὰρ οἱ τοιοῦτοι συγκόπτονταί τε τάχιστα, κᾂν 
-Z/11/270/2	μὴ μέγας αὐτοῖς ἐπιπέσῃ πυρετός. εἰ δὲ μηδὲν εἴη τούτων, 
-Z/11/270/3	ἀλλ' ὁ χειμὼν ἢ τὸ χωρίον ὑπάρχει φύσει ψυχρὸν, ἥ τε φύσις 
-Z/11/270/4	τἀνθρώπου ψυχροτέρα, καταψύχονταί τε δεινῶς ὅλον τὸ 
-Z/11/270/5	σῶμα φλεβοτομηθέντες, ἐμπίπτει τέ τινα τῶν διὰ κατάψυξιν 
-Z/11/270/6	ἰσχυρὰν ἑπομένων συμπτωμάτων. τοὺς οὕτω διακειμένους 
-Z/11/270/7	οὐ προσήκει διὰ φλεβοτομίας κενοῦν, ἀλλὰ τρίψεσί τε καὶ 
-Z/11/270/8	χρίσμασι μετρίως θερμαίνουσι καὶ πόμασι τέμνουσι τὸ πάχος 
-Z/11/270/9	τῶν χυμῶν καὶ θερμαίνουσι μετρίως. ὅσα γὰρ σφοδρῶς θερ-
-Z/11/270/10	μαίνει καταλύει τὴν δύναμιν ἀθροότερον, ὡς μηκέτι ἐξαρκεῖν 
-Z/11/270/11	τῇ θεραπείᾳ. πολλάκις δὲ καὶ τὸν πυρετὸν συνηύξησεν, ὥστε 
-Z/11/270/12	κἀντεῦθεν βλάβην γίνεσθαι τῇ δυνάμει. διὸ δὲ τῶν τεμνόντων 
-Z/11/270/13	τὸ πάχος χυμῶν, ἐδεσμάτων τε καὶ πομάτων ἡ κατὰ τὸ θερ-
-Z/11/270/14	μαίνειν δύναμις ἔστω μετρία. 
-Z/11/270/15	  Ὅσοι δὲ αἷμα πτύσαντες ἐθεραπεύθησαν 
-Z/11/270/16	μὲν τῷ παραυτίκα, τοιαύτην δὲ ἔχουσι κατασκευὴν, ἐν τοῖς 
-Z/11/270/17	κατὰ θωρακά τε καὶ πνεύμονα μορίοις, ὡς εἰ βραχὺ πλέον  
-Z/11/271/1	ἀθροισθῆ θέλοι τὸ αἷμα, πάλιν αὐτοῖς ἤτοι γ' ἀναστομωθῆ-
-Z/11/271/2	ναί τι τῶν ἀγγείων ἢ ῥαγῆναι, τούτους εἰ καὶ μηδὲν εἴη κατὰ 
-Z/11/271/3	τὸ σῶμα μηδέπω σύμπτωμα, φλεβοτομεῖν χρὴ κατὰ τὴν ἀρχὴν 
-Z/11/271/4	τοῦ ἦρος. ὡσαύτως δὲ καὶ τοὺς εἰς ἐπιληπτικὰ πάθη ῥᾳδίως 
-Z/11/271/5	ἐμπίπτοντος ἢ ἀποπληκτικούς. κατὰ δὲ τὸν αὐτὸν τρόπον, 
-Z/11/271/6	εἰ καί τισι τῶν ἄλλων νοσημάτων εὐάλωτον εἰδείημεν εἶναι 
-Z/11/271/7	τὸν ἄνθρωπον, οἷον ἤτοι περιπνευμονικοῖς ἢ πλευριτικοῖς ἢ 
-Z/11/271/8	συναγχικοῖς, ἄμεινον φθάνειν φλεβοτομοῦντας μὴ περιμένον-
-Z/11/271/9	τας φανῆναί τι σύμπτωμα πλήθους ἐναργές. ὡσαύτως δὲ καὶ 
-Z/11/271/10	οἷς αἱμοῤῥοΐδες ἐπέσχηνται, καὶ μάλιστα εἰ μελαγχολικώτεροι 
-Z/11/271/11	φαίνονται. καὶ ὅσοι δὲ καθ' ἕκαστον ἔτος ἐν θέρει νοσοῦσιν 
-Z/11/271/12	νοσήματα πληθωρικὰ, καὶ τούτους χρὴ κενοῦν εἰσβάλλοντος 
-Z/11/271/13	ἦρος. ὡσαύτως καὶ ὅσοι κατ' αὐτὸ τὸ ἔαρ ἁλίσκονται 
-Z/11/271/14	τοῖς τοιούτοις, ἔνιοι ὀφθαλμοὺς ἔχοντες ἀσθενεῖς, ἢ τοῖς 
-Z/11/271/15	ὀνομαζομένοις σκοτωματικοῖς πάθεσιν εὐάλωτοι καὶ αὐτοὶ 
-Z/11/271/16	κατὰ τὴν ἀρχὴν τοῦ ἦρος δέονται κενοῦσθαι, προσδιασκεψα-
-Z/11/271/17	μένων ἡμῶν ὁποῖόν τι τὸ ἀθροιζόμενον αὐτοῖς εἴη. τινὲς 
-Z/11/271/18	μὲν γὰρ τὸν πικρόχολον ἀθροίζουσι χυμὸν πλέονα τῶν ἄλλων,  
-Z/11/272/1	τινὲς τὸν μελαγχολικὸν ἢ φλεγματικὸν, ἔνιοι δὲ ὁμοτίμως 
-Z/11/272/2	ἅπαντας ἐφ' ὧν αἷμα πλεονάζειν λέγεται. τούτους οὖν 
-Z/11/272/3	ἅπαντας κενώσεις, ὥσπερ καὶ τοὺς ποδαγρικούς τε καὶ ἀρθρι-
[0057]  [070]  []  []

-Z/11/272/4	τικοὺς ἐν ἀρχῇ τοῦ ἦρος, ἀλλ' ἤτοι φαρμακεύων ἢ φλεβοτο-
-Z/11/272/5	μῶν. ἐγὼ γοῦν πολλοὺς ἐτῶν ἤδη τριῶν καὶ τεττάρων ἐνο-
-Z/11/272/6	χλουμένους ἐκ διαλειμμάτων ἀλγήμασι ποδῶν ἰασάμην, ἤτοι 
-Z/11/272/7	καθαίρων τὸν πλεονάζοντα χυμὸν ἐν ἀρχῇ τοῦ ἦρος ἢ αἵματος 
-Z/11/272/8	ἀφαιρῶν. εὔδηλον δ' ὅτι καὶ μέτριοι τινὲς οἱ τοιοῦτοι κατὰ 
-Z/11/272/9	τὴν ὅλην εἰσὶ δίαιταν, ὡς τούς γε ἀκολάστους οἰνόφλυγάς τε 
-Z/11/272/10	καὶ γαστριμάργους οὐδὲν ὀνήσεις μέγα, φαρμακεύων ἢ φλεβο-
-Z/11/272/11	τομῶν. ἀθροίζουσι γὰρ ἐν τάχει πλῆθος ὠμῶν χυμῶν, ἀκο-
-Z/11/272/12	λάστως διαιτώμενοι. τούτους μὲν οὐδὲ ἐπιχειρεῖν χρὴ θερα-
-Z/11/272/13	πεύειν, ὅπη δ' εὐπειθεῖς εἰσὶν ὀνήσεις αὐτοὺς μέγιστα κατὰ 
-Z/11/272/14	τὴν ἀρχὴν τοῦ ἦρος, προκενώσας μὲν πρῶτον, ἐφεξῆς δ' ἐπὶ 
-Z/11/272/15	γυμνάσια καὶ δίαιταν ὑγιεινὴν ἀναγαγών. ἃ δ' ἐπὶ τούτων 
-Z/11/272/16	εἴρηκα, ταῦτά σοι νόμιζε καὶ περὶ πάντων εἰρῆσθαι τῶν 
-Z/11/272/17	ἐπιτηδείων ἁλίσκεσθαι πάθεσιν οἷς ἀρτίως εἶπον, οἷον ἐπι- 
-Z/11/273/1	ληπτικοῖς, ἢ ἀποπληκτικοῖς, ἢ σκοτωματικοῖς, ἢ αἱμοπτοϊ-
-Z/11/273/2	κοῖς, ἢ μελαγχολικοῖς. 
-Z/11/273/3	  Οὐ μόνον δὲ πλήθους ὄντος, ἢ τοῦ πρὸς 
-Z/11/273/4	τὴν δύναμιν ἢ τοῦ κατὰ τὸ καλούμενον ἔγχυμα, φλεβοτομία 
-Z/11/273/5	μεγάλως ὀνίνησιν, ἀλλὰ καὶ χωρὶς πλήθους ἀρχομένην φλεγ-
-Z/11/273/6	μονὴν, ἤτοι διὰ πληγὴν ἢ ὀδύνην ἢ ἀτονίαν μορίων. ἥ τε 
-Z/11/273/7	γὰρ ὀδύνη πρὸς αὐτὴν ἐπισπᾶται τὸ αἷμα καὶ πολλάκις ἀτο-
-Z/11/273/8	νία μορίων ἐργάζεται φλεγμονὴν ἄνευ τοῦ καθ' ὅλον τὸ σῶμα 
-Z/11/273/9	πλήθους. ἐδείχθη γὰρ ἐν τοῖς τῶν φυσικῶν δυνάμεων ὑπο-
-Z/11/273/10	μνήμασιν, ὅταν ἀσθενὲς ᾖ φύσει μόριον, ἑτοίμως βαρυνόμενον, 
-Z/11/273/11	εἰ καὶ βραχὺ πλεῖον ἀθροισθείη ποτὲ ἐν αὐτῷ περίττωμα. καὶ 
-Z/11/273/12	μέντοι καὶ ὅτι δύναμιν ἔχει πᾶν μόριον ὥσπερ ἑλκτικὴν 
-Z/11/273/13	τῶν οἰκείων, οὕτω καὶ τῶν ἀλλοτρίων ἀποκριτικὴν, ὅτι τε 
-Z/11/273/14	διττὸν εἴη τὸ ἀλλότριον, ἕτερον μὲν τῷ ποσῷ, τῷ ποιῷ δ' 
-Z/11/273/15	ἄλλο. διὸ κἂν μὴ βαρύνοιτό τι μόριον ὑπὸ τῶν καθ' ἑαυτὸ 
-Z/11/273/16	χυμῶν, ἴσχει δέ τινα περιττώματα κατὰ τὴν ποιότητα παρὰ 
-Z/11/273/17	φύσιν, ἐπὶ τὴν ἀπόκρισιν αὐτῶν ὁρμᾶν διὰ τῶν ἐν αὐτῷ 
-Z/11/273/18	φλεβῶν ὥσπερ δι' ὀχετῶν, ἀλλ' εἴθ' αἷμα μοχθηρὸν εἴη τὸ  
-Z/11/274/1	ὠθούμενον, εἴτ' ἄλλος χυμὸς, ἀνάγκη μὲν εἴς τι τῶν πλησίον 
-Z/11/274/2	ἀφικέσθαι μορίων αὐτόν. ἐν ἐκείνῳ δὲ δυοῖν θάτερον, ἢ 
-Z/11/274/3	πεφθέντα ἢ καὶ διαφθαρέντα, μηκέτ' εἰς ἄλλο μεταρυῆναι 
-Z/11/274/4	τρίτον, ἢ μηδετέρου τῶν εἰρημένων τυχόντα πάλιν ἐκ τοῦ 
-Z/11/274/5	δευτέρου μορίου μεταρεῖν εἰς ἕτερον, εἶτ' ἐξ ἐκείνου πάλιν εἰς 
-Z/11/274/6	ἄλλο. καὶ τοῦτο μὴ παύεσθαι γιγνόμενον, ἄχρις ἂν εἴς τι 
-Z/11/274/7	κατασκήψῃ τοιοῦτον, ὃ μηκέτ' εἰς ἄλλο διώσασθαι δύναται 
-Z/11/274/8	τὸ πλεονάζον ἐν ἑαυτῷ. συμβαίνει δὲ τοῦτο τῶν μο-
-Z/11/274/9	ρίων ἐκείνοις ὅσα τὴν ἀποκριτικὴν δύναμιν ἀσθενεστέραν ἔχει 
-Z/11/274/10	τῶν πλησιαζόντων ἁπάντων. οὐκέτι γὰρ ἀπώσασθαι τὸ 
-Z/11/274/11	λυποῦν εἰς ἐκεῖνα δύναται τὰ μὴ παραδεχόμενα, διὰ τὴν ἐν 
-Z/11/274/12	αὐτοῖς ἰσχύν. ἐδείχθη γοῦν καὶ τοῦτο ἡμῖν δι' ἐκείνων τῶν 
-Z/11/274/13	ὑπομνημάτων, ὡς οὐ μόνον ὠθεῖ τὸ περιττὸν ἕκαστον τῶν 
-Z/11/274/14	μορίων εἰς τὸ πλησιάζον, ἀλλὰ καὶ ὅτι δέχεται μὲν, 
-Z/11/274/15	πολλάκις δ' ἀντιπέμπει καὶ ἀντωθεῖ μὴ παραδεχόμενον εἰς 
-Z/11/274/16	ἑαυτὰ, κᾀν τούτῳ τὸ ἰσχυρότερον ἐκράτησε. διὸ καὶ τὰ πάν-
-Z/11/274/17	των ἀσθενέστερα μόρια πρῶτα τοῖς περιττωματικοῖς ἁλίσκε-
-Z/11/274/18	ται νοσήμασιν. ἐκ τοιούτου δέ τινος τρόπου καὶ τὰς καλου- 
-Z/11/275/1	μένας ῥευματικὰς διαθέσεις ἴσθι γιγνομένας, ἀσθενοῦς μὲν 
-Z/11/275/2	ὅλου τοῦ σώματος ὄντος, ὅπερ ἕν τι τῶν τῆς καχεξίας εἶδός 
