
[0057]  [001]  []  []

-Z//t/1	  {ΓΑΛΗΝΟΥ ΠΡΟΤΡΕΠΤΙΚΟΣ ΕΠ ΙΑΤΡΙΚΗΝ.} 
-Z//8/8	τηνικαῦτα δ' αὐτοὺς καὶ τὸ τοῦ Σόλωνος εἰσέρχεται σκοπεῖσθαι κελεύοντος ἐν 
-Z//8/9	τοῖς μάλιστα τὸ τέλος τοῦ βίου. εἶτα καὶ τῷ γήρᾳ λοιδοροῦνται, δέον ἑαυτοῖς, 
-Z//8/10	καὶ τὸν Εὐριπίδην ἐπαινοῦσι λέγοντα 
-Z//8/11	                  ‘οὐ γὰρ ὠφελήσιμον 
-Z//8/12	      περαιτέρω τὸ κάλλος ἢ μέσον λαβεῖν’. 
-Z//8/13	ἄμεινον οὖν ἐστιν ἐγνωκότας τὴν μὲν τῶν μειρακίων ὥραν τοῖς ἠρινοῖς ἄνθεσιν 
-Z//8/14	ἐοικυῖαν ὀλιγοχρόνιόν τε τὴν τέρψιν ἔχουσαν ἐπαινεῖν τε καὶ 〈ἐπαίρειν〉 τὴν Λεσ-
-Z//8/15	βίαν λέγουσαν 
-Z//8/16	          ‘ὁ μὲν γὰρ καλὸς ὅσσον ἰδεῖν πέλεται 〈καλός〉, 
-Z//8/17	          ὁ δὲ κἀγαθὸς αὐτίκα καὶ καλὸς ἔσται,’ 
-Z//8/18	πείθεσθαι δὲ καὶ Σόλωνι τὴν αὐτὴν γνώμην ἐνδεικνυμένῳ, 〈μεμαθηκότας ἐν 
[0057]  [001]  []  []

-Z//8/19	τοῦ βίου〉 τέλει γῆρας καθάπερ χαλεπὸν ἐφεδρεῦον[τα] χειμῶνα, δεόμενον οὐχ 
-Z//8/20	ὑποδημάτων μόνον καὶ ἐσθῆτος ἀλλὰ καὶ οἰκήσεως ἐπιτηδείας καὶ μυρίων ἄλλων, 
-Z//8/21	παρασκευάζεσθαι πρὸς αὐτὸ καθάπερ ἀγαθὸν κυβερνήτην ἐκ πολλοῦ πρὸς χει-
-Z//8/22	μῶνα· μοχθηρὸν γὰρ τὸ ‘ῥεχθὲν δέ τε νήπιος ἔγνω’. πρὸς τί γὰρ ἂν 
-Z//8/23	καὶ φαίη τις εἶναι χρήσιμον ἀνάσκητον νέου κάλλος; ἆρά γ' εἰς 
-Z//8/24	πόλεμον; καὶ μὴν οὐκ 〈ἂν〉 ἀστόχως τις ἐπιφωνήσειε τοῖς τοιούτοις ‘ἀλλὰ σύ 
-Z//8/25	γ' ἱμερόεντα μετέρχεο ἔργα γάμοιο’ 〈ἢ〉 ‘ἀλλ' εἰς οἶκον ἰοῦσα τὰ ς' 
-Z//8/26	αὐτῆς ἔργα κόμιζε’. καὶ γὰρ ὁ Νιρεὺς ‘κάλλιστος μὲν ἀνὴρ ὑπὸ Ἴλιον ἦλθεν, 
-Z//8/27	            ἀλλ' ἀλαπαδνὸς ἔην’, 
-Z//8/28	καὶ διὰ τοῦθ' ἅπαξ αὐτοῦ μόνον ἐμνημόνευσεν Ὅμηρος ἐν νεῶν καταλόγῳ πρὸς 
-Z//8/29	ἐπίδειξιν, ἐμοὶ δοκεῖν, τῆς τῶν καλλίστων ἀνδρῶν ἀχρηστίας, ὅταν αὐτοῖς ὑπάρχῃ 
-Z//8/30	μηδὲν ἄλλο τῶν εἰς τὸν βίον χρησίμων. οὐδὲ μὴν εἰς πόρον χρημάτων, εἴ τινες 
-Z//8/31	τῶν κακοδαιμόνων λέγειν τολμῶσι, τὸ κάλλος ἐστὶ χρήσιμον. ὁ μὲν γὰρ ἐλευ-
-Z//8/32	θέριός τε καὶ ἔνδοξος καὶ βέβαιος χρηματισμὸς ἀπὸ τέχνης γίγνεσθαι πέφυκεν, 
-Z//8/33	ὁ δ' ἀπὸ σώματος καὶ κάλλους αἰσχρός ἐστι καὶ διὰ παντὸς ἐπονείδιστος. χρὴ 
-Z//8/34	τοίνυν τὸν νέον πειθόμενον τῷ παλαιῷ παραγγέλματι  
-Z//8/35	τὴν ἑαυτοῦ μορφὴν ἐν κατόπτρῳ θεασάμενον, εἰ μὲν καλὸς εἴη τὴν 
-Z//8/36	ὄψιν, ἀσκῆσαι τοιαύτην εἶναι καὶ τὴν ψυχήν, ἄτοπον ἡγησάμενον ἐν καλῷ σώματι 
-Z//8/37	ψυχὴν αἰσχρὰν οἰκεῖν, εἰ δ' αἰσχρὸς αὑτῷ φαίνοιτο τὴν τοῦ σώματος ἰδέαν εἶναι, 
-Z//8/38	τοσῷδε μᾶλλον ἐπιμεληθῆναι τῆς ψυχῆς, ἵν' ἔχῃ λέγειν τὸ Ὁμηρικόν 
-Z//8/39	        ‘ἄλλος 〈μὲν〉 γάρ τ' εἶδος ἀκιδνότερος πέλει ἀνήρ· 
-Z//8/40	        ἀλλὰ θεὸς μορφὴν ἔπεσι στέφει, οἳ δέ τ' ἐς αὐτὸν 
-Z//8/41	        τερπόμενοι λεύσσουσιν· ὃ δ' ἀσφαλέως ἀγορεύει 
-Z//8/42	        αἰδοῖ μειλιχίῃ, μετὰ δὲ πρέπει ἀγρομένοισιν· 
-Z//8/43	        ἐρχόμενον δ' ἀνὰ ἄστυ θεὸν ὣς εἰσορόωσιν.’ 
-Z//8/44	  ἐξ ἁπάντων τοίνυν τῶν εἰρημένων τοῖς γε μὴ παντάπασιν ἀνοήτοις ἐναργῶς 
-Z//8/45	φαίνεται μήτ' ἐπὶ γένους λαμπρότητι μήτ' ἐπὶ πλούτῳ τε καὶ κάλλει θαρρήσαν-
-Z//8/46	τας καταφρονῆσαι τέχνης ἀσκήσεως. αὐτάρκη μὲν οὖν καὶ ταῦτα· κάλλιον δ' 
-Z//8/47	ἴσως προσθεῖναι καὶ τὸ τοῦ Διογένους οἷον ἀγαθόν τινα ἐπῳδόν· 
-Z//8/48	ὅς 〈γ'〉 ἑστιώμενος παρά τινι τῶν μὲν ἑαυτοῦ πάντων ἀκριβῶς προνενοημένῳ, 
-Z//8/49	μόνου δ' ἑαυτοῦ παντάπασιν ἠμεληκότι, χρεμψάμενος ὡς πτύσων εἶτ' ἐν κύκλῳ 
-Z//8/50	περισκοπήσας εἰς οὐδὲν μὲν τῶν πέριξ ἔπτυσεν, αὐτῷ δὲ μόνῳ προσέπτυσε τῷ 
-Z//8/51	δεσπότῃ τῆς οἰκίας. ἀγανακτοῦντος δ' αὐτοῦ καὶ τὴν αἰτίαν ἐρωτῶντος οὐδὲν 
-Z//8/52	ἔφησεν ὁρᾶν οὕτως ἠμελημένον τῶν κατὰ τὴν οἰκίαν ὡς ἐκεῖνον. τοὺς γὰρ 
-Z//8/53	τοίχους ἅπαντας ἀξιολόγοις γραφαῖς κεκοσμῆσθαι, τὸ δ' ἔδαφος ἐκ ψήφων πολυ-
-Z//8/54	τελῶν συγκεῖσθαι θεῶν εἰκόνας ἔχον 〈θ〉αυμαστῶς διατετυπωμένας, ἅπαντά 〈τε〉 
-Z//8/55	τὰ σκεύη λαμπρὰ καὶ καθαρὰ καὶ τὰς στρωμνὰς καὶ τὰς κλίνας εἰς κάλλος ἐξησ-
-Z//8/56	κῆσθαι, μόνον δ' ἐκεῖνον ὁρᾶν ἠμελημένον· εἰθίσθαι δ' ἅπασιν ἀνθρώποις εἰς 
-Z//8/57	τοὺς ἀτιμοτάτους τῶν παρόντων τόπων ἀποπτύειν. μὴ τοίνυν ἐάσῃς, ὦ μειράκιον, 
-Z//8/58	ἄξιον τοῦ προσπτύεσθαι γενέσθαι σεαυτόν, μηδ' ἂν ἅπαντά σοι τἄλλα κάλλιστα 
-Z//8/59	διακεῖσθαι δοκῇ. σπάνιον μὲν γάρ ἐστι καὶ τὸ τυχεῖν αὐτῶν ὁμοῦ πάντων, ὡς 
-Z//8/60	εὐγενῆ τε καὶ πλούσιον εἶναι καὶ καλὸν ἅμα τὸν αὐτόν. εἰ δ' ἄρα καὶ συνέλθοι 
-Z//8/61	ποτέ, δεινὸν ἂν εἴη μόνον ἐν ἅπασι τοῖς ὑπάρχουσιν αὐτὸν κατάπτυστον εἶναι. 
-Z//9/1	  ἄγετ' οὖν, ὦ παῖδες, ὁπόσοι τῶν ἐμῶν ἀκηκοότες λόγων ἐπὶ τέχνης 
-Z//9/2	μάθησιν ὥρμησθε· μή τις ὑμᾶς ἀπατεὼν καὶ γόης ἀνὴρ παρακρουσάμενός 
-Z//9/3	ποτε ματαιοτεχνίαν ἢ κακοτεχνίαν ἐκδιδάξηται, γιγνώσκοντας ὡς ὁπόσοις τῶν 
-Z//9/4	ἐπιτηδευμάτων οὔκ ἐστι τὸ τέλος βιωφελές, ταῦτ' οὐκ εἰσὶ τέχναι. καὶ περὶ μὲν  
-Z//9/5	τῶν ἄλλων ὑμᾶς καὶ πάνυ πέποιθα γιγνώσκειν ὅτι μηδὲν τούτων ἐστὶ τέχνη, 
-Z//9/6	οἷον τό τε πετευρίζειν καὶ βαδίζειν ἐπὶ σχοινίων λεπτῶν ἐν κύκλῳ τε περιδι-
-Z//9/7	νεῖσθαι μὴ σκοτούμενον 〈ἤ τινα τῆς μικροτεχνίας ἀποτελέσματα 
-Z//9/8	τεχνιτεύειν〉 οἷα τὰ Μυρμηκίδου τοῦ Ἀθηναίου καὶ Καλλικράτους τοῦ Λακεδαι-
-Z//9/9	μονίου. τὸ δὲ τῶν ἀθλητῶν ἐπιτήδευμα μόνον ὑποπτεύω, μή ποτ' ἄρα τοῦτο 
-Z//9/10	καὶ ῥώμην σώματος ἐπαγγελλόμενον καὶ τὴν παρὰ τοῖς πολλοῖς δόξαν ἐπαγό-
-Z//9/11	μενον, 〈καὶ μάλιστα〉 δημοσίᾳ παρὰ τοῖς πατράσι τετιμημένον ἡμερησίαις 
-Z//9/12	ἀργυρίου δόσεσι καὶ ὅλως ἴσα τοῖς ἀριστεῦσι τετι[μη]μένον, ἐξαπατήσῃ τινὰ 
-Z//9/13	τῶν νέων ὡς προκριθῆναί τινος τέχνης. ὅθεν ἄμεινον προδιασκέψασθαι περὶ 
-Z//9/14	αὐτοῦ· εὐεξαπάτητος γὰρ ἕκαστος ἐν οἷς ἐστιν ἀπρόσκεπτος. 
-Z//9/15	  τὸ δὴ τῶν ἀνθρώπων γένος, ὦ παῖδες, ἐπικοινωνεῖ θεοῖς τε καὶ τοῖς ἀλόγοις 
-Z//9/16	ζῴοις, τοῖς μὲν καθ' ὅσον λογικόν ἐστι, τοῖς δὲ καθ' ὅσον θνητόν. βέλτιον οὖν 
-Z//9/17	ἐστι τῆς πρὸς τὰ κρείττονα κοινωνίας αἰσθανόμενον ἐπιμελήσασθαι παιδείας, ἧς 
-Z//9/18	τυχόντες μὲν τὸ μέγιστον τῶν ἀγαθῶν ἕξομεν, ἀποτυχόντες δ' οὐκ αἰσχυνού-
-Z//9/19	μεθα τῶν ἀνοήτων ζῴων ἐλαττούμενοι. σώματος δ' ἄσκησις ἀθλητικὴ ἀποτυγ-
-Z//9/20	χανομένη μὲν αἰσχίστη, ἐπιτυγχανομένη δὲ τῶν ἀλόγων ζῴων οὐδέπω κρείττων. 
-Z//9/21	τίς γὰρ λεόντων ἢ ἐλεφάντων ἀλκιμώτερος, τίς δ' ὠκύτερος λαγωοῦ; τίς δ' οὐκ 
-Z//9/22	οἶδεν, ὡς καὶ τοὺς θεοὺς δι' οὐδὲν ἄλλ' ἢ διὰ τὰς τέχνας ἐπαινοῦμεν, οὕτως καὶ 
-Z//9/23	τῶν ἀνθρώπων τοὺς ἀρίστους θείας ἀξιωθῆναι τιμῆς, οὐχ ὅτι καλῶς ἔδραμον ἐν 
-Z//9/24	τοῖς ἀγῶσιν ἢ δίσκον ἔρριψαν ἢ διεπάλαισαν, ἀλλὰ διὰ τὴν ἀπὸ τῶν τεχνῶν 
-Z//9/25	εὐεργεσίαν. Ἀσκληπιός γέ τοι καὶ Διόνυσος, εἴτ' ἄνθρωποι πρότερον ἤστην 
-Z//9/26	εἴτ' ἀρχῆθεν θεοί, τιμῶν ἀξιοῦνται μεγίστων, ὃ μὲν διὰ 
-Z//9/27	τὴν ἰατρικήν, ὃ δ' ὅτι τὴν περὶ τὰς ἀμπέλους ἡμᾶς τέχνην ἐδίδαξεν. εἰ δ' οὐκ 
-Z//9/28	ἐθέλεις ἐμοὶ πείθεσθαι, τόν γε θεὸν αἰδέσθητι τὸν Πύθιον· οὗτός ἐστιν ὁ καὶ τὸν 
-Z//9/29	Σωκράτην εἰπὼν ἀνδρῶν ἁπάντων σοφώτατον εἶναι, καὶ τῷ Λυκούργῳ προσ-
-Z//9/30	φωνήσας ὧδ' εἶπεν 
-Z//9/31	        ‘ἥκεις, ὦ Λυκόοργε, ἐμὸν ποτὶ πίονα νηὸν 
-Z//9/32	        Ζηνὶ φίλος καὶ πᾶσιν Ὀλύμπια δώματ' ἔχουσι. 
-Z//9/33	        δίζω ἤ σε θεὸν μαντεύσομαι ἢ ἄνθρωπον, 
-Z//9/34	        ἀλλ' ἔτι καὶ μᾶλλον θεὸν ἔλπομαι, ὦ Λυκόοργε.’ 
-Z//9/35	ὁ δ' αὐτὸς οὗτος θεὸς καὶ τὸν Ἀρχίλοχον τεθνεῶτα φαίνεται τιμῶν οὐ τὰ 
-Z//9/36	μέτρια· τὸν γοῦν φονέα βουλόμενον εἰσελθεῖν εἰς τὸν νεὼν αὐτοῦ διεκώλυσεν  
-Z//9/37	εἰπών 
-Z//9/38	          ‘Μουσάων θεράποντα κατέκτανες· ἔξιθι νηοῦ.’ 
-Z//10/1	  λέγε δή μοι καὶ σὺ τὰς τῶν ἀθλητῶν προσαγορεύσεις. ἀλλ' οὐκ ἐρεῖς 
-Z//10/2	ὅτι μηδ' ἔχεις εἰπεῖν, εἰ μή τι τοῦ μάρτυρος ὡς οὐκ ἀξιόχρεω κατέγνωκας· 
-Z//10/3	ἐμφαίνειν γὰρ ἔοικάς τι τοιοῦτον, ὅταν ἐπὶ τοὺς πολλοὺς τὸν λόγον ἄγῃς μάρ-
-Z//10/4	τυρας καὶ τὸν παρὰ τούτων ἔπαινον προχειρίζῃ. καίτοι 〈γ'〉 οὔτε νοσῶν εὖ οἶδ' 
-Z//10/5	ὅτι τοῖς πολλοῖς ἂν ἐπιτρέψαις αὑτὸν ἀλλ' ὀλίγοις δή τισιν ἐξ ἁπάντων καὶ 
-Z//10/6	τούτων τοῖς ἰατρικωτάτοις, οὔτ' οὖν πλέων ἅπασι τοῖς συμπλέουσιν ἀλλ' ἑνὶ 
-Z//10/7	τῷ κυβερνήτῃ, ἔτι τε ἐπὶ τῶν σμικροτάτων τέκτονι μὲν τεκταινόμενος, ὑποδη-
-Z//10/8	μάτων δὲ χρῄζων τῷ σκυτοτόμῳ. πῶς ἂν οὖν ἔνθα περὶ πρωτείων ὁ ἀγών 
-Z//10/9	ἐστι, σαυτῷ διδοίης τῆς κρίσεως τὴν ἐξουσίαν, ἀφελόμενος αὐτὴν τῶν σοφω-
-Z//10/10	τέρων ἢ κατὰ σαυτόν; παρίημι γὰρ τό γε νῦν εἶναι μεμνῆσθαι τῶν θεῶν. 
-Z//10/11	ἄκουσον οὖν ὅπως Εὐριπίδης φρονεῖ περὶ τῶν ἀθλητῶν· 
-Z//10/12	        ‘κακῶν γὰρ ὄντων μυρίων καθ' Ἑλλάδα 
-Z//10/13	        οὐδὲν κάκιον ἔστιν ἀθλητῶν γένους· 
-Z//10/14	        οἳ πρῶτον οἰκεῖν οὔτε μανθάνουσιν εὖ 
-Z//10/15	        οὔτ' ἂν δύναιντο. πῶς γὰρ ὅστις ἔστ' ἀνὴρ 
-Z//10/16	        γνάθου τε δοῦλος νηδύος θ' ἡττημένος, 
-Z//10/17	        κτήσαιτ' ἂν ὄλβον εἰς ὑπεκτροφὴν πάτρας; 
-Z//10/18	        οὐδ' αὖ πένεσθαι κἀξυπηρετεῖν τύχαις 
-Z//10/19	        〈οἷοί τ'〉· ἔθη γὰρ οὐκ ἐθισθέντες καλὰ 
-Z//10/20	        σκληρῶς μεταλλάσσουσιν εἰς τἀμήχανον.’ 
[0057]  [001]  []  []

-Z//10/21	ὅτι δὲ καὶ τῶν ἐπιτηδευομένων αὐτοῖς ἕκαστον ἄχρηστόν ἐστιν, ἄκουε πάλιν 
-Z//10/22	εἴπερ ἐθέλεις ἅ φησιν· 
-Z//10/23	        ‘τίς γὰρ παλαίσας εὖ, τίς ὠκύπους ἀνὴρ 
-Z//10/24	        ἢ δίσκον ἄρας ἢ γνάθον πλήξας καλῶς 
-Z//10/25	        πόλει πατρῴᾳ στέφανον ἤρκεσεν λαβών;’ 
-Z//10/26	εἰ δὲ καὶ τούτων ἔτι λεπτομερέστερον ἀκούειν ἐθέλεις, ἄκουε πάλιν ἅ φησι· 
-Z//10/27	        ‘πότερα μαχοῦνται πολεμίοισιν ἐν χεροῖν 
-Z//10/28	        δίσκους ἔχοντες ἢ δι' ἀσπίδων ποσὶ 
-Z//10/29	        θέοντες ἐκβαλοῦσι πολεμίους πάτρας; 
-Z//10/30	        οὐδεὶς σιδήρου ταῦτα μωραίνει πέλας.’ 
-Z//10/31	πότερον οὖν Εὐριπίδου μὲν καὶ τῶν τοιούτων καταγνῶμεν, τοῖς δὲ φιλοσόφοις 
-Z//10/32	ἐπιτρέψωμεν τὴν κρίσιν; ἀλλὰ καὶ πρὸς τούτων ἁπάντων ὥσπερ ἐξ ἑνὸς στόμα- 
-Z//10/33	τος ὡμολόγηται φαῦλον εἶναι τὸ ἐπιτήδευμα. οὐδὲ μὴν οὐδὲ τῶν ἰατρῶν τις 
-Z//10/34	ἐπῄνεσεν αὐτό· πρῶτον μὲν γὰρ Ἱπποκράτους ἀκούσῃ λέγοντος ‘διάθεσις ἀθλη-
-Z//10/35	τικὴ οὐ φύσει, ἕξις ὑγιεινὴ κρείσσων’, 
-Z//10/36	ἔπειτα δὲ καὶ τῶν ἄλλων ἁπάντων τῶν μετ' αὐτὸν ἀρίστων 
-Z//10/37	ἰατρῶν. ὅλως μὲν οὖν ἐπὶ μάρτυρος οὐκ ἐβουλόμην κρίνεσθαι· ῥητορικοῦ γὰρ 
-Z//10/38	τὸ τοιοῦτον μᾶλλον ἢ τιμῶντος ἀλήθειαν ἀνδρός· ὅμως δ' ἐπειδή τινες ἐπὶ τὸν 
-Z//10/39	τῶν πολλῶν ἔπαινον καταφεύγουσι καὶ τὴν παρὰ τούτων κενὴν δόξαν, ἀφέντες 
-Z//10/40	αὐτὸ 〈καθ' ἑαυτὸ τὸ〉 ἐπιτήδευμα γυμνὸν τῶν ἔξωθεν σκοπεῖν, ἠναγκάσθην 
-Z//10/41	κἀγὼ τούτους προχειρίσασθαι τοὺς μάρτυρας, ἵν' ὅτι μηδ' ἐνταῦθα πλέον ἔχουσί 
-Z//10/42	τι γιγνώσκωσιν. ὅθεν οὐδὲ τὸ τῆς Φρύνης ἄκαιρον ἤδη μοι διηγήσασθαι. αὕτη 
-Z//10/43	ποτ' ἐν συμποσίῳ, παιδιᾶς τοιαύτης γενομένης ὡς ἕκαστον ἐν μέρει 
-Z//10/44	προστάξαι τοῖς συμπόταις ὃ βούλοιτο, θεασαμένη παρούσας γυναῖκας ἀγχούσῃ 
-Z//10/45	τε καὶ ψιμυθίῳ καὶ φύκει κεκαλλωπισμένας ἐκέλευσεν ὕδατος κομισθέντος 
-Z//10/46	ἀρυσαμένας ταῖς χερσὶ προσενεγκεῖν ἅπαξ αὐτὸ τῷ προσώπῳ καὶ μετὰ τοῦτο 
-Z//10/47	εὐθέως ἀπομάξασθαι σινδονίῳ, καὶ αὐτὴ πρώτη τοῦτ' ἔπραξε. ταῖς μὲν οὖν 
-Z//10/48	ἄλλαις ἁπάσαις σπίλου τὰ πρόσωπα ἐπληρώθη, καὶ ἦν ὁμοιότατα ἰδεῖν τοῖς 
-Z//10/49	μορμολυκείοις, αὐτὴ δὲ 〈καὶ〉 καλλίων ἐφάνη· μόνη γὰρ ἦν ἀκαλλώπιστός τε 
-Z//10/50	καὶ αὐτοφυῶς καλή, μηδεμιᾶς πανουργίας κομμωτικῆς δεομένη. ὥσπερ οὖν 
-Z//10/51	τὸ ἀληθινὸν κάλλος ἀκριβῶς ἐξετάζεται μόνον αὐτὸ καθ' ἑαυτὸ τῶν ἔξωθεν 
-Z//10/52	αὐτῷ προσόντων ἁπάντων γυμνωθέν, οὕτω καὶ τὴν ἀθλητικὴν ἐπιτήδευσιν 
-Z//10/53	ἐξετάζεσθαι προσήκει μόνην, εἴ τι φαίνοιτ' ἔχειν χρήσιμον ἢ κοινῇ ταῖς πόλεσιν 
-Z//10/54	ἢ ἰδίᾳ τοῖς μεταχειριζομένοις αὐτήν. 
-Z//11/1	  ἀγαθῶν οὖν τῶν ἐν τῇ φύσει τῶν μὲν περὶ ψυχὴν ὄντων τῶν δὲ περὶ 
-Z//11/2	σῶμα τῶν δ' ἐκτός, καὶ παρὰ ταῦτ' οὐδενὸς ἄλλου γένους ἀγαθῶν ἐπινοουμένου, 
-Z//11/3	ὅτι μὲν τῶν ψυχικῶν ἀγαθῶν οὐδ' ὄναρ ποτὲ μετειλήφασιν οἱ ἀθλοῦντες εὔδη-
-Z//11/4	λον παντί. τὴν ἀρχὴν γὰρ οὐδ' εἰ ψυχὴν ἔχουσι γιγνώσκουσι· τοσοῦτον ἀποδέουσι 
-Z//11/5	τοῦ λογικὴν αὐτὴν ἐπίστασθαι. σαρκῶν γὰρ ἀεὶ καὶ αἵματος ἀθροίζοντες πλῆθος 
-Z//11/6	ὡς ἐν βορβόρῳ πολλῷ τὴν ψυχὴν παντελῶς ἔχουσι κατεσβεσμένην, οὐδὲν 
-Z//11/7	ἀκριβῶς νοῆσαι δυναμένην ἀλλ' ἄνουν ὁμοίως τοῖς ἀλόγοις ζῴοις. ἴσως δ' 〈ἂν〉 
-Z//11/8	ἀμφισβητήσειαν ὡς 〈εἶεν〉 τῶν περὶ τὸ σῶμά τινος ἀγαθῶν ἐπήβολοι. πότερον 
-Z//11/9	οὖν τῆς τιμιωτάτης ὑγιείας ἀμφισβητήσουσιν; ἀλλ' οὐδένας ἄλλους ἂν εὕροις  
-Z//11/10	ἐν σφαλερωτέρᾳ διαθέσει σώματος, εἴπερ Ἱπποκράτει δεῖ πιστεύειν 
-Z//11/11	εἰπόντι τὴν καὶ ἐπ' ἄκρον εὐεξίαν σφαλερὰν ὑπάρχειν, 
-Z//11/12	ἣν μεταδιώκουσιν οὗτοι. καὶ δὴ καὶ τὸ ‘ἄσκησις [τῆς] ὑγιείης ἀκορίη τροφῆς, 
-Z//11/13	ἀοκνίη πόνων’ Ἱπποκράτει καλῶς εἰρημένον 
-Z//11/14	ἐπαινεῖται πρὸς ἁπάντων. οἳ δὲ τοὐναντίον ἐπιτηδεύουσιν, ὑπερπονοῦντές τε 
-Z//11/15	καὶ ὑπερπιπλάμενοι καὶ ὅλως τὸν τοῦ παλαιοῦ λόγον ὡς Κόροιβ〈ος〉 ἀνοήτως 
-Z//11/16	κατεγνωκότες. ὃ μὲν γὰρ ὑγιεινὴν δίαιταν ὑποτιθέμενος ἔλεγε 
-Z//11/17	‘πόνοι σιτία ποτὰ ὕπνοι ἀφροδίσια, πάντα μέτρια,’ οἳ δὲ τὰ γυμνάσια 
-Z//11/18	πέρα τοῦ προσήκοντος ἑκάστης ἡμέρας διαπονοῦσι τροφάς τε προσφέρονται 
-Z//11/19	σὺν ἀνάγκῃ, πολλάκις ἄχρι μέσων νυκτῶν ἐκτείνοντες τὴν ἐδωδήν, ὡς προση-
-Z//11/20	κόντως ἄν τιν' ἐπ' αὐτῶν εἰπεῖν 
-Z//11/21	  ‘ἄλλοι μέν ῥα θεοί τε καὶ ἀνέρες ἱπποκορυσταὶ 
-Z//11/22	  εὗδον παννύχιοι μαλακῷ δεδμημένοι ὕπνῳ· 
-Z//11/23	  ἀλλ' οὐκ ἀθλητὰς κακοδαίμονας ὕπνος ἔμαρπτεν’. 
-Z//11/24	ἀνὰ λόγον τοίνυν τούτοις καὶ ἡ τῶν ὕπνων αὐτοῖς ἔχει συμμέτρησις. ἡνίκα γὰρ 
-Z//11/25	οἱ κατὰ φύσιν βιοῦντες ἀπὸ τῶν ἔργων 〈ἡσυχίαν〉 ἔχουσιν ἐδεσμάτων δεόμενοι, 
-Z//11/26	τηνικαῦθ' οὗτοι διανίστανται τῶν ὕπνων, ὥστ' ἐοικέναι τὸν βίον αὐτῶν ὑῶν δια-
-Z//11/27	γωγῇ· πλήν γ' ὅσον οἱ μὲν ὕες οὐχ ὑπερπονοῦσιν οὐδὲ 
-Z//11/28	πρὸς ἀνάγκην ἐσθίουσιν, οἳ δὲ καὶ ταῦτα πάσχουσι καὶ ῥοδοδάφναις ἐνίοτε τὰ 
-Z//11/29	νῶτα διακναίονται. ὁ μὲν οὖν παλαιὸς [Ἱπποκράτης] πρὸς οἷς εἶπον ἔμπροσθεν 
-Z//11/30	ἔτι καὶ ταῦτά φησι ‘τὸ κατὰ πολὺ καὶ ἐξαπίνης 
-Z//11/31	πληροῦν ἢ κενοῦν ἢ θερμαίνειν ἢ ψύχειν ἢ ἄλλως ὁπωσοῦν τὸ σῶμα κινεῖν 
-Z//11/32	σφαλερόν.’ ‘πᾶν γάρ, φησί, τὸ πολὺ τῇ φύσει πολέμιον.’ οἳ δ' οὔτε τούτων 
-Z//11/33	ἐπαίουσιν οὔτε τῶν ἄλλων ὅσα καλῶς εἰπόντος ἐκείνου παραβαίνουσιν, ἀλλὰ 
-Z//11/34	πάντ' ἐξ ὑπεναντίου τοῖς ὑγιεινοῖς παραγγέλμασιν ἐπιτηδεύουσιν. 
-Z//11/35	καὶ διὰ τοῦτ' ἂν ἔγωγε φαίην ἄσκησιν οὐχ ὑγιείας ἀλλὰ νόσου μᾶλλον εἶναι τὸ 
-Z//11/36	ἐπιτήδευμα τοῦτο. 〈ταὐτὸ〉 δ' οἶμαι καὶ αὐτὸν τὸν Ἱπποκράτην φρονεῖν, ἐπειδὰν 
-Z//11/37	λέγῃ ‘διάθεσις ἀθλητικὴ 
-Z//11/38	οὐ φύσει, ἕξις ὑγιεινὴ κρείσσων.’ οὐ γὰρ μόνον τοῦ κατὰ φύσιν ἐστερῆσθαι τὸ 
-Z//11/39	ἐπιτήδευμα δι' ὧν εἶπεν ἐδήλωσεν, ἀλλ' οὐδ' ἕξιν ὠνόμασε τὴν διάθεσιν αὐτῶν, 
-Z//11/40	ἀφαιρούμενος καὶ τῆς προσηγορίας αὐτοὺς ᾗ προσαγορεύουσιν ἅπαντες οἱ πα-
-Z//11/41	λαιοὶ τοὺς ὄντως ὑγιαίνοντας. ἡ μὲν γὰρ ἕξις ἔμμονός τίς ἐστι καὶ δυσαλλοίωτος 
-Z//11/42	διάθεσις, ἡ δὲ τῶν ἀθλητῶν ἐπ' ἄκρον εὐεξία σφαλερά τε καὶ εὐμετάπτωτος,  
-Z//11/43	οὔτε γὰρ πρόσθεσιν ἔτι διὰ τὴν ἀκρότητα χωρεῖ καὶ τῷ μὴ δύνασθαι μένειν 
-Z//11/44	ἐπὶ ταὐτοῦ μηδ' ἀτρεμεῖν λοιπὴν ἔχει τὴν ἐπὶ τὸ χεῖρον ὁδόν. 
-Z//11/45	οὕτως μὲν ἀθλοῦσιν αὐτοῖς διάκειται τὸ σῶμα, καταλύσασι δὲ πολὺ 
-Z//11/46	δή τι χεῖρον. ἔνιοι μὲν γὰρ μετ' ὀλίγον ἀποθνῄσκουσιν, ἔνιοι δ' ἐπὶ πλέον 〈μὲν〉 
-Z//11/47	ἥκουσιν ἡλικίας, ἀλλ' οὐδ' αὐτοὶ γηρῶσιν οὐδὲ κἂν ἀφίκωνταί ποτ' εἰς τοῦτο, 
-Z//11/48	τῶν Ὁμηρικῶν οὐδὲν ἀπολείπονται Λιτῶν, 
