
[0057]  [079]  []  []

-Z/14/210/t1	{ΓΑΛΗΝΟΥ ΠΡΟΣ ΠΙΣΩΝΑ ΠΕΡΙ 
[0057]  [079]  []  []

-Z/14/231/15	τοῦτο πολλάκις ὁ ἄνθρωπος οὗτος τῇ τοιαύτῃ πρὸς τὸ πο-
-Z/14/231/16	λεμεῖν πανουργίᾳ, ὥσπερ τι καὶ αὐτὸς θηρίον ὑπάρχων, 
-Z/14/231/17	διέφυγε τῶν ἐναντίων τὰς χεῖρας. διόπερ οἶμαι, καὶ εἰς 
-Z/14/231/18	τὰς τοιαύτας χρείας ὑμῖν τοῖς ὑπερέχουσι καὶ τοῖς τῶν  
-Z/14/232/1	στρατοπέδων ἄρχουσιν, ἀναγκαῖον ἔχειν καὶ τοῦτο τὸ 
-Z/14/232/2	φάρμακον, διὰ τὴν τοῦ πολεμεῖν ἐνίοτε γινομένην ἀνάγκην. 
-Z/14/232/3	πάλαι μὲν οὖν καὶ ἄνευ τῆς τῶν θηρίων μίξεως σκευαζό-
-Z/14/232/4	μενον τὸ φάρμακον ὁμοίως ἐποίει πρὸς τὰ τοιαῦτα καρτε-
-Z/14/232/5	ρῶς. ἀεὶ δὲ τῶν ἰατρῶν φιλοτίμως πρὸς τὴν κατασκευὴν 
-Z/14/232/6	αὐτῆς ἐχόντων καὶ ἄλλο συμμίσγειν ἐπινοούντων, οὕτως τὶς 
-Z/14/232/7	προσεπενόησε καὶ ἔμιξεν αὐτῇ τὰ θηρία. Ἀνδρόμαχος δὲ, 
-Z/14/232/8	φασὶν, οὗτος ἀνὴρ ἦν ἀξιόλογος ἰατρὸς, καὶ οὐ πολὺ πρὸ 
-Z/14/232/9	ἡμῶν γεγενημένος. συνῆν γὰρ τῷ Νέρωνι, ᾧ καὶ προσε-
-Z/14/232/10	φώνησε, γράψας αὐτὴν ἔπεσι, καὶ τὴν ἐπαγγελίαν καὶ τὴν 
-Z/14/232/11	σκευασίαν. καὶ παραθήσομαί γέ σοι αὐτὰ τὰ ἔπη, ἵνα μηδὲ 
-Z/14/232/12	τούτων ἀνίστορος ᾖς, οὕτω φιλόκαλος ὢν, ἐκεῖνο πρότερον 
-Z/14/232/13	εἰπὼν, ὅτι διὰ τὸ τὸν ἐπινοήσαντα μῖξαι τῷ φαρμάκῳ τὰ 
-Z/14/232/14	θηρία εἰκότως, οὐχ ὅτι μόνον πρὸς τὰ ἀπ' αὐτῶν δήγματα 
-Z/14/232/15	ἁρμόζει καλῶς, θηριακὴ ἂν λεχθείη πρὸς ἡμῶν, ἀλλ' ὅτι 
-Z/14/232/16	καὶ αὐτὰ τὰ θηρία λοιπὸν ἐν τῇ σκευασίᾳ μιγνύμενα ἔχει, 
-Z/14/232/17	προσηκόντως ἐξ ἀμφοτέρων τῶν σημαινομένων ἑτοίμως ἂν 
-Z/14/232/18	θηριακὴ λέγοιτο. ἔστι δὲ τὰ ἔπη ταῦτα.  
-Z/14/233/1	  [Ἀνδρομάχου πρεσβυτέρου, Νέρω-
-Z/14/233/2	νος ἀρχιάτρου θηριακὴ δι' ἐχιδνῶν ἡ καλουμένη Γαλήνη.] 
-Z/14/233/3	  (Cum haec jam superius libro de antidotis I. p. 428. ssq. 
-Z/14/233/4	ed. Bas. sine ulla lectionis varietate exhibita fuerint, ea 
-Z/14/233/5	h. l. omittere visum est.) 
-Z/14/233/6	  [Διὰ τὶ ὁ Ἀνδρόμαχος τὴν ἔχι-
-Z/14/233/7	δναν μᾶλλον ἢ ἄλλον τινὰ ὄφιν τῇ θηριακῇ ἐπέμιξε; καὶ 
-Z/14/233/8	περὶ Κλεοπάτρας θανάτου ἀκριβὴς ἱστορία.] Τούτων οὖν 
-Z/14/233/9	τῶν ἐπῶν οὐκ ἀφυῶς ὑπὸ τοῦ ἀνδρὸς γενομένων σκέψασθαι 
-Z/14/233/10	ἀναγκαῖον ἔμοιγε δοκεῖ, τί δή ποτε πολλῶν ὄντων τῶν τοι-
-Z/14/233/11	ούτων θηρίων οὐχὶ τῶν ἄλλων τινὸς, ἀλλὰ τῶν ἐχιδνῶν τὰς 
-Z/14/233/12	σάρκας ἐπιτηδείους εἰς τὴν μίξιν εἶναι νομίζομεν. αὐτὸς 
-Z/14/233/13	μὲν γὰρ, ὡς ὁρᾷς, περὶ τούτων οὐδὲν ἔγραψεν· ἐμοὶ δὲ 
-Z/14/233/14	δοκοῦσι τῶν ἄλλων θηρίων αὗται μὴ τοσαύτην ἐν τοῖς σώ-
-Z/14/233/15	μασι τὴν φθοροποιὸν δύναμιν ἔχειν. ὁ μὲν γὰρ βασιλίσκος, 
-Z/14/233/16	ἔστι γὰρ τὸ θηρίον ὑπόξανθον, καὶ ἐπὶ τῇ κεφαλῇ τρεῖς 
-Z/14/233/17	ὑπεροχὰς ἔχον, ὥς φασιν, ὅτι καὶ ὁραθεὶς μόνον καὶ συ-
-Z/14/233/18	ρίττων ἀκουσθεὶς ἀναιρεῖ τοὺς ἀκούσαντας καὶ τοὺς ἰδόν-
-Z/14/233/19	τας αὐτόν· καὶ ὅτι τῶν ἄλλων ζώων, εἴ τι καὶ ἅψαιτο τοῦ  
-Z/14/234/1	ζώου ἀνῃρημένου, καὶ αὐτὸ τελευτᾷ εὐθέως, καὶ διὰ τοῦτο 
-Z/14/234/2	πᾶν αὐτοῦ τὸ γένος τῶν ἄλλων θηρίων ἐγγὺς εἶναι φυλάτ-
-Z/14/234/3	τεται. ὁ δὲ δρύϊνος ὄφις ἐν ταῖς τῶν δρυῶν ῥίζαις τὸν 
-Z/14/234/4	βίον ποιούμενος οὕτως πονηρός ἐστι πρὸς τὸ διαφθεῖραι 
-Z/14/234/5	κακῶς, ὥστε εἴ τις, φασὶν, αὐτοῦ ἐπιβαίη, ἐκδέρεσθαι 
-Z/14/234/6	αὐτοῦ τοὺς πόδας, καὶ οἴδημα πολὺ γίνεσθαι καθ' ὅλων 
-Z/14/234/7	τῶν σκελῶν. καὶ ἔτι τὸ θαυμασιώτερόν φασιν, ὅτι καὶ 
-Z/14/234/8	εἰ θεραπεύειν τις ἐθέλοι, τούτων τὰς χεῖρας ἐκδέρεσθαι. εἰ 
-Z/14/234/9	δέ τις καὶ ἁμιλλώμενος αὐτὸ ἀποκτεῖναι βούλοιτο τὸ θη-
-Z/14/234/10	ρίον, λέγουσιν αὐτὸν μοχθηρὸν νομίζειν εἶναι πᾶν τὸ εὐ-
-Z/14/234/11	φραντὸν καὶ μηδενὸς ἄλλου ὀσφραίνεσθαι δυνάσθαι. ὁ δὲ 
-Z/14/234/12	αἱμόῤῥους καὶ ἡ αἱμοῤῥοῒς τοῖς ἑαυτῶν ὀνόμασιν ὁμοίαν 
-Z/14/234/13	ποιοῦνται τῶν ἀνθρώπων τὴν διαφθοράν. αἱμοῤῥαγοῦντες 
-Z/14/234/14	γὰρ διὰ τοῦ στόματος καὶ τῶν μυκτήρων καὶ τοῦ παν-
-Z/14/234/15	τὸς σώματος οὕτως ἀπόλλυνται. ὥσπερ γε καὶ οἱ ἀπὸ τῆς 
-Z/14/234/16	διψάδος ὑπὸ τοῦ καύσου διαφθειρόμενοι κακῶς, καὶ γὰρ 
-Z/14/234/17	οὗτοι διψῶντες πάνυ καὶ διακαιόμενοι σφοδρῶς, ἐνίοτε καὶ 
-Z/14/234/18	διαῤῥηγνύμενοι, τελευτῶσιν. ὁ δὲ ἀκοντίας ἐκτείνας ἑαυ-
-Z/14/234/19	τὸν πάνυ καὶ ὥσπερ τι ἀκόντιον ἐφαλλόμενος τοῖς σώμα- 
-Z/14/235/1	σιν οὕτως ἀναιρεῖ. καὶ τῶν ἀσπίδων ἡ λεγομένη πτυὰς 
-Z/14/235/2	ἐπανατείνασα τὸν τράχηλον καὶ συμμετρησαμένη τὸ τοῦ 
-Z/14/235/3	διαστήματος μῆκος, ὥσπερ τότε λογικὸν γιγνόμενον τὸ θη-
-Z/14/235/4	ρίον εὐστόχως ἐμπτύει τοῖς σώμασι τὸν ἰόν. τούτων γοῦν 
-Z/14/235/5	φασι τῶν θηρίων τινὶ, τριπλοῦν γάρ ἐστι τὸ εἶδος τῶν 
-Z/14/235/6	ἀσπίδων, ταύτης τε καὶ τῆς μὲν χερσαίας λεγομένης, τῆς 
-Z/14/235/7	τε χελιδονίας καλουμένης, τὴν βασιλίδα Κλεωπάτραν βου-
-Z/14/235/8	ληθεῖσαν λαθεῖν τοὺς φυλάττοντας, ταχέως τε καὶ ἀνυπόπτως 
-Z/14/235/9	ἀποθανεῖν. ἐπεὶ γὰρ αὐτὴν ὁ Αὔγουστος νικήσας τὸν Ἀν-
-Z/14/235/10	τώνιον ζῶσαν λαβεῖν ἠβούλετο, καὶ ζῇν, καὶ διὰ σπουδῆς 
-Z/14/235/11	φυλάττειν ὡς εἰκὸς, ἵνα δείξῃ Ῥωμαίοις ἐν τῷ θριάμβῳ 
-Z/14/235/12	τὴν οὕτω διάσημον γυναῖκα. ἡ δὲ συνεῖσα, φασὶ, τοῦτο, καὶ 
-Z/14/235/13	ἑλομένη μᾶλλον ἔτι βασίλισσα οὖσα ἐξ ἀνθρώπων γενέσθαι 
-Z/14/235/14	ἤπερ ἰδιώτης Ῥωμαίοις φανῆναι, τότε ἐμηχανήσατο τῷ 
-Z/14/235/15	θηρίῳ τούτῳ τὸν θάνατον αὑτῆς. καὶ φασὶν αὐτὴν καλέ-
-Z/14/235/16	σαι τὰς πιστοτάτας δύο γυναῖκας, αὗται δὲ ἦσαν αἱ πρὸς 
-Z/14/235/17	τὸ κάλλος αὐτῆς εἰς τὸν κόσμον τοῦ σώματος ὑπηρετεῖν 
-Z/14/235/18	ἡρμοσμέναι καὶ τοῖς ὀνόμασι λεγόμεναι Νάειρα καὶ Καρ- 
-Z/14/236/1	μιόνη. ἡ μὲν ἀναπλέκουσα τὰς τρίχας εὐπρεπῶς, ἡ δὲ 
-Z/14/236/2	ἀποτέμνουσα τὰς ὑπεροχὰς τῶν ὀνύχων εὐφυῶς, εἶτα κελεύ-
-Z/14/236/3	σασα σταφυλαῖς τε καὶ σύκοις κεκρυμμένον εἰσκομισθῆναι 
-Z/14/236/4	τὸ θηρίον, ἵνα, ὡς ἔφην, τοὺς φυλάττοντας λάθῃ, προπει-
-Z/14/236/5	ρασαμένη αὐτὸ πρότερον ἐπὶ τούτων τῶν γυναικῶν, εἰ 
-Z/14/236/6	ὀξέως ἀναιρεῖν δύναται, καὶ μετὰ τὸ ταύτας ταχέως ἀνελεῖν 
-Z/14/236/7	λοιπὸν αὐτῇ, ἐφ' ᾧ δὴ καὶ τὸν Αὔγουστον πάνυ 
-Z/14/236/8	καταπλαγῆναι λέγουσι, τῶν μὲν μέχρι τοῦ συναποθανεῖν 
-Z/14/236/9	αὐτῇ τοσαύτην φιλοστοργίαν, τῆς δὲ τὸ μὴ βουληθῆναι ζῇν 
-Z/14/236/10	δουλικῶς, ἀλλ' ἑλέσθαι μᾶλλον ἀποθανεῖν εὐγενῶς. καὶ γὰρ 
-Z/14/236/11	λέγουσιν αὐτῆς εὑρεθῆναι τὴν χεῖρα τὴν δεξιὰν ἐπὶ τὴν 
-Z/14/236/12	κεφαλὴν κειμένην καὶ κρατοῦσαν τὸ διάδημα, ὡς εἰκὸς, 
-Z/14/236/13	ἵνα καὶ μέχρι τότε τοῖς ὁρῶσι βασίλισσα οὖσα βλέπηται· 
-Z/14/236/14	ὥσπερ καὶ ὁ τραγικὸς ποιητὴς ἡμῖν λέγει τὴν Πολυξένην, 
-Z/14/236/15	ὅτι καὶ αὕτη ἀποθνήσκουσα ὅμως πολλὴν πρόνοιαν εἶχεν 
-Z/14/236/16	εὐσχημόνως πεσεῖν. οἱ δὲ τὸ μὲν τῆς γυναικὸς πρὸς τὸ 
-Z/14/236/17	λαθεῖν εὐμήχανον, τοῦ δὲ θηρίου πρὸς τὸ ἀποκτεῖναι τάχος 
-Z/14/236/18	βουλόμενοι ἡμῖν δεῖξαι τῷ λόγῳ, λέγουσιν αὐτὴν μὲν ἐνδα- 
-Z/14/237/1	κεῖν τὸν ἑαυτῆς βραχίονα μεγάλῳ πάνυ καὶ βαθεῖ τῷ δήγ-
-Z/14/237/2	ματι. ἐργασαμένην δὲ εἴς τι σκεῦος εἰσκομισθῆναι αὑτῇ 
-Z/14/237/3	τὸν ἰὸν τοῦ θηρίου ἐγχέαι τῷ τραύματι, καὶ οὕτω διαδο-
-Z/14/237/4	θέντος αὐτοῦ μετ' οὐ πολὺ λαθοῦσαν τοὺς φυλάσσοντας 
-Z/14/237/5	εὐκόλως ἀποθανεῖν. ἀλλὰ τοῦτο μὲν οὐκ ἀτερπῶς ἱστορείσθω, 
-Z/14/237/6	διὰ τὴν σὴν ἐν πᾶσι τοῖς λόγοις φιλοτιμίαν, καὶ ἵνα διὰ 
-Z/14/237/7	τούτου τὴν ὀξύτητα πρὸς τὸ ἀποκτεῖναι τούτων τῶν θηρίων 
-Z/14/237/8	ὦμεν εἰδότες. ὀξέα γάρ ἐστιν ἀληθῶς πρὸς τὸ ἀναιρεῖν 
-Z/14/237/9	ταῦτα τὰ θηρία. καὶ πολλάκις γὰρ ἐθεασάμην ἐγὼ ἐν τῇ 
-Z/14/237/10	μεγάλῃ Ἀλεξανδρείᾳ τὸ τάχος τοῦ ὑπ' αὐτῶν γιγνομένου 
-Z/14/237/11	θανάτου. ὅταν γάρ τινα τούτῳ τῷ νόμῳ τῆς κολάσεως 
-Z/14/237/12	κατακριθέντα φιλανθρώπως καὶ ταχέως ἀποκτεῖναι θέλωσι, 
-Z/14/237/13	προσβάλλοντες αὐτοῦ τοῖς στέρνοις τὸ θηρίον καὶ ποιήσαν-
-Z/14/237/14	τες ὀλίγον περιπατῆσαι, οὕτω ταχέως ἀναιροῦσι 
-Z/14/237/15	τὸν ἄνθρωπον. ὁρᾷς οὖν ὅπως ἡμεῖς δεόντως οὐδὲν τῶν 
-Z/14/237/16	τοιούτων θηρίων ἐγκαταμίγνυμεν τῷ φαρμάκῳ, διὰ τὴν το-
-Z/14/237/17	σαύτην ἐν τοῖς σώμασιν αὐτῶν φθοροποιὸν δύναμιν. 
-Z/14/237/18	  [Τί δή ποτε τῇ θηριακῇ ὁλόκληρος ἡ ἔχιδνα  
-Z/14/238/1	οὐκ ἐπιτίθεται· πολλάς τε ἐκ τῶν ζώων ἡμᾶς λαμβάνειν 
-Z/14/238/2	τὰς θεραπείας.] Καὶ αὐτῶν δὲ τῶν ἐχιδνῶν οὐχ ὅλα τὰ 
-Z/14/238/3	ζῶα εἰς ἀντίδοτον πέμπομεν, ἀλλ' ἀποτεμόντες τὰς κεφαλὰς 
-Z/14/238/4	καὶ τὰς οὐρὰς οὕτω τοῖς ἄλλοις αὐτῶν σώμασιν εἰς τὴν 
-Z/14/238/5	μίξιν χρώμεθα, καὶ τοῦτο οὐ παρέργως οὐδ' ἄνευ λόγου 
-Z/14/238/6	τινὸς ποιούμενοι, ἀλλ' ἐπειδὴ αἱ κεφαλαὶ τὸν κάκιστον τῶν 
-Z/14/238/7	χυμῶν, αὐτὸν τὸν ἰὸν, ἐν αὑταῖς ἔχουσι, διὰ ταῦτ' ἀποκό-
-Z/14/238/8	πτειν αὐτὰς πειρώμεθα, ἵν' ὀλιγώτερον τῆς ἀπ' αὐτῶν δυ-
-Z/14/238/9	νάμεως ἔχῃ τὸ φάρμακον, τῆς τούτων φύσεως μεταβλητικήν 
-Z/14/238/10	τινα δύναμιν εἰς τὸν ἰὸν ἐχούσης· ὥσπερ δὴ καὶ ἐν τοῖς 
[0057]  [079]  []  []

-Z/14/238/11	παραστάταις τὸ σπέρμα καὶ ἐν τοῖς μαζοῖς τὸ γάλα μετα-
-Z/14/238/12	βαλλόμενον γίνεται. ἡ δὲ ἔχιδνα τῶν ἄλλων ἁπάντων τὴν 
-Z/14/238/13	κεφαλὴν πρὸς τὸ διαφθεῖραι κακῶς ἐπιτηδειοτέραν ἔχει. 
-Z/14/238/14	φασὶ γὰρ αὐτὴν ἀνοίγουσαν τὸ στόμα πρὸς τὸ δέξασθαι 
-Z/14/238/15	τοῦ ἄῤῥενος τὸν θορὸν μετὰ τὸ λαβεῖν ἀποκόπτειν αὐτοῦ 
-Z/14/238/16	τὴν κεφαλήν· καὶ τοῦτον αὐταῖς εἶναι τῆς πονηρᾶς συμπλο-
-Z/14/238/17	κῆς τὸν τρόπον. εἶτα ἀπὸ τοῦ σπέρματος τὰ ζῶα γενόμενα 
-Z/14/238/18	κατά τινα φυσικὴν ἄμυναν ἀναβιβρώσκειν μὲν τῆς μητρὸς 
-Z/14/238/19	τὴν γαστέρα, ἐκθρώσκειν δὲ εἰς τὰ ἔξω· καὶ οὕτως αὐτὰ  
-Z/14/239/1	εἰς ἐκδικίαν τοῦ πατρὸς ἀναιρεῖν τὴν μητέρα. ἅπερ ἡμῖν 
-Z/14/239/2	ὁ καλὸς Νίκανδρος ἐν τοῖς ἔπεσιν αὑτοῦ οὐκ ἀφυῶς γρά-
-Z/14/239/3	φει, καὶ ἔστι τὰ ἔπη ταῦτα· 
-Z/14/239/4	  Μὴ σύ γ' ἐνὶ τριόδοισι τύχῃς ὅτε δῆγμα πεφυγὼς 
-Z/14/239/5	  Περκνὸς ἔχις θύῃσι, τυπὴν χολόεσσαν ἐχίδνης. 
-Z/14/239/6	  Ἡνίκα θορνυμένου ἔχιος θολερῷ κυνόδοντι, 
-Z/14/239/7	  Θουρὰς ὀδὰξ ἐμφῦσα κάρην ἀπέκοψεν ὁμεύνου· 
-Z/14/239/8	  Οἱ δὲ πατρὸς λώβην μετεκίαθον αὐτίκα τυτθοὶ 
-Z/14/239/9	  Γεινόμενοι ἐχιῆες, ἐπεὶ διὰ μητρὸς ἀραιὴν 
-Z/14/239/10	  Γαστέρ' ἀναῤῥήξαντες ἀμήτορες ἐξεγένοντο. 
-Z/14/239/11	  Τὰς δὲ οὐρὰς καὶ αὐτὰ ἀφαιροῦμεν τὰ ἔσχατα 
-Z/14/239/12	τοῦ σώματος, ὥσπερ οὐρᾶς ὄντα μέρη καὶ, ὡς οἶμαι, τὸ 
-Z/14/239/13	ῥυπαρώτερον τῆς οὐσίας ἕλκοντα μᾶλλον, καὶ πλείονά γε τὴν 
-Z/14/239/14	ὁλκὴν διὰ τὴν κίνησιν ποιούμενα, ὥσπερ τὰ πρὸς ταῖς οὐ-
-Z/14/239/15	ραῖς τῶν ἰχθύων μέρη διὰ τὴν πολλὴν κίνησιν τροφιμώ-
-Z/14/239/16	τερα εἶναι λέγουσι. μὴ θαυμάζῃς δὲ, εἰ μετὰ τὴν τούτων 
-Z/14/239/17	ἀποκοπὴν τὰ λοιπὰ σώματα τῶν ζώων ἰσχυρότερον ποιεῖ 
-Z/14/239/18	τὸ φάρμακον τῆς ἐμφύτου πρὸς τὸ σώζειν δυνάμεως καὶ  
-Z/14/240/1	ἐν αὐταῖς ταῖς σαρξὶν αὐτῶν καταμεμιγμένης. ὥσπερ δὴ 
-Z/14/240/2	καὶ ἐπ' ἄλλων ζώων πολλὰ τῶν μερῶν οὐκ ὀλίγα τῶν πα-
-Z/14/240/3	θῶν ἀγωνιστικῶς θεραπεύεσθαι οἴδαμεν. ἐνίοις γοῦν βοη-
-Z/14/240/4	θοῦσιν αἱ κεφαλαὶ τῶν μυῶν, καυθεῖσαι γὰρ καὶ μετὰ μέλι-
-Z/14/240/5	τος χριόμεναι, τὰς ἀλωπεκίας ἰᾶσθαι δύνανται. καὶ τοῦ 
-Z/14/240/6	ἰκτίνου τὴν κεφαλὴν, φασὶν, ὁμοίως τοὺς ποδαγριῶντας 
-Z/14/240/7	ὠφελεῖν, εἴ τις αὐτῆς ξηρανθείσης ἄνευ τῶν πτερῶν ὅσον 
-Z/14/240/8	ὑπὸ τοῖς τρισὶ δακτύλοις ἐπιπάσας ὕδατι πίνειν ἐθέλοι. καὶ 
-Z/14/240/9	τῶν μερῶν δὲ πολλάκις αὐτὰ μόνα τὰ μόρια τινὰ τῶν πα-
-Z/14/240/10	θῶν ἰᾶσθαι δύνανται. ὁ γοῦν τῆς καμήλου ἐγκέφαλος ξη-
-Z/14/240/11	ρανθεὶς καὶ μετ' ὄξους πινόμενος ἐπιληπτικοὺς ἰᾶται καὶ 
-Z/14/240/12	ὁ τῆς γαλῆς ὁμοίως. ὁ δὲ τῆς χελιδόνος μετὰ μέλιτος 
-Z/14/240/13	πρὸς ὑποχύσεις ποιεῖ. καὶ ὁ τῶν προβάτων σκευασθεὶς 
-Z/14/240/14	ὁμοίως ταῖς τῶν παίδων ὀδοντοφυΐαις ἄκρως βοηθεῖ. τοῦ 
-Z/14/240/15	δὲ ταυρείου κέρατος τὸ ξύσμα μεθ' ὕδατος πινόμενον αἱ-
-Z/14/240/16	μοῤῥαγίας ἐπέχει. καὶ οἱ μηροὶ δὲ καιόμενοι ἐπέχουσι τὸ 
-Z/14/240/17	αἷμα. πολλάκις δὲ καὶ τὴν γαστέρα λελυμένην τὸ αὐτὸ 
-Z/14/240/18	τοῦτο ἵστησι. τὸ δὲ τοῦ ἐλάφου κέρατος ῥίνημα καιόμενον  
-Z/14/241/1	καὶ μετ' οἴνου λειούμενον, εἶτα περιπλασσόμενον, τοὺς σειο-
-Z/14/241/2	μένους ὀδόντας πήγνυσιν, ὥσπερ δὴ καὶ τὸν ἀστράγαλον τῆς 
-Z/14/241/3	βοὸς τοῦτο ποιεῖν δύνασθαι λέγουσιν· ἐξάγει δὲ καὶ στρογ-
-Z/14/241/4	γύλην ἕλμινθα μετὰ μέλιτος πινόμενος, καὶ μετ' ὀξυμέλιτος 
-Z/14/241/5	σπλῆνα τήκει, καὶ τὰς λεύκας καταχριόμενος, συμμέτρως δὲ 
-Z/14/241/6	ἀφροδισιαστικός ἐστιν. οἱ δὲ τοῦ κάστορος ὄρχεις ὁμοίως πινό-
-Z/14/241/7	μενοι σπασμοὺς ἰῶνται. πολλὰ δὲ τῶν ζώων καὶ τὰς χολὰς ἑαυ-
-Z/14/241/8	τῶν ἔχει βοηθεῖν τῷ ἀνθρώπῳ δυναμένας, καὶ τὰ στέατα, καὶ 
-Z/14/241/9	τοὺς μυελοὺς, καὶ τὸ γάλα, καὶ τὸ δέρμα, καὶ τὸ αἷμα αὐτὸ, 
-Z/14/241/10	καὶ τῶν ὄφεων τὸ γῆρας. ἤδη δὲ καὶ τὰς ἀφόδους αὐτῶν 
-Z/14/241/11	ὠφελούσας τινὰς εἴδομεν. ἡ γοῦν τῆς βοὸς ἄφοδος ξηρὰ 
-Z/14/241/12	κεκαυμένη τρισὶ κοχλιαρίοις ὑδρωπικῷ βοηθεῖ. καὶ ἡ τῶν 
-Z/14/241/13	μυῶν ἄφοδος λεία μετ' ὄξους ἀλωπεκίας θεραπεύει· ἐν πο-
-Z/14/241/14	τῷ δὲ λαμβανομένη τοὺς ἐν κύστει θρύπτει λίθους· τὸ δὲ 
-Z/14/241/15	τοῦ χηνὸς στέαρ τὰς φλεγμονὰς μετὰ ῥοδίνου ἰᾶται· καὶ ὁ 
-Z/14/241/16	τοῦ ἐλάφου μυελὸς παρηγορικώτατόν ἐστι φάρμακον. τὸ δὲ 
-Z/14/241/17	τῆς βοὸς γάλα πινόμενον δυσεντερικοῖς βοηθεῖ. τῆς δὲ 
-Z/14/241/18	ὑαίνης ἡ χολὴ μετὰ μέλιτος πρὸς ὀξυδερκίαν ποιεῖ, καὶ τὰς 
-Z/14/241/19	ὑποχύσεις διαφορεῖ ἐγχριομένη. τοῦ δ' ἱπποποτάμου τὸ δέρμα  
-Z/14/242/1	καιόμενον, καὶ μεθ' ὕδατος λεῖον ἐπιτιθέμενον, φυμάτων 
-Z/14/242/2	σκορπιστικὸν γίνεται, ὥσπερ δὴ καὶ τὸ ἔχεως δέρμα, λεῖον 
-Z/14/242/3	ἐπιτιθέμενον ταῖς ἀλωπεκίαις, θαυμαστῶς ἀναφύει τὰς τρί-
-Z/14/242/4	χας. τὸ δὲ τῆς ἀσπίδος γῆρας τριφθὲν μετὰ μέλιτος καὶ 
-Z/14/242/5	ὑπαλειφόμενον ὀξυδερκέστατόν ἐστιν. καὶ ὅλως πολλή τίς 
-Z/14/242/6	ἐστιν ἡ τῶν τοιούτων ὕλη, ἣν οὐκ εὔκαιρον εἶναι νομίζω 
-Z/14/242/7	νῦν ἀναγράφειν, ἵνα μὴ μακρὸς ὑμῖν ὁ λόγος γένηται, ἀρ-
-Z/14/242/8	κούντων εἰς τὴν ἀπόδειξιν τοῦ λεγομένου καὶ μόνων μοι τῶν 
-Z/14/242/9	προειρημένων. ἐκεῖνο δὲ ἀναγκαῖόν ἐστιν εἰδέναι, ὅτι τῶν 
-Z/14/242/10	ζώων αὐτῶν ὅλα τὰ σώματα πολλάκις τοῖς ἀνθρώποις βοη-
-Z/14/242/11	θεῖ. καρκίνος γοῦν ὁ ἀπὸ τῶν ποταμῶν λειωθεὶς καὶ 
-Z/14/242/12	καταπλασθεὶς ἀνεκβάλλει τοὺς σκόλοπας καὶ τὰς ἀκίδας. 
-Z/14/242/13	καὶ ἡ καρὶς ὁμοίως λειωθεῖσα μετὰ βρυωνίας ῥίζης πινο-
-Z/14/242/14	μένη ἕλμινθας ἐξάγει. ὁ δὲ σκορπίος σὺν ἄρτῳ ἐσθιόμενος 
-Z/14/242/15	ὀπτὸς θρύπτει τοὺς ἐν τῇ κύστει λίθους. ὁμοίως δὲ καὶ 
-Z/14/242/16	τὸ γῆς ἔντερον μετ' οἴνου πινόμενον τὸ αὐτὸ ποιεῖ. εἰ δέ 
-Z/14/242/17	τις αὐτὰ τρίβων ἐν μελικράτῳ λάβοι ἰκτεριῶν εὐθέως κα-
-Z/14/242/18	θαρθεὶς ἀπαλλάσσεται. πολλάκις δὲ καὶ σὺν ῥοδίνῃ κηρωτῇ 
-Z/14/242/19	ἐπιτιθέντα τῶν ποδαγρῶν ταῖς φλεγμοναῖς ἥρμοσαν, ὁ δὲ  
-Z/14/243/1	ἱέραξ ἑψηθεὶς μετὰ μύρου σουσίνου ἀμβλυωπίας ἰᾶται. 
-Z/14/243/2	καὶ ὁ κάνθαρος δὲ θεραπεύει τὰς ὠταλγίας ἀποζεσθεὶς ἐλαίῳ 
-Z/14/243/3	καὶ ἐνσταζόμενος εἰς τὸ οὖς. ὁ δὲ κορυδαλὸς ὀπτὸς τρωγό-
-Z/14/243/4	μενος θαυμασίως τοὺς κωλικοὺς πολλάκις ὠφέλησε, καὶ 
-Z/14/243/5	ἵνα μᾶλλον τὴν ἐν τοῖς σώμασιν αὐτῶν δύναμιν θαυμάσῃς, 
-Z/14/243/6	ἐκεῖνό σοι φιλοτιμότερον διηγήσομαι. πολλὰ γὰρ καὶ ὁρα-
-Z/14/243/7	θέντα μόνον τὴν ἑαυτῶν ἰσχὺν ἐπιδείκνυνται. ὁ οὖν ἀσκα-
-Z/14/243/8	λαβώτης ὁραθεὶς ὑπὸ τῶν σκορπίων ὑποπήγνυσιν αὐτοὺς, 
-Z/14/243/9	καὶ οὕτως ἀναιρεῖ. ἡ δὲ ἀμφίσβαινα, ἔστι δὲ τὸ ζῶον ἀμ-
-Z/14/243/10	φικέφαλον, ὥσπερ δὴ καὶ τῶν πλοίων τὰ ἀμφίπρωρα, τῆς 
-Z/14/243/11	φύσεως τῷ περιττῷ τῆς οὐσίας δύο κεφαλὰς ἔχειν αὐτῇ χα-
-Z/14/243/12	ρισαμένης, τοῦτο δή φασι τὸ ζῶον εἰ ὑπερβάλῃ γυνὴ κατὰ 
-Z/14/243/13	γαστρὸς ἔχουσα, ἐκτιτρώσκει τὸ παιδίον κακῶς, ὥστε οὐδὲν 
-Z/14/243/14	θαυμαστὸν, εἰ καὶ τὰ τῶν ἐχιδνῶν σώματα ἀποκοπέντων 
