
[0057]  [090]  []  []

-Z/17a/480/t1	            {ΓΑΛΗΝΟΥ 
-Z/17a/507/6	κρίναϲθαι τὸ δρᾶμα. παραπλήϲιον γὰρ τοῦτο τῷ κωμῳδίαν ἢ τραγῳ-
-Z/17a/507/7	δίαν ἐπιχειρεῖν ὑποκρίνεϲθαι μὴ δυνάμενον. ἐπὶ δὲ τοὺϲ <Ἱπποκρα-
-Z/17a/507/8	τείουϲ> ἑαυτοὺϲ ὀνομάϲανταϲ ἐλθών τιϲ οὐκ ἂν εἰκότωϲ αὐτοῖϲ ϲυγ-
-Z/17a/507/9	γνοίη παραπληϲίωϲ τοῖϲ ξένοιϲ τε καὶ νόθοιϲ τῆϲ αἱρέϲεωϲ ἐϲφαλμένοιϲ. 
-Z/17a/507/10	ὅταν δὲ καὶ τὰ ϲφάλματ' αὐτῶν οὐ μόνον ἀποχωρῇ τῆϲ <Ἱπποκρά-
-Z/17a/507/11	τουϲ> γνώμηϲ, ἀλλὰ καὶ τῆϲ ἐν τοῖϲ πράγμαϲιν ἀληθείαϲ, διπλαϲίωϲ 
-Z/17a/507/12	ἄν τιϲ αὐτοῖϲ μέμψαιτο. κάλλιϲτον μὲν γάρ ἐϲτιν ἀμφοτέρων ἔχεϲθαι 
-Z/17a/507/13	τῶν ϲκοπῶν τῶνδε τὸν [ἀκόλουθον] ἐξηγητήν, ἀκόλουθά τε λέγοντα 
-Z/17a/507/14	τῷ ϲυγγραφεῖ καὶ ἀληθῆ. θάτερον δὲ μόνον φυλάττοντι μεμπτέον ὡϲ 
-Z/17a/507/15	τοῦ ὅλου τὸ ἥμιϲυ διεφθαρκότι. τὸν δὲ μήτ' ἀληθῆ λέγοντα μήτ' ἀκό-
-Z/17a/507/16	λουθα τῷ γεγραφότι τὸ βιβλίον ἐξηγητὴν ἐϲχάτωϲ ἁμαρτάνειν ὑπο-
-Z/17a/507/17	ληπτέον. 
-Z/17a/508/1	  οἱ τοίνυν περὶ τὸν <Ϲαβῖνον καὶ | τὸν μαθητὴν αὐτοῦ <Μητρό-
-Z/17a/508/2	δωρον>, ἀκριβέϲτεροι δόξαντεϲ εἶναι τῶν ἔμπροϲθεν <Ἱπποκρατείων>, 
[0057]  [090]  []  []

-Z/17a/508/3	ὅμωϲ καὶ αὐτοὶ φαίνονται μοχθηρῶϲ ἐξηγούμενοι πολλάκιϲ τὸν <Ἱππο-
-Z/17a/508/4	κράτην>. αὐτίκα γέ τοι κατὰ τὸν προκείμενον ἄρρωϲτόν φαϲιν αὐτοῖϲ 
-Z/17a/508/5	ὀνόμαϲιν· “ὥϲπερ ‘ὁ ϲπαϲμὸϲ γίνεται καὶ ὑπὸ πληρώϲεωϲ καὶ ὑπὸ  
-Z/17a/508/6	κενώϲεωϲ’, οὕτωϲ καὶ ὁ <τρόμοϲ> μικρὸϲ ὢν ϲπαϲμὸϲ ὑπὸ τῶν ἐναν-
-Z/17a/508/7	τίων ἀποτελεῖται.” περὶ μὲν οὖν τῆϲ αἰτίαϲ, ὑφ' ἧϲ γίνεται τὰ τοι-
-Z/17a/508/8	αῦτα παθήματα, <δογματικῶν> ἀνδρῶν ἐϲτιν, οὐκ <ἐμπειρικῶν> ἐπι-
-Z/17a/508/9	ϲκέπτεϲθαι· τὸ μέντοι γνωρίζειν αὐτὰ καὶ διακρίνειν ἀπ' ἀλλήλων 
-Z/17a/508/10	ἀναγκαῖόν ἐϲτι καὶ τοὺϲ <ἐμπειρικοὺϲ> δύναϲθαι. φαίνονται δ' ἐν 
-Z/17a/508/11	αὐτῷ τούτῳ πρῶτον οἱ περὶ τὸν <Ϲαβῖνον> ἐϲφαλμένοι, μικρὸν ϲπα-
-Z/17a/508/12	ϲμὸν εἰπόντεϲ εἶναι τὸν <τρόμον>. ὅλῳ γὰρ τῷ γένει διενήνοχεν ἀλλή-
-Z/17a/508/13	λων τὰ πάθη ταῦτα. διαφερέτω δὲ μηδὲν ἔν γε τῷ παρόντι πάθη 
-Z/17a/508/14	καλεῖν ἢ ϲυμπτώματα τὰϲ βλάβαϲ τῶν ἐνεργειῶν. οὐ γὰρ διαθέϲειϲ γέ 
-Z/17a/508/15	τινεϲ ἐν τοῖϲ ϲτερεοῖϲ τοῦ ζῴου μορίοιϲ εἰϲίν, ὡϲ οἴδημα καὶ φλεγ-
-Z/17a/508/16	μονὴ καὶ ϲκίρροϲ, ἀλλ' ὥϲπερ αἱ ἐνέργειαι κατὰ τὸ γίνεϲθαι λαμβά-
-Z/17a/508/17	νουϲι τὴν ὕπαρξιν, οὐ κατὰ τὸ μονίμωϲ καθ' ἕξιν ὑπάρχειν, οὕτω καὶ 
-Z/17a/509/1	τὰ παθήματα αὐτῶν. ἁπάϲηϲ γὰρ κινήϲεωϲ ἐν τῷ γίνεϲθαι τὸ εἶ|ναι 
-Z/17a/509/2	κτωμένηϲ οὔϲηϲ τέ τινοϲ ἐν τοῖϲ ζῴοιϲ προαιρετικῆϲ κινήϲεωϲ, ὥϲπερ 
-Z/17a/509/3	ἑτέραϲ ἀπροαιρέτου καὶ φυϲικῆϲ, αἱ βλάβαι τῆϲ προαιρετικῆϲ ἐν ταῖϲ 
-Z/17a/509/4	τῶν μυῶν γίγνονται κινήϲεϲιν, ὑφ' ὧν καὶ τὰϲ κατὰ προαίρεϲιν ἴϲμεν 
-Z/17a/509/5	ἀποτελουμέναϲ. ἀλλὰ τὸ μὲν κατὰ φύϲιν ἐν αὐταῖϲ ἓν 〈καὶ〉 ἁπλοῦν 
-Z/17a/509/6	ἐϲτι, τὸ δὲ παρὰ φύϲιν ἐν πρώταιϲ μὲν γίγνεται δύο διαφοραῖϲ, ἤτοι 
-Z/17a/509/7	χωρὶϲ προαιρέϲεωϲ κινουμένων τῶν μορίων, ἃϲ ἔμπροϲθεν ἐκινοῦντο 
-Z/17a/509/8	κινήϲειϲ καθ' ὁρμήν, ἢ κατὰ προαίρεϲιν. [ἔϲτι μὲν οὐ κατὰ φύϲιν,] 
-Z/17a/509/9	διαφέρει δ' οὐδὲν ἤτοι καθ' ὁρμὴν εἰπεῖν ἢ κατὰ προαίρεϲιν εἴϲ γε 
-Z/17a/509/10	τὸ παρόν. αὐτῶν δὲ τῶν ἄνευ προαιρέϲεωϲ γιγνομένων κινήϲεων ἐν 
-Z/17a/509/11	τοῖϲ προαιρετικῶϲ πεφυκόϲι κινεῖϲθαι τὸ μέν τι ϲπαϲμὸϲ ὀνομά-
-Z/17a/509/12	ζεται, τὸ δὲ παλμόϲ, τὸ δὲ ῥῖγοϲ, ἀλλήλων διαφέροντα. καθόλου 
-Z/17a/509/13	δὲ περὶ τούτων λέλεκται δι' ἑνὸϲ ὅλου βιβλίου. τῆϲ δὲ κατὰ προ-
-Z/17a/509/14	αίρεϲιν μέν, οὐ κατὰ φύϲιν δὲ κινήϲεωϲ γινομένηϲ ἓν εἶδόϲ ἐϲτιν, ὃ  
-Z/17a/509/15	καλεῖται <τρόμοϲ>, ὑπὲρ οὗ νῦν ἀναγκαῖόν ἐϲτιν εἰπεῖν, ἐπεὶ καὶ περὶ 
-Z/17a/509/16	τῶν ἄλλων ἕνεκα τούτου λέλεκταί τι. 
-Z/17a/509/17	  γίνεται τοίνυν ὁ <τρόμοϲ> οὐ μόνον ἐπὶ νοϲοῦϲι μυϲί τε καὶ 
-Z/17a/510/1	νεύροιϲ, | ἀλλὰ καὶ κατὰ φύϲιν ἔχουϲιν, ὅταν ὑπὲρ τὴν δύναμίν τιϲ 
-Z/17a/510/2	αἴρειν ἐπιχειρήϲῃ βάροϲ ὁτιοῦν ἢ ταῖϲ χερϲὶ βαϲτάζων ἢ τοῖϲ ὤμοιϲ 
-Z/17a/510/3	ἀναθέμενοϲ. ὁρῶνται γοῦν ἔνιοι τῶν ἰϲχυροτάτων νεανίϲκων ἐν 
-Z/17a/510/4	τῷ βαϲτάζειν ὑπέρβαρύ τι τρομώδειϲ τοῖϲ ϲκέλεϲι γιγνόμενοι, καὶ μά-
-Z/17a/510/5	λιϲθ' ὅταν ἀναβαίνειν ἐπιχειρήϲωϲι κλίμακαϲ. ὅπερ δ' ἐκείνοιϲ ἐπὶ με-
-Z/17a/510/6	γίϲτοιϲ ἄχθεϲι, τοῦτο γέρουϲί τε καὶ τοῖϲ ἄλλοιϲ ἀϲθενέϲιν ἐπὶ τοῖϲ 
-Z/17a/510/7	ἐλάττοϲι γίνεται· βαρέα γὰρ ἤδη καὶ ταῦτα τοῖϲ ἀϲθενέϲι. καὶ τοίνυν 
-Z/17a/510/8	καὶ πάθη τινὰ ψυχικὰ τρομώδειϲ ἐργάζεται. λέλεκται γοῦν κἀν τῷ 
-Z/17a/510/9	Περὶ χυμῶν “〈παρά τε κοῖλον〉 καὶ παρὰ κρημνὸν παριόντι τὰ ϲκέλεα 
-Z/17a/510/10	τρέμειν”, διὰ τὸν φόβον δηλονότι καταλύοντα τὴν δύναμιν, ὥϲπερ εἰ 
-Z/17a/510/11	καὶ ἄλλοϲ τιϲ ἔδειϲεν ἐπερχόμενον ἰδὼν θηρίον ἢ λῃϲτὰϲ ἢ πολεμίουϲ. 
-Z/17a/510/12	εἰκότωϲ οὖν ἡμῖν ἀποδέδεικται κατὰ τὸ Περὶ τρόμου 〈καὶ παλμοῦ〉 
-Z/17a/510/13	καὶ ϲπαϲμοῦ καὶ ῥίγουϲ ὑπόμνημα δι' ἀρρωϲτίαν δυνάμεωϲ ἀεὶ γίγνε-
-Z/17a/510/14	ϲθαι τρόμον. ἐπεὶ δ' ἐνίοτε μὲν αὐτὴ καθ' ἑαυτήν ἐϲτιν ἄρρωϲτοϲ, 
-Z/17a/510/15	ἐνίοτε δὲ διὰ πάθοϲ ψυχικὸν ἢ καὶ μηδ' ὅλωϲ πεπονθυῖα κατὰ τὸν 
-Z/17a/511/1	ἴδιον λόγον ὑπὸ βαρέοϲ φορτίου τοῦτο πάϲχει, τρεῖϲ αὐ|τοῦ φαμεν 
-Z/17a/511/2	εἶναι διαφορὰϲ τῶν αἰτίων, δυϲκραϲίαν τῶν προαιρετικῶν ὀργάνων 
-Z/17a/511/3	〈ἢ〉 πάθοϲ ψυχικὸν ἢ βαρὺ φορτίον. ὅταν οὖν μήτε δείϲαντι μήτε 
-Z/17a/511/4	βαϲτάζοντι φορτίον ὁ τρόμοϲ 〈τινὶ〉 γίνηται, δυοῖν θάτερον, ἢ δυϲ-
-Z/17a/511/5	κραϲία τῶν ὀργάνων ἐϲτὶν ἤ τι βάροϲ ἐν αὐτῷ τῷ ϲώματι περὶ τοὺϲ 
-Z/17a/511/6	μῦϲ ἢ τὰ νεῦρα. παράκειται δέ τιϲ ἀπάτη τῷ λόγῳ, περὶ ἧϲ εἴρηται 
-Z/17a/511/7	κατὰ τὸ Περὶ τρόμου καὶ ϲπαϲμοῦ καὶ παλμοῦ καὶ ῥίγουϲ ὑπόμνημα. 
-Z/17a/511/8	φαίνονται γάρ τινεϲ καὶ ταῖϲ χερϲὶ καὶ τῇ κεφαλῇ τρομώδειϲ ἄνευ 
-Z/17a/511/9	τοῦ προελέϲθαι κινεῖν τὰ μόρια καὶ δοκεῖ κατὰ τοῦτο ψευδῶϲ εἰρῆ-
-Z/17a/511/10	ϲθαι προελομένοιϲ ἐνεργεῖν τι γίγνεϲθαι. ἀλλ' ἐὰν ἐννοήϲῃϲ, ὡϲ  
-Z/17a/511/11	ἐπὶ προϲκεφαλαίου καταθέμενόϲ τιϲ τὸν αὐχένα παύεται τρέμων τὴν 
-Z/17a/511/12	κεφαλὴν ἀποθέμενόϲ τε τὰϲ χεῖραϲ οὐκέτ' οὐδὲ ταύταϲ τρέμει, πιϲτεύ-
-Z/17a/511/13	ϲειϲ ὀρθῶϲ εἰρῆϲθαι τοῖϲ ἀργοῦϲι παντάπαϲι μόριον ὁτιοῦν οὐ γίγνεϲθαι 
-Z/17a/511/14	τρόμον ἐν αὐτῷ, ἐὰν δ' ἐξαίρωϲιν ἢ φυλάττωϲιν ἐξηρμένον αὐτό, τηνι-
-Z/17a/511/15	καῦτα γίνεϲθαι τὸ ϲύμπτωμα. τοϲούτου γὰρ δέουϲιν ἡϲυχάζειν τοῖϲ 
-Z/17a/512/1	μυϲὶν οἱ οὕτωϲ ἐνερ|γοῦντεϲ, ὥϲτε τοὺϲ ἀντιτεταγμένουϲ ἀλλήλοιϲ ἅμα 
-Z/17a/512/2	κινοῦϲιν, οἷον ἐπὶ χειρόϲ, ὅϲοι τ' ἐξαίρουϲι καὶ ὅϲοι καταϲπῶϲι τὸ 
-Z/17a/512/3	μόριον ἐκτείνουϲί τε καὶ κάμπτουϲι, καὶ ῥωμαλεωτέραϲ γε τῆϲ δυνά-
-Z/17a/512/4	μεώϲ ἐϲτι χρεία τοῖϲ ἐπηρμένην ἐγγώνιον τὴν χεῖρα φυλάττουϲι τῶν 
-Z/17a/512/5	ἐκτεινόντων ἢ καμπτόντων αὐτήν. οἱ μὲν γὰρ ἐκτείνοντεϲ ἑνὶ γένει 
-Z/17a/512/6	τῶν μυῶν ἐνεργοῦϲι τῷ τοῦτο πεφυκότι δρᾶν, ἀργούντων τηνικαῦτα 
-Z/17a/512/7	τῶν καμπτόντων αὐτήν· οἱ δὲ κάμπτοντεϲ ἐνεργοῦϲι μὲν τοῖϲ κάμπτειν 
-Z/17a/512/8	πεφυκόϲιν, ἀργοῦϲι δὲ τοῖϲ ἐκτείνειν δυναμένοιϲ. ἐὰν δ' ἐπάραϲ τιϲ 
-Z/17a/512/9	ἐγγώνιον ὑψηλὴν ἔχῃ τὴν χεῖρα, μήτε κάμπτων μήτε ἐκτείνων, ἰϲο-
-Z/17a/512/10	ϲθενῶϲ ἀμφοτέροιϲ τοῖϲ μυϲὶν ἐνεργεῖ, καθάπερ ἐν τοῖϲ καλουμένοιϲ 
-Z/17a/512/11	τετάνοιϲ. οὔκουν ἐλάττονόϲ ἐϲτιν ἰϲχύοϲ χρεία τοῖϲ ἐπὶ ταὐτοῦ ϲχή-
-Z/17a/512/12	ματοϲ ἢ τὸ ϲκέλοϲ ἢ τὸν τράχηλον ἢ τὴν χεῖρα φυλάττουϲιν ἄνευ 
-Z/17a/512/13	τοῦ κατά τινοϲ ἐρηρεῖϲθαι ϲτερεοῦ ϲώματοϲ ὀχοῦντόϲ τε καὶ βαϲτά-
-Z/17a/512/14	ζοντοϲ τὸ κῶλον 〈ἢ τοῖϲ ἐκτείνουϲί τε καὶ κάμπτουϲιν ὁτιοῦν μόριον〉. 
-Z/17a/512/15	ἀλλ' ὅταν μὲν ὑπερέχῃ πολλῷ τοῦ βάρουϲ τῶν βαϲταζομένων μορίων 
-Z/17a/512/16	ἡ κινοῦϲα δύναμιϲ αὐτά, ῥᾳδίωϲ μὲν ἐξαίρει, ῥᾳδίωϲ δ' ἐξηρμένα φυ-
-Z/17a/513/1	λάττει. ὅταν | δὲ ὑπερέχηται πολλῷ, καθάπερ ἐπὶ τῶν παραλελυμένων, 
-Z/17a/513/2	οὐδ' ὅλωϲ ἐξᾶραι δύναται. ὅταν δ' ἰϲοϲθενήϲ πωϲ ὑπάρχῃ, νικᾷ τε 
-Z/17a/513/3	καὶ νικᾶται κατὰ μέροϲ· νικῶϲα μὲν ἐπὶ τοῦ αὐτοῦ ϲχήματοϲ φυλάττει 
-Z/17a/513/4	τὴν ἀνατεταμένην χεῖρα, νικωμένη δὲ ὑπορρεῖν ἐᾷ κάτω. νόηϲον δή 
-Z/17a/513/5	μοι τοῦτο γίνεϲθαι ϲυνεχῶϲ οὕτωϲ, ὡϲ ἅμα μὲν τῷ νικῆϲαι ταύτην 
-Z/17a/513/6	ἀναφέρειν τὸ κῶλον, εὐθέωϲ 〈δὲ〉 νικηθεῖϲαν ὑπὸ τοῦ βάρουϲ τῶν 
-Z/17a/513/7	ἀναφερομένων ἐπιτρέπειν αὐτοῖϲ φέρεϲθαι κάτω, ἅμα δ' αὖ πάλιν τῷ 
-Z/17a/513/8	νικᾶν ἐκεῖνα τὴν δύναμιν ἀντιλαμβανομένην αὐτῶν αὖθιϲ ἀναφέρειν 
-Z/17a/513/9	ἐπιχειρεῖν, εἶτ' 〈ἐν〉 ἐλαχίϲτῃ χρόνου ῥοπῇ τῆϲ ἀμοιβῆϲ ταύτηϲ γινο-
-Z/17a/513/10	μένηϲ καὶ τῆϲ μὲν ἐπὶ τὸ κάτω κινήϲεωϲ ἀντιϲπωμένηϲ εὐθέωϲ ἄνω,  
-Z/17a/513/11	τῆϲ δ' ὑψούϲηϲ τὸ κῶλον ἀνθελκομένηϲ κάτω παραχρῆμα, μήτ' ἀκρι-
-Z/17a/513/12	βῶϲ ἄκλονόν τε καὶ ἀρρεπὲϲ φυλάττεϲθαι τὸ κῶλον, ἀλλὰ μηδ' ἀξιο-
-Z/17a/513/13	λόγουϲ ἔχειν ἐφ' ἑκάτερα τὰϲ κινήϲειϲ ἐν βραχέϲι διαϲτήμαϲι καὶ 
-Z/17a/513/14	χρόνων καὶ τόπων φυλαττομέναϲ. ὁ μὲν δὴ <τρόμοϲ> τοιαύτη τίϲ ἐϲτι 
-Z/17a/513/15	κίνηϲιϲ, ὡϲ ἐν ὀλίγῳ περιλαβεῖν ἃ διὰ μακροτέρων εἴρηται κατὰ τὸ 
-Z/17a/514/1	προδεδηλωμένον βιβλίον. ὁ δ' ἐν τῷ νοϲώδει ῥίγει γινόμε|νοϲ κλόνοϲ 
-Z/17a/514/2	τῶν μορίων ἄνευ τε προαιρέϲεωϲ ἀποτελεῖται καὶ κατὰ μεγάλα δια-
-Z/17a/514/3	ϲτήματα τῶν ἐναντίων κινήϲεων ἀλλήλαϲ διαδεχομένων ἅμα ψύξεωϲ 
-Z/17a/514/4	αἰϲθήϲει. παραπλήϲιον δ' ἐϲτί πωϲ τούτῳ πάθοϲ ἄλλο μυῶν τε καὶ 
-Z/17a/514/5	νεύρων, ὃ καλεῖται ϲπαϲμόϲ, ὁμοίαϲ μὲν κατὰ πάντα καὶ διὰ τῶν 
[0057]  [090]  []  []

-Z/17a/514/6	αὐτῶν ὀργάνων γιγνομένηϲ ἐν αὐτῷ τῆϲ κινήϲεωϲ, ἣ κἀν τῷ καθ' 
-Z/17a/514/7	ὁρμὴν αὐτὰ κινεῖϲθαι γίνεται, διαφερούϲηϲ δὲ μόνῳ τῷ μὴ καθ' ὁρμήν, 
-Z/17a/514/8	ὁπότε ϲπᾶται, κινεῖϲθαι. 
-Z/17a/514/9	  περὶ δὲ παλμοῦ περιττόν ἐϲτί μοι λέγειν ἐνταῦθα, μή πωϲ ἀναγ-
-Z/17a/514/10	καϲθῶ καὶ περὶ ϲφυγμοῦ λέγειν, τινὰ κοινωνίαν ἔχειν φαινομένου 
-Z/17a/514/11	πρὸϲ παλμόν. ἱκανῶϲ γὰρ ἤδη μοι καὶ τὰ περὶ τοῦ τρόμου μεμή-
-Z/17a/514/12	κυνται παρὰ τὴν ἐμὴν προαίρεϲιν ἐν ἐξηγητικῷ βιβλίῳ. τῷ βουλομένῳ 
-Z/17a/514/13	δ' ἀκριβῶϲ ὑπὲρ ἁπάντων τῶν εἰρημένων ϲυμπτωμάτων ἐκμαθεῖν τῆϲ 
-Z/17a/514/14	τε διαγνώϲεωϲ καὶ τῆϲ γενέϲεωϲ ἔξεϲτιν ἀναγινώϲκειν τὸ βιβλίον, ἐν 
-Z/17a/514/15	ᾧ τελέωϲ ὑπὲρ ἁπάντων αὐτῶν διῆλθον, ἐπεί τοι καὶ περὶ λυγγὸϲ 
-Z/17a/514/16	καὶ βηχὸϲ καὶ πταρμοῦ καί τινων ἑτέρων τοιούτων κινήϲεων ἐμοὶ 
-Z/17a/514/17	μὲν ἐν τοῖϲ 〈Περὶ〉 τῶν ϲυμπτωμάτων αἰτίων διώριϲται τάϲ τε δια-
-Z/17a/515/1	γνώ|ϲειϲ καὶ τὰϲ διαφορὰϲ τῶν κινήϲεων καὶ τὰϲ αἰτίαϲ αὐτῶν ὑφ' 
-Z/17a/515/2	ὧν γίγνονται διελθόντι. τοῖϲ δὲ περὶ τὸν <Ϲαβῖνον> ἐν ἅπαϲι τοῖϲ 
-Z/17a/515/3	τοιούτοιϲ ἢ μεῖζον ἢ μεῖόν τι παρῶπται, ὥϲτε πάλιν ἑτέρῳ τρόπῳ 
-Z/17a/515/4	τοὺϲ περὶ τὸν <Κοΐντον> καὶ <Λύκον> ὡϲ φρονιμωτέρουϲ ἐκείνων ἀπο-
-Z/17a/515/5	δεκτέον ἐϲτίν, ὅτι μηδ' ἐπεχείρηϲαν εἰπεῖν τι περὶ τῶν τοιούτων, ἀλλ' 
-Z/17a/515/6	ὡϲ <ἐμπειρικοὶ> τὰϲ ἐξηγήϲειϲ ἐποιήϲαντο. καίτοι καὶ τῶν <ἐμπειρι-
-Z/17a/515/7	κῶν> ἔνιοι, καθάπερ ἔφην, ὡϲ ἐν δράματι τὸ περικείμενον ὑποκρίνονται 
-Z/17a/515/8	πρόϲωπον, <Ἱπποκράτειον> μὲν ἐξηγούμενοι βιβλίον ὡϲ <Ἱππο-
-Z/17a/515/9	κράτειοι>, τῶν δ' <Ἐραϲιϲτράτου> τι καὶ <Ἡροφίλου> καὶ <Ἀϲ- 
-Z/17a/515/10	κληπιάδου> καὶ τῶν ἄλλων 〈ὡϲ〉 ἀπ' ἐκείνων ἑκάϲτου τῆϲ αἱρέ-
-Z/17a/515/11	ϲεωϲ ὄντεϲ. 
-Z/17a/515/12	  ὅπερ οὖν ἀεὶ λέγω, καὶ νῦν εἰπὼν ἐπ' ἄλλο τι μεταβήϲομαι, τὴν 
-Z/17a/515/13	ὑπὲρ ἑκάϲτου διδαϲκαλίαν ὧν ἐπίϲταϲθαι χρὴ τὸν ἰατρὸν ἰδίᾳ ποιηϲά-
-Z/17a/515/14	μενον, οὕτωϲ ἐπὶ τὰϲ ἐξηγήϲειϲ ἔρχεϲθαι προϲήκειν τῶν <Ἱπποκρα-
-Z/17a/515/15	τείων> βιβλίων, τὰ μὲν ϲυμπεράϲματα ἀποδείξεων καθ' ἕκαϲτον αὐτῶν 
-Z/17a/515/16	ἀναμιμνῄϲκοντα, τῶν δ' ἀποδείξεων αὐτῶν μὴ καταμνημονεύοντα. 
-Z/17a/516/1	τοῦτ' οὖν ἡμεῖϲ μὲν ἐποιήϲαμεν, ἄλλοϲ δ' οὐδεὶϲ τῶν γεγρα|φότων 
-Z/17a/516/2	ἐξηγήϲειϲ <Ἱπποκρατείων> ϲυγγραμμάτων, ἀλλ' ἥμαρτον ἐν τούτοιϲ 
-Z/17a/516/3	ἅπαντεϲ. ἄλλη μὲν γάρ ἐϲτιν ἡ διδάϲκουϲα τὰ πράγματα διδαϲκαλία 
-Z/17a/516/4	κατὰ διέξοδον ἀκριβῶϲ γινομένη, διαφέρει δ' αὐτῆϲ ἡ κατὰ τὰϲ ἐξη-
-Z/17a/516/5	γήϲειϲ τῶν ϲυγγραμμάτων, οὐ ταὐτὸν ἑκατέρα τὸ προκείμενον ἔχουϲα. 
-Z/17a/516/6	τῆϲ μὲν γὰρ κατὰ διέξοδον ϲκοπόϲ ἐϲτιν ἀληθείαϲ εὕρεϲιϲ, ἐν δὲ ταῖϲ 
-Z/17a/516/7	ἐξηγήϲεϲι πρόκειται γνῶναι τὴν δόξαν <τοῦ παλαιοῦ>. προμεμαθηκότα 
-Z/17a/516/8	γοῦν ἀκριβῶϲ ἕκαϲτα μετὰ ταῦτα χρὴ πρὸϲ τὰϲ ἐξηγήϲειϲ ἔρχεϲθαι 
-Z/17a/516/9	τῶν παλαιῶν ϲυγγραμμάτων, τὸν μὲν πρῶτον ἔχοντα 〈ϲκοπὸν〉 εὑρεῖν 
-Z/17a/516/10	τὴν γνώμην <τοῦ παλαιοῦ>, 〈τὸν〉 δεύτερον δ' ἐπ' αὐτῷ, πότερον 
-Z/17a/516/11	ὀρθῶϲ ἢ οὐκ ὀρθῶϲ εἴρηται, καὶ τοῦτό 〈γε〉 ποιεῖν ἀναμιμνῄϲκοντα 
-Z/17a/516/12	τῶν ἀποδεδειγμένων ἐν ταῖϲ πραγματείαιϲ ὑπὲρ ἑκάϲτου τῶν κατὰ 
-Z/17a/516/13	τὴν ἰατρικὴν θεωρημάτων. ὅϲοι δὲ τῶν ἐξηγουμένων ἀπόδειξιν οἷϲ 
-Z/17a/516/14	λέγουϲιν ἐπιφέρειν οὐ δύνανται, περιλαλήϲαντεϲ τοὺϲ ἀκροατὰϲ ἀπο-
-Z/17a/516/15	ϲτεροῦϲι τῆϲ δόξηϲ τοῦ ϲυγγραφέωϲ, ἀξιοῦντεϲ οἷϲ λέγουϲι δι' ἐκεῖνον 
-Z/17a/516/16	πιϲτεύεϲθαι. καὶ διὰ τοῦτο μεταβαίνουϲιν ἀπὸ ῥήϲεων ἐπὶ ῥήϲειϲ 
-Z/17a/517/1	† οὐδ' οὖν οὐδὲ ταύταϲ | οὐδέν τι ϲυντελούϲαϲ τοῖϲ προκειμένοιϲ. ὅτι  
-Z/17a/517/2	δ' ἀδύνατόν ἐϲτι τὰϲ ἀποδείξειϲ τῶν ἐπιϲτημονικῶν λόγων ἐν ταῖϲ 
-Z/17a/517/3	ἐξηγήϲεϲι γράφειν, καὶ ἐξ αὐτῶν τῶν νῦν εἰρημένων ἐϲτὶ δῆλον. οὐ 
-Z/17a/517/4	μόνον γὰρ ἐπὶ <Πυθίωνοϲ>, ἀλλὰ καὶ 〈ἄλλων〉 πολλῶν ἀρρώϲτων 
-Z/17a/517/5	<Ἱπποκράτουϲ> μεμνημένου τῶν εἰρημένων ϲυμπτωμάτων, εἰ μὲν ἐπὶ 
-Z/17a/517/6	πάντων τιϲ ἀναποδείκτωϲ ἀποφαίνοιτο τὰ δόξαντα, διδαϲκαλίαν οὐδε-
-Z/17a/517/7	μίαν ἐπιϲτημονικὴν ἐνθήϲει ταῖϲ ψυχαῖϲ τῶν μαθητῶν, εἰ δὲ ἐπὶ τινῶν 
-Z/17a/517/8	μὲν ἀρρώϲτων ἐρεῖ τὰϲ ἀποδείξειϲ, ἐπὶ τινῶν δὲ ϲιγήϲει, κατὰ μὲν τὸ 
-Z/17a/517/9	πρῶτον τῶν Ἐπιδημιῶν εἰ οὕτωϲ ἔτυχεν αὐτὰϲ εἰπὼν ἁπάϲαϲ, ἐν δὲ 
-Z/17a/517/10	τοῖϲ ἄλλοιϲ ἀναπέμψαϲ εἰϲ ἐκείναϲ, τὸ πρὸϲ ἡμῶν εἰρημένον ἐργάϲεται, 
-Z/17a/517/11	καθ' ἓν μέντοι βιβλίον εἰπὼν τὸν τελειότατον ἅμα ταῖϲ ἀποδείξεϲι 
-Z/17a/517/12	λόγον, ἐν δὲ τοῖϲ ἄλλοιϲ τὰ ϲυμπεράϲματα αὐτῶν γράψαϲ. ἄτοπον 
-Z/17a/517/13	δ' αὐτὸ τοῦτο καθ' ἑκάτερον ἔϲται τρόπον· εἰϲ μὲν γὰρ τὸ πρῶτον 
-Z/17a/517/14	τῶν Ἐπιδημιῶν, ἐὰν τοῦτό τιϲ ἐξηγῆται πρῶτον, ἀναγκαῖον ἔϲται 
-Z/17a/517/15	πεντήκονθ' ἡμῖν ὑπομνήματα γράψαι, δύο δὲ ἢ ἓν εἰϲ ἕκαϲτον τῶν 
-Z/17a/517/16	ἄλλων· ὥϲτε, κἂν τὸ Προγνωϲτικὸν βούληταί τιϲ ἢ Ἀφοριϲμοὺϲ 
-Z/17a/518/1	ἀναγνῶναι, | πρότερον ἀναγκαῖον αὐτῷ γίνεϲθαι τὰϲ πεντήκοντα βί-
-Z/17a/518/2	βλουϲ ἀναγινώϲκειν ἐξηγητικὰϲ τοῦ πρώτου τῶν Ἐπιδημιῶν. οὕτωϲ 
