
[0057]  [068]  []  []

-Z/11/147/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΠΡΟΣ 
-Z/11/159/6	τον γράψαι μοι τὰ τῆς φύσεως ἔργα, δεύτερον δ' ἐξηγή-
-Z/11/159/7	σασθαι, τινα μὲν ὁλοκλήρως καὶ ἀπηρτισμένως τοῖς οἰκείοις 
-Z/11/159/8	λόγοις κινουμένη δρᾷ, τίνα δ' ἐλλιπῶς ὑπὸ τῶν κατὰ τὰς 
-Z/11/159/9	νόσους αἰτιῶν κωλυομένη. ὁδὸς γὰρ αὕτη πρὸς εὕρεσιν 
-Z/11/159/10	ἰαμάτων, ἵνα ἐκμαθὼν τὰ καλῶς ὑπ' αὐτῆς ἀποτελούμενα 
-Z/11/159/11	τούτοις ἐπικουρεῖν δύνωμαι, τὸ λεῖπον προστιθείς· ἢ μηδ' 
-Z/11/159/12	ὅλως κινουμένης, καὶ γὰρ καὶ τοῦτό ποτε πάσχει τῇ ῥώμῃ 
-Z/11/159/13	τῶν νοσωδῶν αἰτιῶν νικηθεῖσα, τὸ πᾶν αὐτὸς ἐκπορίζω-
-Z/11/159/14	μαι· τούτων οὐδὲν ἐπέδειξας. ἴσως γὰρ, ὅπερ φασὶν, ὀλι-
[0057]  [068]  []  []

-Z/11/159/15	γωρεῖς μὲν τοὺς ἀῤῥώστους θεᾶσθαι, μένων δ' οἴκοι τὸ 
-Z/11/159/16	δόξαν ἔγραφες. ἀλλ' εἰ καὶ μὴ αὐτὸς ἐθεάσω, τὰ γοῦν 
-Z/11/159/17	ὑφ' Ἱπποκράτους ἐνῆν ἀναγινώσκοντί σοι μανθάνειν ὅσα 
-Z/11/159/18	μὲν ὁλοκλήρως καὶ ἀνελλιπῶς καὶ ὡς αὐτὸς ἐκεῖνος εἴωθεν  
-Z/11/160/1	λέγειν, ἀρτίως ἡ φύσις κινουμένη κρίνονται· πῶς δ' ἂν 
-Z/11/160/2	αὐτὴν κάλλιστά τις μιμήσαιτο, μηδὲ ἐγχειροῦσαν κρίσει· καὶ 
-Z/11/160/3	πῶς ἐπιχειρούσῃ μὲν, ἀλλ' ἐνδεῶς κινουμένῃ βοηθητέον. εἰ 
-Z/11/160/4	γὰρ ἐν τούτοις ἐγυμνάσω, τοιαῦτα ἂν ἤκουόν σου συμβου-
-Z/11/160/5	λεύοντος, οἷα καὶ Ἱπποκράτους ἀκούω, τὰ κρινόμενα καὶ τὰ 
-Z/11/160/6	κεκριμένα ἀρτίως μὴ κινέειν, μηδὲ νεωτεροποιεῖν μήτε φαρμα-
-Z/11/160/7	κίῃσι μήτε ἄλλοισιν ἐρεθισμοῖσιν, ἀλλ' ἐᾷν. τοῦτο μέν σοι 
-Z/11/160/8	φύσεως ὁλοκλήρως κινουμένης παράγγελμα· τὸ δὲ ἐφεξῆς 
-Z/11/160/9	τούτῳ κινουμένης μὲν ἐπὶ κρίσιν, ἀλλ' ἐνδεῶς· διὰ τοῦτο 
-Z/11/160/10	αὐτῇ συνεργεῖν παρακελευόμενος ἐρεῖ· ἃ δεῖ ἄγειν, ταῦτα ἄγειν 
-Z/11/160/11	ὅπῃ ἂν μάλιστα ῥέπει διὰ τῶν ξυμφερόντων χωρίων. 
-Z/11/160/12	βούλεται μὲν γὰρ ἡ φύσις τηνικαῦτα τὸ λυποῦν ἀπώσασθαι, 
-Z/11/160/13	μὴ δυναμένη δ' ἐπιθεῖναι τῷ ἔργῳ τὸ τέλος ὑπ' ἀῤῥωστίας, 
-Z/11/160/14	ἡμῶν βοηθῶν δεῖται. διὰ τοῦτο καὶ πλευριτικοὺς θεραπεύων 
-Z/11/160/15	κατὰ τὴν ῥοπὴν τῶν χυμῶν κενοῖ. τί γὰρ φησίν; ἀλλ' εἰ μὲν 
-Z/11/160/16	ἡ ὀδύνη ἐς κληῗδα, ἢ ἐν βραχίονι βάρος, ἢ περὶ μαζὸν, ἢ 
-Z/11/160/17	ὑπὲρ τῶν φρενῶν, τέμνειν χρὴ τὴν ἐν ἀγκῶνι φλέβα τὴν ἔσω  
-Z/11/161/1	καὶ μὴ ὀκνεῖν συχνὸν ἀφαιρεῖν, ἔστ' ἂν ἐρυθρότερον πολλῷ 
-Z/11/161/2	ῥυῇ ἢ ἀντὶ καθαροῦ τε καὶ ἐρυθροῦ πελιδνόν. ἀμφότερον 
-Z/11/161/3	γὰρ γίνεται. ἢν δὲ ὑπὸ φρένας ᾖ τὸ ἄλγημα, ἐς δὲ τὴν κληῗδα 
-Z/11/161/4	μὴ σημήνῃ, μαλθάσσειν χρὴ τὴν κοιλίην ἢ μέλανι ἑλλεβόρῳ ἢ 
-Z/11/161/5	πεπλίῳ. πάλιν δ' ἔν τινι τῶν νεφριτικῶν παθημάτων συν-
-Z/11/161/6	δρομῇ προειπὼν καὶ ἐς νεφρὸν ὀδύνη βαρείη, ἀρχὴ μηροῦ 
-Z/11/161/7	κατ' ἰξὺν ἐπιφέρει, ἰγνὺν τέμνειν, τοῦτ' ἐστὶ τὴν ἐν ἰγνύῃ 
-Z/11/161/8	τέμνειν φλέβα. 
-Z/11/161/9	  Ἐκεῖνο δὲ πῶς εἴρηται; ἐκ Στυμαργέω οἰκέ-
-Z/11/161/10	τιδος οὐδὲ αἷμα ἐγένετο, ὡς ἔτεκε θυγατέρα, ἀπέστραπτο τὸ 
-Z/11/161/11	στόμα πρὸς ἰσχίον καὶ σκέλος, ὀδύνη παρὰ σφυρὸν τμηθεῖσα 
-Z/11/161/12	ἐράϊσε, καίτοι τρόμοι τὸ σῶμα περικατεῖχον. ἀλλ' ἐπὶ τὴν 
-Z/11/161/13	πρόφασιν χρὴ ἐλθεῖν καὶ τῆς προφάσιος τὴν τροφήν. Ἱππο-
-Z/11/161/14	κράτης μὲν οὖν σοι τὴν πρόφασιν τοῦ νοσήματος ἐξετάζειν 
-Z/11/161/15	κελεύει καὶ τῆς προφάσεως τὴν γένεσιν. ὅπερ εἴποις οὐκ ἂν 
-Z/11/161/16	οἶμαι γε πλήθους αἵματος ἐνοχλοῦντος ἄλλο τι πρὸς τῆς φλε-
-Z/11/161/17	βοτομίας εἰρήσεσθαι. ἐπὶ γοῦν τῆς προειρημένης γυναικὸς, 
-Z/11/161/18	καίτοι τρομώδους οὔσης, οὐκ ἐμέλησε τέμνειν τὴν φλέβα,  
-Z/11/162/1	μηδενὸς ἂν ἄλλου τολμήσαντος αἵματος ἀφελεῖν ἐν τρόμοις, 
-Z/11/162/2	ὥσπερ οὐδὲ ἐν ὑδέροις οὐδ' ἄλλῳ ψυχρῷ πάθει οὐδενί. δέον 
-Z/11/162/3	γὰρ ἐν τοῖς τοιούτοις ψυγῆναι μὲν ἔτι καὶ μᾶλλον τὸ σῶμα 
-Z/11/162/4	τῇ τοῦ θερμοῦ χυμοῦ κενώσει, καὶ πρότερον ἤδη τῷ πάθει 
-Z/11/162/5	κατεψυγμένον σβεσθῆναι τὸ ἔμφυτον θερμόν. ἀλλ' Ἱππο-
-Z/11/162/6	κράτης σκεψάμενος, ὡς αὐτὸς λέγει, τὴν πρὸ τοῦ πάθους ὅτι 
-Z/11/162/7	τὸ πλῆθος ἦν τοῦ αἵματος. οὐ γὰρ ἐκαθάρθη τὸ γύναιον τὴν 
-Z/11/162/8	λοχείαν καλουμένην κάθαρσιν. ἡ τροφὴ τῆς προφάσεως, τοῦτ' 
-Z/11/162/9	ἔστι ἡ γένεσις καὶ ἡ πρώτη αἰτία τοῦ μὴ καθαρθῆναι καλῶς 
-Z/11/162/10	ἡ διαστροφὴ τῆς μήτρας· ἀπέστραπτο γὰρ πρὸς τὸ ἰσχίον. 
-Z/11/162/11	ἐνδειξαμένης οὖν αὐτῷ τῆς μὲν ἐπισχέσεως τὴν κένωσιν, τῆς 
-Z/11/162/12	δὲ ἐπὶ μήτραν ῥοπῆς τὸν τόπον δι' οὗ χρὴ κενῶσαι, τὴν 
-Z/11/162/13	παρὰ σφυρὸν ἔταμε φλέβα. τοιοῦτος ἐν ἅπασιν ὁ Ἱπποκράτης. 
-Z/11/162/14	ἀλλ' ἵνα μὴ λυπῶ τοὺς Ἐρασιστρατείους ἐπιπλέον αὐτὸν 
-Z/11/162/15	ἐπαινῶν, καὶ γάρ μοι δοκοῦσιν αὐτοί τε οὗτοι καὶ πρὸ αὐτῶν 
-Z/11/162/16	ὁ Ἐρασίστρατος ἐριστικῶς ἔχειν πρὸς τὸν ἄνδρα, καταλεί-
-Z/11/162/17	ψωμεν ἤδη τὰ Ἱπποκράτους. ἐν ἑτέρῳ γάρ μοι καιρῷ πᾶσαν 
-Z/11/162/18	αὐτοῦ τὴν περὶ τὰς κενώσεις τέχνην ἔξεστι δηλῶσαι. μεταβή- 
-Z/11/163/1	σωμεν δὲ ἐπὶ τοὺς ἄλλους ἄνδρας ἑκατέρας αἱρέσεως, ἐμπειρι-
-Z/11/163/2	κῆς τε καὶ λογικῆς. οὐδὲ γὰρ τούτων οὐδένα εὑρίσκω τῆς 
-Z/11/163/3	φλεβοτομίας ἀποστάντα. δογματικὸν μὲν γὰρ οἶδα καὶ Διο-
-Z/11/163/4	κλέα καὶ Πλειστόνικον καὶ Διευχῆ καὶ Μνησίθεον, Πραξαγόραν 
-Z/11/163/5	τε καὶ Φιλότιμον καὶ Ἡρόφιλον καὶ Ἀσκληπιάδην φλεβοτο-
-Z/11/163/6	μοῦντας. καίτοι φιλόνεικος οὕτως ἦν Ἀσκληπιάδης ὥστε 
-Z/11/163/7	ὀλίγου δεῖν ἅπαντα κινῆσαι τὰ πρόσθεν δόγματα καὶ μήτ' 
-Z/11/163/8	ἄλλου τινὸς τῶν πρὸ αὐτοῦ φείσασθαι μήθ' Ἱπποκράτους, ὥστε 
-Z/11/163/9	καὶ θανάτου μελέτην τὴν τῶν παλαιῶν ἰατρικὴν οὐκ 
-Z/11/163/10	ὤκνησεν εἰπεῖν. ἀλλ' οὐδ' οὗτος ἐπὶ τοσοῦτον ἀναίσχυντος ὥστε 
-Z/11/163/11	τολμῆσαι παντάπασιν ἐξελάσαι φλεβοτομίαν τῶν ἰατρικῶν βοη-
-Z/11/163/12	θημάτων· ἀλλ' οὐδέ τις οὔτε τῶν νεωτέρων οὔτε τῶν παλαιῶν, 
-Z/11/163/13	οὐ Μαντίας, οὐκ Ἀθήναιος, οὐκ Ἀγαθῖνος, οὐκ Ἀρχι-
-Z/11/163/14	γένης, οὐχ ὁ τῶν ἐμπειρικῶν χορός. καὶ τούτων μὲν οὐδὲν 
-Z/11/163/15	τῷ λόγῳ προσεχόντων ἑπομένων καὶ ἀεὶ τῇ πείρᾳ καταγνοὺς, 
-Z/11/163/16	ἀλλ' οὐκ ἂν ἔχοις εἰπεῖν οὐδένα. τί ποτ' οὖν οἱ διαφωνοῦντες 
-Z/11/163/17	ἐν ἅπασι σχεδὸν τοῖς ἄλλοις ἐν τούτῳ συμπεφωνήκασιν; ἐμοὶ 
-Z/11/163/18	μὲν γὰρ οὐδὲν εἶναι δοκεῖ πιστότερον ἀνυπόπτου συμφωνίας.  
-Z/11/164/1	παραλείπωμεν δ', εἰ βούλει, τούτους, ἵνα μηδὲ τῷ πλήθει τῶν 
-Z/11/164/2	μαρτύρων δυσωπητὰ τὰ τῆς φύσεως, ἣν ἐπαινεῖς ἔργα ποιή-
-Z/11/164/3	σωμεν. οὐχ αὕτη γυναῖκας μὲν ἁπάσας ἐφ' ἑκάστῳ μηνὶ 
-Z/11/164/4	κενοῖ τὸ περιττὸν ἀποχέουσα τοῦ αἵματος; ἔδει γὰρ, οἶμαι, 
-Z/11/164/5	οἴκοι τὸ θῆλυ γένος οὔτ' ἐν ἰσχυροῖς πόνοις διαιτώμενον 
-Z/11/164/6	οὔθ' ὁμιλοῦν ἡλίῳ καθαρῷ, καὶ δι' ἄμφω ταῦτα πλῆθος ὑπο-
-Z/11/164/7	τρέφον ἴαμα φυσικὸν ἔχειν τοῦ πλήθους τὴν κένωσιν. ἓν μὲν 
-Z/11/164/8	τούτοις ἦν τῆς φύσεως ἔργον· ἕτερον δὲ ἡ μετὰ τόκον κάθαρ-
-Z/11/164/9	σις, καίτοι καὶ ἡ κύησις αὐτὴ κένωσις ἦν. ἐκ τοῦ τῆς μήτρας 
-Z/11/164/10	αἵματος τὸ κυούμενον τρέφεται. καὶ ἡ μετὰ τὴν κύησιν δὲ 
-Z/11/164/11	τοῦ γάλακτος ἐν μαστοῖς γένεσις οὐ σμικρὰ κένωσις οὐδ' 
-Z/11/164/12	αὐτὴ τῷ πλήθει. μία γὰρ ἀμφοτέρων ἡ οὐσία καταμηνίου τε 
-Z/11/164/13	καὶ γάλακτος καὶ κοιναὶ, καθάπερ ἄν τις εἴποι, πηγαὶ τῶν 
-Z/11/164/14	ὀχετῶν ἑκατέρων αἱ φλέβες εἰσί. διὰ τοῦθ' ὅσαις δι' ἡλικίαν 
-Z/11/164/15	ἤδη τὸ καταμήνιον μηκέτ' ἔρχεται, ταύταις οὐδ' ἐν μαστοῖς 
-Z/11/164/16	ἀθροίζεται γάλα. καὶ ὅσαι καθαίρεσθαι μὲν ὥρας ἔχουσι, 
-Z/11/164/17	ἀλλὰ θηλάζουσιν, οὐ καθαίρονται. καὶ ἢν θηλαζούσῃ γυναικὶ 
-Z/11/164/18	δι' ὑστερῶν ὁρμήσῃ τὸ αἷμα, σβέννυται τὸ γάλα. καὶ τῶν  
-Z/11/165/1	ζώων ὅσα μὴ κυΐσκεται, τούτοις οὐδὲ γάλα ἐστὶν, καὶ 
-Z/11/165/2	ὅσοις γάλα ἐστὶ, ταῦτα κυΐσκεσθαι φύσιν ἔχει. εἰ δὲ καὶ μάθοις 
-Z/11/165/3	ἡλίκων ἐκ ταύτης τῆς κενώσεως ἀπολαύει τὸ θῆλυ γένος ἀγα-
-Z/11/165/4	θῶν καὶ ὅσα βλάπτεται μὴ κενούμενον, οὐκ οἶδα πῶς ὑπο-
-Z/11/165/5	μενεῖς ἔτι μὴ παντὶ τρόπῳ σπεύδων κενῶσαι πλεονάζον αἷμα. 
-Z/11/165/6	γυνὴ οὐ ποδαγριᾷ, εἰ μὴ τὰ καταμηνία αὐτῆς ἐκλείπῃ, φησὶν 
-Z/11/165/7	Ἱπποκράτης. καίτοι τί δέομαι τῶν Ἱπποκράτους φωνῶν 
-Z/11/165/8	πρὸς ἄνθρωπον ἐχθρὸν Ἱπποκράτει; νομίζω τοίνυν αὐτὴν 
-Z/11/165/9	λέγειν σοι τὴν ἀλήθειαν δι' ἐμοῦ κήρυκος, οὔτε ποδάγραις 
-Z/11/165/10	οὔτε ἀρθρίτισιν οὔτε πλευρίτισιν οὔτε περιπνευμονίαις 
-Z/11/165/11	ἁλίσκεται γυνὴ καλῶς καθαιρομένη. ἀλλ' οὐδὲ ἐπίληπτος οὐδὲ 
-Z/11/165/12	ἀπόπληκτος οὐδὲ ἄπνους οὐδὲ ἄφωνος οὐδενὶ ἐν καιρῷ 
-Z/11/165/13	ποτε γίνεται καθαιρομένη καλῶς. ἑάλω δέ ποτε φρενίτισιν 
-Z/11/165/14	ἢ ληθάργοις ἢ σπασμοῖς ἢ τρόμοις ἢ τετάνοις ἐπιμηνίων 
-Z/11/165/15	ἰόντων. εἶδες δέ ποτε μελαγχολῶσαν ἢ μαινομένην ἢ πτύου-
-Z/11/165/16	σαν ἐκ θώρακος ἢ ἐμοῦσαν ἐκ γαστρὸς αἷμα, ἢ κεφαλαίᾳ 
-Z/11/165/17	κάμνουσαν, ἢ συνάγχῃ πνιγομένην, ἤ τι τῶν μεγάλων καὶ ἰσχυ- 
-Z/11/166/1	ρῶν παθημάτων ὑπομένουσαν, εἰ καλῶς ἐκκρίνεται τὰ κατα-
-Z/11/166/2	μηνία· ἰσχομένων δ' αὖ πάλιν ἕτοιμον ἐν παντὶ κακῷ γενέ-
-Z/11/166/3	σθαι. καὶ αἱ κενώσεις ἰάματα. καταλιπὼν δὲ ἤδη τὰς γυναῖ-
-Z/11/166/4	κας ἐπὶ τοὺς ἄνδρας ἐλθὲ, καὶ μάθε, πόσοι μὲν αἱμοῤῥοΐδι 
-Z/11/166/5	τὸ περιττὸν εἰθισμένοι κενοῦσθαι, πάντες ἀπαθεῖς νοσημά-
-Z/11/166/6	των διατελοῦσι, πόσοι δ' ἐπισχεθείσης τῆς κενώσεως ἐν χαλε-
-Z/11/166/7	πωτάτοις ἐγένοντο. πότερον οὐδὲ τούτων ἀποκενώσεις τοῦ 
-Z/11/166/8	αἵματος, οὐδ' ἂν συναγχικοὶ γενόμενοι τύχωσιν, οὐδ' ἂν 
[0057]  [068]  []  []

-Z/11/166/9	περιπνευμονικοί. ἀλλ' ὑπὸ τοῦ μὴ ἀναθέσθαι τὰ κακῶς ἐγνω-
-Z/11/166/10	σμένα περιόψει τοσούτους ἀπολλυμένους; σὺ μὲν ἴσως 
-Z/11/166/11	τοῦτο δράσεις, ἐγὼ δ' οὐ ταῦτα μόνον, ἀλλὰ καὶ σπασμὸν 
-Z/11/166/12	καὶ ὕδερον αἵματος κενώσει πολλάκις ἰασάμην. οὕτως γὰρ 
-Z/11/166/13	ἥτε μακρὰ πεῖρα διδάσκει με, ὅ τε λόγος οὕτως ἐπὶ τὴν πρό-
-Z/11/166/14	φασιν κελεύει ἔρχεσθαι καὶ τῆς προφάσεως τὴν ῥοπήν. ὅτι δὲ 
-Z/11/166/15	καὶ ἡ πεῖρα, τὰ τῶν ἐμπειρικῶν ἀναγνοὺς εἴσῃ γράμματα. 
-Z/11/166/16	  Μὴ τοίνυν ἔτι φιλονεικεῖν Ἱπποκράτει μόνῳ 
-Z/11/166/17	δόκει κενοῦν αἷμα παραινοῦντι, κᾂν εἰς τρόμον, κᾂν εἰς ὕδε- 
-Z/11/167/1	ρον, κᾂν εἰς ἄλλο τι ψυχρὸν πάθος ἢ ἀνὴρ δι' ἐπίσχεσιν 
-Z/11/167/2	αἱμοῤῥοΐδος ἢ γυνὴ δι' ἐμμηνίων ἐμπέσοι, ἀλλὰ καὶ τοῖς ἀπὸ 
-Z/11/167/3	τῆς ἐμπειρίας ἅπασιν ἰατροῖς καὶ τῷ βίῳ τῶν ἀνθρώπων· 
-Z/11/167/4	ἀνατρέπειν γοῦν μοι δοκεῖς τὸν κοινὸν ἁπάντων λογισμόν. 
-Z/11/167/5	οὐκ ἂν φαίης κατὰ φύσιν εἶναι παντὶ τῷ λογίσασθαι κε-
-Z/11/167/6	νοῦν αἵματος διὰ πλῆθος. τίς οὐκ οἶδεν ὅτι τἀναντία 
-Z/11/167/7	τῶν ἐναντίων ἰάματα; μὴ γὰρ Ἱπποκράτους ἡ γνώμη μόνου, 
-Z/11/167/8	κοινὴ πάντων ἀνθρώπων ἐστίν. ἀλλά μοι δοκεῖς ὑπὸ τῆς 
-Z/11/167/9	πρὸς Ἱπποκράτη φιλονεικίας καὶ τῶν ἄλλων ἀνοητότερος 
-Z/11/167/10	εἶναι. ταῦτα γοῦν ὁσημέραι τῆς φύσεως ποδηγούσης αὐτὰ καὶ 
-Z/11/167/11	τὴν ἔνδειαν προσφοραῖς ἰᾶται καὶ τὰς πλησμονὰς κενώσεσι 
-Z/11/167/12	καὶ τὸ κρύος θάλψεσι καὶ τὰς θάλψεις ἐμψύξεσι. τί γάρ ἐστι 
-Z/11/167/13	τροφὴν προσενέγκασθαι ἄλλο γε ἢ τὸ πλῆθος ἐκπορίσασθαι; 
-Z/11/167/14	τί δ' ἀποκρῖναι κόπρον ἢ ἔντερον πεπληρωμένον ἐκκενῶσαι; 
-Z/11/167/15	τί δ' οὐρῆσαι ἢ κύστεως πλησμονὴν ἰάσασθαι; ταῦτα μὲν 
-Z/11/167/16	ζῶα καὶ κρύει πονούμενα φωλεοὺς ἑαυτοῖς καί τινας ἀλεεινὰς 
-Z/11/167/17	εἰς τὴν γῆν καταδύσεις ἐκπορίζεται· καὶ τῷ θάλπει κάμνοντα  
-Z/11/168/1	θέρους ὥρᾳ νήχεται μὲν ἐν ὕδατι ψυχρῷ, διατρίβει δ' ἐν 
-Z/11/168/2	τόποις συσκίοις τε καὶ προσηνέμοις. ἔγωγε κύνα πολλάκις 
-Z/11/168/3	εἶδον ἔμετον ἐπιτηδεύοντα καὶ τὴν Αἰγυπτίαν ὄρνιθα κλυ-
-Z/11/168/4	στῆρα μιμησαμένην, ἀνθρώποις δὲ αὐτά τε ταῦτα, ὡς ἂν 
-Z/11/168/5	λόγῳ χρωμένοις, εὐμηχανώτερα ἅπαντα. κάλεσον οὖν ἰδιώτην 
-Z/11/168/6	ἰατρικῆς ἐπὶ ἄῤῥωστον εὐέκτην, νέον, πολύαιμον ὑπὸ συνάγ-
-Z/11/168/7	χης ἢ περιπνευμονίας πνιγόμενον, εἶτ' ἐροῦ τὸν ἄνθρωπον 
-Z/11/168/8	εἴ τι πρὸς τὸ πάθος ἐπινοεῖ, τίς οὕτως ἀνόητος ὡς μὴ κένω-
-Z/11/168/9	σιν αἵματος εἰπεῖν; ἀλλ' Ἐρασίστρατος ὑπὸ τῆς πρὸς Ἱππο-
-Z/11/168/10	κράτη φιλονεικίας οὐδὲ τὰς κοινὰς ἁπάντων ἀνθρώπων 
-Z/11/168/11	ἐννοίας φαίνεται διασώζων, ἀλλ' ἔτι καὶ τῶν γεράνων ἀνοη-
-Z/11/168/12	τότερος εὑρίσκεται. μακρῷ τοιγαροῦν καὶ ταύτας, ὡς ἀετοὺς 
-Z/11/168/13	μέχρι περάτων γῆς πετομένους ἐστὶν ἰδεῖν, ὑποφευγούσας ἐν 
-Z/11/168/14	μέρει κρύος τε καὶ θάλπος, ἰωμένας τε διὰ παντὸς τοῖς ἐναν-
-Z/11/168/15	τίοις τὰ ἐναντία. τοῦτο μὲν οὖν, ὅπερ ἔφην, οὔπω τῆς Ἱππο-
-Z/11/168/16	κράτους ἄξιον τέχνης, ὡς χρὴ κενοῦν αἵματος οἷς διὰ πλῆθος 
-Z/11/168/17	αἵματος ὁ κίνδυνος. ὅτῳ δὲ χρὴ τρόπῳ τὴν κένωσιν ποιεῖσθαι  
-Z/11/169/1	καὶ ἐν ὅτῳ καιρῷ καὶ μέχρι τοσοῦτον, μᾶλλον ἐβουλόμην ἄν 
-Z/11/169/2	μοι διαλέγεσθαι. τὸ γὰρ ἐπίστασθαι πηνίκα μὲν χρὴ τέμνειν 
-Z/11/169/3	τὴν ἐν τῷ μετώπῳ φλέβα, πηνίκα δὲ τὰς παρὰ τοὺς καν-
-Z/11/169/4	θοὺς τῶν ὀφθαλμῶν ἢ τὰς ὑπὸ τῇ γλώττῃ ἢ τὴν ὠμιαίαν 
-Z/11/169/5	ὀνομαζομένην, ἢ τὴν διὰ μασχάλων, ἢ τὰς κατ' ἰγνύας ἢ 
-Z/11/169/6	παρὰ σφυρὸν, ὑπὲρ ὧν ἁπασῶν ἐδίδαξεν Ἱπποκράτης, τοῦτον 
-Z/11/169/7	ἐγὼ νομίζω τὸν λογισμὸν ἰατρῶν εἶναι. τὸ δ' ὅτι χρὴ τὰ 
-Z/11/169/8	ἐναντία τοῖς ἐναντίοις ἰᾶσθαι καὶ ὡς τῷ πλήθει ἡ κένωσις 
-Z/11/169/9	ἐναντίον, τοσούτῳ δέω θαυμάζειν ὥστε καὶ τοῖς ἀλόγοις 
-Z/11/169/10	ζώοις μετεῖναι φημὶ τῆς ἐννοίας. εἰ δὲ βούλει μικρὸν ἀνοίξας 
-Z/11/169/11	τὰ ὦτα, μᾶλλον δὲ τὴν ψυχὴν, ἀληθῆ λόγον καταδέξασθαι 
-Z/11/169/12	τῆς πρὸς Ἱπποκράτη δυσμενείας ἐπιλαθόμενος, εἴποιμ' ἄν 
-Z/11/169/13	σοί τι τῆς ἐκείνου τέχνης ἄξιον. ἄχρι μὲν γὰρ τοῦδε καὶ Διο-
-Z/11/169/14	κλῆς ἠπίστατο καὶ Πλειστόνικος, Ἡρόφιλός τε καὶ Πραξαγό-
-Z/11/169/15	ρας καὶ Φιλότιμος ἄλλοι τε πολλοὶ τῶν ἰατρῶν· οὐκ αὐτοὶ 
-Z/11/169/16	μὲν ἐξεῦρον, ἑπόμενοι δὲ Ἱπποκράτει, πηνίκα χρὴ τέμνειν 
-Z/11/169/17	ἑκάστην ὧν εἶπον φλέβα. ὅτι δ' ἀπὸ χολῆς μελαίνης εἰς  
-Z/11/170/1	ὅμοιον αἱμοῤῥοΐδι, τοῦτο οὐκ ἔτι πάντες γιγνώσκουσι, καίτοι 
-Z/11/170/2	σαφῶς Ἱπποκράτους διδάξαντος, ἀλλ' ὅσοι γνησίως ὡμίλησαν 
-Z/11/170/3	αὐτοῦ τοῖς γράμμασιν, οὗτοι μόνοι πῶς μὲν αἱμοῤῥοῒς γίγνεται 
-Z/11/170/4	μεμαθήκασι παρ' αὐτοῦ, πῶς δὲ καὶ δυσεντερία, πῶς δὲ καὶ 
-Z/11/170/5	κιρσὸς, ὅτι τε οὐ διὰ παντὸς ἕκαστον τούτων συνιστάμενον 
-Z/11/170/6	κωλυτέον, ἀλλ' ὅτι ὅτε συνεργητέον, ἢ τῆς φύσεως ἡσυχαζού-
-Z/11/170/7	σης, αὐτῇ τὸ πᾶν διατρεπτέον, ὅτε οὕτω συμφέρει τοσοῦτον 
-Z/11/170/8	ἀποδέουσιν οἱ ταῦτα μαθόντες τὴν δυσεντερίαν καὶ κιρσὸν καὶ 
-Z/11/170/9	αἱμοῤῥοΐδα πρὸ τοῦ καιροῦ σπεύδειν ἰᾶσθαι, ὥστε αὐτοὶ 
-Z/11/170/10	μηχανῶνται μηδ' ὅλως ὄντα ποιῆσαι. καὶ ἔγωγε πολλοὺς οἶδα 
-Z/11/170/11	καὶ μελαγχολήσαντας καὶ ἄλλως ἐκμανέντας ἐπὶ τοιαύταις 
-Z/11/170/12	κενώσεσιν ἰατρῶν ἀμαθείᾳ κωλυθείσαις. οἱ δέ τινες αὐτῶν 
-Z/11/170/13	πλευρίτισι καὶ νεφρίτισιν ἑάλωσαν, ἄλλοι δὲ αἵματος ἤμεσαν 
-Z/11/170/14	ἐκ γαστρὸς, ἢ ἐκ θώρακος ἀνέβηξαν, ἢ παραπληγίαις ἢ ὑδέροις 
-Z/11/170/15	ἀπώλοντο. ταῦτ' ἐγὼ χρῆναι γινώσκειν φημὶ τὸν ἰατρόν. 
-Z/11/170/16	αὕτη μεγάλη περὶ τὰς κενώσεις τέχνη. 
-Z/11/170/17	  Τὸ δ' ὅσον χρὴ κενοῦν αἵματος πλεονά-
-Z/11/170/18	ζοντος οὐδὲν μέγα. τί δήποτ' οὖν παρεῖδεν ὁ Ἐρασίστρατος  
-Z/11/171/1	αὐτὸ καθάπερ τι τῶν μεγάλων; ἢ τί ληροῦσιν οἱ πρὸς ἅπαν 
-Z/11/171/2	ἐρίζειν ἑτοιμότατοι τῆς κενώσεως ἄγνωστον εἶναι φάσκοντες, 
-Z/11/171/3	ὥσπερ καὶ τῶν ἄλλων βοηθημάτων ταυτὸν κατηγοροῦντες; 
-Z/11/171/4	ἢ τίνος ὦ πρὸς θεῶν ἀκριβῶς οἴονται τὸ μέτρον λαβεῖν, ὡς 
-Z/11/171/5	μήθ' ὑπερβάλλειν τὸ ποσὸν μήτ' ἐλλείπειν; ἆρά γε κλυστῆρος, 
-Z/11/171/6	ἢ τῶν καθαιρόντων τινὸς φαρμάκων, ἢ τῶν οὔρησιν κινούντων, 
-Z/11/171/7	ἢ τροφῆς ἢ πόματος οὐδενὸς τῶν πάντων; ὥρα τοίνυν αὐτοῖς 
-Z/11/171/8	εἰς ἅπαντα τὴν ὑποψίαν ἐκτείνουσιν ἡσυχάζειν περὶ πᾶν. 
-Z/11/171/9	τί ποτ' οὖν αὐτὸς ὁ Ἐρασίστρατος καθαίρουσι χρῆται φαρμά-
