
[0057]  [101]  []  []

-Z/18b/629/t1	{ΤΟ ΙΠΠΟΚΡΑΤΟΥΣ ΚΑΤ' ΙΗΤΡΕΙΟΝ 
-Z/18b/679/15	αὐτὸς δ' ἄκουέ μου τοὺς ὄντως ὀφθαλμοὺς λέγοντος, οὐ τὰ 
-Z/18b/679/16	βλέφαρα· κατὰ αὐτὰ γὰρ ἐνεργεῖν ἐγχωρεῖ καὶ πρὸς τὴν 
-Z/18b/679/17	αὐγὴν ἐστραμμένου τοῦ ἀνθρώπου, καθάπερ ἐπὶ τῆς τῶν 
-Z/18b/679/18	ὑδατίδων ἄρσεως ἢ διαβροχισμοῦ τριχῶν ἢ ἀναῤῥαφῆς ἢ  
-Z/18b/680/1	ὅλως ἐφ' ὧν ὁ ἰατρὸς οὐ δεῖται τῶν βλεφάρων ἀνεῳγμένων. 
-Z/18b/680/2	ἐὰν μὲν οὖν ὁ ὀφθαλμιῶν τύχῃ σφοδρῶς ἡλκωμένος ὁ θερα-
-Z/18b/680/3	πευόμενος, τὸ καλούμενον ἔχων σταφύλωμα τελέως ἀπεστρά-
-Z/18b/680/4	φθαι προσήκει τὴν αὐγὴν αὐτὸν ἐν παντὶ χρόνῳ, πλὴν ἐν 
-Z/18b/680/5	ᾧ φάρμακον ἐπιτίθησι τοῖς ὀφθαλμοῖς ὁ ἰατρός. ἐν ἐκεί-
-Z/18b/680/6	νοις γὰρ αὐτὸς ἄνευ αὐγῆς οὐκ ὄψεται τὸ πεπονθὸς, ὥσπερ 
-Z/18b/680/7	οὐδὲ εἰ πτερύγιον ἐκτέμνειν ἐθελήσειεν ἢ ὑπόχυμα κατά-
-Z/18b/680/8	γειν ἤ τι τοιοῦτον χειρουργεῖν. ἀλλὰ λοξὸν ὡς πρὸς τὴν 
-Z/18b/680/9	αὐγὴν προσήκει τηνικαῦτα σχηματίζειν τὸν χειρουργούμενον, 
-Z/18b/680/10	ὅπως μὴ ὑπὸ τῆς αὐγῆς ἡ κόρη πλήττοιτο, μήθ' ὁ ἰατρὸς 
-Z/18b/680/11	ἀποστεροῖτο τῆς τέχνης ἤγουν τῆς θέας ὧν θεραπεύει 
-Z/18b/680/12	μορίων. ὀνομασθήσεται δὲ σαφῶς ὁ μὲν ἀπεστραμμένος 
-Z/18b/680/13	τὴν αὐγὴν οὔτε πρὸς αὐγὴν οὔθ' ὑπ' αὐγὴν, ἀλλ' ἀπὸ 
-Z/18b/680/14	τῆς αὐγῆς μᾶλλον ἢ λοξὸς πρὸς αὐγήν. Ἱπποκράτει δ' 
-Z/18b/680/15	ἔδοξε βελτίων ἑρμηνεία τῆς ὑπ' αὐγὴν ἢ ὑπ' αὐγῆς εἶναι 
-Z/18b/680/16	φωνῆς. 
-Z/18b/680/17	          — — —  
-Z/18b/681/1	            ιʹ. 
-Z/18b/681/2	Ὑπ' αὐγὴν μὲν οὖν ὀλίγη τε ἡ χρῆσις καὶ καταφανής 
-Z/18b/681/3	  τε ἡ μετριότης. 
-Z/18b/681/4	          — — — 
-Z/18b/681/5	    Ἐδείχθη πρόσθεν. οὐδὲν γὰρ τῶν ἄλλων μορίων πλὴν 
-Z/18b/681/6	ὀφθαλμῶν δεῖται τῆς τοιαύτης χειρουργίας. ἐπεὶ δὲ, ὡς 
-Z/18b/681/7	ἔφην, ἀπεστράφθαι τελέως τὴν αὐγὴν ἀδύνατόν ἐστιν ἐν 
-Z/18b/681/8	ταῖς χειρουργίαις, ἐν τῷ μεταξὺ βούλεται τοῦ τ' ἀπεστρά-
-Z/18b/681/9	φθαι καὶ τοῦ πρὸς αὐγὴν ἐστράφθαι σχηματίζειν τὸν ἄν-
-Z/18b/681/10	θρωπον. οὐ μὴν ἴσον ἐπὶ πάντων τῶν παθῶν ἀπεστράφθαι 
-Z/18b/681/11	προσήκει τὸν ἰατρὸν τῆς αὐγῆς, ἐφ' ὅσον αὐτὸ τὸ πάθος ἀναγ-
-Z/18b/681/12	κάζει. οἱ μὲν γὰρ ἡλκωμένοι καὶ ὑπόπυοι καὶ σταφυλώματα 
-Z/18b/681/13	ἔχοντες ἢ καὶ φλεγμονὴν μεγάλην ἢ ῥεῦμα δριμὺ καὶ πρὸς 
-Z/18b/681/14	τῆς ὀλίγης αὐγῆς πλήττονται σφοδρῶς, ὡς ὀδυνᾶσθαί τε 
-Z/18b/681/15	καὶ ῥευματίζεσθαι παραχρῆμα. τούτων δ' ἧττον ὑπὸ τῆς 
-Z/18b/681/16	αὐγῆς ἐνοχλεῖται παρακεντούμενός τις ἢ πτερύγιον ἢ ἐγκαν-
-Z/18b/681/17	θίδα χειριζόμενος. ἡ τοίνυν τῆς ἀποστροφῆς μετριότης, 
[0057]  [101]  []  []

-Z/18b/681/18	ἣν ἀπὸ τῆς αὐγῆς ἀπεστράφθαι προσήκει τὸν χειριζόμενον,  
-Z/18b/682/1	εὑρεθήσεταί σοι δύο τούτοις προσέχοντι σκοποῖς, τῷ τε σα-
-Z/18b/682/2	φῶς ὁρᾷν τὸν ἰατρὸν, ὃ πράττει παρὰ τὸν ὀφθαλμὸν ἐν 
-Z/18b/682/3	τῇ χειρουργίᾳ, τῷ τε μὴ σφοδρῶς ἀνιᾶσθαι τὸν χειριζόμε-
-Z/18b/682/4	νον, ἐπεὶ ἑκάτερος σκοπὸς ἐναντίον ὑπαγορεύει σχῆμα κατὰ 
-Z/18b/682/5	τὸν ἐπικρατοῦντα ποιῶν τὴν αἵρεσιν. εἰ δέ σοι δόξειε μηδ' 
-Z/18b/682/6	ἕτερος ἐπικρατεῖν, τὸ μέσον αἱροῦ σχῆμα τῶν τε ἀκριβῶς 
-Z/18b/682/7	ἐστραμμένων πρὸς τὴν αὐγὴν καὶ τῶν ὑπεστραμμένων αὐτήν. 
-Z/18b/682/8	ἐγώ σοι τὴν ὁδὸν ἀφηγησάμην, ᾗ χρώμενος εὑρήσεις τὸ μέ-
-Z/18b/682/9	τριον τῆς ἐπιστροφῆς, Ἱπποκράτης δὲ εἶπεν, ἡγούμενος 
-Z/18b/682/10	ἅπασαν καταφανῆ τὴν μετριότητα γενέσθαι ῥᾳδίως, εἰ βου-
-Z/18b/682/11	ληθεῖεν εὑρεῖν. οὐ γὰρ ἀπαιδεύτους ἀνθρώπους, ὡς ἡμεῖς 
-Z/18b/682/12	νῦν, ἀλλ' ἱκανῶς γεγυμνασμένους ἐν τοῖς μαθήμασιν ἐδίδα-
-Z/18b/682/13	ξεν, ὡς τὰ τοιαῦτα καὶ αὐτοὺς ἐπινοεῖν ἑτοίμως ἐξ ἀκολου-
-Z/18b/682/14	θίας τοῖς τῶν προδεδειγμένων. 
-Z/18b/682/15	          — — —  
-Z/18b/683/1	            ιαʹ. 
-Z/18b/683/2	Τὰ δὲ πρὸς αὐγὴν ἐκ τῶν παρεουσέων, ἐκ τῶν ξυμφερου-
-Z/18b/683/3	  σέων αὐγέων πρὸς τὴν λαμπρότητα τρέπειν τὸν χει-
-Z/18b/683/4	  ριζόμενον. 
-Z/18b/683/5	          — — — 
-Z/18b/683/6	    Ὅσον μὲν ἐπὶ τὸ δεῖν ἐναργέστατα βλέπειν τὸν ἰατρὸν, 
-Z/18b/683/7	ὅσα πράττει κατὰ τὴν χειρουργίαν, ἐν τῷ τοῦ κάμνοντος 
-Z/18b/683/8	σώματι, τὴν λαμπροτάτην αὐγὴν αἱρεῖσθαι χρὴ, κατὰ 
-Z/18b/683/9	πάντα τὰ μόρια, πλὴν ὀφθαλμῶν. ἡ λαμπροτάτη δέ ἐστι 
-Z/18b/683/10	τῶν αὐγῶν ἐν ὑπαίθρῳ χωρίῳ τοῦ ἡλίου καταλάμποντος 
-Z/18b/683/11	αὐτὸν, μηδενὸς ἐπισκοτοῦντος. ἀλλ' ἐνίοτε μὲν οὐδέν ἐστι 
-Z/18b/683/12	τοιοῦτον ἐν τῇ τοῦ χειριζομένου καταγωγῇ. πολλάκις δέ ἐστι 
-Z/18b/683/13	μὲν, ἀλλ' οὐ συμφέρει εἰσάγειν εἰς αὐτὸ χειμῶνος μὲν διὰ 
-Z/18b/683/14	κρύος, ἐν θέρει δὲ διὰ θάλπος· ἑκατέρου γὰρ αὐτῶν ἐστιν 
-Z/18b/683/15	ἰδία βλάβη, καὶ πρὸς τούτοις ἔτι φυλάττεσθαι χρὴ τοὺς 
-Z/18b/683/16	ἀνέμους, ὥστε διὰ τούτους οὐ μόνον αὐτὸν καλὸν ἀέρα φεύ-
-Z/18b/683/17	γομεν πολλάκις, ἀλλὰ καὶ τὸν πλησίον θύρας καὶ θυρίδος 
-Z/18b/683/18	ἄνεμον εἰσπνέοντα σφοδρῶς ἄγειν τὸν ἐνεργούμενον. ἐπ'  
-Z/18b/684/1	ἐκείνων δὲ μάλιστα φεύγομεν ἄνεμον, ἐφ' ὧν εὐλαβούμεθα 
-Z/18b/684/2	παθεῖν τι τὸ νευρῶδες γένος, ὥσπερ γε πάλιν ἥλιον ἐπὶ 
-Z/18b/684/3	τῶν σηπομένων, ὡς πρὸς αἱμοῤῥαγίαν ἐπιτηδείως ἐχόντων. 
-Z/18b/684/4	καλῶς οὖν προσέθηκε τῶν παρεουσέων, τῶν συμφερουσέων, 
-Z/18b/684/5	οὐ γὰρ ἁπλῶς ἐκ τῶν παρουσῶν αὐτῶν αἱρεῖσθαι χρὴ τὴν 
-Z/18b/684/6	λαμπρότητα, ἀλλὰ καὶ προσεπιβλέπειν, εἰ καὶ τῶν συμφε-
-Z/18b/684/7	ρουσῶν αὐγῶν ἐστιν ἡ λαμπροτάτη. 
-Z/18b/684/8	          — — — 
-Z/18b/684/9	            ιβʹ. 
-Z/18b/684/10	Πλὴν ὁκόσα ἢ λαθεῖν δεῖ ἢ ὁρῇν αἰσχρόν. 
-Z/18b/684/11	          — — — 
-Z/18b/684/12	    Οὐ σαφῆ τῇ λέξει τὴν ἑαυτοῦ διάνοιαν ἡρμήνευσεν ὁ 
-Z/18b/684/13	τεχνικὸς, ἀλλ' ὥστε δόξαι, μὴ δεῖν πρὸς αὐγὴν τρέπειν τὰ 
-Z/18b/684/14	χειριζόμενα μόρια τῶν καμνόντων, ὅσα λαθεῖν προσῆκεν ἢ 
-Z/18b/684/15	ὁρᾷν αἰσχρόν. ὁ δὲ οὐ τοῦτο βούλεται, ἐφεξῆς οὖν φησιν. 
-Z/18b/684/16	          — — —  
-Z/18b/685/1	            ιγʹ. 
-Z/18b/685/2	Οὑτωσὶ δὲ τὸ μὲν χειριζόμενον ἐναντίον τῇ αὐγῇ, τὸν δὲ 
-Z/18b/685/3	  χειρίζοντα ἐναντίον τῷ χειριζομένῳ πλὴν ὥστε μὴ ἐπι-
-Z/18b/685/4	  σκοτάζειν. 
-Z/18b/685/5	          — — — 
-Z/18b/685/6	    Ἐχρῆν γὰρ ὡδί πως ἑρμηνεύεσθαι τὴν ὅλην διάνοιαν 
-Z/18b/685/7	ὑπ' αὐτοῦ. τὰ δὲ πρὸς αὐγὴν ἐκ τῶν παρεούσων, ἐκ τῶν 
-Z/18b/685/8	συμφερουσῶν αὐγέων πρὸς τὴν λαμπρότητα τρέπειν τὸ χει-
-Z/18b/685/9	ριζόμενον. οὐ μὴν ἂν καθαράν γε καὶ ἀνεπισκότητον φυ-
-Z/18b/685/10	λάττειν χρὴ τὴν αὐγὴν, ἀλλ' ἐν οἷς λαθεῖν ἂν ἢ ὁρᾷν αἰ-
-Z/18b/685/11	σχρὸν ἑαυτὸν οὕτως σχηματίζειν, ὡς τοὺς μὲν ὅλως πάντας 
-Z/18b/685/12	ἀφαιρεῖσθαι τῆς θέας τῶν χειριζομένων μορίων, ἑαυτῷ δὲ 
-Z/18b/685/13	κατὰ μηδὲν ἐπισκοτεῖν. ἡ μὲν δὴ διάνοια τῆς ὅλης 
-Z/18b/685/14	ῥήσεώς ἐστι τοιαύτη. τάχα δέ τις ἀκοῦσαι ποθεῖ σαφῶς 
-Z/18b/685/15	τὴν ἀπόθεσιν, ἣν βούλεται λαβεῖν ὁ ἰατρὸς τοὺς περιεστῶ-
-Z/18b/685/16	τας. ἴσως μὲν οὖν ἐνίων χειρουργιῶν τὸ ἀκριβὲς, οὐδὲ 
-Z/18b/685/17	διδάξαι βουλήσεταί ποτε τῶν παρόντων τινὰς οὐκ ἀξίους  
-Z/18b/686/1	ὄντας αὐτὸ μαθεῖν. οὐ μὴν ἀλλὰ τούς γε τῶν χειριζομένων 
-Z/18b/686/2	οἰκείους, ἐνίοτε βουλομένους μὴ τέμνειν, ὅσα περ τέμνει σώ-
-Z/18b/686/3	ματα, δεόμενα δηλονότι τῆς τοιαύτης χειρουργίας. ἀνιῶν-
-Z/18b/686/4	ται γὰρ ἅμα καὶ ἀγανακτοῦσι πρὸς τὸν ἰατρὸν, ὡς δήμιον. 
-Z/18b/686/5	ἀλλὰ καὶ ὄρχιν σεσηπότα πολλάκις ἀναγκαῖον ἐγένετο τελέως 
-Z/18b/686/6	ἐκκόψαι καὶ νεῦρον διαταμεῖν ὅλον ἐγκάρσιον, ἕνεκα τοῦ μὴ 
-Z/18b/686/7	σπασθῆναι τὸν ἄνθρωπον. ἔνιοι δὲ τῶν ἰδιωτῶν 
-Z/18b/686/8	οὐδὲ πύου πάθος ὑπομένουσι θεάσασθαι, τινὲς δὲ ἐπιτρέ-
-Z/18b/686/9	πουσιν ὅλως ἀνοῖξαι σῶμα πύου χωρίου, ἐφ' ὧν ὁ ἰατρὸς 
-Z/18b/686/10	τῶν οὐ καταμανθάνων οἷς τὸν πεπονθότα τόπον ἔτεμνεν 
-Z/18b/686/11	ἀφθόνως καὶ πᾶν ἐξέκρινε τὸ πῦον· ἀλλὰ διὰ δειλίαν τῶν 
-Z/18b/686/12	καμνόντων ἐνίοτε τοῦθ' ἡμῖν πράττεται. εἰσὶ γάρ τινες 
-Z/18b/686/13	οὕτω δειλοὶ πρὸς τὰς χειρουργίας, ὡς λειποψυχεῖν πρὶν 
-Z/18b/686/14	τμηθῆναι διὰ τὴν τῆς ὀδύνης προσδοκίαν. ἐπὶ τούτων ἀξιο-
-Z/18b/686/15	πίστως χρὴ περὶ μὲν τῆς χειρουργίας λέγειν αὔριον σκέ-
-Z/18b/686/16	ψασθαι, κατὰ δὲ τὸ παρὸν ἐᾷν. νῦν δὲ καταντλεῖν ὕδατι 
-Z/18b/686/17	ἢ πυριᾷν σπόγγοις, ὡς παρασκευάζοντα τὸ μόριον εἰς ἐπί-
-Z/18b/686/18	θεσιν καταπλάσματος ἢ φαρμάκου, κἀν τούτῳ μὴ προσδο- 
-Z/18b/687/1	κῶντα τὸν δειλὸν ἄνθρωπον τέμνειν. ἐν μὲν δὴ τοῖς τοιού-
-Z/18b/687/2	τοις ὁ μὲν ἰατρὸς ἐπισκοπήσει θεάσασθαι τοῖς παροῦσιν 
-Z/18b/687/3	ἕνεκα τοῦ λαθεῖν. ἐν ἄλλοις δὲ διὰ τὴν αἰδὼ τοῦ κάμνον-
-Z/18b/687/4	τος, ἐπειδὴ περὶ πολλοῦ ποιῆται μὴ βλέπεσθαι τοῖς πολ-
-Z/18b/687/5	λοῖς ἣν ἔχει διάθεσιν ἤτοι κατὰ ἕδραν ἢ ἐν τοῖς αἰδοίοις. 
-Z/18b/687/6	ταῦτα γάρ ἐστιν ἃ βούλονται οἱ πάσχοντες λανθάνειν· ἐν 
-Z/18b/687/7	εἴδει δὲ τῶν γυναικῶν καὶ κατὰ τὰς πυγὰς καὶ τὸ στῆθος, 
-Z/18b/687/8	τισὶ δὲ καὶ κατὰ τὴν γαστέρα καὶ πολὺ δὴ μᾶλλον ἔτι κατὰ 
-Z/18b/687/9	τὸ καλούμενον ἐφήβαιον. ἐγκαλῶν δέ τις ἐνταῦθα αὐτὸν 
-Z/18b/687/10	Ἱπποκράτην γελοίως αὐτὸν ἔφη τοῦτο γεγραφέναι. τοῖς γὰρ 
-Z/18b/687/11	αἱρουμένοις μὴ ὀφθῆναι τὰ τοιαῦτα μόρια χειριζόμενα, πάρ-
-Z/18b/687/12	εστιν ἐκβαλλόμενον τοῦ οἴκου τοὺς ἔνδον ὄντας ἅπαντας 
-Z/18b/687/13	ἐπιστρέψαι μόνῳ τῷ ἰατρῷ τὸ ἔργον ἢ καί τινος ἑνὸς ἢ 
-Z/18b/687/14	δυοῖν τῶν οἰκειοτάτων παρόντων. ἀλλὰ ταῦτα λέγων οὐ 
-Z/18b/687/15	πεπείραται πολλῶν αἰδουμένων, ὥσπερ ὀφθῆναι τοῖς πα-
-Z/18b/687/16	ροῦσι τὰς διαθέσεις αὐτῶν, οὕτω καὶ κωλῦσαι τῆς θέας 
-Z/18b/687/17	ἐνίους καὶ χωρίζεσθαι σκευάσαι. πολλάκις δὲ κἂν κελεύωσι 
-Z/18b/687/18	χωρίζεσθαί τινας φιλονεικοῦντες ἢ περιεργαζόμενοι καὶ πο- 
-Z/18b/688/1	λυπραγμονοῦντες ἐπίστασθαι τὰ τοῦ κάμνοντος ἔνιοι τῶν 
-Z/18b/688/2	οἰκείων ἢ φίλων ἀναιδῶς παραμένουσιν. ἐν τοῖς τοιούτοις 
-Z/18b/688/3	οὖν καιροῖς χαρίζεσθαι χρὴ τῷ κάμνοντι τὸν ἰατρὸν ἄλυ-
-Z/18b/688/4	πον χάριν ὑποσχέσθαι τε κατὰ μόνας αὐτὸν καὶ μηδενὸς 
-Z/18b/688/5	ἀκούσαντος, οὕτω ποιήσασθαι τὴν χειρουργίαν, ὡς λαθεῖν 
-Z/18b/688/6	τοὺς πολλούς. δύναται γὰρ, ὡς ἔφην, ἐν τῷ καταντλεῖν 
-Z/18b/688/7	ὕδωρ ἢ διὰ σπόγγων πυριᾷν, ὡς μηδέπω μέλλων ἐνεργεῖν, 
-Z/18b/688/8	ἐξαίφνης ἀνύσαι τὸ ἔργον, ἀλλ' ἔτι πραττόντων τῶν πολυ-
-Z/18b/688/9	πραγμονούντων θεάσασθαι. τὰ μὲν δὴ τοιαῦτα τῶν ἀμ-
-Z/18b/688/10	φισβητημάτων ἔξωθέν ἐστι τῶν τῆς ἰατρικῆς θεωρημάτων. 
-Z/18b/688/11	ἡμεῖς δὲ ἐξ ἀκολουθίας ἢ καὶ διὰ τὴν ἀντιλογίαν τῶν ἐπη-
-Z/18b/688/12	ρεαζόντων, ἀναγκαζόμεθα μνημονεύειν αὐτῶν. ἐπὶ δὲ τὰ 
-Z/18b/688/13	συνεχῆ τοῖς προειρημένοις ἤδη μετιέναι καιρός. 
-Z/18b/688/14	          — — — 
-Z/18b/688/15	            ιδʹ. 
-Z/18b/688/16	Οὕτω γὰρ ἂν ὁ μὲν δρῶν ὁρῴη, τὸ δὲ χειριζόμενον 
-Z/18b/688/17	  οὐχ ὁρῷτο. 
-Z/18b/688/18	          — — —  
-Z/18b/689/1	    Τὸ κἀνταῦθα τὸ τέλεον τῆς λέξεώς ἐστι τοιοῦτον· οὕ-
-Z/18b/689/2	τως ὁ μὲν δρῶν ὁρᾷ τὸ χειριζόμενον μέρος, ὑπὸ δὲ τῶν ἄλ-
-Z/18b/689/3	λων οὐκ ἂν ὁρῷτο ταὐτὸ τοῦτο τὸ μέρος· οὐ γὰρ δὴ 
-Z/18b/689/4	πρὸς τῶν ἰατρῶν ἄμφω πέπονθε τὸ χειριζόμενον, ὁρᾶσθαί 
-Z/18b/689/5	τε καὶ οὐχ ὁρᾶσθαι. 
-Z/18b/689/6	          — — — 
-Z/18b/689/7	            ιεʹ. 
-Z/18b/689/8	Πρὸς ἑωυτὸν δὲ καθημένῳ μὲν πόδες ἐς τὴν ἄνω ἴξιν κατ' 
-Z/18b/689/9	  ἰθὺ γούνασι, διάστασιν δὲ ὀλίγον συμβεβηκότες, γού-
-Z/18b/689/10	  νατα δὲ ἀνωτέρω βουβώνων σμικρὸν διάστασιν ἀγκῶσιν 
-Z/18b/689/11	  θέσει καὶ παραθέσει. 
-Z/18b/689/12	          — — — 
-Z/18b/689/13	    Τὴν πρὸς τὴν αὐγὴν συμμετρίαν τοῦ χειρίζοντος διελ-
-Z/18b/689/14	θὼν πρὸς τὴν ἑαυτοῦ συμμετρίαν ἧκεν. εἰρηκὼς γὰρ ἔμ-
-Z/18b/689/15	προσθεν· ὁ δρῶν καὶ καθήμενος ἢ ἑστεὼς ξυμμέτρως πρὸς 
-Z/18b/689/16	ἑωυτὸν, πρὸς τὸ χειριζόμενον, πρὸς τὴν αὐγὴν, εἶτα πρὸς 
-Z/18b/689/17	τὸ τελευταῖον ἀπαντήσας πρῶτον, ἅμα δ' αὐτῷ πρὸς τὸ  
-Z/18b/690/1	χειριζόμενον συμμετρίαν ἐξ ἀνάγκης μνημονεύσας, ἐπὶ τὴν 
[0057]  [101]  []  []

-Z/18b/690/2	αὐτοῦ πρὸς ἑαυτὸν ἀφίκετο συμμετρίαν τοῦ χειρίζοντος. αὐ-
-Z/18b/690/3	τὸν δὲ πρὸς ἑαυτὸν συμμέτρως ἔχειν θέσεως, οὐδὲν τῶν 
-Z/18b/690/4	ἁπλῶν ὂν καὶ οἷον τὸ κατ' ἄρθρον διῃρημένον, ἢν δὲ τὰ 
-Z/18b/690/5	μόρια σκοπῇς, ὡς ἄλλοτε ἄλλην ἴσχει θέσιν ἐν ποικίλοις 
-Z/18b/690/6	σχήμασιν, οὕτως ἂν δύναιτό ποτε μὲν ἔχειν συμμέτρως. 
-Z/18b/690/7	ἐὰν γοῦν τις ἐπὶ πλεῖστον ἀλλήλων ἀπαγάγῃ καθήμενος ἢ 
-Z/18b/690/8	ἑστὼς, ἀμέτρως ἂν ἔχοι τοῖς μορίοις τούτοις πρὸς ἄλληλα, 
-Z/18b/690/9	καθάπερ εἰ καὶ συνάγοι τελέως αὐτὰ καὶ ψαύειν ποιήσειεν 
-Z/18b/690/10	ἢ καταθείη τὸ ἕτερον ἑτέρου ἢ μᾶλλον ἀποτείνοι κατὰ μῆ-
-Z/18b/690/11	κος ὅλον τὸ σκέλος ἢ εἰ κατ' εὐθὺ θείη τὸν πόδα τοῦ γό-
-Z/18b/690/12	νατος, ἀλλ' εἰς τοὐπίσω πολὺ τῆς εὐθύτητος ἀποκεχωρηκώς. 
-Z/18b/690/13	εὐλόγως οὖν ὁ Ἱπποκράτης τὴν αὐτοῦ πρὸς ἑαυτὸν ἑκάστου 
-Z/18b/690/14	συμμετρίαν ἐν τῷ καθεῖσθαι τὴν τῶν μορίων ὡρίσατο πρὸς 
-Z/18b/690/15	ἄλληλα σχέσιν, τοὺς μὲν πόδας κατ' εὐθὺ τῶν γονάτων 
-Z/18b/690/16	ἀξιώσας κατέχειν. ἐπεὶ δὲ τὸ κατ' εὐθὺ διττόν ἐστι, τὸ 
-Z/18b/690/17	μὲν κατὰ τὸ μῆκος ἐκτεινόντων τὸ κῶλον, τὸ δὲ εἰς ὕψος  
-Z/18b/691/1	ἀνατεινόντων, ὥσπερ ὅταν ὀρθοὶ στῶμεν, εἰκότως 
-Z/18b/691/2	προσέθηκεν εἰς τὴν κάτω ἴξιν. ὀνομάζει δὲ συνήθως ἴξιν 
-Z/18b/691/3	ἀεὶ τὴν εὐθύτητος θέσιν. ἄρα τοιγαροῦν τοὺς πόδας ὀλί-
-Z/18b/691/4	γον ἀπ' ἀλλήλων ἀξιοῖ, τὸ δὲ ὡς πρὸς βουβῶνα τοῦ γόνα-
-Z/18b/691/5	τος ὕψος ὀλίγον ὑπερέχειν, σκοπὸν ἔχων ἐν τοῖς πᾶσι τήν 
-Z/18b/691/6	τε εὐσχημοσύνην καὶ τὴν εἰς τὰς ἐνεργείας ἑτοιμότητα καὶ 
-Z/18b/691/7	τὴν ἀσφάλειαν τῆς ἕδρας, ὡς δυσπερίτρεπτον τὸν καθεζό-
-Z/18b/691/8	μενον οὕτως. διὸ καὶ τὰ γόνατα καὶ ὅλους δηλονότι τοὺς 
-Z/18b/691/9	μηροὺς ἄχρι τῶν βουβώνων διάστασιν ἔχειν ἀξιοῖ τοσαύτην 
-Z/18b/691/10	ἀπ' ἀλλήλων, ὡς εὐσχημόνως τε ἅμα καὶ ἀσφαλῶς καὶ πρὸς 
-Z/18b/691/11	τὰς ἐνεργείας ἀκωλύτως ἐνίοτε μὲν ἐρείδεσθαι τοὺς ἀγκῶ-
-Z/18b/691/12	νας τῶν χειρῶν κατὰ τοὺς πήχεώς τι μέρος, ἐνίοτε δὲ ἑκα-
-Z/18b/691/13	τέρωθεν αὐτῶν παρατεταγμένας ἐνεργεῖν· τὸ μὲν γὰρ θέ-
-Z/18b/691/14	σει τῆς ἐπ' αὐτῶν ἕδρας δηλωτικὸν, τὸ δὲ παραθέσει τῆς 
-Z/18b/691/15	τῶν πλαγίων. 
-Z/18b/691/16	          — — —  
-Z/18b/692/1	            ιστʹ. 
-Z/18b/692/2	Ἱμάτιον εὐσταλέως, εὐκρινέως, ἴσως, ὁμοίως, ἀγκῶσιν, ὤμοισιν. 
-Z/18b/692/3	          — — — 
-Z/18b/692/4	    Τὸ μὲν εὐσταλέως ἀντὶ τοῦ προσεσταλμένως εἴρηκεν, 
-Z/18b/692/5	ὡς μήτε περιτετραμμένον αὐτὸ μήτε χαλαρὸν περικεῖσθαι 
-Z/18b/692/6	τῷ σώματι τοῦ ἰατροῦ. τὸ δὲ εὐκρινέως ἐπ' αὐτοῦ τοῦ 
-Z/18b/692/7	ἱματίου λέλεκται· κελεύει γὰρ καὶ τοῦτο μηδὲν αὐτοῦ μέρος 
-Z/18b/692/8	ἐνδεδιπλῶσθαι. τὸ δ' ἐπὶ τῷ τέλει τῆς ῥήσεως εἰρημένον, 
-Z/18b/692/9	ἴσως, ὁμοίως, ἀγκῶσιν, ὤμοισιν, ἀμφίβολόν ἐστιν· ἤτοι 
-Z/18b/692/10	γὰρ ἴσως καὶ ὁμοίως ἐν ἀμφοτέραις ταῖς χερσὶ περιβεβλῆ-
-Z/18b/692/11	σθαι τοῖς ἀγκῶσι καὶ τοῖς ὤμοισιν ἀξιοῖ τὸ ἱμάτιον, ὡς 
-Z/18b/692/12	παραβάλλεσθαι τὰς δύο χεῖρας ἀλλήλαις, ὅπερ οἱ πολλοὶ 
-Z/18b/692/13	συγκρίνεσθαι καλοῦσιν ἢ τοὺς ἀγκῶνας, ἢ τοὺς ὤμους ἀλλή-
-Z/18b/692/14	λοις παραβάλλει κατ' ἀμφοτέρας τὰς χεῖρας, κελεύων ἴσως 
-Z/18b/692/15	καὶ ὁμοίως τοῖς ἀγκῶσι καὶ τοῖς ὤμοις καθ' ἑκάτερον αὐ-
-Z/18b/692/16	τῶν περιβεβλῆσθαι τὴν χεῖρα. ὅτι μὲν οὖν οὐκ ἀνωτέρω 
-Z/18b/692/17	τῶν ἀγκώνων βούλεται τὴν περιβολὴν γίγνεσθαι τοῦ ἱματίου 
-Z/18b/692/18	πρόδηλον. ἀσκεπάστους γὰρ εἶναι τούτους αἰσχρὸν οὐκ ἰα- 
-Z/18b/693/1	τρῷ μόνον οὕτω σεμνὴν ἐργαζομένῳ τέχνην, ἀλλὰ καὶ τοῖς 
-Z/18b/693/2	κατὰ τὴν ἀγορὰν ἐν θορύβῳ πολλῷ δίκας λέγουσιν, οὗ καὶ 
-Z/18b/693/3	αὐτοὺς αἰδουμένους ἰδεῖν ἔστιν, ἀνωτέρω τῶν ἀγκώνων ἔχειν 
-Z/18b/693/4	τὸ ἱμάτιον, ὡς εἰς παγκράτιον παρεσκευασμένους· 
-Z/18b/693/5	ἔστι δὲ καὶ ἄλλως ἐκκρῖναι τὸ τοιοῦτον τῆς περιβολῆς εἶδος, 
-Z/18b/693/6	ψυκτικὸν οὐ μόνον τῶν κατὰ ἀγκῶνα μορίων, ἀλλὰ καὶ τῆς 
-Z/18b/693/7	ὅλης χειρός· οὐ μὴν ἐδήλωσε τὸ ποσὸν, εἴπερ τὸν δεξιὸν 
