
[0057]  [077]  []  []

-Z/13/362/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΣΥΝΘΕΣΕΩΣ ΦΑΡΜΑΚΩΝ 
-Z/13/407/13	ἡ μὲν πρώτη θέσις τῶν ὀνομάτων ἔοικεν ἄνευ τοῦ ρω γε-
-Z/13/407/14	γονέναι, παρὰ μὲν τὸ κεντεῖν ὠνομασμένου τοῦ κεντρίου 
-Z/13/407/15	τῆς ἐσχάτης συλλαβῆς οὐκ ἐχούσης τὸ ρω, τῆς μηλωτρίδος 
-Z/13/407/16	δὲ συγκειμένης ἐκ μήλης τε καὶ ὠτός. νυνὶ μέντοι σχεδὸν 
-Z/13/407/17	ἁπάντων αὐτὰ μετὰ τοῦ ρω λεγόντων οὐκ ἂν ἁμάρτοι τις 
-Z/13/407/18	ὁμοίως αὐτοῖς φθεγγόμενος καὶ μάλιστα τὸ κέντριον. ἐπιδέ- 
-Z/13/408/1	δεικται γάρ μοι κατὰ τὰ πρὸς τοὺς ἐπιτιμῶντας τοῖς σολοι-
-Z/13/408/2	κίζουσι καὶ αὐτοὺς Ἀττικοὺς ἄνδρας ἠκολουθηκέναι τῇ κρα-
-Z/13/408/3	τούσῃ συνηθείᾳ. δέδεικται γὰρ καὶ ἄλλοις πρὸ ἐμοῦ τῆς 
-Z/13/408/4	Ἀτθίδος αὐτῆς διαλέκτου μετάπτωσις γεγονέναι πολυειδὴς, 
-Z/13/408/5	ἕπεσθαί τε τῷ καθ' ἑαυτοὺς ἔθει πάντας, ὧν δόξα μεγίστη 
-Z/13/408/6	παρὰ τοῖς Ἕλλησίν ἐστιν ἐπὶ λόγων δεινότητι. καὶ ἡμεῖς 
-Z/13/408/7	οὖν, ἐπειδὴ πάσας εὑρίσκομεν ἤδη τὰς φαρμακίτιδας βίβλους 
-Z/13/408/8	μετὰ τοῦ ρω γεγραμμένον ἐχούσας τοὔνομα τὸ τῆς ἐμπλά-
-Z/13/408/9	στρου, καὶ αὐτοὶ τῇ κρατούσῃ συνηθείᾳ χρησομέθα. 
-Z/13/408/10	  [Περὶ τῶν διὰ μολυβδαίνης σκευαζομένων 
-Z/13/408/11	φαρμάκων.] Εἴρηταί μοι καὶ πρόσθεν ὡς ἡ τῆς μολυβδαί-
-Z/13/408/12	νης χρεία παραπλησία ἐστὶ τῇ τῆς λιθαργύρου. πάντα γὰρ 
-Z/13/408/13	ὅσα διὰ λιθαργύρου συντίθενται καὶ διὰ μολυβδαίνης δύ-
-Z/13/408/14	ναται σκευάζεσθαι. τῇ δυνάμει δὲ ἀλλήλων διαφέρουσι το-
-Z/13/408/15	σοῦτον, ὡς παχυμερεστέραν μὲν εἶναι καὶ ψυχροτέραν τὴν 
-Z/13/408/16	οὐσίαν τῆς μολυβδαίνης, λεπτομερεστέραν δὲ καὶ μέσην θερ-
-Z/13/408/17	μοῦ τε καὶ ψυχροῦ τὴν τῆς λιθαργύρου. πρὸς δὲ τὰς χρόας 
-Z/13/408/18	τῶν φαρμάκων, ὅσα δι' αὐτῶν σκευάζεται, διαφορά τις  
-Z/13/409/1	αὐτῆς ἐστὶ, καθόσον ἐπὶ τὸ φαιότερον ἄγει τὰς χρόας ἡ 
-Z/13/409/2	μολύβδαινα. διὸ καὶ τῶν λευκῶν ἐμπλάστρων οὐ μόνον 
-Z/13/409/3	ψιμύθιον, ἀλλὰ καὶ λιθάργυρον ἐχουσῶν, οὐδεμία διὰ μο-
-Z/13/409/4	λυβδαίνης σκευάζεται. μιχθείσης γὰρ αὐτῆς τὸ μὲν 
-Z/13/409/5	λευκὸν χρῶμα τεφρῶδες γίγνεται. τὰ δὲ τῆς δυνάμεως οὐ 
-Z/13/409/6	μόνον οὐκ ἀπόλλυται κατά γε τὴν δι' ὑδρελαίου σκευαζο-
-Z/13/409/7	μένην ἔμπλαστρον λευκὴν, ἀλλὰ καὶ βελτίω γίνεται καὶ μά-
-Z/13/409/8	λιστα ἐπὶ τῶν μαλακοσάρκων. ἡνίκα δὲ διαφορῆσαί τι βου-
-Z/13/409/9	λόμεθα, βελτίων ἐστὶ μολυβδαίνης λιθάργυρος. οὕτω δὲ καὶ 
-Z/13/409/10	τῶν ἄλλων φαρμάκων ἁπάντων, ὅσα διὰ λιθαργύρου γέγρα-
-Z/13/409/11	πται συντιθέμενα, βαλλόντων τὴν μολύβδαιναν, ἥ τε χρόα 
-Z/13/409/12	τοῦ φαρμάκου καὶ ἡ δύναμις εἰς τοσοῦτον ἔχει τὴν ἀλ-
-Z/13/409/13	λοίωσιν, εἰς ὅσον ἄρτι μοι δεδήλωται. 
-Z/13/409/14	  [Περὶ τῶν διὰ λιθαργύρου καὶ ψιμυθίου 
-Z/13/409/15	σκευαζομένων λευκῶν ἐμπλάστρων.] Ἤτοι τῆς χροιᾶς ἕνεκεν 
-Z/13/409/16	οἱ ἰατροὶ μίξαντες ψιμύθιον τῇ λιθαργύρῳ σκευάζουσι τὰς 
-Z/13/409/17	λευκὰς ἐμπλάστρους, ἢ χάριν τοῦ στύψιν καὶ ψύξιν τινὰ 
-Z/13/409/18	προσθεῖναι τῷ φαρμάκῳ, θεώμενοι δὲ καὶ μελαινόμενον,  
-Z/13/410/1	ὅταν ἐπὶ πλέον ἕψηται τὸ τοιοῦτο, καὶ μάλισθ' ὅταν ἐπὶ 
-Z/13/410/2	ξύλων οὐδὲ τούτων ἴσως ἀκάπνων οὐδὲ ἐν ἀέρι καθαρῷ, 
-Z/13/410/3	ταχέως μὲν αἴρειν ἀπὸ τοῦ πυρὸς ἀναγκάζονται, δι' αὐτὸ 
-Z/13/410/4	δὲ τοῦτο μήθ' ὕδωρ δαψιλὲς μήτ' ἔλαιον μιγνύειν. ἐπενό-
-Z/13/410/5	ησαν οὖν εἰκότως ἐπεμβάλλειν αὐτῷ ῥητίνης, ὅπως ὅλκιμόν 
-Z/13/410/6	τε καὶ συνεχὲς εἴη, προσλαμβάνον τινὰ γλισχρότητα, καὶ μά-
-Z/13/410/7	λισθ' ὅταν ἡ ὑγρὰ ῥητίνη μιχθῇ. χεῖρον δὲ γίνεται τὸ φάρ-
-Z/13/410/8	μακον ἐπὶ τῇ τοιαύτῃ μίξει, δακνῶδες μέν τι καὶ ῥητίνης 
-Z/13/410/9	ἐχούσης, τὸ ξηραντικὸν δὲ οὐ πάνυ τι γενναῖον, οὗ μάλιστα 
-Z/13/410/10	χρείαν εἶναι τοῖς ἕλκεσιν ἐμάθετε. τίνες μὲν οὖν ῥη-
-Z/13/410/11	τίναι καὶ πάνυ δακνώδεις εἰσὶ καὶ ῥηθήσεται περὶ πασῶν 
-Z/13/410/12	αὐτῶν αὖθις. αἱ πρᾳόταται δὲ ἐν αὐταῖς δύο εἰσί. πρώτη 
-Z/13/410/13	μὲν ἡ τερμινθίνη, δευτέρα δὲ ἡ λάριξ ὀνομαζομένη. τούτων 
-Z/13/410/14	οὖν ἄμεινον μιγνύειν, ὅταν τις βουληθῇ τοιαύτην ἔμπλα-
-Z/13/410/15	στρον σκευάσαι. πολὺ δ' εὐαφέστερα γίγνεται πάντα, τά τε 
-Z/13/410/16	διὰ ῥητίνης σκευαζόμενα προσλαμβάνοντα κηροῦ τι, τά τε 
-Z/13/410/17	διὰ κηροῦ μιχθείσης αὐτοῖς ῥητίνης. ἐπεμβάλλειν οὖν χρὴ 
-Z/13/410/18	τῇ ῥητίνῃ καὶ κηρόν. ὅπως δὲ τὸ χρῶμα τῆς ἐμπλάστρου  
-Z/13/411/1	λευκὸν φυλάττοιτο, λευκὸν εἶναι προσήκει τὸν κηρόν. ἔστι 
-Z/13/411/2	δὲ λευκὸς αὐτοφυὴς μὲν ὁ Ποντικὸς, ὀνομάζεται γὰρ οὕτως 
-Z/13/411/3	συνήθως ἤδη κᾂν ἐξ ἑτέρου τινὸς ᾖ χωρίου, διὰ τὸ πλεῖ-
-Z/13/411/4	στον μὲν ἐν τῷ Πόντῳ γίγνεσθαι τὸν λευκὸν, ἐλάχιστον δὲ ἐν 
-Z/13/411/5	ἑτέροις χωρίοις. οὐκ αὐτοφυὴς δὲ λευκὸς ὁ Τυῤῥηνικὸς ὠνο-
-Z/13/411/6	μασμένος ἐστίν. οὗτος μὲν οὖν οὐδεμίαν ἔχει σαφῆ δριμύ-
-Z/13/411/7	τητα. τῶν αὐτοφυῶν δὲ ἔνιοι δριμεῖς εἰσιν, οὓς χρὴ πλύ-
-Z/13/411/8	νειν πρότερον. ἡ πλύσις δ' αὐτῶν γίγνεται τακέντων ἐπὶ 
-Z/13/411/9	πυρὸς, εἶτ' εἰς ὕδωρ πηγαῖον καθαρὸν ἐμβληθέντων, ἀνακι-
-Z/13/411/10	νουμένων τε ἐνταῦθα καὶ διαῤῥυπτομένων. οὕτω καὶ πίτ-
-Z/13/411/11	ταν καὶ ῥητίνην καὶ τὸ καλούμενον φύσημα πλυτέον ἐστὶ, 
-Z/13/411/12	περὶ ὧν αὖθις ἀκριβέστερον εἰρήσεται. νυνὶ δὲ ἐπειδὴ τῆς 
-Z/13/411/13	λευκῆς ἐμπλάστρου τὴν σύνθεσιν γράφω, τὸ κατάλοιπον ὧν 
-Z/13/411/14	εἶπον ἐφεξῆς διηγήσομαι. κηροῦ γὰρ ἐπεμβληθέντος ἅμα τῇ 
-Z/13/411/15	ῥητίνῃ προεψημένοις τῷ τε ψιμυθίῳ καὶ τῇ λιθαργύρῳ, 
-Z/13/411/16	μέχρις ἂν ἀκριβῶς ἀμόλυντον γένηται τὸ φάρμακον, ἔχοιτ' 
-Z/13/411/17	ἂν ἤδη λευκὴν ἔμπλαστρον, εἰ βούλεσθε, ποτὲ μὲν ὕδατος 
-Z/13/411/18	ἐμβάλλοντες αὐτῇ, ποτὲ δὲ ἐλαίου μόνου, καὶ τούτου ποτὲ  
-Z/13/412/1	μὲν νέου, ποτὲ δὲ παλαιοῦ. προακηκόατε γὰρ ἤδη τίνα δύ-
-Z/13/412/2	ναμιν ὕδωρ καὶ παλαιὸν ἔλαιον ἔχει. γιγνώσκετε δὲ καὶ ὡς 
-Z/13/412/3	στύψεώς τι προσδίδωσι τῷ φαρμάκῳ, τό τ' ὀμφάκινον ἔλαιον 
-Z/13/412/4	καὶ τὸ κατὰ τὴν Ἰβηρίαν γεωργούμενον, ἣν νῦν ὀνομάζου-
-Z/13/412/5	σιν Ἱσπανίαν. τὸ δὲ Ἰστρικὸν οὐ μόνον τὴν στύψιν ἔχει 
-Z/13/412/6	βραχεῖαν, ἀλλὰ καὶ πικρότητα. διαφορὰν οὖν ἕξουσιν αἱ διὰ 
-Z/13/412/7	τῶν στυφόντων σκευασίαι τῶν διὰ τοῦ γλυκέος ἐλαίου, κα-
-Z/13/412/8	θόσον ἐν ἀρχῇ μὲν καὶ τελευτῇ τῶν ἑλκῶν ἀμείνω πάντα 
-Z/13/412/9	ἐστὶ τὰ στύψεως ἔχοντά τι, κατὰ δὲ τὰ μέσα τὰ γλυκέα. 
-Z/13/412/10	δεῖται γὰρ ἐν μὲν ταῖς ἀρχαῖς τὰ ἕλκη τῶν ἀποκρουομένων 
-Z/13/412/11	φαρμάκων, ὅπως μηδὲ ἄρξηται φλεγμαίνειν. ἐφεξῆς δὲ τῶν 
-Z/13/412/12	χαλαστικωτέρων, ἐὰν μὲν μὴ γένηται φλεγμονὴ, χάριν τοῦ 
-Z/13/412/13	διαπνεῦσαι, φθασάσης δὲ γενέσθαι καὶ δι' ἐκείνης ὅπως θᾶτ-
-Z/13/412/14	τον λυθείη. εὔδηλον δ' ὅτι περὶ σμικρᾶς φλεγμονῆς ὁ λόγος 
-Z/13/412/15	ἐστίν. οὐδὲ γὰρ δύναται βραχέσιν, ἐφ' ὧν χρώμεθα ταῖς λευ-
-Z/13/412/16	καῖς ταύταις ἐμπλάστροις, ἐπιγίνεσθαι μεγάλη φλεγμονὴ μη-
[0057]  [077]  []  []

-Z/13/412/17	δενὸς ἁμαρτήματος προσελθόντος. ὅτι δὲ καὶ συνουλουμέ-
-Z/13/412/18	νων ἤδη τῶν ἑλκῶν ἡ στύφουσα ποιότης ὠφέλιμός ἐστιν  
-Z/13/413/1	οὐδεὶς ἀγνοεῖ. καιρὸς οὖν ἤδη τὴν συμμετρίαν εἰπεῖν τῶν 
-Z/13/413/2	συντεθέντων φαρμάκων τὴν χρησιμωτάτην ἔμπλαστρον λευκήν. 
-Z/13/413/3	  [Ἡ σταθμεία τῆς ἐμπλάστρου.] Ἴσον ἔστω μέρος 
-Z/13/413/4	ἑκατέρου τῶν μεταλλικῶν, τοῦ τε ψιμυθίου καὶ τοῦ λιθαρ-
-Z/13/413/5	γύρου, καὶ τοῦτ' εἰ βούλεσθε, σταθμὸς ἔστω μιᾶς λίτρας 
-Z/13/413/6	ἑκατέρου. συναμφοτέρων δὲ ἴσον ἐλαίου μέτρον ἢ ὡς ὀνο-
-Z/13/413/7	μάζουσι Ῥωμαῖοι, λίτραι δύο, τοῦ κηροῦ δὲ ἡμίλιτρον ἔστω 
-Z/13/413/8	καὶ τῆς τερμινθίνης ἥμισυ, τουτέστιν οὐγγίας τρεῖς ὁ στα-
-Z/13/413/9	θμός. εἰ δὲ καὶ λιβανωτοῦ μίξαις, ἀνωδυνώτερόν τε καὶ πε-
-Z/13/413/10	πτικώτερον τῶν φλεγμαινόντων ἑλκυδρίων ἐργάσῃ τὸ φάρ-
-Z/13/413/11	μακον, ἀλλὰ πρός γε τὴν ἐπούλωσιν ἀτονώτερον. ὑπερσαρ-
-Z/13/413/12	κώσεις γὰρ, ἐπειδὴ σαρκωτικῶν ἐστιν ὁ λιβανωτὸς, ὡς κᾀν 
-Z/13/413/13	τῷ τρίτῳ τῆς θεραπευτικῆς μεθόδου μεμαθήκατε. βέλ-
-Z/13/413/14	τιον οὖν ἐστιν, ἐμβαλεῖν τι καὶ στυπτηρίας ὀλίγον ἕνεκά 
-Z/13/413/15	τε τῆς ἐπουλώσεως καὶ ἄλλως, ἐπειδὴ τὰ χαλαστικὰ φάρ-
-Z/13/413/16	μακα πληθωρικοῖς τε καὶ κακοχύμοις σώμασι προσφερόμενα 
-Z/13/413/17	προτρέπει ῥευματίζεσθαι τὰ πεπονθότα μόρια. τὸ δ' ἐκ τού-
-Z/13/413/18	των ἁπάντων συντεθὲν φάρμακον δυνήσεται διαφορεῖν ὄγκους  
-Z/13/414/1	παρὰ φύσιν ἐπὶ τῶν ἁπαλοσάρκων, ὅσοι μήτε μεγάλοι λίαν 
-Z/13/414/2	εἰσὶ μήτ' ὀδυνώδεις καὶ μάλισθ' ὅταν λάβῃ δαψιλῆ τὸν λι-
-Z/13/414/3	βανωτόν. εἴη δ' ἂν ἐπὶ τοῖς προειρημένοις δαψιλὴς ὁ λιβα-
-Z/13/414/4	νωτὸς, ἐὰν ἴσος ᾖ κατὰ τὸν σταθμὸν τῇ τερμινθίνῃ. εἰ δὲ 
-Z/13/414/5	ἥμισυς ὁ λιβανωτὸς εἴη τῆς ῥητίνης, ἧττον μὲν ἔσται δια-
-Z/13/414/6	φορητικὸν τὸ φάρμακον, ἐπουλωτικώτερον δὲ τοῦ διπλά-
-Z/13/414/7	σιον ἔχοντος τὸν λιβανωτόν. εἰ δέ τι μᾶλλον ἐργάσασθαι 
-Z/13/414/8	διαφορητικὸν αὐτὸ βουληθείητε καὶ πεπέρεως ἐμβάλλετε τοῦ 
-Z/13/414/9	λευκοῦ βραχύ τι, μηδὲν εἰς τὴν ἐπούλωσιν τῶν ἑλκῶν βλά-
-Z/13/414/10	ψαι δυναμένου. καὶ τοίνυν ἔστω τῆς μὲν στυπτηρίας γο 
-Z/13/414/11	σταθμὸς, ἥμισυ δὲ τοῦ πεπέρεως. εὔλογον οὖν τούτου μὲν 
-Z/13/414/12	ἐμβληθῆναι τρεῖς δραχμὰς, ἓξ δὲ τῆς στυπτηρίας. ἐπεὶ δὲ καὶ 
-Z/13/414/13	ἄλλων ἐστὶ βελτίων τῶν στυπτηριῶν ἡ σχιστὴ καλουμένη 
-Z/13/414/14	καὶ τῇ χρόᾳ λευκὴ, ταύτης ἐμβάλλειν προσήκει. 
-Z/13/414/15	  [Λευκὴ ἡ διὰ τοῦ λευκοῦ πεπέρεως, ὡς 
-Z/13/414/16	Ἄτταλος καὶ Ἥρας.] Ὠφελεῖ γερόντων ἕλκη καὶ ἁπαλο-
-Z/13/414/17	χρώτων καὶ πᾶν ἕλκος ἰᾶται, ὅσα ὑγρότερα καὶ δυσεπού-
-Z/13/414/18	λωτα καὶ ἀποσύρματα, ὡς ἀποκρέμασθαι τὸ δέρμα, ἐνίοτε  
-Z/13/415/1	μελαινόμενον ἐπ' ὠλεκράνου καὶ ἀντικνημίου καὶ γόνατος, 
-Z/13/415/2	ἐφ' ὧν οὐδὲ σὰρξ, ἀλλ' ὁ περιόστιος ὑμὴν ὑπόκειται μόνος. 
-Z/13/415/3	γέγονε τοίνυν πάντα ἐφεξῆς καταλέγοντι τὸ φάρμακον ἐκ 
-Z/13/415/4	τῶνδε συγκείμενον. λιθαργύρου μὲν καὶ ψιμυθίου, λίτρας 
-Z/13/415/5	ἑκατέρου σταθμῷ, δυοῖν δὲ λιτρῶν ἐλαίου μέτρῳ. καλεῖται 
-Z/13/415/6	γὰρ ὑπὸ Ῥωμαίων ὁμωνύμως ὁ λιτραῖος σταθμὸς τῶν 
-Z/13/415/7	στεῤῥῶν σωμάτων τῷ λιτραίῳ μέτρῳ τῶν ὑγρῶν, ὃ πάμ-
-Z/13/415/8	πολυ καθ' ὅλην τὴν πόλιν ἐστὶν, ἐξ ὕλης κερατίνης γιγνό-
-Z/13/415/9	μενον. ἐπὶ τούτοις δὲ τοῦ κηροῦ μὲν ἡμίλιτρον τῷ σταθμῷ, 
-Z/13/415/10	τριῶν δὲ οὐγγιῶν τῆς τερμινθίνης ῥητίνης, λιβανωτοῦ δὲ 
-Z/13/415/11	ἤτοι τοῦ ἡμίσεος ἢ τοῦ ἴσου ταύτῃ, καὶ στυπτηρίας μὲν ἓξ 
-Z/13/415/12	δραχμῶν, τριῶν δὲ τοῦ πεπέρεως. ἡ δὲ ἕψησις εὔδηλος ἀπ' 
-Z/13/415/13	ἀρχῆς μὲν ἑψομένων τῶν μεταλλικῶν ἐν ἡλίῳ, μέχρι τοῦ 
-Z/13/415/14	γενέσθαι τελέως ἀμόλυντον ἢ καὶ βραχὺ σκληρότερον. ἐμβαλ-
-Z/13/415/15	λομένων δὲ τηνικαῦτα κηροῦ καὶ ῥητίνης, εἶθ' ὅταν ἑνωθῇ 
-Z/13/415/16	πάντα, τοῦ λιβανωτοῦ μὲν πρῶτον, ἐπ' αὐτῷ δὲ τῆς στυ-
-Z/13/415/17	πτηρίας τε καὶ τοῦ πεπέρεως. ἐμβάλλειν δὲ χρὴ τὸ ῥοδια-
-Z/13/415/18	κὸν καλούμενον ψιμύθιον, εἰ βούλοιτό τις πάνυ λευκὴν τὴν  
-Z/13/416/1	ἔμπλαστρον γενέσθαι. ἀλλὰ καὶ κατὰ τὴν πάλαι μὲν Δικαι-
-Z/13/416/2	αρχίαν ὀνομαζομένην, νυνὶ δὲ Ποτιόλους, ἔνιοι τῶν σκευ-
-Z/13/416/3	αζόντων τὸ ψιμύθιον ὁμοίως τῷ ῥοδιακῷ λευκὸν εἰώθασι 
-Z/13/416/4	ποιεῖν. ὅτι δὲ ἐν ἡλίῳ τε χρὴ σκευάζειν τὴν ἔμπλαστρον, 
-Z/13/416/5	ὕδατός τε μιγνύειν, ὡς λευκοτέραν τε ἅμα καὶ ψυκτικωτέ-
-Z/13/416/6	ραν γενέσθαι, λέλεκται πρόσθεν. εἰ δ' ἐπουλωτικωτέραν ἐθέ-
-Z/13/416/7	λοι τις αὐτὴν ἐργάσασθαι, τοῦ μὲν ὕδατος οὐδ' ὅλως μι-
-Z/13/416/8	κτέον ἐστὶ, δι' ἐλαίου δὲ παλαιοῦ μόνον σκεναστέον γο βʹ. 
-Z/13/416/9	ἥμισυ, ἀλλὰ καὶ τρεῖς ἐμβάλλοντα. τοῦτο τὸ φάρμακον οὐ 
-Z/13/416/10	τῶν ὑπ' ἐμοῦ πρώτου συντεθέντων ἐστὶν, ἀλλ' ἤδη πρὸ 
-Z/13/416/11	πολλῶν ἐτῶν ὑπὸ τοῦ βασιλεύσαντος ἡμῶν τῶν Περγαμη-
-Z/13/416/12	νῶν Ἀττάλου σπουδάσαντος ἀνδρὸς περὶ φάρμακα παντοῖα, 
-Z/13/416/13	καὶ σύγκειται λόγῳ τῷ προειρημένῳ καὶ κρεῖττον αὐ-
-Z/13/416/14	τοῦ θαυμάζοιμεν ἂν, εἴ τι δύναται τῶν ὁμοειδῶν συντεθῆ-
-Z/13/416/15	ναι. μέμνηται δὲ αὐτοῦ καὶ ὁ Ἥρας ἐν τῷ βιβλίῳ τῶν φαρ-
-Z/13/416/16	μάκων, ὃ τινὲς μὲν ἐπιγράφουσι νάρθηκα, τινὲς δὲ τόνον 
-Z/13/416/17	δυνάμεων, ἀξιῶν τὸ μὲν ἔλαιον εἶναι παλαιὸν, ὕδατος δ' 
-Z/13/416/18	αὐτῷ μίγνυσθαι τὸ ἴσον ἢ τὸ ἥμισυ. τὰ δ' ἄλλα τῆς συμ- 
-Z/13/417/1	μετρίας, ὡς ὑπ' ἐμοῦ γέγραπται, πλὴν ὅτι κοτύλας ἐκεῖνος, 
-Z/13/417/2	οὐ λίτρας ἔγραψε, τοῦ τε ὕδατος καὶ τοῦ ἐλαίου μὴ δηλώ-
-Z/13/417/3	σας ὁπόσων οὐγγιῶν βούλεται εἶναι τὴν κοτύλην, ἤτοι στα-
-Z/13/417/4	θμικῶν ἢ μετρικῶν αἱ μὲν γὰρ σταθμικαὶ τὸ βάρος κρί-
-Z/13/417/5	νουσι τῶν σωμάτων, αἱ δὲ μετρικαὶ τὸν ὄγκον. θεραπεύειν 
-Z/13/417/6	μὲν οὖν λέγων τὸ φάρμακον τοῦτο γερόντων ἕλκη καὶ ἁπα-
-Z/13/417/7	λοχρώτων ἀληθεύει· πλέον δὲ ἢ δεῖ χαρίζεται, πᾶν ἕλκος ἰᾶ-
-Z/13/417/8	σθαι φάσκων. ὅσα μὲν γὰρ ὑγρότερα καὶ διὰ τοῦτο δυσε-
-Z/13/417/9	πούλωτα θεραπεύει ταῦτα, τῶν κακοήθων δ' οὐδὲν, ὥσπερ 
-Z/13/417/10	οὐδὲ τῶν ἐναίμων τι τραυμάτων· ὁ δέ γε καὶ ταῦτα πάντα 
-Z/13/417/11	φησίν. ἀποσύρματα μέντοι λέγων αὐτὸ θεραπεύειν ἀληθεύει, 
-Z/13/417/12	πολλάκις γὰρ οὕτως ἀποσεσυρμένου, ὡς ἀποκρέμασθαι τὸ 
-Z/13/417/13	δέρμα μετὰ τῆς ὑποκειμένης ἐπί τινος σαρκὸς, ἐπιθεὶς τὸ 
-Z/13/417/14	φάρμακον ἐθεασάμην ἑνωθὲν αὐτῇ τὸ ἀποσεσυρμένον, καὶ 
-Z/13/417/15	τό γε τούτου μεῖζον, ἐνίοτε μελαινόμενον ἤδη. καὶ πάλιν γε 
-Z/13/417/16	ἕτερον ἔτι τοῦδε μεῖζον, ἐπ' ὠλεκράνου τε καὶ ἀντικνημίου 
-Z/13/417/17	καὶ γόνατος, ἐφ' ὧν οὐδὲ σὰρξ, ἀλλ' ὁ περιόστιος ὑμὴν ἢ 
-Z/13/417/18	τένων πλατὺς ὑπόκειται μόνος, ὥστε πρὸς ἀποσύρματα μὲν  
-Z/13/418/1	ἄριστον ἂν ἔχοιτε τὸ φάρμακον τοῦτο, κόλπων δὲ καὶ ἀπο-
-Z/13/418/2	στημάτων οὔτ' ἄριστον ἁπάντων οὔτ' ἀρετῇ τῶν ἀρίστων 
-Z/13/418/3	δεύτερον, ἀλλ' ἐπὶ μετρίων τῷ μεγέθει τούτων τῶν παθῶν, 
-Z/13/418/4	ἐν ἁπαλοχρῶσι καὶ γυναιξὶ καὶ παισὶ καὶ γέρουσιν ἀγαθὸν 
-Z/13/418/5	φάρμακον, ὥστε κᾀνταῦθα πλέον ἢ δεῖ μεμαρτύρηκεν ὁ 
-Z/13/418/6	Ἥρας τῷ φαρμάκῳ. πολὺ δὲ μᾶλλον ἡνίκα ἐπῄνεσεν αὐτὸ 
-Z/13/418/7	πρὸς δήγματα πάντα φάσκων ἁρμόττειν. τί γὰρ βούλεται 
-Z/13/418/8	τὸ πάντα προσκείμενον τῷ λόγῳ; πότερον εἰ καὶ θηρίον 
-Z/13/418/9	εἴη τὸ δακὸν ἢ μόνα τὰ τῶν ἁπάντων ἀνθρώπων λέγει; 
-Z/13/418/10	καὶ μὴν ψεῦδός ἐστιν ἑκάτερον. ἐπὶ μὲν τῶν θηρίων ἄντι-
-Z/13/418/11	κρυς· ἃ γὰρ ὑπὸ δραστηρίων φαρμάκων θεραπεύεται μόγις, 
-Z/13/418/12	οὐκ ἄν τις ταῦτα φαίη διὰ τοῦδε κατορθοῦσθαι δύνασθαι· 
-Z/13/418/13	περὶ δὲ τῶν ἀνθρώπων εἰ λέγει, καὶ οὕτως ἀδιόριστος ὁ 
-Z/13/418/14	λόγος, ὡς βλάττειν μᾶλλον ἢ ὠφελεῖν τοὺς ἀκούσαντας. ἀνέ-
-Z/13/418/15	πεισε γοῦν τίς τινα τῶν ἰατρῶν, ἐπιτιθέναι τὴν ἔμπλαστρον 
-Z/13/418/16	ταύτην ἐν παγκρατίῳ δηχθέντι νεανίσκῳ τὸν λιχανὸν δάκτυ-
-Z/13/418/17	λον, ὃς οὕτως ἔσχε κακῶς, ὡς κινδυνεῦσαι μὲν ἀποσαπῆναι 
-Z/13/418/18	τὸ δηχθὲν μόριον ὅλον, ἐπιγενομένης σηπεδόνος αὐτῷ. μόλις  
-Z/13/419/1	δ' ἐν χρόνῳ πλέονι θεραπευθεὶς ἐκολλήθη. γενομένου τοῦδε 
-Z/13/419/2	τοῦ δήγματος οὐκ εἰς νεῦρον, ἀλλ' εἰς σάρκα, θαυμαστὸν 
-Z/13/419/3	οὐδὲν ὑπὸ τοῦ τοιούτου φαρμάκου θεραπευθῆναι. τὰ γὰρ 
-Z/13/419/4	τῶν ἀνθρώπων δήγματα παραπλήσια τοῖς ἄλλοις ἐστὶν ἕλ-
-Z/13/419/5	κεσιν, εἰ μὴ πάνυ κακόχυμος ὁ δακὼν εἴη ἢ νενηστευκώς γε 
-Z/13/419/6	μέχρι καὶ πλέονος ἢ τεθυμωμένος, ὡς ἐκκεχολῶσθαι τό τε 
-Z/13/419/7	σύμπαν σῶμα καὶ τὰ περὶ τοὺς ὀδόντας. οὐ μὴν οὐδ' ἐπὶ 
-Z/13/419/8	τούτων τὶ τοιοῦτον ἀξιόλογον φανεῖται ποιοῦν τὸ φάρμα-
-Z/13/419/9	κον, ἀλλ' ἀρκέσει τῷ παραχρῆμα χρησαμένῳ μηδὲν ἀδικη-
-Z/13/419/10	θῆναι, πρίν τι τῶν ἰδίως ἐπιτηδείων εἰς τὰ τοιαῦτα φαρ-
-Z/13/419/11	μάκων ἐπιβληθῆναι κατὰ τοῦ δηχθέντος μορίου, περὶ ὧν 
-Z/13/419/12	αὖθις εἰρήσεται. νυνὶ δ' ἀποχρήσει τοσοῦτον εἰπεῖν, ὡς ἐφ' 
[0057]  [077]  []  []

-Z/13/419/13	ὧν ἤτοι γε ἄνθρωπος ὁποῖον εἴπομεν εἴτε πίθηκος εἴτε 
-Z/13/419/14	κύων εἴτ' ἄλλο τι τοιοῦτον ζῶον εἴη δακόν. 
-Z/13/419/15	  [Περὶ τῆς Ἀτταλικῆς Ἀνδρομάχου 
-Z/13/419/16	λευκῆς ἐξήγησις καὶ σύνθεσις, ὅτι ἧσσον βλάπτει τοὺς λυσ-
