
[0086]  [048]  [Divis]  []

-Z//1col1/8	1. 
-Z//23col1/13	εὐεργετεῖ. τῆς ἄρα εὐεργε-
-Z//23col1/14	σίας ἡ μέν ἐστι διὰ χρημά-
-Z//23col1/15	των, ἡ δὲ διὰ σωμάτων, ἡ 
-Z//23col1/16	δὲ διὰ ἐπιστημῶν, τετάρτη 
-Z//23col1/17	δὲ διὰ λόγων. 
-Z//23col1/18	18. 
-Z//23col1/19	  διαιρεῖται τὸ τέλος τῶν 
-Z//23col1/20	πραγμάτων εἰς τέτταρα εἴδη· 
-Z//23col1/21	ἓν μὲν κατὰ νόμον τέλος τὰ 
-Z//23col1/22	πράγματα λαμβάνει, ὅταν ψή-
-Z//23col1/23	φισμα γένηται καὶ τοῦθ' ὁ 
-Z//23col1/24	νόμος τελέσῃ· κατὰ φύσιν 
-Z//23col1/25	δὲ τέλος τὰ πράγματα λαμ- 
-Z//24col1/1	βάνει, 〈οἷον〉 ἥ τε ἡμέρα καὶ ὁ 
-Z//24col1/2	ἐνιαυτὸς καὶ αἱ ὧραι. κατὰ 
-Z//24col1/3	τέχνην δὲ τέλος τὰ πράγματα 
-Z//24col1/4	λαμβάνει, οἷον ἡ οἰκοδομική. 
-Z//24col1/5	οἰκίαν γὰρ [τις] ἐπιτελεῖ· καὶ 
-Z//24col1/6	ἡ ναυπηγική· πλοῖα γάρ. 
-Z//24col1/7	κατὰ τύχην δὲ γίνεται τοῖς 
-Z//24col1/8	πράγμασι τέλος, ὅταν ἄλλως 
-Z//24col1/9	καὶ μὴ ὡς ὑπολαμβάνει τις 
-Z//24col1/10	ἀποβαίνῃ. τοῦ τέλους ἄρα 
-Z//24col1/11	τῶν πραγμάτων τὸ μὲν κατὰ 
-Z//24col1/12	νόμον, τὸ δὲ κατὰ φύσιν, τὸ 
-Z//24col1/13	δὲ κατὰ τέχνην, τὸ δὲ κατὰ 
-Z//24col1/14	τύχην ἐστίν.  
-Z//25col1/1	19. 
-Z//25col1/2	  ἡ δύναμις διαιρεῖται εἰς 
-Z//25col1/3	τέτταρα εἴδη· ἓν μὲν ὃ δυ-
-Z//25col1/4	νάμεθα τῇ διανοίᾳ, 〈οἷον〉 
-Z//25col1/5	λογίζεσθαι καὶ ὑπονοεῖν· ἕτε-
-Z//25col1/6	ρον δὲ τῷ σώματι, οἷον πο-
-Z//25col1/7	ρεύεσθαι καὶ διδόναι καὶ λαμ-
-Z//25col1/8	βάνειν καὶ τὰ τοιαῦτα· τρί-
-Z//25col1/9	τον ὃ δυνάμεθα πλήθει στρα-
-Z//25col1/10	τιωτῶν καὶ χρημάτων, ὅθεν 
-Z//25col1/11	καλεῖται πολλὴν δύναμιν ἔχων 
-Z//25col1/12	βασιλεύς· τετάρτη δὲ διαίρε-
-Z//25col1/13	σις δυνάμεως πάσχειν καὶ 
-Z//25col1/14	ποιεῖν εὖ καὶ κακῶς· οἷον 
-Z//25col1/15	ἀρρωστεῖν καὶ παιδεύεσθαι  
-Z//26col1/1	δυνάμεθα καὶ ὑγιεῖς γίνεσθαι 
-Z//26col1/2	καὶ πάντα τὰ τοιαῦτα. τῆς 
-Z//26col1/3	ἄρα δυνάμεως ἡ μέν ἐστιν 
-Z//26col1/4	ἐν διανοίᾳ, ἡ δὲ ἐν τῷ σώ-
-Z//26col1/5	ματι, ἡ δὲ ἐν στρατοπέδῳ 
-Z//26col1/6	καὶ χρήμασιν, ἡ δὲ ἐν τῷ 
-Z//26col1/7	ποιεῖν καὶ πάσχειν. 
-Z//26col1/9	20. 
-Z//26col1/10	  τῆς φιλανθρωπίας ἐστὶν 
-Z//26col1/11	εἴδη τρία· ἓν μὲν διὰ τῆς 
-Z//26col1/12	προσηγορίας γινόμενον, οἷον 
-Z//26col1/13	ἐν ᾧ τινες τὸν ἐντυχόντα 
-Z//26col1/14	πάντα προσαγορεύουσι καὶ 
-Z//26col1/15	τὴν δεξιὰν ἐμβάλλοντες χαι-
-Z//26col1/16	ρετίζουσιν· ἄλλο εἶδος, ὅταν 
-Z//26col1/17	τις βοηθητικὸς ᾖ παντὶ τῷ 
-Z//26col1/18	ἀτυχοῦντι· ἕτερον εἶδός ἐστι 
-Z//26col1/19	τῆς φιλανθρωπίας, ἐν ᾧ τινες 
-Z//26col1/20	φιλοδειπνισταί εἰσι. τῆς ἄρα 
-Z//26col1/21	φιλανθρωπίας τὸ μέν ἐστι 
-Z//26col1/22	διὰ τοῦ προσαγορεύειν, τὸ δὲ 
-Z//26col1/23	διὰ τοῦ εὐεργετεῖν, τὸ δὲ διὰ 
-Z//26col1/24	τοῦ ἑστιᾶν καὶ φιλοσυνου-
-Z//26col1/25	σιάζειν.  
-Z//27col1/1	21. 
-Z//27col1/2	  ἡ εὐδαιμονία διαιρεῖται 
-Z//27col1/3	εἰς πέντε μέρη· ἡ μὲν γὰρ 
-Z//27col1/4	αὐτῆς ἐστιν εὐβουλία, ἕτερον 
-Z//27col1/5	δὲ εὐαισθησία καὶ ὑγεία τοῦ 
-Z//27col1/6	σώματος, τρίτον εὐτυχία ἐν 
-Z//27col1/7	ταῖς πράξεσι, τέταρτον εὐδοξία 
-Z//27col1/8	παρὰ τοῖς ἀνθρώποις, πέμ-
-Z//27col1/9	πτον εὐπορία χρημάτων καὶ 
-Z//27col1/10	τῶν εἰς τὸν βίον χρησίμων. 
-Z//27col1/11	ἡ μὲν οὖν εὐβουλία γίνεται 
-Z//27col1/12	ἐκ παιδείας καὶ ἐκ τοῦ πολ-
-Z//27col1/13	λῶν ἔμπειρον γενέσθαι. ἡ δὲ 
-Z//27col1/14	εὐαισθησία ἐκ τῶν τοῦ σώ-
-Z//27col1/15	ματος μερῶν· οἷον ἐάν τις 
-Z//27col1/16	ὀφθαλμοῖς ὁρᾷ καὶ τοῖς ὠσὶν 
-Z//27col1/17	ἀκούῃ καὶ τῇ ῥινὶ καὶ τῷ 
-Z//27col1/18	στόματι αἰσθάνηται ὧν δεῖ 
-Z//27col1/19	αἰσθάνεσθαι· τὸ δὲ τοιοῦτον 
-Z//27col1/20	εὐαισθησία. ἡ δὲ εὐτυχία, ὅταν  
-Z//28col1/1	ἐφ' ἃ σκοπεῖ πράξῃ κατορ-
-Z//28col1/2	θῶν ἃ δεῖ πράττειν τὸν σπου-
-Z//28col1/3	δαῖον· εὐδοξία δέ ἐστιν ὅταν 
-Z//28col1/4	τις εὖ ἀκούῃ. εὐπορία δέ 
-Z//28col1/5	ἐστιν, ὅταν τις πρὸς τὰς ἐν 
-Z//28col1/6	τῷ βίῳ χρήσεις οὕτως ἔχῃ, 
-Z//28col1/7	ὥστε καὶ φίλους εὖ ποιῆσαι 
-Z//28col1/8	καὶ φιλοτίμως καὶ εὐπόρως 
-Z//28col1/9	ἀπολειτουργῆσαι. ᾧ δὲ ὑπάρ-
-Z//28col1/10	χει πάντα ταῦτα, οὗτός ἐστιν 
-Z//28col1/11	εὐδαίμων τελέως. τῆς ἄρα 
-Z//28col1/12	εὐδαιμονίας ἐστὶ τὸ μὲν εὐ-
-Z//28col1/13	βουλία, τὸ δὲ εὐαισθησία καὶ 
-Z//28col1/14	ὑγεία τοῦ σώματος, τὸ δὲ 
-Z//28col1/15	εὐτυχία, τὸ δὲ εὐδοξία, τὸ 
-Z//28col1/16	δὲ εὐπορία. 
-Z//28col1/17	22. 
-Z//28col1/18	  αἱ τέχναι εἰς τρία διαι-
-Z//28col1/19	ροῦνται· ἡ μὲν πρώτη, ἡ δὲ 
-Z//28col1/20	δευτέρα, ἡ δὲ τρίτη. πρώτη 
-Z//28col1/21	μὲν οὖν ἡ μεταλλευτικὴ καὶ 
-Z//28col1/22	ὑλοτομική· παρασκευαστικαὶ 
-Z//28col1/23	γάρ εἰσιν. ἡ δὲ χαλκευτικὴ  
-Z//29col1/1	καὶ ἡ τεκτονικὴ μετασχημα-
-Z//29col1/2	τιστικαί εἰσιν· ἐκ μὲν γὰρ 
-Z//29col1/3	τοῦ σιδήρου ἡ χαλκευτικὴ 
-Z//29col1/4	ὅπλα ποιεῖ, ἡ δὲ τεκτονικὴ 
-Z//29col1/5	ἐκ τῶν ξύλων αὐλοὺς καὶ 
-Z//29col1/6	λύρας. ἡ δὲ χρηστική, οἷον 
-Z//29col1/7	ἱππικὴ τοῖς χαλινοῖς χρῆται· 
-Z//29col1/8	ἡ πολεμικὴ τοῖς ὅπλοις· ἡ 
-Z//29col1/9	μουσικὴ τοῖς αὐλοῖς καὶ τῇ 
-Z//29col1/10	λύρᾳ. τῆς τέχνης ἄρα τρία 
-Z//29col1/11	εἴδη ἐστί· τὸ μέν τι πρῶτον, 
-Z//29col1/12	τὸ δέ τι δεύτερον, τὸ δέ τι 
-Z//29col1/13	τρίτον.  
-Z//30col1/12	23. 
-Z//30col1/13	  τὸ ἀγαθὸν εἰς τέτταρα 
-Z//30col1/14	γένη διαιρεῖται· ὧν ἓν μὲν 
-Z//30col1/15	λέγομεν εἶναι τὸν τὴν ἀρε-
-Z//30col1/16	τὴν ἔχοντα ἰδίᾳ ἀγαθόν· ἄλλο 
-Z//30col1/17	δὲ αὐτὴν τὴν ἀρετὴν καὶ τὴν 
-Z//30col1/18	δικαιοσύνην λέγομεν ἀγαθὸν 
-Z//30col1/19	εἶναι· τρίτον δέ, οἷον σιτία 
-Z//30col1/20	καὶ γυμνάσια τὰ πρόσφορα 
-Z//30col1/21	καὶ φάρμακα· τέταρτον δέ 
-Z//30col1/22	φαμεν εἶναι ἀγαθόν, οἷον  
-Z//31col1/1	αὐλητικὴν καὶ ὑποκριτικὴν 
-Z//31col1/2	καὶ τὰ τοιαῦτα. ἀγαθοῦ ἄρα 
-Z//31col1/3	τέτταρα εἴδη ἐστί· τὸ μὲν τὸ 
-Z//31col1/4	τὴν ἀρετὴν ἔχειν, ἕτερον δὲ 
-Z//31col1/5	αὐτὴ ἡ ἀρετή, τρίτον δὲ σι-
-Z//31col1/6	τία καὶ γυμνάσια τὰ ὠφέλιμα· 
-Z//31col1/7	τέταρτον δὲ αὐλητικὴν καὶ 
-Z//31col1/8	ὑποκριτικὴν καὶ ποιητικὴν 
-Z//31col1/9	ἀγαθὸν λέγομεν εἶναι. 
-Z//31col1/15	24. 
-Z//31col1/16	  τῶν ὄντων τὰ μέν ἐστι 
-Z//31col1/17	κακά, τὰ δὲ ἀγαθά, τὰ δὲ 
-Z//31col1/18	οὐδέτερα. τούτων κακὰ μὲν 
-Z//31col1/19	ταῦτα λέγομεν, τὰ δυνάμενα  
-Z//32col1/1	βλάπτειν ἀεί, οἷον ἀκρασίαν 
-Z//32col1/2	καὶ ἀφροσύνην καὶ ἀδικίαν 
-Z//32col1/3	καὶ τὰ τοιαῦτα· τὰ δὲ τού-
-Z//32col1/4	τοις ἐναντία ἀγαθά ἐστιν· τὰ 
-Z//32col1/5	δὲ ἐνίοτε μὲν ὠφελεῖν, ἐνίοτε 
-Z//32col1/6	δὲ βλάπτειν, οἷον τὸ περι-
-Z//32col1/7	πατεῖν καὶ τὸ καθῆσθαι καὶ 
-Z//32col1/8	τὸ ἐσθίειν, 〈ἢ〉 ὅλως μήτε 
-Z//32col1/9	ὠφελῆσαι μήτε βλάψαι δυ-
-Z//32col1/10	νάμενα, ταῦτα οὖν οὔτε ἀγαθὰ 
-Z//32col1/11	οὔτε κακά ἐστιν. τῶν ἄρα ὄν-
-Z//32col1/12	των τὰ μὲν ἀγαθά, τὰ δὲ 
-Z//32col1/13	κακά, τὰ δὲ οὐδέτερα τούτων. 
-Z//32col1/14	25. 
-Z//32col1/15	  εὐνομία διαιρεῖται εἰς 
-Z//32col1/16	τρία· ἓν μέν, ἐὰν ὦσιν οἱ  
-Z//33col1/1	νόμοι σπουδαῖοι, εὐνομίαν 
-Z//33col1/2	φαμὲν εἶναι· ἕτερον δέ, ἐὰν τοῖς 
-Z//33col1/3	κειμένοις νόμοις ἐμμένωσιν οἱ 
-Z//33col1/4	πολῖται, καὶ τοῦτό φαμεν εὐ-
-Z//33col1/5	νομίαν εἶναι· τρίτον δέ, ἐὰν 
-Z//33col1/6	μὴ ὄντων [τῶν] νόμων κατὰ 
-Z//33col1/7	ἔθη καὶ ἐπιτηδεύματα χρη-
-Z//33col1/8	στῶς πολιτεύωνται, καὶ τοῦτο 
-Z//33col1/9	εὐνομίαν προσαγορεύομεν. τῆς 
-Z//33col1/10	εὐνομίας ἄρα ἓν μέν ἐστι 
-Z//33col1/11	νόμους σπουδαίους εἶναι· 
-Z//33col1/12	ἄλλο δέ, ἐὰν τοῖς οὖσι νόμοις 
-Z//33col1/13	ἐμμένωσιν· τρίτον δέ, ἐὰν ἔθε-
-Z//33col1/14	σι καὶ ἐπιτηδεύμασι χρηστοῖς 
-Z//33col1/15	πολιτεύωνται. 
-Z//33col1/16	26. 
-Z//33col1/17	  διαιρεῖται ἡ ἀνομία εἰς 
-Z//33col1/18	τρία· ὧν ἓν μέν ἐστιν, ἐὰν 
-Z//33col1/19	ὦσιν οἱ νόμοι μοχθηροὶ καὶ 
-Z//33col1/20	πρὸς ξένους καὶ πρὸς πολί-
-Z//33col1/21	τας· ἕτερον δέ, ἐὰν τοῖς  
-Z//34col1/1	ὑπάρχουσι μὴ πείθωνται· 
-Z//34col1/2	ἄλλο δέ, ἐὰν ὅλως μηδεὶς ᾖ 
-Z//34col1/3	νόμος. τῆς ἄρα ἀνομίας ἓν 
-Z//34col1/4	μέν ἐστι τὸ μοχθηροὺς εἶναι 
-Z//34col1/5	τοὺς νόμους· ἄλλο δέ, ἐὰν 
-Z//34col1/6	τοῖς οὖσι μὴ πείθωνται· τρί-
-Z//34col1/7	τον δέ, ἐὰν μηδεὶς ᾖ νόμος. 
-Z//34col1/8	27. 
-Z//34col1/9	  τὰ ἐναντία διαιρεῖται εἰς 
-Z//34col1/10	τρία. οἷον ἀγαθὰ κακοῖς ἐναν-
-Z//34col1/11	τία φαμὲν εἶναι, ὡς τὴν δι-
-Z//34col1/12	καιοσύνην τῇ ἀδικίᾳ καὶ τὴν 
-Z//34col1/13	φρόνησιν τῇ ἀφροσύνῃ καὶ 
-Z//34col1/14	τὰ τοιαῦτα. κακὰ δὲ κακοῖς 
-Z//34col1/15	ἐναντία ἐστίν, οἷον ἡ ἀσωτία 
-Z//34col1/16	τῇ ἀνελευθερίᾳ καὶ τὸ ἀδί-
-Z//34col1/17	κως στρεβλοῦσθαι τῷ δικαίως 
-Z//34col1/18	στρεβλοῦσθαι· καὶ τὰ τοιαῦτα  
-Z//35col1/1	κακὰ κακοῖς ἐναντία ἐστίν. τὸ 
-Z//35col1/2	δὲ βαρὺ τῷ κούφῳ καὶ τὸ 
-Z//35col1/3	ταχὺ τῷ βραδεῖ καὶ τὸ μέ-
-Z//35col1/4	λαν τῷ λευκῷ ὡς οὐδέτερα 
-Z//35col1/5	οὐδετέροις ἐναντία ἐστί. τῶν 
-Z//35col1/6	ἐναντίων ἄρα τὰ μὲν ὡς 
-Z//35col1/7	ἀγαθὰ κακοῖς ἐναντία ἐστί· 
-Z//35col1/8	τὰ δὲ ὡς κακὰ κακοῖς· τὰ 
-Z//35col1/9	δὲ ὡς οὐδετέροις οὐδέτερα. 
-Z//35col1/10	28. 
-Z//35col1/11	  τῶν ἀγαθῶν γένη ἐστὶ 
-Z//35col1/12	τρία. τὰ μὲν γάρ ἐστιν ἑκτά, 
-Z//35col1/13	τὰ δὲ μεθεκτά, τὰ δὲ ὑπαρκτά. 
-Z//35col1/14	τὰ μὲν οὖν ἑκτά ἐστιν, ὅσα 
-Z//35col1/15	ἐνδέχεται ἔχειν, οἷον ἡ δι-
-Z//35col1/16	καιοσύνη καὶ ἡ ὑγίεια. μεθ-
-Z//35col1/17	εκτὰ δέ, ὅσα ἔχειν μὲν μὴ 
-Z//35col1/18	ἐνδέχεται, μετασχεῖν δὲ αὐ-
-Z//35col1/19	τῶν ἐνδέχεται· οἷον αὐτὸ τὸ 
-Z//35col1/20	ἀγαθὸν ἔχειν μὲν οὐκ ἐν-
-Z//35col1/21	δέχεται, μετασχεῖν δὲ αὐτοῦ  
-Z//36col1/1	ἐνδέχεται. ὑπαρκτὰ δέ, ὅσα 
-Z//36col1/2	μήτε μετασχεῖν μήτε ἔχειν 
-Z//36col1/3	ἐνδέχεται, ὑπάρχειν δὲ δεῖ· 
-Z//36col1/4	οἷον τὸ σπουδαῖον εἶναι 〈καὶ〉 
-Z//36col1/5	τὸ δίκαιον εἶναι ἀγαθόν ἐστι. 
-Z//36col1/6	καὶ ταῦτα οὔτε ἔχειν οὔτε 
-Z//36col1/7	μετασχεῖν ἔστιν, ἀλλ' ὑπάρ-
-Z//36col1/8	χειν δεῖ σπουδαῖον εἶναι καὶ 
-Z//36col1/9	δίκαιον εἶναι. τῶν ἀγαθῶν 
-Z//36col1/10	ἄρα τὰ μέν ἐστιν ἑκτά, τὰ 
-Z//36col1/11	δὲ μεθεκτά, τὰ δὲ ὑπαρκτά. 
-Z//36col1/12	29. 
-Z//36col1/13	  ἡ συμβουλία διαιρεῖται 
-Z//36col1/14	εἰς τρία. ἔστι γὰρ αὐτῆς ἓν 
-Z//36col1/15	μὲν ἐκ τῶν παροιχομένων 
-Z//36col1/16	χρόνων λαμβανόμενον, ἓν δὲ 
-Z//36col1/17	ἐκ τῶν μελλόντων, ἓν δὲ ἐκ 
-Z//36col1/18	τῶν ἐνεστώτων. τὰ μὲν οὖν 
-Z//36col1/19	ἐκ τῶν παροιχομένων παρα- 
-Z//37col1/1	δείγματα, οἷον τί ἔπαθον 
-Z//37col1/2	Λακεδαιμόνιοι πιστεύσαντες. 
-Z//37col1/3	τὰ δὲ ἐκ τῶν παρόντων, οἷον 
-Z//37col1/4	ἀποφαίνειν τείχη ἀσθενῆ, δει-
-Z//37col1/5	λοὺς ἀνθρώπους, σῖτον ὀλί-
-Z//37col1/6	γον. τὰ δὲ ἐκ τῶν μελλόν-
-Z//37col1/7	των, οἷον ταῖς ὑπονοίαις μὴ 
[0086]  [048]  [Divis]  []

-Z//37col1/8	ἀδικεῖν τὰς πρεσβείας, ὅπως 
-Z//37col1/9	μὴ ἄδοξος ἡ Ἑλλὰς γένηται. 
-Z//37col1/10	τῆς ἄρα συμβουλίας τὰ μέν 
-Z//37col1/11	ἐστιν ἐκ τῶν παροιχομένων, 
-Z//37col1/12	τὰ δὲ ἐκ τῶν παρόντων, τὰ 
-Z//37col1/13	δὲ ἐκ τῶν μελλόντων. 
-Z//37col1/22	30. 
-Z//37col1/23	  ἡ φωνὴ διαιρεῖται εἰς 
-Z//37col1/24	δύο· ἓν μὲν αὐτῆς ἐστιν 
-Z//37col1/25	ἔμψυχον, ἓν δὲ ἄψυχον. ἔμ- 
-Z//38col1/1	ψυχον μὲν ἡ τῶν ζῴων φωνή, 
-Z//38col1/2	ἄψυχον δὲ φθόγγοι καὶ ἦχοι. 
-Z//38col1/3	τῆς τοῦ ἐμψύχου φωνῆς ἡ 
-Z//38col1/4	μέν ἐστιν ἐγγράμματος, ἡ δὲ 
-Z//38col1/5	ἀγράμματος. ἐγγράμματος μὲν 
-Z//38col1/6	ἡ τῶν ἀνθρώπων, ἀγράμμα-
-Z//38col1/7	τος δὲ ἡ τῶν ζῴων. τῆς 
-Z//38col1/8	ἄρα φωνῆς ἡ μὲν ἔμψυχος, 
-Z//38col1/9	ἡ δὲ ἄψυχος. 
-Z//38col1/14	31. 
-Z//38col1/15	  τῶν ὄντων τὰ μέν ἐστι 
-Z//38col1/16	μεριστά, τὰ δὲ ἀμέριστα. τού-
-Z//38col1/17	των δὲ τῶν μεριστῶν τὰ μὲν 
-Z//38col1/18	ὁμοιομερῆ, τὰ δὲ ἀνομοιο-
-Z//38col1/19	μερῆ. ἀμερῆ μὲν οὖν ἐστιν, 
-Z//38col1/20	ὅσα μὴ ἔχει διαίρεσιν μηδὲ  
-Z//39col1/1	ἔκ τινος σύγκειται, οἷον ἥ 
-Z//39col1/2	τε μονὰς καὶ ἡ στιγμὴ καὶ 
-Z//39col1/3	ὁ φθόγγος. μεριστὰ δέ, ὅσα 
-Z//39col1/4	ἔκ τινος σύγκειται, οἷον αἵ 
-Z//39col1/5	τε συλλαβαὶ καὶ συμφωνίαι 
-Z//39col1/6	καὶ ζῷα καὶ ὕδωρ καὶ χρυ-
-Z//39col1/7	σός. ὁμοιομερῆ 〈μέν〉, ὅσα 
-Z//39col1/8	ἐξ ὁμοίων σύγκειται καὶ μη-
-Z//39col1/9	δὲν διαφέρει τὸ ὅλον τοῦ 
-Z//39col1/10	μέρους εἰ μὴ τῷ πλήθει, οἷον 
-Z//39col1/11	τὸ ὕδωρ καὶ τὸ χρυσίον καὶ 
-Z//39col1/12	πᾶν τὸ χυτὸν καὶ τὸ τοιοῦτον. 
-Z//39col1/13	ἀνομοιομερῆ δέ, ὅσα ἐξ ἀν-
-Z//39col1/14	ομοίων μερῶν σύγκειται, οἷον 
-Z//39col1/15	οἰκία καὶ τὰ τοιαῦτα. τῶν 
-Z//39col1/16	ὄντων ἄρα τὰ μέν ἐστι με-
-Z//39col1/17	ριστά, τὰ δὲ ἀμερῆ· τῶν δὲ 
-Z//39col1/18	μεριστῶν τὰ μὲν ὁμοιομερῆ, 
-Z//39col1/19	τὰ δὲ ἀνομοιομερῆ. 
-Z//39col1/20	32. 
-Z//39col1/21	  τῶν ὄντων τὰ μέν ἐστι 
-Z//39col1/22	καθ' ἑαυτά, τὰ δὲ πρός τι 
-Z//39col1/23	λέγεται. τὰ μὲν οὖν καθ' 
-Z//39col1/24	ἑαυτὰ λεγόμενά ἐστιν, ὅσα ἐν 
-Z//39col1/25	τῇ ἑρμηνείᾳ μηδενὸς προσ-
-Z//39col1/26	δεῖται· ταῦτα δὲ ἂν εἴη οἷον  
-Z//40col1/1	ἄνθρωπος ἵππος καὶ τὰ ἄλλα 
-Z//40col1/2	ζῷα. τούτων γὰρ οὐδὲν δι' 
-Z//40col1/3	ἑρμηνείας χωρεῖ. τῶν δὲ 
-Z//40col1/4	πρός τι λεγομένων ὅσα προσ-
-Z//40col1/5	δεῖταί τινος ἑρμηνείας, οἷον 
-Z//40col1/6	τὸ μεῖζόν τινος καὶ τὸ θᾶτ-
-Z//40col1/7	τόν τινος καὶ τὸ κάλλιον καὶ 
-Z//40col1/8	τὰ τοιαῦτα· τό τε γὰρ μεῖζον 
-Z//40col1/9	ἐλάττονός ἐστι μεῖζον καὶ τὸ 
-Z//40col1/10	θᾶττον θᾶττόν τινός ἐστι. τῶν  
-Z//41col1/1	ὄντων ἄρα τὰ μέν ἐστιν αὐτὰ 
-Z//41col1/2	καθ' αὑτά, τὰ δὲ πρός τι λέ-
-Z//41col1/3	γεται. 
-Z//41col1/4	  ὧδε καὶ τὰ πρῶτα διῄρει 
-Z//41col1/5	κατὰ τὸν Ἀριστοτέλην.  
-Z//1col2/8	            [5] 
-Z//1col2/9	  διαιρεῖται τὰ ἀγαθὰ εἰς 
-Z//1col2/10	τρία. ἔστι γὰρ αὐτῶν τὰ μὲν 
-Z//1col2/11	ἐν τῇ ψυχῇ, τὰ δὲ ἐν σώ-
-Z//1col2/12	ματι, τὰ δὲ ἐκτός. ἔστι δὲ 
-Z//1col2/13	τὰ μὲν ἐν ψυχῇ φρόνησις δι- 
-Z//2col2/1	καιοσύνη ἀνδρεία σωφροσύνη 
-Z//2col2/2	καὶ τὰ ἄλλα τὰ τοιαῦτα, τὰ 
-Z//2col2/3	δὲ ἐν σώματι ἰσχὺς κάλλος 
-Z//2col2/4	ὑγεία εὐεξία καὶ τὰ ἄλλα τὰ 
-Z//2col2/5	τοιαῦτα, τὰ δὲ ἐκτὸς φίλοι 
-Z//2col2/6	πλοῦτος εὐδοξία πατρίδος εὐ-
-Z//2col2/7	δαιμονία. τῶν ἀγαθῶν ἄρα 
-Z//2col2/8	τὰ μέν ἐστιν ἐν ψυχῇ, τὰ δὲ 
-Z//2col2/9	ἐν σώματι, τὰ δὲ ἐκτός. 
-Z//2col2/10	            [58] 
-Z//2col2/11	  διαιρεῖται ἡ φιλία εἰς τέσ-
-Z//2col2/12	σαρα· ἔστι γὰρ αὐτῆς ἡ μὲν 
-Z//2col2/13	συγγενική, ἡ δὲ ἑταιρική, ἡ  
-Z//3col2/1	δὲ ξενική, ἡ δὲ ἐρωτική. ἔστι 
-Z//3col2/2	δὲ ἡ μὲν συγγενικὴ οἷον πα-
-Z//3col2/3	τὴρ πρὸς υἱοὺς καὶ ἀδελφοὶ 
-Z//3col2/4	πρὸς ἀδελφοὺς καὶ οἱ ἄλλοι 
-Z//3col2/5	οἱ οἰκεῖοι, ἡ δὲ ἑταιρικὴ ᾗ 
-Z//3col2/6	κοινωνοῦσιν οἱ διὰ συνήθειαν 
-Z//3col2/7	φίλοι γινόμενοι, ἡ δὲ ξενικὴ 
-Z//3col2/8	ἡ διὰ γραμμάτων καὶ συστά-
-Z//3col2/9	σεως ποιοῦσα φίλους, ἡ δὲ 
-Z//3col2/10	ἐρωτικὴ ἡ δι' ἐπιθυμίαν τῆς 
-Z//3col2/11	τῶν καλῶν φιλίας κοινωνίαν 
-Z//3col2/12	παρασκευάζουσα.  
-Z//4col2/1	            [7] 
-Z//4col2/2	  διαιρεῖται ἡ πολιτεία εἰς 
-Z//4col2/3	πέντε. ἔστι γὰρ αὐτῆς ἓν μὲν 
-Z//4col2/4	δημοκρατία, ἓν δὲ ἀριστοκρα-
-Z//4col2/5	τία, ἓν δὲ ὀλιγαρχία, ἓν δὲ 
-Z//4col2/6	τυραννίς, ἓν δὲ βασιλεία. ἔστι 
-Z//4col2/7	δὲ ἡ μὲν δημοκρατία, ἐν ᾗ 
-Z//4col2/8	τὸ πλῆθος τῆς πόλεως κυ-
-Z//4col2/9	ριεύει, ἀριστοκρατεία δέ, ἐν 
-Z//4col2/10	ᾗ οἱ κράτιστοι ἡγοῦνται μήτε 
-Z//4col2/11	διὰ γένος μήτε διὰ πλοῦτον 
-Z//4col2/12	ἀλλὰ δι' ἀρετήν· ἡ δὲ ὀλι-
-Z//4col2/13	γαρχία, ἐν ᾗ τὰ τιμήματα με-
-Z//4col2/14	γάλα ποιήσαντες ἀπὸ τούτων 
-Z//4col2/15	πολιτεύονταί τινες ἢ δι' ἑται- 
-Z//5col2/1	ρίαν βιασάμενοι τὸ πλῆθος 
-Z//5col2/2	τὴν πόλιν διοικοῦσι· τυραν-
-Z//5col2/3	νὶς δέ, ἐν ᾗ παρακρουσάμενός 
-Z//5col2/4	τις τὸ πλῆθος ἢ βιασάμενος 
-Z//5col2/5	τὴν πόλιν διοικεῖ· βασιλεία 
-Z//5col2/6	δέ, ὅταν ἢ κατὰ νόμον ἢ κατὰ 
-Z//5col2/7	γένος βασιλεὺς τὰ πράγματα 
-Z//5col2/8	διοικῇ τῆς πόλεως· τῆς πο-
-Z//5col2/9	λιτείας ἄρα τὸ μέν ἐστι δη-
-Z//5col2/10	μοκρατία, τὸ δὲ ἀριστοκρα-
-Z//5col2/11	τία, τὸ δὲ ὀλιγαρχία, τὸ δὲ 
-Z//5col2/12	τυραννίς, τὸ δὲ βασιλεία. 
-Z//5col2/20	            [4] 
-Z//5col2/21	  διαιρεῖται ἡ δικαιοσύνη 
-Z//5col2/22	εἰς τρία· ἔστι γὰρ αὐτῆς ἓν 
-Z//5col2/23	μὲν πρὸς τὸν θεόν, ἓν δὲ  
-Z//6col2/1	πρὸς τοὺς ἀνθρώπους, ἓν δὲ 
-Z//6col2/2	πρὸς τοὺς ἀποιχομένους. ἔστι 
-Z//6col2/3	δὲ ἡ μὲν πρὸς τὸν θεὸν δι-
-Z//6col2/4	καιοσύνη μετ' εὐσεβείας εὐ-
-Z//6col2/5	χαριστία καὶ τὰς αὐτοῦ ἐκ-
-Z//6col2/6	πληροῦν ἐντολάς, ἡ δὲ πρὸς  
