
[0057]  [009]  []  []

-Z/1/509/t1	    {ΓΑΛΗΝΟΥ ΠΕΡΙ ΚΡΑΣΕΩΝ} 
-Z/1/536/16	θερμοτέραν, ἐπιλανθάνονται τοῦδε. καὶ μὴν οὕτω τὰ ζῷα 
-Z/1/537/1	θερμὰ καὶ ὑγρὰ λέγεται πρὸς τῶν παλαιῶν, οὐ | κατὰ τὴν 
-Z/1/537/2	ἰδίαν κρᾶσιν ἁπλῶς, ἀλλὰ τοῖς τε φυτοῖς καὶ τοῖς τεθνεῶσι 
-Z/1/537/3	παραβαλλόμενα. καὶ γὰρ τῶν τεθνεώτων τὰ ζῷα καὶ τῶν 
-Z/1/537/4	φυτῶν ἐστιν ὑγρότερα καὶ θερμότερα. καὶ μὲν δὴ καὶ τῶν 
-Z/1/537/5	ζῴων αὐτῶν ἀλλήλοις κατ' εἴδη παραβαλλομένων, ξηρότερον 
-Z/1/537/6	μὲν κύων, ὑγρότερον δ' ἄνθρωπος. εἰ δὲ μύρμηκι καὶ με-
-Z/1/537/7	λίττῃ παραβάλλοις τὸν κύνα, ξηρότερα μὲν ἐκεῖνα, τὸν κύνα 
-Z/1/537/8	δ' ὑγρότερον εὑρήσεις. ὥστε ταὐτὸν ζῷον ξηρὸν μὲν ὡς 
-Z/1/537/9	πρὸς ἄνθρωπον ὑπάρχει, ὑγρὸν δ' ὡς πρὸς μέλιτταν· οὕτω 
-Z/1/537/10	δὲ καὶ θερμὸν μὲν ὡς πρὸς ἄνθρωπον, ψυχρὸν δ' ὡς πρὸς 
-Z/1/537/11	λέοντα· καὶ θαυμαστὸν οὐδέν, εἰ τὰ πρὸς ἕτερόν τι λεγό-
-Z/1/537/12	μενα τὰς ἐναντίας ἅμα κατηγορίας ἐπιδέχεται. οὐ γὰρ τοῦτ' 
-Z/1/537/13	ἄτοπον, εἰ ταὐτὸν σῶμα θερμὸν ἅμα λέγεται καὶ ψυχρόν, 
-Z/1/537/14	ἀλλ' εἰ καὶ πρὸς ταὐτόν· οὐδὲ γὰρ ὅτι δεξιὸς ἅμα καὶ ἀρι-
-Z/1/537/15	στερὸς ὁ αὐτὸς ἄνθρωπος, ἄτοπον, ἀλλ' εἰ πρὸς τὸν αὐτόν· 
-Z/1/537/16	εἰ δὲ πρὸς ἄλλον μὲν δεξιός, πρὸς ἄλλον δ' ἀριστερός, οὐδὲν 
-Z/1/537/17	ἄτοπον. οὕτως οὖν καὶ κύων ὑγρὸς ἅμα καὶ ξηρὸς καὶ 
-Z/1/538/1	ψυχρὸς ἅμα καὶ θερμός, ἀλλ' οὐ πρὸς | ταὐτό. πρὸς μὲν 
-Z/1/538/2	γὰρ ἄνθρωπον ξηρός, ὑγρὸς δὲ πρὸς μύρμηκα, καὶ πρὸς  
-Z/1/538/3	μὲν ἄνθρωπον θερμός, ψυχρὸς δὲ πρὸς λέοντα. καὶ γὰρ δὴ 
-Z/1/538/4	καὶ θερμὸς μὲν ὡς ζῶν· εἰ γάρ τι τέθνηκεν, οὐ θερμόν· 
-Z/1/538/5	οὐ θερμὸς δ' ὡς πρὸς ἕτερον, εἰ οὕτως ἔτυχε, κύνα. ταυτὶ 
-Z/1/538/6	μὲν οὖν ἅπαντα πρὸς ἄλληλα ἐκ παραβολῆς λέγεται, τὰ δ' 
-Z/1/538/7	ὡς ἐν ζῴων γένει καθ' ἕτερον τρόπον, ὥσπερ αὖ καὶ ὅσα 
-Z/1/538/8	κατ' εἶδος ζῴου. κύων γὰρ ὡς πρὸς μὲν μύρμηκα καὶ μέ-
-Z/1/538/9	λιτταν ὑγρός, ὡς δ' ἐν ζῴων γένει ξηρός. αὐτῶν δὲ τῶν 
-Z/1/538/10	κυνῶν κατ' εἶδος ὁδὶ μὲν ξηρός, ὁδὶ δ' ὑγρός, ἄλλος δέ τις, 
-Z/1/538/11	ὡς κύων, εὔκρατος. 
-Z/1/538/12	  Λέλεκται μὲν οὖν ἐπὶ πλεῖστον ἡμῖν ὑπὲρ 
-Z/1/538/13	ἁπάσης τῆς τοιαύτης χρήσεως τῶν ὀνομάτων ἐν τῷ δευτέρῳ 
-Z/1/538/14	Περὶ διαγνώσεως σφυγμῶν· ἀνάγκη δ', ὡς ἔοικεν, εἰπεῖν τι 
-Z/1/538/15	καὶ νῦν ὑπὲρ αὐτῶν διὰ κεφαλαίων, ὅσον εἰς τὰ παρόντα 
-Z/1/538/16	χρήσιμον. τὸ μὲν ἁπλῶς ξηρόν, ὃ πρὸς μηδὲν ἕτερον λέγε-
-Z/1/538/17	ται, μόνοις τοῖς στοιχείοις ὑπάρχει, πυρί τε καὶ γῇ, καὶ μὲν 
-Z/1/539/1	δὴ καὶ τὸ ὑγρὸν ὕδατι καὶ ἀέρι. κατὰ ταὐτὰ δὲ | καὶ περὶ 
-Z/1/539/2	θερμοῦ καὶ ψυχροῦ χρὴ νοεῖν· οὐδὲν γὰρ τῶν ἄλλων σω-
-Z/1/539/3	μάτων ἀκριβῶς οὔτε θερμὸν οὔτε ψυχρόν ἐστιν ἀλλ' ἢ τὰ 
-Z/1/539/4	στοιχεῖα μόνα. ὅ τι δ' ἂν τῶν ἄλλων λάβῃς, ἐκ τούτων 
-Z/1/539/5	κέκραται καὶ διὰ τοῦτο κατὰ τὸ δεύτερον σημαινόμενον 
-Z/1/539/6	οὐκέθ' ἁπλῶς θερμὸν ἢ ψυχρὸν ὡς ἄμικτόν τε καὶ εἰλι-
-Z/1/539/7	κρινές, ἀλλ' ὡς ἤτοι πλέονος μὲν τοῦ θερμοῦ, τοῦ ψυχροῦ 
-Z/1/539/8	δ' ἐλάττονος, ἢ τοῦ μὲν ψυχροῦ πλέονος, ἐλάττονος δὲ τοῦ 
-Z/1/539/9	θερμοῦ μετέχον ἕκαστον τῶν ἄλλων ἢ θερμὸν ἢ ψυχρὸν 
-Z/1/539/10	λέγεται. δύο μὲν δὴ ταῦτα σημαινόμενα τοῦ θερμοῦ καὶ 
-Z/1/539/11	ψυχροῦ καὶ ξηροῦ καὶ ὑγροῦ, τὸ μὲν ἁπλῶς λεγόντων ἡμῶν 
-Z/1/539/12	ἄμικτόν τε καὶ εἰλικρινές, ἕτερον δὲ μικτὸν μὲν ἐκ τῶν 
-Z/1/539/13	ἐναντίων, ἀλλὰ τῷ τοῦ πλεονεκτοῦντος ὀνόματι προσαγορευό-
-Z/1/539/14	μενον. οὕτω μὲν οὖν ὑγρὸν αἷμα καὶ φλέγμα καὶ πιμελὴ 
-Z/1/539/15	καὶ οἶνος ἔλαιόν τε καὶ μέλι καὶ τῶν ἄλλων τῶν τοιούτων 
-Z/1/539/16	ἕκαστον λέγεται. ὀστᾶ δὲ καὶ χόνδροι καὶ ὄνυχες καὶ ὁπλαὶ  
-Z/1/539/17	καὶ κέρατα καὶ τρίχες καὶ λίθοι καὶ ξύλα καὶ ψάμμος καὶ 
-Z/1/540/1	κέραμος ἐλάττονα μὲν ὑγροῦ μοῖραν | ἔχει, πλείονα δὲ ξηροῦ 
-Z/1/540/2	καὶ διὰ τοῦτο πάλιν ἅπαντα τὰ τοιαῦτα ξηρὰ προσαγορεύε-
-Z/1/540/3	ται. μύρμηξ δὲ ξηρὸν καὶ σκώληξ ὑγρὸν ὡς ζῷα καὶ πάλιν 
-Z/1/540/4	ἐν αὐτοῖς τοῖς σκώληξιν ὁδὶ μὲν ξηρότερος, ὁδὶ δ' ὑγρό-
-Z/1/540/5	τερος ἢ ἁπλῶς ὡς σκώληξ ἢ τῷδέ τινι παραβαλλόμενος 
-Z/1/540/6	ἑτέρῳ. 
-Z/1/540/7	  Αὐτὸ δὲ δὴ τοῦτο τί ποτ' ἐστίν, ὅταν οὕτω λέγωμεν, 
-Z/1/540/8	ὡς σκώληξ ὑγρός, ὡς ἄνθρωπος θερμός, ὡς κύων ψυχρός, 
-Z/1/540/9	εἰ μή τις ἀκριβῶς ἀκούσειέ τε καὶ νοήσειεν, ἅπαντα συγκε-
-Z/1/540/10	χύσθαι τὸν λόγον ἀνάγκη. τὸ δ' ἀκριβῶς ἐστιν, ὃ κἀν τῷ 
-Z/1/540/11	δευτέρῳ Περὶ διαγνώσεως τῶν σφυγμῶν λέγεται, τὸ κατὰ 
-Z/1/540/12	γένος ἢ εἶδος ὀνομάζεσθαι τηνικαῦθ' ἕκαστον οὐ θερμὸν 
-Z/1/540/13	μόνον ἢ ψυχρὸν ἢ ξηρὸν ἢ ὑγρόν, ἀλλὰ καὶ μέγα καὶ 
-Z/1/540/14	μικρὸν καὶ ταχὺ καὶ βραδὺ καὶ τῶν τοιούτων ἕκαστον, ὅταν 
-Z/1/540/15	ὑπὲρ τὸ σύμμετρόν τε καὶ μέσον ᾖ, οἷον ζῷον θερμόν, ὅταν 
-Z/1/540/16	ὑπὲρ τὸ μέσον ᾖ τῇ κράσει ζῷον, ἢ ἵππος θερμός, ὅταν 
-Z/1/540/17	ὑπὲρ τὸν μέσον ἵππον ᾖ. τὰ μέσα δ' ἐν ἑκάστῳ γένει τε 
-Z/1/540/18	καὶ εἴδει τὰ σύμμετρά ἐστιν· ἴσον γὰρ ἀπέχει τῶν ἄκρων 
-Z/1/541/1	ἐν | ἐκείνῳ τῷ γένει τε καὶ εἴδει. γένος μὲν οὖν τὸ ζῷον, 
-Z/1/541/2	ἵππος δὲ καὶ βοῦς καὶ κύων εἴδη. καὶ δὴ καὶ μέσον μέν 
-Z/1/541/3	ἐστι τῇ κράσει καθ' ὅλον τὸ γένος τῶν ζῴων ὁ ἄνθρωπος· 
-Z/1/541/4	ἐν γὰρ τοῖς ἐφεξῆς τοῦτο δειχθήσεται. μέσος δ' ὡς ἐν ἀν-
-Z/1/541/5	θρώποις κατ' εἶδος ὁ καλούμενος εὔσαρκος· οὗτος δ' ἐστίν, 
-Z/1/541/6	ὃν οὔτε παχὺν οὔτε λεπτὸν ἔχομεν εἰπεῖν οὔτε θερμὸν οὔτε 
-Z/1/541/7	ψυχρὸν οὔτ' ἄλλῳ τινὶ τῶν ἀμετρίαν ἐνδεικνυμένων ὀνο-
-Z/1/541/8	μάτων προσαγορεῦσαι. ὅστις δ' ἂν ὑπὲρ τοῦτον ᾖ, πάντως 
-Z/1/541/9	οὗτος ἢ θερμότερός ἐστιν ἢ ψυχρότερος ἢ ξηρότερος ἢ ὑγρό- 
-Z/1/541/10	τερος. ὀνομάζεται δὲ πῇ μὲν ἁπλῶς ὁ τοιοῦτος, πῇ δ' οὐχ 
-Z/1/541/11	ἁπλῶς· ἁπλῶς μέν, ὅτι θερμὸς ἢ ψυχρὸς ἢ ξηρὸς ἢ ὑγρὸς 
-Z/1/541/12	εἶναι λέγεται, μηκέτι παραβαλλόμενος ἀφωρισμένως ἑνὶ τῷδε. 
-Z/1/541/13	καθ' ἕτερον δὲ τρόπον οὐχ ἁπλῶς, ὅτι τῷ συμμέτρῳ τε καὶ 
-Z/1/541/14	μέσῳ παντὸς τοῦ εἴδους παραβάλλεται. οὕτω δὲ καὶ κύων 
-Z/1/541/15	ζῷον ξηρὸν ἁπλῶς μέν, ὡς ἄν τῳ δόξειε, λέγεται, μηκέτι 
-Z/1/541/16	παραβαλλόμενος, εἰ τύχοι, μύρμηκι, καθ' ἕτερον δὲ τρόπον 
-Z/1/542/1	οὐχ | ἁπλῶς, ὅτι τῷ συμμέτρῳ τε καὶ μέσῳ τῇ κράσει τῶν 
-Z/1/542/2	ζῴων ἁπάντων, ὅ τί ποτ' ἂν ᾖ τοῦτο, παραβάλλεται. 
-Z/1/542/3	  Πρόδηλον οὖν ἤδη γέγονεν, ὡς ἕκαστον τῶν οὕτω λεγο-
-Z/1/542/4	μένων ἢ ἓν ἑνὶ παραβάλλοντες ὅτῳ δήποτε θερμὸν ἢ ψυχρὸν 
-Z/1/542/5	ἢ ξηρὸν ἢ ὑγρὸν ὡς πρὸς ἐκεῖνο λέγομεν ἢ τῷ μέσῳ, καθ' 
-Z/1/542/6	ὅπερ ἂν εἶδος ἢ γένος ᾖ τὸ λεγόμενον, οἷον εἶδος μὲν ἵπ-
-Z/1/542/7	πον καὶ βοῦν καὶ κύνα καὶ πλάτανον καὶ κυπάριττον καὶ 
-Z/1/542/8	συκῆν, γένος δὲ ζῷον ἢ φυτόν. ἐπὶ τούτοις τρίτον ἄλλο 
-Z/1/542/9	σημαινόμενον ἦν τῶν ἁπλῶς λεγομένων, ἃ δὴ καὶ τὰς ἀμί-
-Z/1/542/10	κτους τε καὶ ἄκρας ἔφαμεν ἔχειν ποιότητας ὀνομάζεσθαί τε 
-Z/1/542/11	στοιχεῖα· καὶ μὲν δὴ καὶ τὰς ποιότητας αὐτὰς ὀνομάζομεν 
-Z/1/542/12	ἐνίοτε τοῖς ποιοῖς σώμασιν ὁμωνύμως. ἀλλὰ περὶ μὲν τού-
-Z/1/542/13	των μετ' ὀλίγον ἐροῦμεν. εἰς δὲ τὰ παρόντα, τῶν ποιῶν 
-Z/1/542/14	σωμάτων τριχῶς λεγομένων, ἐπισκοπεῖσθαι προσήκει, πῶς ἐν 
-Z/1/542/15	ἑκάστῃ ῥήσει κέχρηταί τις τῇ προσηγορίᾳ, πότερον ὡς ἁπλοῦν 
-Z/1/542/16	τι καὶ ἄμικτον δηλῶν ἢ ὡς πρὸς τὸ σύμμετρον ὁμογενὲς ἢ 
[0057]  [009]  []  []

-Z/1/543/1	ὁμοειδὲς παραβάλλων | ἢ ὡς πρὸς τὸ τυχὸν ὁτιοῦν· οἷον 
-Z/1/543/2	ὅταν ὀστοῦν εἴπῃ τις ξηρὸν ἢ ψυχρὸν ἁπλῶς οὑτωσὶ μόνον 
-Z/1/543/3	ὀνομάσας ἄνευ τοῦ προσθεῖναι λέοντος ἢ κυνὸς ἢ ἀνθρώ-
-Z/1/543/4	που, δῆλον, ὡς πρὸς τὴν ὅλην φύσιν ἀποβλέπων ἁπάντων 
-Z/1/543/5	τῶν ἐν τῷ κόσμῳ σωμάτων ἐπινοεῖ τι μέσον, ᾧ παραβάλλων  
-Z/1/543/6	αὐτὸ ξηρὸν εἶναί φησιν. ἂν δέ γ' εἴπῃ τὸ τοῦ λέοντος 
-Z/1/543/7	ὀστοῦν [ἢ τοῦ ἀνθρώπου ἢ τοῦ κυνὸς] ξηρὸν εἶναι, δῆλον, 
-Z/1/543/8	ὡς ἐν αὐτοῖς πάλιν τοῖς τῶν ζῴων ὀστοῖς τῷ μέσῳ παρα-
-Z/1/543/9	βάλλει. καὶ χρὴ κἀνταῦθά τι νοῆσαι, πάντων τῶν ζῴων 
-Z/1/543/10	τῶν μὲν μᾶλλον τῶν δ' ἧττον ἐχόντων ὀστᾶ ξηρά, μέσον 
-Z/1/543/11	εἶναι τὴν κρᾶσιν ὀστοῦν ἔν τινι γένει ζῴων, οἷον ἀνθρώ-
-Z/1/543/12	πων, εἰ τύχοι, καὶ τούτῳ τἆλλα παραβαλλόμενα τὰ μὲν ξη-
-Z/1/543/13	ρά, τὰ δ' οὐ ξηρὰ προσαγορεύεσθαι. καὶ μὲν δὴ κἀν τοῖς 
-Z/1/543/14	ἀνθρώποις αὐτοῖς πάλιν ὁ μέν τις ξηρόν, ὁ δ' ὑγρὸν ὀστοῦν 
-Z/1/543/15	ἔχειν λεχθήσεται, τῷ μέσῳ παραβαλλόμενος ὡς ἐν ἀνθρώποις. 
-Z/1/543/16	  Ὅτι δ' ἐν ἅπασι τοῖς οὖσι τὸ μέσον τῶν ἄκρων ἐστὶ τὸ 
-Z/1/544/1	σύμμετρόν τε καὶ κατ' ἐκεῖνο τὸ γένος ἢ εἶδος | εὔκρατον, 
-Z/1/544/2	ἀεὶ χρὴ προσυπακούειν ἐν ἅπαντι τῷ λόγῳ, κἂν παρελθόντες 
-Z/1/544/3	ποτὲ τῇ λέξει τύχωμεν αὐτό, καὶ δὴ καὶ τούτων οὕτως 
-Z/1/544/4	ἐχόντων, ὅταν ὑγρὰν εἶναί τις εἴπῃ τήνδε τὴν κρᾶσιν ἢ 
-Z/1/544/5	θερμήν, ἐρωτᾶν, ὅπως εἴρηκεν, ἆρά γε τῷδέ τινι παρα-
-Z/1/544/6	βάλλων ἀφωρισμένως ἑνί, καθάπερ, εἰ τύχοι, τῷ Πλάτωνι 
-Z/1/544/7	τὸν Θεόφραστον, ἢ κατὰ γένος ὁτιοῦν ἢ εἶδος· [ἢ γὰρ ὡς 
-Z/1/544/8	ἄνθρωπον ἢ ὡς ζῷον ἢ ὡς οὐσίαν ἁπλῶς]. τὸ γὰρ δὴ 
-Z/1/544/9	τρίτον σημαινόμενον ἑκάστου τῶν τοιούτων ὀνομάτων, ὅπερ 
-Z/1/544/10	ἁπλοῦν ἐλέγομεν εἶναι καὶ ἄμικτον, οὐκ ἔστιν ἐν τοῖς κεκρα-
-Z/1/544/11	μένοις, ἀλλ' ἐν αὐτοῖς τοῖς πρώτοις, ἃ δὴ καὶ στοιχεῖα 
-Z/1/544/12	προσαγορεύομεν, ὥστε τριχῶς ἑκάστου τῶν ποιῶν σωμάτων 
-Z/1/544/13	λεγομένου τῶν δύο μόνων ἡμᾶς χρῄζειν εἰς τὴν περὶ κρά-
-Z/1/544/14	σεων πραγματείαν ἢ πρὸς τὸ τυχὸν ὁτιοῦν παραβάλλοντας 
-Z/1/544/15	ἢ πρὸς τὸ σύμμετρον ὁμογενές.  
-Z/1/544/16	  Ἐπεὶ δὲ πολλὰ τὰ γένη, καθάπερ οὖν καὶ τὰ ἄτομα, 
-Z/1/544/17	δυνήσεται ταὐτὸν σῶμα καὶ θερμὸν καὶ ψυχρὸν καὶ ξηρὸν 
-Z/1/545/1	καὶ ὑγρὸν εἶναι | κατὰ πολλοὺς τρόπους. ἀλλ' ὅταν μὲν ἑνὶ 
-Z/1/545/2	τῷ τυχόντι παραβάλληται, πάνυ σαφές ἐστιν, ὡς ἐγχωρεῖ 
-Z/1/545/3	τἀναντία λέγεσθαι ταὐτόν, οἷον Δίωνα Θέωνος μὲν καὶ 
-Z/1/545/4	Μέμνονος ξηρότερον, Ἀρίστωνος δὲ καὶ Γλαύκωνος ὑγρό-
-Z/1/545/5	τερον. ὅταν δὲ πρὸς τὸ σύμμετρον ὁμογενὲς ἢ ὁμοειδές, 
-Z/1/545/6	ἐνταῦθ' ἤδη συγχεῖσθαί τε καὶ ταράττεσθαι συμβαίνει τοὺς 
-Z/1/545/7	ἀγυμνάστους. ὁ γὰρ αὐτὸς ἄνθρωπος ὑγρὸς ἅμα καὶ θερ-
-Z/1/545/8	μὸς εἶναι δύναται καὶ ξηρὸς καὶ ψυχρός, ξηρὸς μὲν καὶ 
-Z/1/545/9	ψυχρὸς ὡς πρὸς τὸν σύμμετρον ἄνθρωπον παραβαλλόμενος, 
-Z/1/545/10	ὑγρὸς δὲ καὶ θερμὸς ὡς πρὸς ἄλλο τι ἢ ζῷον ἢ φυτὸν ἢ 
-Z/1/545/11	οὐσίαν ἡντινοῦν, οἷον ὡς πρὸς μὲν ζῷον, εἰ τύχοι, μέλιττάν 
-Z/1/545/12	τε καὶ μύρμηκα, πρὸς δὲ φυτὸν ἐλαίαν ἢ συκῆν ἢ δάφνην, 
-Z/1/545/13	πρὸς οὐσίαν δέ τιν' ἑτέραν, ἣ μήτε ζῷόν ἐστι μήτε φυτόν, 
-Z/1/545/14	οἷον λίθον ἢ σίδηρον ἢ χαλκόν. ἐν τούτοις δὲ τὸ μὲν πρὸς 
-Z/1/545/15	ἄνθρωπον παραβάλλειν πρὸς ὁμοειδές ἐστι παραβάλλειν, τὸ 
-Z/1/545/16	δὲ πρὸς μέλιτταν ἢ μύρμηκα πρὸς ὁμογενές, ὡσαύτως δὲ 
-Z/1/546/1	καὶ πρὸς φυτὸν ὁτιοῦν. ἔστι γὰρ ἀνω|τέρω τοῦ ζῴου 
-Z/1/546/2	τοῦτο τὸ γένος, ὥσπερ οὖν καὶ αὐτοῦ τούτου λίθος καὶ 
-Z/1/546/3	σίδηρος καὶ χαλκὸς ἐκ τῶν ἄνωθεν γενῶν. καλείσθω γοῦν 
-Z/1/546/4	〈πρὸς〉 ὁμογενὲς ἕνεκα συντόμου διδασκαλίας ἡ τοιαύτη 
-Z/1/546/5	σύμπασα παραβολή, τοσόνδε μόνον ἐν αὐτῇ διελομένων ἡμῶν, 
-Z/1/546/6	ὡς, ἐπειδὰν μὲν ἁπλῶς οὐσία τις εὔκρατος λέγηται καὶ ταύ-
-Z/1/546/7	της δέ τις ἑτέρα ξηροτέρα καὶ θερμοτέρα καὶ ψυχροτέρα 
-Z/1/546/8	καὶ ὑγροτέρα, τὴν μὲν εὔκρατον ἐνταῦθα τὴν ἐκ τῶν ἐναν-
-Z/1/546/9	τίων ἀκριβῶς ἴσων συνελθόντων ὀνομάζομεν, ὅσον δ' ἀπο-
-Z/1/546/10	λείπεται τῆσδε καὶ πλεονεκτεῖ κατά τι, τῷ τοῦ πλεονεκτοῦντος 
-Z/1/546/11	ὀνόματι προσαγορεύομεν· ἐπειδὰν δ' ἤτοι φυτὸν εὔκρατον  
-Z/1/546/12	ἢ ζῷον ὁτιοῦν εἴπωμεν, οὐκέθ' ἁπλῶς ἀλλήλοις ἐν τῇ τοι-
-Z/1/546/13	αύτῃ λέξει τἀναντία παραβάλλομεν, ἀλλὰ πρὸς τὴν τοῦ φυ-
-Z/1/546/14	τοῦ φύσιν ἢ τὴν τοῦ ζῴου τὴν ἀναφορὰν ποιούμεθα, συκῆν 
-Z/1/546/15	μὲν εὔκρατον. εἰ τύχοι, λέγοντες, ὅταν, οἵᾳ μάλιστα πρέπει 
-Z/1/546/16	τὴν φύσιν ὑπάρχειν συκῇ, τοιαύτη τις ᾖ, κύνα δ' αὖ καὶ 
-Z/1/546/17	σῦν καὶ ἵππον καὶ ἄνθρωπον, ἐπειδὰν καὶ τούτων ἕκαστον 
-Z/1/547/1	| ἄριστα τῆς οἰκείας ἔχῃ φύσεως. αὐτὸ δὲ δὴ τοῦτο τὸ 
-Z/1/547/2	τῆς οἰκείας φύσεως ἔχειν ἄριστα ταῖς ἐνεργείαις κρίνεται. 
-Z/1/547/3	καὶ γὰρ καὶ φυτὸν καὶ ζῷον ὁτιοῦν ἄριστα διακεῖσθαι 
-Z/1/547/4	τηνικαῦτά φαμεν, ὅταν ἐνεργῄσῃ κάλλιστα. συκῆς μὲν γὰρ 
-Z/1/547/5	ἀρετὴ βέλτιστά τε καὶ πλεῖστα τελεσφορεῖν σῦκα· κατὰ ταὐτὰ 
-Z/1/547/6	δὲ καὶ τῆς ἀμπέλου τὸ πλείστας τε καὶ καλλίστας ἐκφέρειν 
-Z/1/547/7	σταφυλάς, ἵππου δὲ τὸ θεῖν ὠκύτατα καὶ κυνὸς εἰς μὲν 
-Z/1/547/8	θήρας τε καὶ φυλακὰς ἄκρως εἶναι θυμοειδῆ, πρὸς δὲ τοὺς 
-Z/1/547/9	οἰκείους πρᾳότατον. 
-Z/1/547/10	  Ἅπαντ' οὖν ταῦτα, τά τε ζῷα λέγω καὶ τὰ φυτά, τὴν 
-Z/1/547/11	ἀρίστην τε καὶ μέσην ἐν τῷ σφετέρῳ γένει κρᾶσιν ἔχειν 
-Z/1/547/12	ἐροῦμεν οὐχ ἁπλῶς, ὅταν ἰσότης ἀκριβὴς ᾖ τῶν ἐναντίων, 
-Z/1/547/13	ἀλλ' ὅταν ἡ κατὰ δύναμιν αὐτοῖς ὑπάρχῃ συμμετρία. τοι-
-Z/1/547/14	οῦτον δέ τι καὶ τὴν δικαιοσύνην εἶναί φαμεν, οὐ σταθμῷ 
-Z/1/547/15	καὶ μέτρῳ τὸ ἴσον, ἀλλὰ τῷ προσήκοντί γε καὶ κατ' ἀξίαν 
-Z/1/547/16	ἐξετάζουσαν. ἰσότης οὖν κράσεως ἐν ἅπασι τοῖς εὐκράτοις 
-Z/1/547/17	ζῴοις τε καὶ φυτοῖς ἐστιν, οὐχ ἡ κατὰ τὸν τῶν κερασθέντων 
-Z/1/548/1	στοιχείων ὄγκον, ἀλλ' | ἡ τῇ φύσει τοῦ τε ζῴου καὶ τοῦ 
-Z/1/548/2	φυτοῦ πρέπουσα. πρέπει δ' ἔσθ' ὅτε τὸ μὲν ὑγρὸν τοῦ ξηροῦ, 
-Z/1/548/3	τὸ δὲ ψυχρὸν τοῦ θερμοῦ πλέον ὑπάρχειν. οὐ γὰρ ὁμοίαν  
-Z/1/548/4	χρὴ κρᾶσιν ἔχειν ἄνθρωπον καὶ λέοντα καὶ μέλιτταν καὶ 
-Z/1/548/5	κύνα. πρὸς δὴ τὸν ἐρόμενον, ἧστινός ἐστι κράσεως ἄνθρω-
-Z/1/548/6	πος ἢ ἵππος ἢ βοῦς ἢ κύων ἢ ὁτιοῦν ἄλλο τῶν πάντων, 
-Z/1/548/7	οὐχ ἁπλῶς ἀποκριτέον. οὐ γὰρ ἐγχωρεῖ τὰ πολλαχῶς λεγό-
-Z/1/548/8	μενά τε καὶ κρινόμενα καθ' ἕνα τρόπον ἀποκρινάμενον ἀν-
-Z/1/548/9	έγκλητον εἶναι. χρὴ τοίνυν δυοῖν θάτερον, ἢ πάσας ἐπέρ-
-Z/1/548/10	χεσθαι τὰς διαφορὰς ἢ περὶ τίνος ἤρετο πυθόμενον ἐκείνην 
-Z/1/548/11	μόνην εἰπεῖν. εἰ μὲν γὰρ ὡς ἐν ζῴοις πυνθάνοιτο, τίνος 
-Z/1/548/12	εἴη κράσεως, ἐπὶ τὸ μέσον ἁπάντων τῶν ζῴων τῇ κράσει 
-Z/1/548/13	βλέποντα τὴν ἀπόκρισιν ποιητέον· εἰ δ' ἁπλῶς τε καὶ ὡς 
-Z/1/548/14	πρὸς ἅπασαν οὐσίαν, οὕτως ἤδη παραβάλλειν τἀναντία τῶν 
-Z/1/548/15	ἐν αὐτῷ πρὸς ἄλληλα καὶ σκοπεῖσθαι, μηκέτι πρὸς τὰς ἐν-
-Z/1/548/16	εργείας ἀναφέροντα τὴν κρᾶσιν, ἀλλὰ πρὸς τοὺς ὄγκους τῶν 
-Z/1/549/1	στοιχείων. εἰ δ' ἀφωρισμένως τῷδέ τινι παραβάλλων | ἤρετο, 
-Z/1/549/2	πρὸς ἐκεῖνο μόνον αὐτὸ παραβλητέον. ἔτι δὲ μᾶλλον, εἴ 
-Z/1/549/3	τινος τῶν ἀτόμων οὐσιῶν, οἷον, εἰ τύχοι, Δίωνος ἢ τοῦδέ 
-Z/1/549/4	τινος τοῦ κυνὸς ἐρωτηθείημεν ὁποία τις ἡ κρᾶσίς ἐστιν, 
-Z/1/549/5	οὐχ ἁπλῶς ἀποκριτέον. ἀφορμὴ γὰρ οὐ σμικρὰ τοῖς σοφι-
-Z/1/549/6	σταῖς ἐντεῦθεν εἰς τὸ συκοφαντεῖν. εἰ γὰρ εἴποις ξηρᾶς καὶ 
-Z/1/549/7	θερμῆς κράσεως εἶναι τὸν Δίωνα, ῥᾷστον αὐτῷ, προχειρισα-
-Z/1/549/8	μένῳ τοῦτο μὲν τῶν θερμοτέρων τε καὶ ξηροτέρων ἐκείνου 
-Z/1/549/9	τὴν κρᾶσιν ἀνθρώπων ὁντινοῦν, ὑγρὸν καὶ ψυχρὸν ὡς πρὸς 
-Z/1/549/10	ἐκεῖνον ἀποφῆναι τὸν Δίωνα, τοῦτο δ' ἄλλο τι φυτὸν ἢ 
-Z/1/549/11	ζῷον, οἷον, εἰ τύχοι, λέοντά τε καὶ κύνα, καὶ τούτων ὑγρό-
-Z/1/549/12	τερόν τινα καὶ ψυχρότερον ἀποδεῖξαι τὸν Δίωνα. 
-Z/1/549/13	  Χρὴ τοίνυν, ὅστις μήθ' ἑαυτὸν ἐξαπατῆσαι βούλεται  
-Z/1/549/14	μήθ' ὑπ' ἄλλου σοφισθῆναι, τοῦτον ἀπὸ τῶν ἁπλῶς λεγο-
