
[0086]  [035]  [Pol]  []

-Z//1252a/t	                {ΠΟΛΙΤΙΚΩΝ Α} 
-Z//1259a/27	βολὴν τῆς τιμῆς· ἀλλ' ὅμως ἐπὶ τοῖς πεντήκοντα ταλάντοις 
-Z//1259a/28	ἐπέλαβεν ἑκατόν. τοῦτο μὲν οὖν Διονύσιος αἰσθόμενος τὰ 
-Z//1259a/29	μὲν χρήματα ἐκέλευσεν ἐκκομίσασθαι, μὴ μέντοι γε ἔτι 
-Z//1259a/30	μένειν ἐν Συρακούσαις, ὡς πόρους εὑρίσκοντα τοῖς αὐτοῦ 
-Z//1259a/31	πράγμασιν ἀσυμφόρους· τὸ μέντοι ὅραμα Θάλεω καὶ τοῦτο 
-Z//1259a/32	ταὐτόν ἐστιν· ἀμφότεροι γὰρ ἑαυτοῖς ἐτέχνασαν γενέσθαι 
-Z//1259a/33	μονοπωλίαν. χρήσιμον δὲ γνωρίζειν ταῦτα καὶ τοῖς πολι-
-Z//1259a/34	τικοῖς. πολλαῖς γὰρ πόλεσι δεῖ χρηματισμοῦ καὶ τοιούτων 
-Z//1259a/35	πόρων, ὥσπερ οἰκίᾳ, μᾶλλον δέ· διόπερ τινὲς καὶ πολι-
-Z//1259a/36	τεύονται τῶν πολιτευομένων ταῦτα μόνον.  
-Z//1259a/37	  Ἐπεὶ δὲ τρία μέρη τῆς οἰκονομικῆς ἦν, ἓν μὲν δε-
-Z//1259a/38	σποτική, περὶ ἧς εἴρηται πρότερον, ἓν δὲ πατρική, τρίτον δὲ 
-Z//1259a/39	γαμική (καὶ γὰρ γυναικὸς ἄρχει καὶ τέκνων, ὡς ἐλευθέ-
-Z//1259a/40	ρων μὲν ἀμφοῖν, οὐ τὸν αὐτὸν δὲ τρόπον τῆς ἀρχῆς, ἀλλὰ 
-Z//1259b/1	γυναικὸς μὲν πολιτικῶς τέκνων δὲ βασιλικῶς· τό τε γὰρ 
-Z//1259b/2	ἄρρεν φύσει τοῦ θήλεος ἡγεμονικώτερον, εἰ μή που συν-
-Z//1259b/3	έστηκε παρὰ φύσιν, καὶ τὸ πρεσβύτερον καὶ τέλειον τοῦ νεω-
-Z//1259b/4	τέρου καὶ ἀτελοῦς)—ἐν μὲν οὖν ταῖς πολιτικαῖς ἀρχαῖς ταῖς 
-Z//1259b/5	πλείσταις μεταβάλλει τὸ ἄρχον καὶ τὸ ἀρχόμενον (ἐξ ἴσου 
-Z//1259b/6	γὰρ εἶναι βούλεται τὴν φύσιν καὶ διαφέρειν μηδέν), ὅμως 
-Z//1259b/7	δέ, ὅταν τὸ μὲν ἄρχῃ τὸ δ' ἄρχηται, ζητεῖ διαφορὰν εἶναι 
-Z//1259b/8	καὶ σχήμασι καὶ λόγοις καὶ τιμαῖς, ὥσπερ καὶ Ἄμασις 
-Z//1259b/9	εἶπε τὸν περὶ τοῦ ποδανιπτῆρος λόγον· τὸ δ' ἄρρεν ἀεὶ πρὸς 
-Z//1259b/10	τὸ θῆλυ τοῦτον ἔχει τὸν τρόπον. ἡ δὲ τῶν τέκνων ἀρχὴ 
-Z//1259b/11	βασιλική· τὸ γὰρ γεννῆσαν καὶ κατὰ φιλίαν ἄρχον καὶ 
-Z//1259b/12	κατὰ πρεσβείαν ἐστίν, ὅπερ ἐστὶ βασιλικῆς εἶδος ἀρχῆς. διὸ 
-Z//1259b/13	καλῶς Ὅμηρος τὸν Δία προσηγόρευσεν εἰπὼν “πατὴρ ἀν-
-Z//1259b/14	δρῶν τε θεῶν τε” τὸν βασιλέα τούτων ἁπάντων. φύσει γὰρ 
-Z//1259b/15	τὸν βασιλέα διαφέρειν μὲν δεῖ, τῷ γένει δ' εἶναι τὸν αὐτόν· 
-Z//1259b/16	ὅπερ πέπονθε τὸ πρεσβύτερον πρὸς τὸ νεώτερον καὶ ὁ γεν-
-Z//1259b/17	νήσας πρὸς τὸ τέκνον. 
-Z//1259b/18	  Φανερὸν τοίνυν ὅτι πλείων ἡ σπουδὴ τῆς οἰκονομίας 
-Z//1259b/19	περὶ τοὺς ἀνθρώπους ἢ περὶ τὴν τῶν ἀψύχων κτῆσιν, καὶ 
-Z//1259b/20	περὶ τὴν ἀρετὴν τούτων ἢ περὶ τὴν τῆς κτήσεως, ὃν καλοῦμεν 
-Z//1259b/21	πλοῦτον, καὶ τῶν ἐλευθέρων μᾶλλον ἢ δούλων. πρῶτον μὲν 
-Z//1259b/22	οὖν περὶ δούλων ἀπορήσειεν ἄν τις, πότερον ἔστιν ἀρετή τις 
-Z//1259b/23	δούλου παρὰ τὰς ὀργανικὰς καὶ διακονικὰς ἄλλη τιμιωτέρα 
-Z//1259b/24	τούτων, οἷον σωφροσύνη καὶ ἀνδρεία καὶ δικαιοσύνη καὶ 〈ἑκάστη〉 
-Z//1259b/25	τῶν ἄλλων τῶν τοιούτων ἕξεων, ἢ οὐκ ἔστιν οὐδεμία παρὰ τὰς  
-Z//1259b/26	σωματικὰς ὑπηρεσίας (ἔχει γὰρ ἀπορίαν ἀμφοτέρως· εἴτε 
-Z//1259b/27	γὰρ ἔστιν, τί διοίσουσι τῶν ἐλευθέρων; εἴτε μὴ ἔστιν, ὄντων 
-Z//1259b/28	ἀνθρώπων καὶ λόγου κοινωνούντων ἄτοπον). σχεδὸν δὲ 
-Z//1259b/29	ταὐτόν ἐστι τὸ ζητούμενον καὶ περὶ γυναικὸς καὶ παιδός, 
-Z//1259b/30	πότερα καὶ τούτων εἰσὶν ἀρεταί, καὶ δεῖ τὴν γυναῖκα εἶναι 
-Z//1259b/31	σώφρονα καὶ ἀνδρείαν καὶ δικαίαν, καὶ παῖς ἔστι καὶ ἀκό-
-Z//1259b/32	λαστος καὶ σώφρων, ἢ οὔ; καθόλου δὴ τοῦτ' ἐστὶν ἐπισκε-
-Z//1259b/33	πτέον περὶ ἀρχομένου φύσει καὶ ἄρχοντος, πότερον ἡ αὐτὴ 
-Z//1259b/34	ἀρετὴ ἢ ἑτέρα. εἰ μὲν γὰρ δεῖ ἀμφοτέρους μετέχειν καλο-
-Z//1259b/35	καγαθίας, διὰ τί τὸν μὲν ἄρχειν δέοι ἂν τὸν δὲ ἄρχεσθαι 
-Z//1259b/36	καθάπαξ; οὐδὲ γὰρ τῷ μᾶλλον καὶ ἧττον οἷόν τε δια-
-Z//1259b/37	φέρειν· τὸ μὲν γὰρ ἄρχεσθαι καὶ ἄρχειν εἴδει διαφέρει, τὸ 
-Z//1259b/38	δὲ μᾶλλον καὶ ἧττον οὐδέν. εἰ δὲ τὸν μὲν δεῖ τὸν δὲ μή, 
-Z//1259b/39	θαυμαστόν. εἴτε γὰρ ὁ ἄρχων μὴ ἔσται σώφρων καὶ δί-
-Z//1259b/40	καιος, πῶς ἄρξει καλῶς; εἴθ' ὁ ἀρχόμενος, πῶς ἀρχθή-
-Z//1260a/1	σεται καλῶς; ἀκόλαστος γὰρ ὢν καὶ δειλὸς οὐδὲν ποιήσει 
-Z//1260a/2	τῶν προσηκόντων. φανερὸν τοίνυν ὅτι ἀνάγκη μὲν μετέχειν 
-Z//1260a/3	ἀμφοτέρους ἀρετῆς, ταύτης δ' εἶναι διαφοράς, ὥσπερ καὶ 
-Z//1260a/4	τῶν φύσει ἀρχόντων. καὶ τοῦτο εὐθὺς ὑφήγηται 〈τὰ〉 περὶ τὴν 
-Z//1260a/5	ψυχήν· ἐν ταύτῃ γάρ ἐστι φύσει τὸ μὲν ἄρχον τὸ δ' 
-Z//1260a/6	ἀρχόμενον, ὧν ἑτέραν φαμὲν εἶναι ἀρετήν, οἷον τοῦ λόγον 
-Z//1260a/7	ἔχοντος καὶ τοῦ ἀλόγου. δῆλον τοίνυν ὅτι τὸν αὐτὸν τρόπον 
-Z//1260a/8	ἔχει καὶ ἐπὶ τῶν ἄλλων, ὥστε φύσει τὰ πλείω ἄρχοντα 
-Z//1260a/9	καὶ ἀρχόμενα. ἄλλον γὰρ τρόπον τὸ ἐλεύθερον τοῦ δούλου 
-Z//1260a/10	ἄρχει καὶ τὸ ἄρρεν τοῦ θήλεος καὶ ἀνὴρ παιδός, καὶ πᾶσιν 
-Z//1260a/11	ἐνυπάρχει μὲν τὰ μόρια τῆς ψυχῆς, ἀλλ' ἐνυπάρχει δια-
-Z//1260a/12	φερόντως. ὁ μὲν γὰρ δοῦλος ὅλως οὐκ ἔχει τὸ βουλευτικόν, 
-Z//1260a/13	τὸ δὲ θῆλυ ἔχει μέν, ἀλλ' ἄκυρον, ὁ δὲ παῖς ἔχει μέν, 
-Z//1260a/14	ἀλλ' ἀτελές. ὁμοίως τοίνυν ἀναγκαίως ἔχειν καὶ περὶ τὰς  
-Z//1260a/15	ἠθικὰς ἀρετὰς ὑποληπτέον, δεῖν μὲν μετέχειν πάντας, ἀλλ' οὐ 
-Z//1260a/16	τὸν αὐτὸν τρόπον, ἀλλ' ὅσον 〈ἱκανὸν〉 ἑκάστῳ πρὸς τὸ αὑτοῦ 
-Z//1260a/17	ἔργον· διὸ τὸν μὲν ἄρχοντα τελέαν ἔχειν δεῖ τὴν ἠθικὴν 
-Z//1260a/18	ἀρετήν (τὸ γὰρ ἔργον ἐστὶν ἁπλῶς τοῦ ἀρχιτέκτονος, ὁ δὲ 
-Z//1260a/19	λόγος ἀρχιτέκτων), τῶν δ' ἄλλων ἕκαστον ὅσον ἐπιβάλλει 
-Z//1260a/20	αὐτοῖς. ὥστε φανερὸν ὅτι ἔστιν ἠθικὴ ἀρετὴ τῶν εἰρημένων 
-Z//1260a/21	πάντων, καὶ οὐχ ἡ αὐτὴ σωφροσύνη γυναικὸς καὶ ἀνδρός, 
-Z//1260a/22	οὐδ' ἀνδρεία καὶ δικαιοσύνη, καθάπερ ᾤετο Σωκράτης, ἀλλ' 
-Z//1260a/23	ἡ μὲν ἀρχικὴ ἀνδρεία ἡ δ' ὑπηρετική, ὁμοίως δ' ἔχει καὶ 
-Z//1260a/24	περὶ τὰς ἄλλας. 
-Z//1260a/24	              δῆλον δὲ τοῦτο καὶ κατὰ μέρος μᾶλλον 
-Z//1260a/25	ἐπισκοποῦσιν· καθόλου γὰρ οἱ λέγοντες ἐξαπατῶσιν ἑαυτοὺς 
-Z//1260a/26	ὅτι τὸ εὖ ἔχειν τὴν ψυχὴν ἀρετή, ἢ τὸ ὀρθοπραγεῖν, ἤ τι 
-Z//1260a/27	τῶν τοιούτων· πολὺ γὰρ ἄμεινον λέγουσιν οἱ ἐξαριθμοῦντες 
-Z//1260a/28	τὰς ἀρετάς, ὥσπερ Γοργίας, τῶν οὕτως ὁριζομένων. διὸ δεῖ, 
-Z//1260a/29	ὥσπερ ὁ ποιητὴς εἴρηκε περὶ γυναικός, οὕτω νομίζειν ἔχειν 
-Z//1260a/30	περὶ πάντων· “γυναικὶ κόσμον ἡ σιγὴ φέρει”, ἀλλ' ἀνδρὶ 
[0086]  [035]  [Pol]  []

-Z//1260a/31	οὐκέτι τοῦτο. ἐπεὶ δ' ὁ παῖς ἀτελής, δῆλον ὅτι τούτου μὲν καὶ 
-Z//1260a/32	ἡ ἀρετὴ οὐκ αὐτοῦ πρὸς αὑτόν ἐστιν, ἀλλὰ πρὸς τὸ τέλος 
-Z//1260a/33	καὶ τὸν ἡγούμενον· ὁμοίως δὲ καὶ δούλου πρὸς δεσπότην. ἔθε-
-Z//1260a/34	μεν δὲ πρὸς τἀναγκαῖα χρήσιμον εἶναι τὸν δοῦλον, ὥστε δῆ-
-Z//1260a/35	λον ὅτι καὶ ἀρετῆς δεῖται μικρᾶς, καὶ τοσαύτης ὅπως μήτε 
-Z//1260a/36	δι' ἀκολασίαν μήτε διὰ δειλίαν ἐλλείψῃ τῶν ἔργων. ἀπορή-
-Z//1260a/37	σειε δ' ἄν τις, τὸ νῦν εἰρημένον εἰ ἀληθές, ἆρα καὶ τοὺς 
-Z//1260a/38	τεχνίτας δεήσει ἔχειν ἀρετήν· πολλάκις γὰρ δι' ἀκολασίαν 
-Z//1260a/39	ἐλλείπουσι τῶν ἔργων. ἢ διαφέρει τοῦτο πλεῖστον; ὁ μὲν γὰρ 
-Z//1260a/40	δοῦλος κοινωνὸς ζωῆς, ὁ δὲ πορρώτερον, καὶ τοσοῦτον ἐπι-
-Z//1260a/41	βάλλει ἀρετῆς ὅσον περ καὶ δουλείας· ὁ γὰρ βάναυσος τε-
-Z//1260b/1	χνίτης ἀφωρισμένην τινὰ ἔχει δουλείαν, καὶ ὁ μὲν δοῦλος  
-Z//1260b/2	τῶν φύσει, σκυτοτόμος δ' οὐθείς, οὐδὲ τῶν ἄλλων τεχνιτῶν. 
-Z//1260b/3	φανερὸν τοίνυν ὅτι τῆς τοιαύτης ἀρετῆς αἴτιον εἶναι δεῖ τῷ 
-Z//1260b/4	δούλῳ τὸν δεσπότην, ἀλλ' οὐ 〈τὸν〉 τὴν διδασκαλικὴν ἔχοντα τῶν 
-Z//1260b/5	ἔργων [δεσποτικήν]. διὸ λέγουσιν οὐ καλῶς οἱ λόγου τοὺς δούλους 
-Z//1260b/6	ἀποστεροῦντες καὶ φάσκοντες ἐπιτάξει χρῆσθαι μόνον· νου-
-Z//1260b/7	θετητέον γὰρ μᾶλλον τοὺς δούλους ἢ τοὺς παῖδας. 
-Z//1260b/8	  ἀλλὰ περὶ μὲν τούτων διωρίσθω τὸν τρόπον τοῦτον· περὶ 
-Z//1260b/9	δ' ἀνδρὸς καὶ γυναικός, καὶ τέκνων καὶ πατρός, τῆς τε περὶ 
-Z//1260b/10	ἕκαστον αὐτῶν ἀρετῆς καὶ τῆς πρὸς σφᾶς αὐτοὺς ὁμιλίας, 
-Z//1260b/11	τί τὸ καλῶς καὶ μὴ καλῶς ἐστι, καὶ πῶς δεῖ τὸ μὲν εὖ δι-
-Z//1260b/12	ώκειν τὸ δὲ κακῶς φεύγειν, ἐν τοῖς περὶ τὰς πολιτείας ἀναγ-
-Z//1260b/13	καῖον ἐπελθεῖν. ἐπεὶ γὰρ οἰκία μὲν πᾶσα μέρος πόλεως, 
-Z//1260b/14	ταῦτα δ' οἰκίας, τὴν δὲ τοῦ μέρους πρὸς τὴν τοῦ ὅλου δεῖ βλέ-
-Z//1260b/15	πειν ἀρετήν, ἀναγκαῖον πρὸς τὴν πολιτείαν βλέποντας παι-
-Z//1260b/16	δεύειν καὶ τοὺς παῖδας καὶ τὰς γυναῖκας, εἴπερ τι διαφέρει πρὸς 
-Z//1260b/17	τὸ τὴν πόλιν εἶναι σπουδαίαν καὶ 〈τὸ〉 τοὺς παῖδας εἶναι σπου-
-Z//1260b/18	δαίους καὶ τὰς γυναῖκας σπουδαίας. ἀναγκαῖον δὲ διαφέρειν· αἱ 
-Z//1260b/19	μὲν γὰρ γυναῖκες ἥμισυ μέρος τῶν ἐλευθέρων, ἐκ δὲ τῶν παίδων οἱ 
-Z//1260b/20	κοινωνοὶ γίνονται τῆς πολιτείας. ὥστ', ἐπεὶ περὶ μὲν τούτων 
-Z//1260b/21	διώρισται, περὶ δὲ τῶν λοιπῶν ἐν ἄλλοις λεκτέον, ἀφέντες ὡς τέλος 
-Z//1260b/22	ἔχοντας τοὺς νῦν λόγους, ἄλλην ἀρχὴν ποιησάμενοι λέγωμεν, 
-Z//1260b/23	καὶ πρῶτον ἐπισκεψώμεθα περὶ τῶν ἀποφηναμένων περὶ τῆς 
-Z//1260b/24	πολιτείας τῆς ἀρίστης. 
-Z//1260b/27t	                          {Β} 
-Z//1260b/27	  Ἐπεὶ δὲ προαιρούμεθα θεωρῆσαι περὶ τῆς κοινωνίας τῆς 
-Z//1260b/28	πολιτικῆς, τίς κρατίστη πασῶν τοῖς δυναμένοις ζῆν ὅτι μάλι-
-Z//1260b/29	στα κατ' εὐχήν, δεῖ καὶ τὰς ἄλλας ἐπισκέψασθαι πολι-
-Z//1260b/30	τείας, αἷς τε χρῶνταί τινες τῶν πόλεων τῶν εὐνομεῖσθαι  
-Z//1260b/31	λεγομένων, κἂν εἴ τινες ἕτεραι τυγχάνουσιν ὑπὸ τινῶν εἰρη-
-Z//1260b/32	μέναι καὶ δοκοῦσαι καλῶς ἔχειν, ἵνα τό τ' ὀρθῶς ἔχον ὀφθῇ 
-Z//1260b/33	καὶ τὸ χρήσιμον, ἔτι δὲ τὸ ζητεῖν τι παρ' αὐτὰς ἕτερον μὴ 
-Z//1260b/34	δοκῇ πάντως εἶναι σοφίζεσθαι βουλομένων, ἀλλὰ διὰ τὸ μὴ 
-Z//1260b/35	καλῶς ἔχειν ταύτας τὰς νῦν ὑπαρχούσας, διὰ τοῦτο ταύτην 
-Z//1260b/36	δοκῶμεν ἐπιβαλέσθαι τὴν μέθοδον. ἀρχὴν δὲ πρῶτον ποιη-
-Z//1260b/37	τέον ἥπερ πέφυκεν ἀρχὴ ταύτης τῆς σκέψεως. ἀνάγκη 
-Z//1260b/38	γὰρ ἤτοι πάντας πάντων κοινωνεῖν τοὺς πολίτας, ἢ μηδενός, 
-Z//1260b/39	ἢ τινῶν μὲν τινῶν δὲ μή. τὸ μὲν οὖν μηδενὸς κοινωνεῖν φα-
-Z//1260b/40	νερὸν ὡς ἀδύνατον (ἡ γὰρ πολιτεία κοινωνία τίς ἐστι, καὶ 
-Z//1260b/41	πρῶτον ἀνάγκη τοῦ τόπου κοινωνεῖν· ὁ μὲν γὰρ τόπος εἷς ὁ τῆς 
-Z//1261a/1	μιᾶς πόλεως, οἱ δὲ πολῖται κοινωνοὶ τῆς μιᾶς πόλεως)· 
-Z//1261a/2	ἀλλὰ πότερον ὅσων ἐνδέχεται κοινωνῆσαι, πάντων βέλτιον 
-Z//1261a/3	κοινωνεῖν τὴν μέλλουσαν οἰκήσεσθαι πόλιν καλῶς, ἢ τινῶν 
-Z//1261a/4	μὲν τινῶν δ' οὒ βέλτιον; ἐνδέχεται γὰρ καὶ τέκνων καὶ γυ-
-Z//1261a/5	ναικῶν καὶ κτημάτων κοινωνεῖν τοὺς πολίτας ἀλλήλοις, ὥσ-
-Z//1261a/6	περ ἐν τῇ Πολιτείᾳ τῇ Πλάτωνος· ἐκεῖ γὰρ ὁ Σωκράτης 
-Z//1261a/7	φησὶ δεῖν κοινὰ τὰ τέκνα καὶ τὰς γυναῖκας εἶναι καὶ τὰς 
-Z//1261a/8	κτήσεις. τοῦτο δὴ πότερον ὡς νῦν οὕτω βέλτιον ἔχειν, ἢ κατὰ 
-Z//1261a/9	τὸν ἐν τῇ Πολιτείᾳ γεγραμμένον νόμον; 
-Z//1261a/10	  Ἔχει δὴ δυσχερείας ἄλλας τε πολλὰς τὸ πάντων εἶναι τὰς 
-Z//1261a/11	γυναῖκας κοινάς, καὶ δι' ἣν αἰτίαν φησὶ δεῖν νενομοθετῆσθαι τὸν 
-Z//1261a/12	τρόπον τοῦτον ὁ Σωκράτης, οὐ φαίνεται συμβαῖνον ἐκ τῶν λόγων. 
-Z//1261a/13	ἔτι δὲ πρός, τὸ τέλος ὅ φησι τῇ πόλει δεῖν ὑπάρχειν, ὡς μὲν 
-Z//1261a/14	εἴρηται νῦν, ἀδύνατον, πῶς δὲ δεῖ διελεῖν, οὐδὲν διώρισται. 
-Z//1261a/15	λέγω δὲ τὸ μίαν εἶναι τὴν πόλιν ὡς ἄριστον ὂν ὅτι μάλιστα 
-Z//1261a/16	πᾶσαν· λαμβάνει γὰρ ταύτην 〈τὴν〉 ὑπόθεσιν ὁ Σωκράτης. καίτοι  
-Z//1261a/17	φανερόν ἐστιν ὡς προϊοῦσα καὶ γινομένη μία μᾶλλον οὐδὲ πόλις 
-Z//1261a/18	ἔσται· πλῆθος γάρ τι τὴν φύσιν ἐστὶν ἡ πόλις, γινομένη τε 
-Z//1261a/19	μία μᾶλλον οἰκία μὲν ἐκ πόλεως ἄνθρωπος δ' ἐξ οἰκίας 
-Z//1261a/20	ἔσται· μᾶλλον γὰρ μίαν τὴν οἰκίαν τῆς πόλεως φαίημεν ἄν, 
-Z//1261a/21	καὶ τὸν ἕνα τῆς οἰκίας· ὥστ' εἰ καὶ δυνατός τις εἴη τοῦτο 
-Z//1261a/22	δρᾶν, οὐ ποιητέον· ἀναιρήσει γὰρ τὴν πόλιν. 
-Z//1261a/22	                                        οὐ μόνον δ' ἐκ 
-Z//1261a/23	πλειόνων ἀνθρώπων ἐστὶν ἡ πόλις, ἀλλὰ καὶ ἐξ εἴδει δια-
-Z//1261a/24	φερόντων. οὐ γὰρ γίνεται πόλις ἐξ ὁμοίων. ἕτερον γὰρ συμ-
-Z//1261a/25	μαχία καὶ πόλις· τὸ μὲν γὰρ τῷ ποσῷ χρήσιμον, κἂν ᾖ 
-Z//1261a/26	τὸ αὐτὸ τῷ εἴδει (βοηθείας γὰρ χάριν ἡ συμμαχία πέφυ-
-Z//1261a/27	κεν), ὥσπερ ἂν εἰ σταθμὸς πλεῖον ἑλκύσειε (διοίσει δὲ τῷ 
-Z//1261a/28	τοιούτῳ καὶ πόλις ἔθνους, ὅταν μὴ κατὰ κώμας ὦσι κεχωρι-
-Z//1261a/29	σμένοι τὸ πλῆθος, ἀλλ' οἷον Ἀρκάδες)· ἐξ ὧν δὲ δεῖ ἓν 
-Z//1261a/30	γενέσθαι, εἴδει διαφέρει. διόπερ τὸ ἴσον τὸ ἀντιπεπονθὸς 
-Z//1261a/31	σῴζει τὰς πόλεις, ὥσπερ ἐν τοῖς Ἠθικοῖς εἴρηται πρότερον· 
-Z//1261a/32	ἐπεὶ καὶ ἐν τοῖς ἐλευθέροις καὶ ἴσοις ἀνάγκη τοῦτ' εἶναι· ἅμα 
-Z//1261a/33	γὰρ οὐχ οἷόν τε πάντας ἄρχειν, ἀλλ' ἢ κατ' ἐνιαυτὸν ἢ 
-Z//1261a/34	κατά τινα ἄλλην τάξιν [ἢ] χρόνου. καὶ συμβαίνει δὴ τὸν 
-Z//1261a/35	τρόπον τοῦτον ὥστε πάντας ἄρχειν, ὥσπερ ἂν εἰ μετέβαλλον 
-Z//1261a/36	οἱ σκυτεῖς καὶ οἱ τέκτονες καὶ μὴ ἀεὶ οἱ αὐτοὶ σκυτοτόμοι 
-Z//1261a/37	καὶ τέκτονες ἦσαν. ἐπεὶ δὲ βέλτιον οὕτως ἔχει καὶ τὰ περὶ 
-Z//1261a/38	τὴν κοινωνίαν τὴν πολιτικήν, δῆλον ὡς τοὺς αὐτοὺς ἀεὶ βέλ-
-Z//1261a/39	τιον ἄρχειν, εἰ δυνατόν, ἐν οἷς δὲ μὴ δυνατὸν διὰ τὸ τὴν 
-Z//1261b/1	φύσιν ἴσους εἶναι πάντας, ἅμα δὲ καὶ δίκαιον, εἴτ' ἀγαθὸν 
-Z//1261b/2	εἴτε φαῦλον τὸ ἄρχειν. πάντας αὐτοῦ μετέχειν, τοῦτό γε  
-Z//1261b/3	μιμεῖται τὸ ἐν μέρει τοὺς ἴσους εἴκειν τό θ' ὁμοίους εἶναι 
-Z//1261b/4	ἔξω ἀρχῆς· οἱ μὲν γὰρ ἄρχουσιν οἱ δ' ἄρχονται κατὰ μέρος 
-Z//1261b/5	ὥσπερ ἂν ἄλλοι γενόμενοι. τὸν αὐτὸν δὴ τρόπον ἀρχόντων 
-Z//1261b/6	ἕτεροι ἑτέρας ἄρχουσιν ἀρχάς. φανερὸν τοίνυν ἐκ τούτων ὡς 
-Z//1261b/7	οὔτε πέφυκε μίαν οὕτως εἶναι τὴν πόλιν ὥσπερ λέγουσί τινες, 
-Z//1261b/8	καὶ τὸ λεχθὲν ὡς μέγιστον ἀγαθὸν ἐν ταῖς πόλεσιν ὅτι τὰς 
-Z//1261b/9	πόλεις ἀναιρεῖ· καίτοι τό γε ἑκάστου ἀγαθὸν σῴζει ἕκαστον. 
-Z//1261b/10	ἔστι δὲ καὶ κατ' ἄλλον τρόπον φανερὸν ὅτι τὸ λίαν ἑνοῦν ζη-
-Z//1261b/11	τεῖν τὴν πόλιν οὐκ ἔστιν ἄμεινον. οἰκία μὲν γὰρ αὐταρκέστε-
-Z//1261b/12	ρον ἑνός, πόλις δ' οἰκίας, καὶ βούλεταί γ' ἤδη τότε εἶναι πόλις 
-Z//1261b/13	ὅταν αὐτάρκη συμβαίνῃ τὴν κοινωνίαν εἶναι τοῦ πλήθους· 
-Z//1261b/14	εἴπερ οὖν αἱρετώτερον τὸ αὐταρκέστερον, καὶ τὸ ἧττον ἓν τοῦ 
-Z//1261b/15	μᾶλλον αἱρετώτερον. 
-Z//1261b/16	  Ἀλλὰ μὴν οὐδ' εἰ τοῦτο ἄριστόν ἐστι, τὸ μίαν ὅτι μά-
-Z//1261b/17	λιστ' εἶναι τὴν κοινωνίαν, οὐδὲ τοῦτο ἀποδείκνυσθαι φαίνεται 
-Z//1261b/18	κατὰ τὸν λόγον, ἐὰν πάντες ἅμα λέγωσι τὸ ἐμὸν καὶ τὸ 
-Z//1261b/19	μὴ ἐμόν· τοῦτο γὰρ οἴεται ὁ Σωκράτης σημεῖον εἶναι τοῦ τὴν 
-Z//1261b/20	πόλιν τελέως εἶναι μίαν. τὸ γὰρ πάντες διττόν. εἰ μὲν οὖν 
-Z//1261b/21	ὡς ἕκαστος, τάχ' ἂν εἴη μᾶλλον ὃ βούλεται ποιεῖν ὁ Σω-
-Z//1261b/22	κράτης (ἕκαστος γὰρ υἱὸν ἑαυτοῦ φήσει τὸν αὐτὸν καὶ γυ-
-Z//1261b/23	ναῖκα δὴ τὴν αὐτήν, καὶ περὶ τῆς οὐσίας καὶ περὶ ἑκάστου 
-Z//1261b/24	δὴ τῶν συμβαινόντων ὡσαύτως)· νῦν δ' οὐχ οὕτως φήσουσιν οἱ 
-Z//1261b/25	κοιναῖς χρώμενοι ταῖς γυναιξὶ καὶ τοῖς τέκνοις, ἀλλὰ πάν-
-Z//1261b/26	τες μέν, οὐχ ὡς ἕκαστος δ' αὐτῶν, ὁμοίως δὲ καὶ τὴν οὐσίαν 
[0086]  [035]  [Pol]  []

-Z//1261b/27	πάντες μέν, οὐχ ὡς ἕκαστος δ' αὐτῶν. ὅτι μὲν τοίνυν παρα-
-Z//1261b/28	λογισμός τίς ἐστι τὸ λέγειν πάντας, φανερόν (τὸ γὰρ πάν- 
-Z//1261b/29	τες καὶ ἀμφότεροι, καὶ περιττὰ καὶ ἄρτια, διὰ τὸ διττὸν καὶ 
-Z//1261b/30	ἐν τοῖς λόγοις ἐριστικοὺς ποιεῖ συλλογισμούς· διό ἐστι τὸ πάν-
-Z//1261b/31	τας τὸ αὐτὸ λέγειν ὡδὶ μὲν καλὸν ἀλλ' οὐ δυνατόν, ὡδὶ 
-Z//1261b/32	δ' οὐδὲν ὁμονοητικόν)· πρὸς δὲ τούτοις ἑτέραν ἔχει βλάβην τὸ 
-Z//1261b/33	λεγόμενον. ἥκιστα γὰρ ἐπιμελείας τυγχάνει τὸ πλείστων 
-Z//1261b/34	κοινόν· τῶν γὰρ ἰδίων μάλιστα φροντίζουσιν, τῶν δὲ κοινῶν 
-Z//1261b/35	ἧττον, ἢ ὅσον ἑκάστῳ ἐπιβάλλει· πρὸς γὰρ τοῖς ἄλλοις ὡς 
-Z//1261b/36	ἑτέρου φροντίζοντος ὀλιγωροῦσι μᾶλλον, ὥσπερ ἐν ταῖς οἰκε-
-Z//1261b/37	τικαῖς διακονίαις οἱ πολλοὶ θεράποντες ἐνίοτε χεῖρον ὑπηρε-
-Z//1261b/38	τοῦσι τῶν ἐλαττόνων. γίνονται δ' ἑκάστῳ χίλιοι τῶν πολιτῶν 
-Z//1261b/39	υἱοί, καὶ οὗτοι οὐχ ὡς ἑκάστου, ἀλλὰ τοῦ τυχόντος ὁ τυχὼν 
-Z//1261b/40	ὁμοίως ἐστὶν υἱός· ὥστε πάντες ὁμοίως ὀλιγωρήσουσιν. 
-Z//1262a/1	                                              ἔτι οὕτως 
