
[0057]  [050]  []  []

-Z/7/513/t	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΠΛΗΘΟΥΣ ΒΙΒΛΙΟΝ.} 
-Z/7/525/7	ὕπαρξις ἐν τῇ πρὸς ἕτερον σχέσει. ποιεῖν δ' εἰς ἑαυτὸ λέγειν 
-Z/7/525/8	ὁτιοῦν, ἢ ἐνεργεῖν εἰς ἑαυτὸ, παρὰ τὴν ἔννοιάν ἐστιν· οὕτως 
-Z/7/525/9	οὖν καὶ συνέχειν ἑαυτό. καὶ γὰρ οἱ μάλιστα εἰσηγησάμενοι 
-Z/7/525/10	τὴν συνεκτικὴν δύναμιν, ὡς οἱ Στωϊκοὶ, τὸ μὲν συνέχον 
-Z/7/525/11	ἕτερον ποιοῦσι, τὸ συνεχόμενον δὲ ἄλλο· τὴν μὲν γὰρ πνευ-
-Z/7/525/12	ματικὴν οὐσίαν τὸ συνέχον, τὴν δὲ ὑλικὴν τὸ συνεχόμενον, 
-Z/7/525/13	ὅθεν ἀέρα μὲν καὶ πῦρ συνέχειν φασὶ, γῆν δὲ καὶ ὕδωρ συνέ-
-Z/7/525/14	χεσθαι. καίτοι γε ἔνιοι τῶν νῦν Ἡροφιλείους ἑαυτοὺς ὀνομα-
-Z/7/525/15	ζόντων, οὐδ' ὄναρ ἀκηκοότες ταῦτα, τολμηρῶς ἀποφαίνον-
-Z/7/525/16	ται (τε) περὶ τῆς συνεκτικῆς δυνάμεως· εἰ μὲν ἀὴρ, ἢ πῦρ, 
-Z/7/525/17	ἢ τὸ συναμφότερόν ἐστι τὸ συνέχον τοὺς λίθους τε καὶ τὰ 
-Z/7/525/18	ξύλα, καὶ τἄλλα ὅσα τοιαῦτα, μὴ γινώσκειν ὁμολογοῦντες·  
-Z/7/526/1	ἀποφαινόμενοι δὲ ἁπλῶς, ὅτι δύναμίς τίς ἐστιν ἡ συνέχουσα 
-Z/7/526/2	τὰ τοιαῦτα πάντα, διαλυθῆναι γὰρ ἂν καὶ διαῤῥυῆναι, μηδε-
-Z/7/526/3	νὸς αὐτὰ συνάγοντός τε καὶ σφίγγοντος· εἶτ' ἐρωτηθέντες εἰ 
-Z/7/526/4	καὶ τοιούτῳ τινὶ τολμῶσιν ἀξιώματι χρήσασθαι κατὰ τὸν λό-
-Z/7/526/5	γον, ὡς ἅπαντα τὰ ὄντα δεῖται τοῦ συνέχοντος, ἢ μὴ, παρα-
-Z/7/526/6	χρῆμα μὲν ἑτοίμως ἀποφαίνονταί τε καὶ καταφάσκουσι τὴν 
-Z/7/526/7	ἐρώτησιν· ἀπαχθέντες δ' ἐντεῦθεν ἐπ' ἄτοπον, ἀνατίθενται 
-Z/7/526/8	εἰς τὰ εἰρημένα, καὶ ἀγανακτοῦσι τοῖς ἐρωτῶσιν ὡς περιέργοις 
-Z/7/526/9	τε καὶ σοφισταῖς. ἤσκηται γὰρ εἴ πέρ τι ἄλλο καὶ τοῦτο τοῖς 
[0057]  [050]  []  []

-Z/7/526/10	νῦν ἰατροῖς, ἀποφαίνεσθαι μὲν ὑπὲρ τῶν μεγίστων δογμάτων 
-Z/7/526/11	ἑτοίμως, ἐξελεγχομένοις δὲ ἄχθεσθαί τε καὶ τοὺς ἐλέγχοντας 
-Z/7/526/12	ἀποκαλεῖν σοφιστάς. ὅπως τοίνυν ἀναγκαῖόν ἐστιν εἰς ἄτο-
-Z/7/526/13	πόν τι λόγον ἀχθῆναι, θεμένων ἡμῶν ἅπαν τὸ ὂν δεῖσθαι 
-Z/7/526/14	συνεκτικῆς αἰτίας, ἤδη σοι δίειμι τὴν συνεκτικὴν αἰτίαν, ἥτίς 
-Z/7/526/15	ποτ' ἐστὶν, οὐ γὰρ ὁμολογοῦσιν αὐτὴν οἱ Ἡροφίλειοι γιγνώ-
-Z/7/526/16	σκειν, ἆρά γε ἐκ τῶν ὄντων τὶ καὶ αὐτοὶ ὑπολαμβάνουσιν ἢ 
-Z/7/526/17	τῶν οὐκ ὄντων; εἰ μὲν γὰρ τῶν οὐκ ὄντων τὶ, θαυμάζω τὴν  
-Z/7/527/1	σοφίαν τῶν ἀνδρῶν, εἰ καὶ τῶν ὄντων ἕκαστον δεῖσθαί φασι 
-Z/7/527/2	τῶν οὐκ ὄντων τινός· εἰ δὲ τῶν ὄντων τίθενται τὴν συνεκτικὴν 
-Z/7/527/3	αἰτίαν, ἀναμνησθήτωσαν, ὡς ἅπαν τὸ ὂν ἔφασαν αἰτίας δεῖ-
-Z/7/527/4	σθαι συνεκτικῆς εἰς τὸ εἶναι. συμβήσεται γὰρ οὕτως καὶ αὐ-
-Z/7/527/5	τὴν τὴν αἰτίαν αἰτίας ἑτέρας, ἵνα ὑπάρχῃ, δεηθῆναι, κᾀ-
-Z/7/527/6	κείνην αὖθις ἄλλης, καὶ τοῦτο εἰς ἄπειρον. εἰ δὲ τῶν ὄντων 
-Z/7/527/7	τὰ μὲν ἑτέρου τινὸς αἰτίου δεῖσθαι πρὸς τὸ εἶναι, τὰ δὲ ἐξ 
-Z/7/527/8	αὐτῶν ἔχειν τὸ εἶναι φήσουσι, πρῶτον μὲν ἴστωσαν οὐκέτι 
-Z/7/527/9	διαφυλάττοντες τὸ ἐξ ἀρχῆς ἀξίωμα, ὃ παντὸς μᾶλλον ἀληθὲς 
-Z/7/527/10	ἔλεγον, ὡς ἅπαν τὸ ὂν αἰτίας δεῖται συνεκτικῆς εἰς τὸ εἶναι· 
-Z/7/527/11	δεύτερον δὲ, μακροτάτου χρῄζοντες λόγου, διὰ τί τὰ μὲν δεῖται, 
-Z/7/527/12	τὰ δὲ οὐ δεῖται, ἢ καὶ ὁποῖα ἐκ τούτων ἐστὶν αὐτῶν ἑκάτερα. 
-Z/7/527/13	οὐδὲ γὰρ οὐδ' οἱ πολλοὶ τῶν Ἡροφιλείων, οὐδ' οἱ νεώτεροι 
-Z/7/527/14	Στωϊκοὶ λέγουσί τινα ἀπόδειξιν τοῦ τὸ μὲν πνεῦμα καὶ τὸ 
-Z/7/527/15	πῦρ συνέχειν ἑαυτό τε καὶ τὰ ἄλλα, τὸ δὲ ὕδωρ καὶ τὴν 
-Z/7/527/16	γῆν ἑτέρου δεῖσθαι τοῦ συνέξοντος. ὅσον μὲν γὰρ 
-Z/7/527/17	ἐπὶ τῇ προχείρῳ φαντασίᾳ, τὸ μὲν σκληρὸν καὶ ἀντίτυ-
-Z/7/527/18	πον καὶ πυκνὸν ἑαυτὸ συνέχειν λέγοιτο, τὸ δ' ἀραιόν τε  
-Z/7/528/1	καὶ μαλακὸν καὶ ὑπεῖκον ἑτέρου δεῖσθαι τοῦ συνέξοντος. 
-Z/7/528/2	οὐ μόνον δὲ οὐδεμίαν ἀπόδειξιν εἰπόντες οἱ ἄνδρες ἀξιοῦσι 
-Z/7/528/3	πιστεύεσθαι τὴν ὑπόθεσιν αὐτῶν, ἀλλὰ καὶ πρὸς ἑαυτὴν 
-Z/7/528/4	ὑποτιθέμενοι μαχομένην οὐκ ἔτι αἰσθάνονται. τὰ γὰρ ἁπάν-
-Z/7/528/5	των λεπτομερέστερα καὶ μαλακώτερα καὶ εἰκτικώτερα, τὸ πῦρ 
-Z/7/528/6	καὶ ἀέρα, ταῦτ' αἴτια τῇ γῇ τῆς σκληρότητός τε καὶ ἀντιτυ-
-Z/7/528/7	πίας εἶναί φασιν, ὡς ἐνδεχόμενον ἕτερον ἑτέρῳ τινὶ μεταδοῦ-
-Z/7/528/8	ναι δυνάμεως, ἢ φύσεως, ἢ ἐνεργείας, ἢ ποιότητος, ἧς οὐ 
-Z/7/528/9	μετείληφεν αὐτό. καὶ γὰρ αὖ καὶ φαίνεται σαφῶς οὐ μόνον 
-Z/7/528/10	οὐδὲν ὑπὸ τοῦ πυρὸς συνεχόμενον, ἀλλὰ καὶ διαλυόμενα 
-Z/7/528/11	πάντα. πρὸς μὲν δὴ τὴν τῶν Στωϊκῶν ὑπόθεσιν ἑτέρωθι 
-Z/7/528/12	λέλεκται διὰ πλειόνων· ἐπὶ δὲ τοὺς Ἡροφιλείους ἐπάνειμι, 
-Z/7/528/13	καὶ πρὸς τούτους ἀρκέσει μοι κατά γε τὸ παρὸν εἰπεῖν, ὡς 
-Z/7/528/14	προστάτης αὐτῶν ἐναντιώτατα πέπονθεν, ἀπορῶν μὲν ἐν 
-Z/7/528/15	παμπόλλοις ἀποδείξεις προχείρους ἔχουσιν, ἀποφαινόμενος 
-Z/7/528/16	δὲ ἐν ἄλλοις, ὧν αἵ τ' ἀποδείξεις ἀδύνατοι ἥ θ' ὑπόθεσις 
-Z/7/528/17	ψευδής.  
-Z/7/529/1	  Ἀπολιπόντες οὖν καὶ τούτους αὖθις λέγω-
-Z/7/529/2	μεν, ὡς τὸ μὲν διατείνεσθαι καὶ ῥήγνυσθαι διὰ πλῆθος 
-Z/7/529/3	αὐτῶν τῶν περιεχόντων ἀγγείων ἐστὶ πάθος, οὐ δυνάμεώς 
-Z/7/529/4	τινος· τὸ δὲ βαρύνεσθαι δυνάμεως αἰσθητικῆς· οὐ γὰρ δὴ 
-Z/7/529/5	ἁπλῶς γε ταύτης πάσης οὐδὲ τοῦτο, τῆς γέ τοι φυσικῆς δυνά-
-Z/7/529/6	μεως οὐκ ἔστι πάθος τὸ βαρύνεσθαι. εἴπερ οὖν ὀρθῶς ἀπε-
-Z/7/529/7	δείξαμεν ἐν τῇ τῶν φυσικῶν δυνάμεων πραγματείᾳ, τὴν μέν 
-Z/7/529/8	τινα τῶν οἰκείων ἑλκτικὴν εἶναι δύναμιν, ἑτέραν δὲ αὐτῶν 
-Z/7/529/9	τούτων ἀλλοιωτικὴν, ἄλλην δὲ καθεκτικὴν εἶναι δύναμιν, καὶ τε-
-Z/7/529/10	τάρτην ἀποκριτικὴν τῶν ἀλλοτρίων, ἕτερ' ἄττα χρὴ ζητεῖν γνω-
-Z/7/529/11	ρίσματα τοῦ πρὸς ἑκάστην τῶν εἰρημένων δυνάμεων πλήθους, 
-Z/7/529/12	ὡς οὐχ ἱκανοῦ τοῦ βάρους ὑπάρχοντος. οὐ γὰρ ὥσπερ ἡ 
-Z/7/529/13	ἄῤῥωστος γαστὴρ αἰσθάνεται τῶν βαρυνόντων αὐτὴν, διὰ τὸ 
-Z/7/529/14	περιττὸν τῆς αἰσθήσεως, οὕτω καὶ ἡ φλὲψ καὶ ἡ ἀρτηρία 
-Z/7/529/15	τὴν αὐτὴν αἴσθησιν ἔχουσιν, ἀλλ' ἑτέραν. εἴπερ ἄρα γένος 
-Z/7/529/16	οὐ ταὐτὸν κατὰ τὰ νεῦρα, μακροτέρου λόγου δεόμενον εἰς 
-Z/7/529/17	δήλωσίν τε καὶ πίστιν. τοῦ μὲν οὖν κατὰ τὰς ἀρτηρίας πλή-
-Z/7/529/18	θους, ὡς πρὸς τὴν δύναμιν αὐτῶν, ἐπιστημονικὰ γνωρίσματα  
-Z/7/530/1	διὰ τῆς περὶ τῶν σφυγμῶν εἴρηται πραγματείας, ἴσασι δὲ 
-Z/7/530/2	οὐδὲ τούτων οὐδὲν οἱ ῥᾳδίως ὀνομάζοντες ὁσημέραι πλῆθος· 
-Z/7/530/3	οὐ μὴν τοῦ γε πρὸς τὰς φλέβας αὐτὸς ἐξεῦρον ἐπιστημονικόν 
-Z/7/530/4	τι σημεῖον, ἢ παρ' ἑτέρῳ γεγραμμένον εὑρεῖν ἠδυνήθην, ὅπου 
-Z/7/530/5	γε τὴν ἀρχὴν οὐδὲ διωρίσατό τις ἡμῶν πρότερος οὐδ' αὐτὰς 
-Z/7/530/6	τὰς δυνάμεις ἐπιστημονικῶς. ἐπ' ὀλίγον μὲν γὰρ ἥψαντο τῆς 
-Z/7/530/7	θεωρίας αὐτῶν οἱ περὶ Φίλιππόν τε καὶ Ἀρχιγένην, τελέως 
-Z/7/530/8	δὲ οὐδὲ τούτων οὐδεὶς ἐξειργάσατο. ζητεῖ δὲ ὁ λόγος ὁ νῦν 
-Z/7/530/9	ἐνεστηκὼς οὐ ταῦτα μόνον, ἀλλὰ καὶ τὸ καθ' ἕκαστον μόριον 
-Z/7/530/10	πλῆθος, οἷον τὸ καθ' ἧπαρ, ἢ καρδίαν, ἢ νεφροὺς, ἢ κῶ-
-Z/7/530/11	λον, ἢ ἐγκέφαλον, ἢ ὀστοῦν. ὅσα μὲν οὖν αὐτῶν 
-Z/7/530/12	ἤτοι δυσαίσθητά ἐστιν ἢ ἀναίσθητα, ταῦτα μὲν οὐκ ἂν ὡσαύ-
-Z/7/530/13	τως αἰσθητὰ γαστρὶ καὶ κύστει τῶν ἐν αὐτοῖς περιττῶν, ἀλλὰ 
-Z/7/530/14	τὰ μὲν οὐδ' ὅλως, τὰ δὲ ἤτοι παντάπασιν ἀμυδρῶς, ἢ οὐδ' 
-Z/7/530/15	ὅλως· παντάπασι μὲν ἀμυδρῶς, ὡς ἐπὶ παμπόλλῳ πλήθει, 
-Z/7/530/16	οὐδ' ὅλως δ', ὡς ἐπ' ὀλίγῳ. καὶ γὰρ καὶ πνεύμονι καὶ ἥπατι 
-Z/7/530/17	καὶ νεφροῖς ἐγγίνεται βάρους αἴσθησις ἐνίοτε, καί τις ὀστοῦν 
-Z/7/530/18	ᾔσθετο βαρυνόμενος, ἀμυδρᾷ καὶ αὐτὸς αἰσθήσει· κατὰ τὸν  
-Z/7/531/1	ἐγκέφαλον δὲ βάρη διασημαίνει πολλάκις οὐκ ἀμυδρὰ μόνον, 
-Z/7/531/2	ἀλλ' ἔστιν ἐνίοτε καὶ πάνυ σαφῆ. τοῖς δὲ ἀναισθήτοις μο-
-Z/7/531/3	ρίοις οὐκ ἐνδέχεται γίγνεσθαί τινα αἴσθησιν οὔτε βάρους 
-Z/7/531/4	οὔτ' ἄλλου συμπτώματος οὐδενός· ἀναίσθητα δ' ἔοικεν ὑπάρ-
-Z/7/531/5	χειν ἔνια τῶν ὀστῶν, καὶ ἡ πιμελὴ, καί τινες τῶν ἀδένων, 
-Z/7/531/6	εἰ μὴ ἄρα καὶ οἱ μυελοὶ πάντες ἐκ τῶν ἀναισθήτων εἰσίν· 
-Z/7/531/7	ἐγκέφαλος γοῦν καὶ νωτιαῖος, ὡς ἔνιοί φασιν, ἐκ τῶν αἰσθη-
-Z/7/531/8	τικῶν εἰσι. βεβαίως δ' ἄν τις ἀποφαίνοιτο κατὰ τῆς περὶ τὰ 
-Z/7/531/9	κυρτὰ τοῦ ἥπατος σαρκὸς, ἣν οἱ πολλοὶ τῶν ἰατρῶν παρ-
-Z/7/531/10	έγχυμα προσαγορεύουσιν· οὐδὲ γὰρ ὅλω εἰς αὐτὴν οὐ-
-Z/7/531/11	δαμόθεν ἐμφύεται νεῦρον· ἀπορήσειε δ' ἄν τις καὶ περὶ τῆς 
-Z/7/531/12	ἐν τοῖς σιμοῖς. οὕτω γάρ ἐστι βραχέα τὰ κατὰ τὰς πύλας ἐμ-
-Z/7/531/13	φυόμενα τῷ ἥπατι, ὥστε φαίνεσθαι τὸν ὑμένα μόνον αὐτοῦ 
-Z/7/531/14	διαπλέκοντα. καὶ μὴν καὶ κατὰ σπλῆνα καὶ νεφροὺς ὡσαύ-
-Z/7/531/15	τως ἀπορήσειεν ἄν τις, ἔτι τε μᾶλλον ἐν πνεύμονι, καὶ τάχα 
-Z/7/531/16	ἄν τις ἐν τούτοις τοῖς σπλάγχνοις ᾖ τοῦ βάρους αἴσθησις, οὐκ 
-Z/7/531/17	αὐτῶν τῶν σπλάγχνων, ἀλλὰ τῶν περιεχόντων αὐτὰ χιτώνων 
-Z/7/531/18	καὶ ὑμένων εἶναι λεχθείη, καὶ μάλιστα ἐπὶ πνεύμονός τε καὶ  
-Z/7/532/1	ἥπατος, ἐξηρτημένων τε καὶ κρεμαμένων, καὶ οὐχ ἑδραίως 
-Z/7/532/2	ἐστηριγμένων. ἐναργῶς γὰρ οἱ κάμνοντες αἰσθάνονται πολ-
-Z/7/532/3	λάκις ἄνω πρὸς τῇ κλειδὶ τάσεώς τινος, ὡς ἐπὶ τοῖς κατὰ τὸ 
-Z/7/532/4	ἧπαρ ὄγκοις, αὐτοῦ τε τοῦ σπλάγχνου βαρέος· ὡς εὐτυχὴς 
-Z/7/532/5	δέ τις, ὃς οὐκ ᾔσθετο καθ' ὅλον ἑαυτοῦ τὸν βίον, οὕτω 
-Z/7/532/6	συνεχῶς ἅπασι γιγνομένου. λέγει δέ που καὶ Ἱπποκράτης, 
-Z/7/532/7	ἐς νεφρὸν ὀδύνη βαρείη, ὥσπέρ γε καὶ κατὰ πνεύμονα γίγνε-
-Z/7/532/8	ται βάρος· εἴρηται δὲ σχεδὸν ἅπασι τοῖς ἰατροῖς, ὅταν ἁλῷ 
-Z/7/532/9	φλεγμονῇ τὸ σπλάγχνον. ἀλλ' οὐδὲν τούτων ἐζητηκότες οἱ 
-Z/7/532/10	πλεῖστοι τῶν ἰατρῶν, ἔνιοι δὲ οὐδ' ὅτι δύναται μὲν ποτὲ 
-Z/7/532/11	καθ' ὅλον τὸ ζῶον εἶναι τὸ πλῆθος, ἐγχωρεῖ δὲ καὶ περὶ ἓν 
-Z/7/532/12	ὁτιοῦν μόριον ἢ καὶ πλείω, προπετῶς ἀποφαίνονται περὶ 
-Z/7/532/13	πλήθους. ἀλλ' εἰ βούλει κατὰ τὸ παρὸν ἐάσαντες ἁπάσας 
-Z/7/532/14	ταύτας τὰς ἀπορίας, ἐν τοῖς εὐπορωτέροις γυμνασθῶμεν. 
-Z/7/532/15	  Εὐπορώτερον δ' εἶναί μοι δοκεῖ, πάλιν ἀπὸ 
-Z/7/532/16	βάρους ἄρξασθαι· φαίνεται γὰρ τοῦτο τοῦ πρὸς τὴν αἰσθη-
-Z/7/532/17	τικὴν δύναμιν πλήθους ἐναργέστατον εἶναι γνώρισμα. πότε- 
-Z/7/533/1	ρον οὖν ἀληθές ἐστιν ἀποφαίνεσθαι τῷ πλήθει βάρος ἀκο-
-Z/7/533/2	λουθεῖν ἐξ ἀνάγκης, ἢ τὸ βάρος ἀνάγκῃ προηγεῖσθαι πλή-
-Z/7/533/3	θους; οὐ γὰρ δή γε ταὐτόν ἐστιν, ἢ ἀκολουθεῖν ἐν τῷ λόγῳ 
-Z/7/533/4	τὸ βάρος, ἢ προηγεῖσθαι. ἀληθὲς μὲν γὰρ, ὅτῳ πλῆθος 
[0057]  [050]  []  []

-Z/7/533/5	ὑγρῶν τινῶν ἐστιν ἐν τῷ σώματι, τούτῳ βάρους αἴσθησιν 
-Z/7/533/6	ὑπάρχειν, ἐν ἐκείνοις τοῖς μέρεσι δηλονότι, ἐν οἷσπερ ἂν ᾖ 
-Z/7/533/7	τὸ πλῆθος, αἰσθητικοῖς ὑπάρχουσιν· οὐκ ἀληθὲς δὲ τὸ, βά-
-Z/7/533/8	ρους ὄντος ἔν τινι μέρει, πλῆθος ὑπάρχειν ἐν ἐκείνῳ χυμῶν. 
-Z/7/533/9	ἐγχωρεῖ γὰρ, ὑπὸ τῶν στερεῶν μορίων βαρύνεσθαι τὴν 
-Z/7/533/10	δύναμιν ἀῤῥωστοῦσαν, ὡς ἐν ταῖς παραλύσεσιν. ὑπὸ γὰρ 
-Z/7/533/11	(τῆς) τῶν μυῶν (ἐν) ὅλου κώλου κινουμένου, τῶν μυῶν ἀῤ-
-Z/7/533/12	ῥώστων γινομένων κινεῖν καὶ μεταφέρειν αὐτὸ, βάρους αἴσθη-
-Z/7/533/13	σις γίγνεται τοῖς παραλυομένοις. οὐ γὰρ ἑαυτῷ βαρὺ φαί-
-Z/7/533/14	νεται τὸ ἀῤῥωστοῦν, οἷον ὁ μῦς, ἢ τὸ νεῦρον, ἢ ὅλως ὅ τι 
-Z/7/533/15	περ ἂν ᾖ σῶμα τὸ πρώτως κινοῦν τὰ μόρια, ἀλλὰ τοῦτο τὸ 
-Z/7/533/16	πάθημα τὸ λεγόμενον βάρος ἐξ ἑτέρου τε πέφυκεν ἑτέροις 
-Z/7/533/17	ἐγγίνεσθαι, αὐτό τε καθ' ἑαυτὸ τὸ νεῦρον, ἢ ὁ τένων, ἢ 
-Z/7/533/18	ὁ μῦς, ἢ ὅ τι περ ἂν ᾖ τὸ κινοῦν ἡμᾶς, ἀτονώτερον μὲν αὐτοῦ  
-Z/7/534/1	γίγνεσθαι καὶ ἀσθενέστερον ἐγχωρεῖ, βαρύνειν δὲ ἑαυτὸ, τῶν 
-Z/7/534/2	ἀδυνάτων ἐστίν. εὐτονώτερον μὲν οὖν γιγνόμενον, ἰσχυρο-
-Z/7/534/3	τέρας τὰς ἐνεργείας ποιήσεται τῶν ἔμπροσθεν· ἀτονώτερον δὲ 
-Z/7/534/4	ἀσθενεστέρας. οἷον ὁ μῦς, εἴπέρ γε οὗτός ἐστιν ὁ κινῶν τὸ 
-Z/7/534/5	σκέλος, ὑγιαίνων μὲν ἐπισπάσεται σφοδρῶς ἐκεῖνο τοῦ κώλου 
-Z/7/534/6	τὸ μέρος, εἰς ὃ καταπέφυκεν, εὐεκτῶν δὲ σφοδρότατα, καὶ 
-Z/7/534/7	νοσῶν μὲν, ἀσθενῶς, ἔκλυτος δὲ τὴν δύναμιν ὑπάρχων, 
-Z/7/534/8	ἀμυδρῶς. εἰ δὲ οὐχ ὁ μῦς ἐστιν, ἀλλὰ τὸ νεῦρόν γε τὸν μῦν 
-Z/7/534/9	αὐτὸν κινοῦν, ἐκείνου πάλιν ὑγεία καὶ νόσος, εὐεξία τε καὶ 
-Z/7/534/10	ἀῤῥωστία, ταῦτα ἐργάσεται περὶ τὸ κῶλον, ἅπερ ὁ μῦς ἐλέ-
-Z/7/534/11	χθη ποιεῖν. οὕτω δὲ εἰ καὶ τὸ πνεῦμα τὸ πρῶτόν ἐστι τῶν 
-Z/7/534/12	κινούντων τὸ σκέλος, ἐπ' ἐκείνου ταῦτα λεχθήσεται. φέρε 
-Z/7/534/13	τοιγαροῦν ἕνεκα σαφηνείας κείσθω ταῦθ' ἡμῖν, ὑπὸ μὲν τοῦ 
-Z/7/534/14	πνεύματος τοῦ διὰ τῶν νεύρων φερομένου κινεῖσθαι τὸν μῦν, 
-Z/7/534/15	ὑπὸ δὲ τοῦ μυὸς, πρώτην μὲν τὴν κνήμην, εἰς ἣν ὁ μῦς ἐμ-
-Z/7/534/16	πέφυκεν, εἶτα δι' ἐκείνης τὴν κατὰ γόνυ διάρθρωσιν, ἐφ' ἣν 
-Z/7/534/17	τὸ σκέλος ὅλον ἐμπέφυκεν. ἀληθῶς γὰρ ἄν τις ἐπὶ ταύταις 
-Z/7/534/18	ταῖς ὑποθέσεσι λέγοι καὶ τὸν μῦν αὐτὸν βάρος γίγνεσθαι τῷ 
-Z/7/534/19	ἀῤῥώστῳ πνεύματι, καὶ σὺν αὐτῷ τὸ κῶλον ὅλον, οἷον εἰ  
-Z/7/535/1	τύχοι τὴν κνήμην· εἰ δέ γε τὸ νεῦρον ὑποθώμεθα κινεῖσθαι 
-Z/7/535/2	πρὸς τοῦ πνεύματος, ὑπὸ νεύρου δὲ τὸν μῦν, εἶτ' αὖθις ὑπὸ 
-Z/7/535/3	τοῦ μυὸς τὴν κνήμην, ὑπὸ πάντων τῶν εἰρημένων βαρυνθή-
-Z/7/535/4	σεται τὸ πνεῦμα τὸ ἄῤῥωστον. ὥστ' ἤδη μὲν κᾀνταῦθα δῆ-
-Z/7/535/5	λον, ὡς οὐχ οἷόν τε διαγνῶναι τὸ πρῶτον βαρῦνόν τε καὶ 
-Z/7/535/6	βαρυνόμενον, ἄνευ τοῦ προεγνωκέναι τὸ πρῶτον κινοῦν ἕκα-
-Z/7/535/7	στον τῶν ἐν ἡμῖν μορίων. ἀλλὰ καὶ τοῦτο μὲν αὖθις ἀκρι-
-Z/7/535/8	βέστερον ἐπισκεψόμεθα, ὑπὲρ οὗ δὲ ὁ λόγος ἦν περαινέσθω. 
-Z/7/535/9	γενήσεται δὲ ἕνεκα σαφηνείας ἡ διέξοδος ἅπασα μεθ' ὑποθέ-
-Z/7/535/10	σεως. ὑποκείσθω τοίνυν ὁ μῦς εἶναι τὸ πρῶτον κινοῦν ἑαυ-
-Z/7/535/11	τόν τε καὶ τὸ τῆς κνήμης ὀστοῦν. ἑαυτῷ μὲν οὖν οὐδὲ πώ-
-Z/7/535/12	ποτ' ἐστὶ βαρὺς, οὐδ' ὅταν ἀτονώτατος ὑπάρχῃ, βαρύνει δὲ 
-Z/7/535/13	αὐτὸν ἡ κνήμη· πότερον δὲ κινεῖσθαι μόνον ἐφιέμενον, ἢ 
-Z/7/535/14	κᾂν ἡσυχάζῃ, σκέψεως ἑτέρας οὐ μικρᾶς ᾖ, διωρισμένης ἡμῖν 
-Z/7/535/15	ἐν τοῖς περὶ μυῶν κινήσεως, ἧς ἄνευ σκέψεως οὔτε διάθεσιν 
-Z/7/535/16	οὔτε πεπονθότα τόπον ἀκριβῶς ἔστι διαγνῶναι κατὰ τὰς τοῦ 
-Z/7/535/17	βάρους αἰσθήσεις. αὐτίκα γέ τοι τισὶ μὲν ἤτοι κῶλον ἓν ἢ καὶ  
-Z/7/536/1	σύμπαν τὸ σῶμα βαρύνεται κινεῖσθαι προῃρημένοις, ἡσυχά-
-Z/7/536/2	ζουσι δὲ οὐδεμία βάρους αἴσθησις γίγνεται· τινὲς δὲ καὶ πρὸ 
-Z/7/536/3	τοῦ κινεῖσθαι βαρύνεσθαί φασι. τίς οὖν ἑκατέρων τούτων 
-Z/7/536/4	ἡ διάθεσις, ἀμήχανον γνῶναι, πρὶν ἐξευρεῖν τὰ κινοῦντά τε 
-Z/7/536/5	καὶ κινούμενα σώματα καθ' ὅλον τὸ σκέλος. εἰ μὲν γὰρ αἱ 
-Z/7/536/6	τῶν νεύρων ἶνες αἱ κατὰ τὸν μῦν εἰσιν αἱ πρῶται κινούμε-
-Z/7/536/7	ναι, συγκινεῖται δὲ ταύταις ἐν αὐτῷ τό τε ὑμενῶδες γένος 
-Z/7/536/8	καὶ τὸ φλεβῶδες καὶ τὸ ἀρτηριῶδες, ἔτι δ' οἱ σύνδεσμοι, 
-Z/7/536/9	βάρους μὲν αἴσθησις αὐτῷ γενήσεται καὶ διὰ ταῦτα καὶ δι' 
-Z/7/536/10	ἄλλα πάντα τὰ καθ' ὅλον τὸ κῶλον. ἐπισκεψόμεθα δὲ καὶ 
-Z/7/536/11	διοριούμεθα, πότε μὲν ἐνεργοῦντος καὶ κινουμένου τοῦ κώλου 
-Z/7/536/12	τὸ βάρος ἔσται, πότε δ' ἡσυχάζοντος. εἰ δὲ καὶ τὸ τῶν συν-
-Z/7/536/13	δέσμων ἐν αὐτῷ γένος ἅμα τῷ σαρκώδει κινεῖται, 
-Z/7/536/14	ταῦτα γάρ ἐστιν ἡ οἰκεία τοῦ μυὸς οὐσία, δι' οὐδὲν μὲν τού-
-Z/7/536/15	των οὐδέποτε γένοιτ' ἂν ἡ τοῦ βάρους αἴσθησις· ἤτοι δὴ ἐκ 
-Z/7/536/16	τῶν φλεβῶν, ἢ ἐκ τῶν ἀρτηριῶν, ἢ ἐκ τῆς πιμελῆς, ἢ ἐκ 
-Z/7/536/17	τῶν ὀστῶν, ἢ ἔκ τινων, ἢ ἐκ πάντων γενήσεται. δῆλον δὲ 
-Z/7/536/18	ὡς εἰ καὶ παραλίποιμέν ποτε κατὰ τὰς τοιαύτας διαιρέσεις 
-Z/7/536/19	τὸ ἔκ τινων, ἢ ἐκ πάντων, αὐτὸ χρὴ προσυπακούειν τοὺς  
-Z/7/537/1	ἀναγινώσκοντας τὸ βιβλίον, εἰδότας ὅτι κατὰ τοὺς τοιούτους 
-Z/7/537/2	ἅπαντας λόγους οἱ σύνδεσμοι οὐ διαζευκτικῶς, ἀλλὰ παρα-
