
[0057]  [036]  []  []

-Z/6/1/t	        {ΓΑΛΗΝΟΥ ΥΓΙΕΙΝΩΝ ΛΟΓΟϹ Α} 
-Z/6/129/1	ἄριϲτοι τὴν κρᾶϲιν ὦϲι καὶ παῖδεϲ ἔτι τὴν ἡλικίαν. | ὑγρὰ γὰρ δὴ τού-
-Z/6/129/2	των τὰ ϲώματα καὶ μαλακὰ καὶ βραχείαιϲ τρίψεϲι μαλαττόμενα, ϲκοπὸϲ 
-Z/6/129/3	δέ ἐϲτι καὶ τέλοϲ τῆϲ παραϲκευαϲτικῆϲ τρίψεωϲ τὸ μαλαχθῆναι μὲν τὰ 
-Z/6/129/4	ϲτερεά, λυθῆναι δὲ τὰ ὑγρά, τοὺϲ πόρουϲ δ' εὐρυνθῆναι. ὁπόϲον δ' 
-Z/6/129/5	ἐϲτὶ τὸ πλῆθοϲ τῶν ἀνατρίψεων, οὐχ οἷόν τε λόγῳ δηλῶϲαι, ἀλλὰ 
-Z/6/129/6	χρὴ τὸν ἐπιϲτατοῦντα, τρίβωνα τῶν τοιούτων ὑπάρχοντα, κατὰ μὲν 
-Z/6/129/7	τὴν πρώτην ἡμέραν οὐκ ἀκριβεῖ ϲτοχαϲμῷ χρήϲαϲθαι, κατὰ δὲ τὰϲ ἑξῆϲ 
-Z/6/129/8	ἐμπειρίαν ἤδη τινὰ τῆϲ τοῦ ϲώματοϲ ἐκείνου φύϲεωϲ ἔχοντα τὸν ϲτο-
-Z/6/129/9	χαϲμὸν ἀεὶ καὶ μᾶλλον ἐξακριβοῦν. καὶ μὲν δὴ καὶ κατὰ τὰ γυμνάϲια  
-Z/6/129/10	τῇ μὲν πρώτῃ τῶν ἡμερῶν οὐ δυνατὸν ἀκριβῶϲαι τὸ μέτρον, ἐν δὲ 
-Z/6/129/11	ταῖϲ μετὰ τήνδε καὶ πάνυ δυνατόν. ἔϲτω δὴ κἀνταῦθα γνωρίϲματα 
-Z/6/129/12	κατὰ μὲν τὴν πρώτην ἡμέραν, ὅταν ἐγκελευομένῳ καὶ παρορμῶντι 
-Z/6/129/13	γυμνάϲαϲθαι μηκέθ' ὁμοίωϲ ὑπακούῃ, ἀλλὰ βραδυτέραϲ τε καὶ ἀραιο-
-Z/6/129/14	τέραϲ καὶ ἀϲχημονεϲτέραϲ καὶ τὸ ϲύμπαν εἰπεῖν ἀτονωτέραϲ ποιῆται 
-Z/6/129/15	τάϲ τε λαβὰϲ τῶν προϲπαλαιόντων καὶ τὰϲ κινήϲειϲ. 
-Z/6/130/1	  εἶναι δὲ δηλονότι χρὴ τὸν γυμναζόμενον οὔτε | θυμικόν, ὡϲ ἔτι 
-Z/6/130/2	προθυμεῖϲθαι γυμνάζεϲθαι καμνούϲηϲ ἤδη τῆϲ δυνάμεωϲ, οὔτ' ἄθυμον, 
-Z/6/130/3	ὡϲ ἀπαγορεύειν ἔτι πονεῖν δυνάμενον. ἔϲτι δὲ δήπου τοιοῦτοϲ οὐ 
[0057]  [036]  []  []

-Z/6/130/4	τὸ ϲῶμα μόνον, ἀλλὰ καὶ τὴν ψυχὴν ὁ νῦν ἡμῖν ὑποκείμενοϲ ἄνθρω-
-Z/6/130/5	ποϲ. ὡϲ ὅϲοι γε ψυχροὺϲ ἔχουϲι χυμοὺϲ ἐν τῇ γαϲτρὶ περιεχομένουϲ 
-Z/6/130/6	ἢ κατὰ τὴν ὅλην ἕξιν ἠθροιϲμένουϲ, ἀργότεροι πρὸϲ τὰϲ κινήϲειϲ εἰϲίν. 
-Z/6/130/7	ὡϲαύτωϲ δὲ καὶ οἱ πληθωρικῶϲ διακείμενοι καὶ οἱ προϲφάτῳ κρύει 
-Z/6/130/8	καταπονηθέντεϲ ἄθυμοί τέ εἰϲι καὶ ὀκνηροὶ κινεῖϲθαι, καὶ τούτων ἔτι 
-Z/6/130/9	μᾶλλον, ὅϲοι φύϲει ψυχρότεροι, καὶ πολὺ δὲ δὴ μᾶλλον, εἰ τῇ ψυχρό-
-Z/6/130/10	τητι καὶ ὑγρότηϲ τιϲ προϲείη. οὗτοι μὲν γὰρ νοθεύουϲι τὰ τοῦ μέτρου 
-Z/6/130/11	τῶν γυμναϲίων γνωρίϲματα, καθάπερ γε καὶ οἱ θερμότεροι τὴν κρᾶϲιν 
-Z/6/130/12	ἢ διὰ τὴν οἰκείαν φύϲιν ἢ δι' ἐπίκτητόν τινα διάθεϲιν εὔθυμοί τέ εἰϲι 
-Z/6/130/13	καὶ φιλόνεικοι καὶ πρὸϲ τὰϲ ἐνεργείαϲ ἕτοιμοι περαιτέρω τοῦ δέοντοϲ. 
-Z/6/130/14	ὅϲοι δὲ μήτε τὸ ϲῶμα θερμότερον ἢ ψυχρότερον ἔχουϲι μήτ' ἄθυμοι 
-Z/6/130/15	τὴν ψυχήν εἰϲι τὸ πάμπαν ἢ φιλόνεικοί τε καὶ φιλότιμοι καὶ θυμικοί, 
-Z/6/131/1	τούτοιϲ ἀκριβῆ διαφυ|λάττεται τοῦ μέτρου τῶν γυμναϲίων τὰ γνωρί-
-Z/6/131/2	ϲματα, καὶ κατὰ τὴν πρώτην μὲν ἡμέραν εὐθύϲ, ἀτὰρ οὖν ἔτι δὴ καὶ 
-Z/6/131/3	μᾶλλον ἐπὶ προήκοντι τῷ χρόνῳ. εἰ γάρ τι καὶ παρέλαθεν κατὰ τὴν 
-Z/6/131/4	ἀρχήν, ἀκριβωθήϲεται τοῦτο τῇ πείρᾳ διδαχθέν. οὕτωϲ οὖν εἰϲ ἀκριβῆ 
-Z/6/131/5	ϲτοχαϲμὸν ἔρχεται καὶ τὸ τῶν ϲιτίων μέτρον οὐδενὶ τρόπῳ κατ' ἀρ-
-Z/6/131/6	χὰϲ γνωριϲθῆναι δυνάμενον· ἀλλ' ἡ καθ' ἑκάϲτην ἡμέραν πεῖρα καὶ 
-Z/6/131/7	μνήμη τοῦ ποϲοῦ τῶν ϲιτίων καὶ τῶν γυμναϲίων, οὐδὲν ἀργῶϲ ὁρῶν-
-Z/6/131/8	τοϲ τοῦ προεϲτῶτοϲ, ἀλλ' ἀεὶ μεμνημένου, ὅπωϲ ἔπεψεν ἐπὶ τοϲοῖϲδε 
-Z/6/131/9	τοῖϲ γυμναϲίοιϲ τὰ τοϲάδε ϲιτία, πληϲίον ἀκριβοῦϲ ἐπιϲτήμηϲ ἄγει τὴν 
-Z/6/131/10	διάγνωϲιν ἐν τῷ χρόνῳ. ταυτὶ μὲν οὖν ἤδη πωϲ ἅπαντα κοινὰ καὶ 
-Z/6/131/11	ταῖϲ μοχθηροτέραιϲ ὑπάρχει καταϲκευαῖϲ τῶν ϲωμάτων, ὑπὲρ ὧν οὐδὲν 
-Z/6/131/12	νῦν πρόκειται λέγειν. ἡ δ' ἀρίϲτη φύϲιϲ, ἡ νῦν ἡμῖν προκειμένη, τὰ 
-Z/6/131/13	μέτρα πάντων εὔδηλα κέκτηται, μήτε τοῖϲ τῆϲ ψυχῆϲ ἤθεϲι μήτε ταῖϲ 
-Z/6/131/14	τοῦ ϲώματοϲ δυϲκραϲίαιϲ ἐπιθολοῦϲά τε καὶ νοθεύουϲα τῶν εἰρημένων 
-Z/6/131/15	μηδέν, ἀλλὰ καὶ τρίψεων καὶ γυμναϲίων καὶ ϲιτίων καὶ ὕπνων ἐναρ-
-Z/6/132/1	γῶϲ ἐνδεικνυμένη τὰ μέτρα, | καὶ τηνικαῦτα πρῶτον ἀπαγορεύουϲα 
-Z/6/132/2	πρὸϲ ἕκαϲτον, ὅταν μηκέτι δέηται, ὥϲτε εἶναι καὶ τοῦτο τῷ προεϲτῶτι  
-Z/6/132/3	τοιούτου ϲώματοϲ οὐ μικρὸν γνώριϲμα μέτρου. λέγω δὲ τὴν πρὸϲ 
-Z/6/132/4	ἕκαϲτον ὧν ἂν πράττῃ προθυμίαν, αὐτῆϲ τῆϲ φύϲεωϲ ἑαυτῇ τὸ μέτρον 
-Z/6/132/5	εὑριϲκούϲηϲ ἐν ταῖϲ ἀρίϲταιϲ καταϲκευαῖϲ. καὶ γὰρ ἀνατριβόμενοι 
-Z/6/132/6	τηνικαῦτα πρῶτον ἐξίαϲιν ἐπὶ τὸ γυμνάϲιον οἱ ἄριϲτα πεφυκότεϲ, ὅταν 
-Z/6/132/7	ἱκανῶϲ ἔχωϲι μαλακότητόϲ τε ἅμα καὶ θερμότητοϲ ἅπαντι τῷ ϲώματι· 
-Z/6/132/8	καὶ γυμναζόμενοι τότε πρῶτον ὀκνήϲουϲιν, ὅταν αὐτάρκωϲ γυμναϲθῶϲι· 
-Z/6/132/9	καὶ δὴ καὶ ϲιτίων τε καὶ πομάτων ἀποϲτήϲονται τότε πρῶτον, ὅταν 
-Z/6/132/10	ἱκανῶϲ ἐμπληϲθῶϲιν, ὥϲτ' οὐδεὶϲ φόβοϲ οὔτε ὑπερπονῆϲαι τὸν τοιοῦ-
-Z/6/132/11	τον ἄνθρωπον οὔθ' ὑπερεμπληϲθῆναι, ταῖϲ ὁρμαῖϲ τῆϲ φύϲεωϲ οἰακιζό-
-Z/6/132/12	μενον. οὔκουν οὐδὲ τοῦ προεϲτῶτοϲ εἰϲ ἄκρον ἥκοντοϲ ἐπιϲτήμηϲ ὁ 
-Z/6/132/13	τοιοῦτοϲ ἄνθρωποϲ δεῖται, καθάπερ οἱ μετὰ ταῦτα λεχθηϲόμενοι πάν-
-Z/6/132/14	τεϲ, οἱ μοχθηρῶϲ κατεϲκευαϲμένοι. αὐτὸ γὰρ ἑαυτῷ πάντ' ἐξευρίϲκει 
-Z/6/133/1	τὸ ὑγιεινὸν ϲῶμα, ταῖϲ τῆϲ φύϲεωϲ ὁρμαῖϲ | ἐπιτροπευόμενον, καὶ μά-
-Z/6/133/2	λιϲτ' εἰ καλῶϲ εἴη τὰ τῆϲ ψυχῆϲ αὐτῷ πεπαιδευμένα. πολλοὶ γὰρ 
-Z/6/133/3	ἔθεϲι μοχθηροῖϲ ἐντραφέντεϲ ἀκολαϲτότερον ἢ ἀργότερον διαιτώμενοι 
-Z/6/133/4	διαφθείρουϲι φύϲειϲ χρηϲτάϲ, ὥϲπερ αὖ πάλιν ἔνιοι μοχθηρῶϲ φύντεϲ 
-Z/6/133/5	τὸ ϲῶμα βίῳ ϲώφρονι καὶ ἔργῳ καὶ γυμναϲίοιϲ εὐκαίροιϲ ἐπανωρ-
-Z/6/133/6	θώϲαντο τὰ πολλὰ τῶν ἐλαττωμάτων. ἀλλὰ τούτοιϲ μὲν ὁ μετὰ 
-Z/6/133/7	ταῦτα λόγοϲ ἅπαϲ ϲύγκειται· περὶ δὲ τῶν ἄριϲτα κατεϲκευαϲμένων τὸ 
-Z/6/133/8	ϲῶμα. καὶ τὸν νοῦν προϲεχόντων ἐπιϲτάταιϲ ὑγιεινοῖϲ ἐν τῷδε τῷ 
-Z/6/133/9	γράμματι πρόκειται διελθεῖν. ὁ μὲν οὖν ἔμπροϲθεν λόγοϲ ὑπὲρ αὐτῶν 
-Z/6/133/10	εἰϲ τὸ μέτρον ἐτελεύτα τῶν γυμναϲίων· ἐφεξῆϲ δ' ἂν εἴη καιρὸϲ 
-Z/6/133/11	ὑπὲρ τῶν εἰδῶν διελθεῖν. 
-Z/6/133/12	  Εἴδη δὲ γυμναϲίων ὀνομάζω πάλην καὶ παγκράτιον καὶ πυγ-
-Z/6/133/13	μὴν καὶ δρόμον ὅϲα τ' ἄλλα τοιαῦτα, τινὰ μὲν οὖν αὐτὸ τοῦτο, γυμνάϲια 
-Z/6/133/14	μόνον, ὑπάρχοντα, τινὰ δὲ οὐ γυμνάϲια μόνον, ἀλλὰ καὶ ἔργα· γυ-
-Z/6/133/15	μνάϲια μὲν αὐτά γε δὴ ταῦτα τὰ εἰρημένα καὶ προϲέτι τὸ πιτυλίζειν, 
-Z/6/134/1	τὸ ἐκπλεθρίζειν, τὸ ϲκιομαχεῖν, τὸ ἀκροχει|ρίζεϲθαι, τὸ ἅλλεϲθαι, τὸ 
-Z/6/134/2	δίϲκον βάλλειν καὶ ἀποτομάδα καὶ διὰ κωρύκου καὶ διὰ ϲφαίραϲ, ἢ μι-
-Z/6/134/3	κρᾶϲ ἢ μεγάληϲ, καὶ δι' ἁλτήρων ἐκπονῆϲαι τὸ ϲῶμα, γυμνάϲια δ' ἅμα καὶ 
-Z/6/134/4	ἔργα ϲκάπτειν ἐρέττειν ἀροῦν κλᾶν ἀμπέλουϲ ἀχθοφορεῖν ἀμᾶν ἱππεύειν 
-Z/6/134/5	ὁπλομαχεῖν ὁδοιπορεῖν κυνηγετεῖν ἁλιεύειν ὅϲα τ' ἄλλα κατὰ μέροϲ 
-Z/6/134/6	πράττουϲιν ἄνθρωποι τεχνῖταί τε καὶ ἄτεχνοι τῶν κατὰ τὸν βίον ἕνεκα 
-Z/6/134/7	χρειῶν, ἢ οἰκοδομοῦντεϲ ἢ χαλκεύοντεϲ ἢ ναυπηγοῦντεϲ ἢ ἀροτρεύ-
-Z/6/134/8	οντεϲ ἤ τι τοιοῦτον ἕτερον πολέμιον ἢ εἰρηνικὸν ἐργαζόμενοι. τοῖϲ 
-Z/6/134/9	πλείϲτοιϲ δὲ τῶν τοιούτων ἔνεϲτί ποτε καὶ ὡϲ γυμναϲίοιϲ μόνον χρή-
-Z/6/134/10	ϲαϲθαι. τριττὴ γὰρ αὐτῶν τιϲ ἡ ϲύμπαϲα χρεία, ποτὲ μὲν ὡϲ ἔργων  
-Z/6/134/11	μόνον αὐτὸ δὴ τοῦτο παραλαμβανομένων, ἐνίοτε δὲ ὡϲ ἀϲκημάτων 
-Z/6/134/12	ἕνεκα τῆϲ τῶν μελλόντων ἔργων χρείαϲ, ἔϲτιν ὅτε δὲ καὶ ὡϲ γυμνα-
-Z/6/134/13	ϲίων. κατ' ἀγρὸν γοῦν ποθ' ἡμεῖϲ ληφθέντεϲ ἐν χειμῶνι ξύλα τε 
-Z/6/134/14	ϲχίζειν ἠναγκάϲθημεν ἕνεκα τοῦ γυμνάζεϲθαι καὶ κριθὰϲ ἐμβάλλοντεϲ 
-Z/6/134/15	ἐν ὅλμῳ κόπτειν τε καὶ ἐκλεπίζειν, ἅπερ ἑκάϲτηϲ ἡμέραϲ οἱ κατ' 
-Z/6/135/1	ἀγρὸν ἔπραττον ὡϲ ἔργα. περὶ μὲν δὴ τῆϲ ὡϲ | ἔργων αὐτῶν χρή-
-Z/6/135/2	ϲεωϲ ἐν τῷ μετὰ ταῦτα λόγῳ διαιρήϲομεν· ἐν δὲ τῷ παρόντι περὶ 
-Z/6/135/3	τῆϲ ὡϲ γυμναϲίων ἐροῦμεν. ἅπαντα γὰρ τὰ τοιαῦτα γυμνάϲια γίνεται 
-Z/6/135/4	μήτε δι' ὅληϲ ἡμέραϲ αὐτὰ πραττόντων μήτ' ἐν ἄλλῳ καιρῷ τοῦ πρὸ 
-Z/6/135/5	τῶν ϲιτίων. φυλάττεϲθαι δὲ δήπου προϲήκει καὶ τὸ μέτρον ἐπ' αὐ-
-Z/6/135/6	τοῖϲ τῶν γυμναϲίων καὶ τὴν καλουμένην ἀποθεραπείαν. εἰ δὲ καὶ 
-Z/6/135/7	προανατριψάμενόϲ τιϲ αὐτάρκωϲ ἐπ' αὐτὰ παραγίνοιτο, νῦν μὲν ἂν 
-Z/6/135/8	ἅπανταϲ ἀκριβῶϲ ἔχοι τοὺϲ ἀριθμοὺϲ τῶν γυμναϲίων. ὑπέρ τε οὖν 
-Z/6/135/9	τούτων ἁπάντων, ἃ δὴ καὶ γυμναϲίων εἴδη καλοῦμεν, ἐπίϲταϲθαι χρὴ 
-Z/6/135/10	τὸν τὴν ὑγιεινὴν τέχνην μετιόντα, καλεῖν δ' ἔξεϲτιν αὐτόν, ὡϲ ἔμπρο-
-Z/6/135/11	ϲθεν εἶπον, ἢ ὑγιεινὸν ἢ γυμναϲτὴν ἢ ἰατρόν, κυριωτάτηϲ μὲν ἐϲομέ-
-Z/6/135/12	νηϲ τῆϲ πρώτηϲ προϲηγορίαϲ, ἐκ καταχρήϲεωϲ δὲ τῶν ἄλλων. εἴπερ 
-Z/6/135/13	γὰρ ἅπαντεϲ οἱ τεχνῖται παρωνύμωϲ ὀνομάζονται τῶν τεχνῶν, ἃϲ 
-Z/6/135/14	μεταχειρίζονται, πρόδηλον, ὡϲ ὁ τὴν ὑγιεινὴν τέχνην μετερχόμενοϲ 
-Z/6/135/15	ὑγιεινὸϲ ἂν εὐλόγωϲ προϲαγορεύοιτο, καθάπερ καὶ ὁ τὴν περὶ τὰ 
-Z/6/136/1	γυμνάϲια μόνον γυμναϲτὴϲ καὶ ὁ περὶ τὰϲ ἰάϲειϲ ἰατρόϲ. εἰ δέ | τιϲ 
-Z/6/136/2	ἢ γυμναϲτὴν ἢ ἰατρὸν ὀνομάζοι τὸν ὑγιεινὸν δὴ τοῦτον, ἀπὸ μέρουϲ 
-Z/6/136/3	τε προϲαγορεύϲει τὸ ϲύμπαν καὶ οὐ κυρίωϲ, ἀλλ' ἐκ καταχρήϲεωϲ ἢ 
-Z/6/136/4	ἐπὶ διαϲτάϲεωϲ, ἢ ὅπωϲ ἄν τιϲ ἐθέλῃ καλεῖν, οὕτω ποιήϲεται τὴν 
-Z/6/136/5	προϲηγορίαν. αἴτιον δὲ τούτου τό, μιᾶϲ οὔϲηϲ τῆϲ περὶ τὸ ϲῶμα 
-Z/6/136/6	τέχνηϲ, ἐφ' ὅληϲ αὐτῆϲ ὄνομα μηδὲν τετάχθαι κύριον, ὑπὲρ ὧν ἐπὶ 
-Z/6/136/7	πλεῖον ἐν ἑνὶ βιβλίῳ τὸν λόγον ἐποιηϲάμην, ὃ Θραϲύβουλοϲ ἐπιγρά-
-Z/6/136/8	φεται. 
-Z/6/136/9	  εἴδη μὲν δὴ γυμναϲίων τὰ εἰρημένα. ποιότηϲ δὲ ἢ διαφορά (καὶ 
-Z/6/136/10	γὰρ οὖν καὶ ταύτην ἔξεϲτιν ἑκατέρωϲ ὀνομάζειν) ὀξύτηϲ τε κινήϲεώϲ 
-Z/6/136/11	ἐϲτι καὶ βραδύτηϲ εὐτονία τε καί, ὡϲ ἂν εἴποι τιϲ, ἀτονία καὶ πρὸϲ 
-Z/6/136/12	τούτοιϲ ἔτι ϲφοδρότηϲ τε καὶ ἀμυδρότηϲ. τρόποι δὲ τῆϲ χρήϲεωϲ 
-Z/6/136/13	ἁπάντων τῶν εἰρημένων εἰδῶν ἅμα ταῖϲ οἰκείαιϲ διαφοραῖϲ τοιοίδε 
[0057]  [036]  []  []

-Z/6/136/14	εἰϲίν· ἤτοι ϲυνεχὴϲ ἡ κίνηϲίϲ ἐϲτιν ἢ διαλείπουϲα· καὶ εἰ μὲν ϲυν- 
-Z/6/136/15	εχήϲ, ἤτοι ὁμαλὴ ἢ ἀνώμαλοϲ, εἰ δὲ διαλείπουϲα, ἤτοι τεταγμένη ἢ 
-Z/6/136/16	ἄτακτοϲ. οὗτοι μὲν οὖν οἱ κατ' αὐτὸ τὸ πρᾶγμα τρόποι τῆϲ χρήϲεωϲ· 
-Z/6/136/17	οἱ δ' ἀπὸ τῶν ἔξωθεν αὐτῷ προϲιόντεϲ τοιοίδε· ἢ ἐν ὑπαίθρῳ χωρίῳ 
-Z/6/137/1	γίνεται | τὸ γυμνάϲιον ἢ ἐν καταϲτέγῳ ἢ ἐν ὑποϲυμμιγεῖ ϲκιᾷ. κατὰ 
-Z/6/137/2	δὲ τὸν αὐτὸν τρόπον ἢ θερμόν ἐϲτι τὸ χωρίον ἢ ψυχρὸν ἢ εὔκρατον 
-Z/6/137/3	καὶ ἤτοι ξηρὸν ἀκριβῶϲ ἢ ὑγρὸν ἢ μέτριον. οὕτω δὲ καὶ τὸ μετὰ 
-Z/6/137/4	κόνεωϲ ἤτοι πλείονοϲ ἢ ἐλάττονοϲ ἐλαίου τε κατὰ τὸν αὐτὸν λόγον 
-Z/6/137/5	ἢ πλείονοϲ ἢ ὀλίγου ἢ καὶ χωρὶϲ ἑκατέρου τρόποϲ ἐϲτὶ χρήϲεωϲ γυ-
-Z/6/137/6	μναϲίου. 
-Z/6/137/7	  Ἐπεὶ τοίνυν διώριϲται πάνθ' ἡμῖν, ὧν ἔμπειρον εἶναι χρὴ τὸν 
-Z/6/137/8	ὑγιεινόν, ἐπὶ τὰ τῶν γυμναϲίων εἴδη καιρὸϲ μετιέναι, καὶ πρῶτον μὲν 
-Z/6/137/9	διελέϲθαι, τί τε κοινὸν ἅπαϲιν ὑπάρχει καὶ τί καθ' ἕκαϲτον ἴδιον, ἐφεξῆϲ 
-Z/6/137/10	δὲ τοὺϲ καιροὺϲ τῆϲ χρήϲεωϲ ἀφορίϲαϲθαι. 
-Z/6/137/11	  τὸ μὲν δὴ κοινὸν ἁπάντων γυμναϲίων ἐϲτὶ θερμότητοϲ αὔξηϲιν 
-Z/6/137/12	ἐξ αὐτῶν τοῖϲ ζῴοιϲ ἐργάζεϲθαι. θερμαίνεται γὰρ ἡμῶν τὰ ϲώματα 
-Z/6/137/13	κατά τε τὰ βαλανεῖα καὶ τὰ τῶν θερμῶν ὑδάτων λουτρὰ καὶ τὰϲ θερ-
-Z/6/137/14	μὰϲ ὥραϲ τοῦ ἔτουϲ, ἡλιοθερούντων τε καὶ παρὰ πυρὶ θαλπομένων 
-Z/6/138/1	καὶ θερμοῖϲ φαρμάκοιϲ ἀνατριβομένων. ἀλλ' | ἔξωθεν αἱ τοιαῦται πᾶ-
-Z/6/138/2	ϲαι θερμότητεϲ, οὐκ ἔνδοθεν, οὐδ' ἐκ τῆϲ οἰκείαϲ ἀρχῆϲ ἀνάπτονται 
-Z/6/138/3	καὶ αὐξάνονται. κατὰ δὲ τὰ γυμνάϲια τῆϲ ἐμφύτου τοῖϲ ζῴοιϲ θερ-
-Z/6/138/4	μαϲίαϲ αὔξηϲίϲ ἐϲτιν, ἐξ αὐτῶν τῶν ἰδίων ϲωμάτων γινομένη. καὶ 
-Z/6/138/5	τοῦτο κοινὸν μὲν ἁπάντων τῶν γυμναϲίων, οὐ μήν γε ἴδιόν ἐϲτιν, 
-Z/6/138/6	εἴ γε δὴ καὶ τοῖϲ θυμωθεῖϲι καὶ τοῖϲ ἀγωνιάϲαϲι καὶ τοῖϲ αἰδεϲθεῖϲιν 
-Z/6/138/7	αὔξηϲιϲ τῆϲ ἐμφύτου γίνεται θερμότητοϲ. ὁ μέν γε θυμὸϲ οὐδ' ἁπλῶϲ 
-Z/6/138/8	αὔξηϲιϲ, ἀλλ' οἷον ζέϲιϲ τίϲ ἐϲτι τοῦ κατὰ τὴν καρδίαν θερμοῦ· διὸ 
-Z/6/138/9	καὶ τὴν οὐϲίαν αὐτοῦ τῶν φιλοϲόφων οἱ δοκιμώτατοι τοιαύτην εἶναί 
-Z/6/138/10	φαϲι· ϲυμβεβηκὸϲ γάρ τι καὶ οὐκ οὐϲία τοῦ θυμοῦ ἐϲτιν ἡ τῆϲ ἀντι-
-Z/6/138/11	τιμωρήϲεωϲ ὄρεξιϲ. αὐξάνεται δὲ καὶ τοῖϲ αἰδεϲθεῖϲιν ἡ ἔμφυτοϲ θερ-
-Z/6/138/12	μότηϲ, εἴϲω μὲν τὰ πρῶτα ϲυνδραμόντοϲ ἅπαντοϲ τοῦ θερμοῦ, μετὰ 
-Z/6/138/13	ταῦτα δ' ἀθροιϲθέντοϲ ἐν τῷ βάθει, κἄπειτα αὐξηθέντοϲ καὶ διὰ τὴν 
-Z/6/138/14	ἄθροιϲιν μὲν τὴν ἐνταῦθα καὶ διὰ τὴν κίνηϲιν δὲ τὴν ϲυνεχῆ. οὐ γὰρ 
-Z/6/138/15	ἡϲυχάζει τὸ πνεῦμα τῶν αἰδουμένων, ἀλλ' ἔνδον τε καὶ περὶ αὑτὸ 
-Z/6/139/1	μετὰ τοῦ ϲύμπαντοϲ αἵματοϲ κυκᾶται πολυειδῶϲ, | ὥϲπερ γε καὶ τὸ 
-Z/6/139/2	τῶν ἀγωνιώντων. εἰρήϲεται δ' ἐπὶ πλέον ὑπὲρ τῶν τοιούτων ἁπάν- 
-Z/6/139/3	των παθῶν τῆϲ ψυχῆϲ ἐπὶ προήκοντι τῷ λόγῳ. νυνὶ μὲν γὰρ διὰ τὸ 
-Z/6/139/4	κοινὸν ἕπεϲθαι ϲύμπτωμα τούτοιϲ τε τοῖϲ πάθεϲι καὶ τοῖϲ γυμναϲίοιϲ 
-Z/6/139/5	ἠναγκάϲθην αὐτῶν μνημονεῦϲαι δεικνύϲ, ὡϲ ἁπάντων κοινὸν γυμναϲίων 
-Z/6/139/6	ἐϲτὶν ἡ τῆϲ ἐμφύτου θερμότητοϲ αὔξηϲιϲ ἔνδοθέν τε καὶ ἐξ αὐτῆϲ, οὐ 
-Z/6/139/7	μὴν ὅτι γε μόνοιϲ ὑπάρχει τοῦτο τοῖϲ γυμναϲίοιϲ, ἀλλὰ καὶ τοῖϲ 
-Z/6/139/8	εἰρημένοιϲ ἄρτι πάθεϲιν. 
-Z/6/139/9	  ἤδη δ' ἐπὶ τὰ καθ' ἕκαϲτον τῶν γυμναϲίων ἴδια τὸν λόγον ἄγειν 
-Z/6/139/10	καιρόϲ, ἐπιϲημηνάμενόν γε πρότερον, ὡϲ καὶ κατὰ ταῦτα πλείουϲ εἰϲὶν 
-Z/6/139/11	αἱ διαφοραί. τὰ μὲν γὰρ ἄλλοτε ἄλλο τι μέροϲ ἕτερον ἑτέρου γυ-
-Z/6/139/12	μνάζει μᾶλλον, καὶ τὰ μὲν ἐλινυόντων γίνεται, τὰ δὲ ὀξύτατα κινου-
-Z/6/139/13	μένων, καὶ τὰ μὲν εὐτόνωϲ, τὰ δὲ ἀτόνωϲ, καὶ πρὸϲ τούτοιϲ ἔτι τὰ 
-Z/6/139/14	μὲν ϲφοδρῶϲ, τὰ δ' ἀμυδρῶϲ. εὔτονον μὲν οὖν γυμνάϲιον ὀνομάζω 
-Z/6/139/15	τὸ βιαίωϲ ἄνευ τάχουϲ διαπονοῦν, ϲφοδρὸν δὲ τὸ βιαίωϲ τε καὶ ϲὺν 
-Z/6/140/1	τάχει· βιαίωϲ δὲ ἢ ῥωμαλέωϲ | λέγειν οὐ διοίϲει. τὸ μὲν οὖν ϲκάπτειν 
-Z/6/140/2	εὔτονόν τε καὶ ῥωμαλέον ἐϲτίν, οὕτω δὲ καὶ τὸ τέτταραϲ ἵππουϲ ἅμα 
-Z/6/140/3	κατέχειν ἡνίαιϲ εὔτονον μὲν ἱκανῶϲ γυμνάϲιον, οὐ μὴν ὠκύ γε. κατὰ 
-Z/6/140/4	δὲ τὸν αὐτὸν τρόπον εἴ τιϲ ἀράμενοϲ ὁτιοῦν μέγιϲτον φορτίον ἢ μένοι 
-Z/6/140/5	κατὰ χώραν ἢ προβαίνοι ϲμικρὰ καὶ οἱ ἀνάντειϲ περίπατοι τούτου τοῦ 
-Z/6/140/6	γένουϲ εἰϲίν. ἀναφέρεται γοῦν καὶ ἀναβαϲτάζεται κατ' αὐτοὺϲ ὑπὸ τῶν 
-Z/6/140/7	πρώτων κινουμένων ὀργάνων ἅπαντα τὰ λοιπὰ μόρια τοῦ ϲώματοϲ, 
-Z/6/140/8	ὥϲπερ τι φορτίον. οὕτω δὲ καὶ ὅϲτιϲ ἀναρριχᾶται διὰ ϲχοινίου, καθάπερ 
-Z/6/140/9	ἐν παλαίϲτρᾳ γυμνάζουϲι τοὺϲ παῖδαϲ εἰϲ εὐτονίαν παραϲκευάζοντεϲ. 
-Z/6/140/10	ὡϲαύτωϲ δὲ καὶ ὅϲτιϲ ἢ ϲχοινίου λαβόμενοϲ ἤ τινοϲ ὑψηλοῦ ξύλου μέχρι 
