
[0057]  [096]  []  []

-Z/18a/346/t1	{ΠΕΡΙ ΤΩΝ ΟΥΧ ΕΩΡΑΜΕΝΩΝ 
-Z/18a/359/6	τῶν ζώων ἔχει χηλάς. μώνυχα δέ ἐστι τὰ ἀμφόδοντα, συνῃ-
-Z/18a/359/7	ρημένου τοῦ ὀνόματος, ὥς φασιν οἱ τὰς ἐτυμολογίας τιμῶν-
-Z/18a/359/8	τες, ἐκ τοῦ μονώνυχας, ἐπειδήπερ ἔχουσιν ὄνων ὄνυχας. 
-Z/18a/359/9	τοιοῦτον γὰρ ἐν τοῖς ὅπλοις ἔχουσι ζώοις, οἷς ἐστὶ τὸ κατ' 
-Z/18a/359/10	ἄκρους τοὺς πόδας, οἷον ἀνθρώποις οἱ ὄνυχες, καὶ ἧσσον 
-Z/18a/359/11	ἐπιφλεγμαίνει τούτοις, ὅτι καὶ ῥᾷον ἐκπίπτει. τούτῳ γὰρ 
-Z/18a/359/12	ἕπεται καὶ τὸ τὸ ἐμβάλλεσθαι, τούτοις δ' αὖ πάλιν τὸ μι-
-Z/18a/359/13	κρὰν ἢ μηδ' ὅλως ἕπεσθαι φλεγμονήν. ἐν γὰρ ταῖς βιαίοις 
-Z/18a/359/14	ἐκπτώσεσιν, ὥσπερ καὶ ταῖς ἐμβολαῖς, ὀδύναι γίνονται τοῖς 
-Z/18a/359/15	μυσὶν, αἷς ἕπονται φλεγμοναί. 
-Z/18a/359/16	          — — —  
-Z/18a/360/1	            κηʹ. 
-Z/18a/360/2	Καὶ ἧσσόν γε δέδειται ἐς τὸν ἔπειτα χρόνον· ἀτὰρ καὶ ἡ 
-Z/18a/360/3	  μύξα πλείων ὑπείη τοῦ μετρίου, μὴ ξὺν φλεγμονῇ δὲ, οὕ-
-Z/18a/360/4	  τως ἂν ὀλισθηρὸν εἴη. μυξωδέστερα γὰρ τοὐπίπαν τὰ 
-Z/18a/360/5	  ἄρθρα τοῖσιν ἀσάρκοισιν ἢ τοῖσι σεσαρκωμένοισίν ἐστιν. 
-Z/18a/360/6	          — — — 
-Z/18a/360/7	    Ἅπαντα δύναται λέγειν διττὸν ὄντα χρόνον τόν τε 
-Z/18a/360/8	μετὰ τὴν ἐμβολὴν εὐθέως, ἐν ᾧ θεραπεύονται τὰ φλεγμαί-
-Z/18a/360/9	νοντα μόρια καὶ τὸν τῆς διαδεχομένης αὐτὸν ἑξῆς ἀοχλήτου 
-Z/18a/360/10	καταστάσεως. ὁ μὲν γὰρ μετὰ τὴν ἐμβολὴν εὐθέως, ὅταν 
-Z/18a/360/11	μετὰ φλεγμονῆς ᾖ, δι' αὐτὴν ἐκείνην ἔχει ἐσφιγμένον τὸ 
-Z/18a/360/12	ἄρθρον, ὡς καὶ αὐτὸς εἴρηκεν, ὁ δὲ μετὰ τὴν θεραπείαν 
-Z/18a/360/13	ὅτι σύντονός ἐστιν ἐπὶ τῶν τοιούτων ἀνθρώπων ἡ τῶν μυῶν 
-Z/18a/360/14	οὐσία καὶ ὅτι διὰ τὰς ἐπιγινομένας φλεγμονὰς μεγάλας οὔ-
-Z/18a/360/15	σας ὑπολείπεταί τις ἐν τοῖς μυσὶ σκληρότης, ὡς ὑπὸ δεσμοῦ 
-Z/18a/360/16	σφίγγεται τὸ ἄρθρον. 
-Z/18a/360/17	          — — —  
-Z/18a/361/1	            κθʹ. 
-Z/18a/361/2	Καὶ γὰρ αὗται αἱ σάρκες τῶν μὴ ἀπὸ τέχνης ὀρθῶς λελι-
-Z/18a/361/3	  μαγχημένων αἱ τῶν λεπτῶν μυξωδέστεραί εἰσιν ἢ αἱ τῶν 
-Z/18a/361/4	  παχέων. ὅσοισι μέντοι ξὺν φλεγμονῇ μύξα ὑπογίνεται, ἡ 
-Z/18a/361/5	  φλεγμονὴ δήσασα ἔχει τὸ ἄρθρον. διὰ τοῦτο οὐ μάλα 
-Z/18a/361/6	  ἐκπίπτει τὰ ὑπόμυξα, ἐκπίπτοντα ἂν εἰ μή τι ἢ πλέον ἢ 
-Z/18a/361/7	  ἔλασσον φλεγμονῆς ὑπεγένετο· οἷσι μὲν οὖν ὅταν ἐκπέσῃ 
-Z/18a/361/8	  τὸ ἄρθρον καὶ μὴ ἐπιφλεγμήνῃ τὰ περιέχοντα, 
-Z/18a/361/9	  χρῆσθαί τε ἀνωδύνως αὐτίκα τῷ ὤμῳ δύνανται. οὗτοι 
-Z/18a/361/10	  μὲν οὐδὲν νομίζουσι δεῖν ἑωυτῶν ἐπιμελεῖσθαι. ἰητροῦ 
-Z/18a/361/11	  μήν ἐστι καταμαντεύσασθαι τῶν τοιούτων. τοῖσι τοιού-
-Z/18a/361/12	  τοισιν ἐκπίπτει καὶ αὖθις μᾶλλον καὶ οἷσιν ἂν ἐπιφλε-
-Z/18a/361/13	  γμήνῃ τὰ νεῦρα, τοῦτο κατὰ πάντα τῷ ἀνθρώπῳ οὕτως 
-Z/18a/361/14	  ἔχει καὶ μάλιστα κατ' ὦμον καὶ κατὰ γόνυ. μάλιστα γὰρ 
-Z/18a/361/15	  οὖν καὶ ὀλισθαίνῃ ταῦτα. οἷσι δ' ἂν ἐπιφλεγμήνῃ τὰ 
-Z/18a/361/16	  νεῦρα οὐ δύνανται χρέεσθαι τῷ ὤμῳ· κωλύει γὰρ ἡ ὀδύνη 
-Z/18a/361/17	  καὶ ἡ ξύντασις τῆς φλεγμονῆς. τοὺς οὖν τοιούτους ἰᾶ- 
-Z/18a/362/1	  σθαι χρὴ κηρωτῇ καὶ σπλήνεσι καὶ ὀθονίοισι πολλοῖσιν 
-Z/18a/362/2	  ὑποδέοντα. ὑποτιθέναι δὲ ἐς τὴν μασχάλην εἴριον μαλ-
-Z/18a/362/3	  θακὸν, καθαρὸν ξυνειλίσαντα, ἐκπλήρωμα τοῦ κοίλου 
-Z/18a/362/4	  ποιέοντα, ἵνα ἀντιστήριγμα μὲν τῇ ἐπιδέσει ἔῃ, ἀνακω-
-Z/18a/362/5	  χέῃ δὲ τὸ ἄρθρον. τὸν δὲ βραχίονα ἐς τὸ ἄνω ῥέποντα 
-Z/18a/362/6	  ἴσχειν χρὴ τὰ πλεῖστα, οὕτω γὰρ ἂν οἵη ἑκάστῳ εἴη χω-
-Z/18a/362/7	  ρίου, ἐς ὃ ὄλισθεν ἡ κεφαλὴ τοῦ ὤμου. χρὴ δὲ ὅταν 
-Z/18a/362/8	  ἐπιδήσῃς τὸν ὦμον ἔπειτα προσκαταδεῖν τὸν βραχίονα 
-Z/18a/362/9	  πρὸς τὰς πλευρὰς ταινίῃ τινὶ κύκλῳ περὶ τὸ σῶμα πε-
-Z/18a/362/10	  ριβάλλοντα. 
-Z/18a/362/11	          — — — 
-Z/18a/362/12	    Ὅσοι διὰ λιμὸν ἢ διὰ πολιορκίαν ἢ πένθος ἢ λύπην ἢ 
-Z/18a/362/13	ἀνορεξίαν ἐνδεῶς προσφερόμενοι τροφὴν ἐλεπτύνθησαν, οὐκ 
-Z/18a/362/14	εὐθέως αἱ σάρκες αὐτοῖς γίνονται ξηραὶ, καθάπερ τοῖς 
-Z/18a/362/15	ὑπὸ τέχνης ὀρθῶς λελιμαγχημένοις. ἀλλ' ὑγροτέρας τοὐπί-
-Z/18a/362/16	παν ἐν ἁπάσαις εἴρηκε περιστάσεσιν ἀποτελούσας συντήξεων 
-Z/18a/362/17	τινῶν ἐν αὐταῖς γιγνομένων διὰ τὴν ἔνδειαν. οἷς δὲ καὶ 
-Z/18a/362/18	λυπεῖσθαι πρόσεστι καὶ μᾶλλον οὗτοι συντήκονται δὴ καὶ  
[0057]  [096]  []  []

-Z/18a/363/1	μελεδόνας οἱ ποιηταὶ τὰς λύπας καλοῦσιν ἐν ἴσῳ τὰ μέλη 
-Z/18a/363/2	ἐδούσας καὶ κατεσθιούσας. συντήκεται δὲ ἐν αὐταῖς ἥ τε 
-Z/18a/363/3	πιμελὴ πᾶσα καὶ ὅση μαλθακὴ καὶ ὅση νεοπαγής ἐστι σάρξ. 
-Z/18a/363/4	ὅταν δὲ ἰατρὸς ἑκὼν ἰσχνότερον ἐργάζηταί τι, σῶμα μὲν εὑ-
-Z/18a/363/5	ρημένοις τε τοῦτο πράττῃ καὶ μετὰ τοῦτο τρίβει ὅτε χρή. 
-Z/18a/363/6	εἴ τις γένοιτο σύντηξις, ἐκκενοῦν αὐτὴν εἴτε διὰ τῶν ἱδρώ-
-Z/18a/363/7	των αἰσθητῶς ἢ λόγῳ θεωρητῶς κατὰ τὴν ἄδηλον αἰσθή-
-Z/18a/363/8	σει διαπνοήν. εἰκὸς δὲ δήπου καὶ τῶν ἐδεσμάτων τε καὶ 
-Z/18a/363/9	πομάτων οὐκ ἀμελῶς ἔχειν αὐτὸν, ἀλλὰ καὶ διὰ τούτων ἐπι-
-Z/18a/363/10	χειρεῖν εὐλύτους ἐργάζεσθαι τὰς ἐκκρίσεις ἁπάσας, οὐ μό-
-Z/18a/363/11	νον ὅσαι διὰ τῆς γαστρὸς, ἀλλὰ καὶ διὰ τῶν οὔρων γιγνο-
-Z/18a/363/12	μένας. οὕτω γὰρ ἂν μάλιστα πανταχόθεν, εἴ τις εἴη κατὰ 
-Z/18a/363/13	τὸ σῶμα διὰ τὴν σύντηξιν ὑγρότης περὶ τὴν κένωσιν ἔξω 
-Z/18a/363/14	τοῦ σώματος ποιοῖτο. μένουσα γὰρ ἔνδον ὑπομυξώδεις τῷ 
-Z/18a/363/15	χρόνῳ τὰς σάρκας ἐργάζεται, κατὰ τὴν ἄδηλον διαπνοὴν 
-Z/18a/363/16	ἄνευ τῶν ἄλλων μᾶλλον γιγνομένην. ὅσον μὲν γὰρ ἀκριβῶς 
-Z/18a/363/17	λεπτόν ἐστι καὶ ὀῤῥῶδες ἐν τοῖς συντήγμασιν ἀπέρχεταί τε 
-Z/18a/363/18	καὶ διαφορεῖται. τὸ δὲ ὑποπαχύτερον ὑπομένει μόνον, ὅπερ  
-Z/18a/364/1	ἑνὶ τῷ χρόνῳ γλισχρότητά τινα προσλαμβάνον ὅμοιον μύξῃ 
-Z/18a/364/2	γίγνεται. 
-Z/18a/364/3	          — — — 
-Z/18a/364/4	            λʹ. 
-Z/18a/364/5	Χρὴ δὲ καὶ ἀνατρίβειν τὸν ὦμον ἡσυχέως καὶ λιπαρῶς. 
-Z/18a/364/6	  πολλῶν δὲ ἔμπειρον δεῖ εἶναι τὸν ἰατρὸν, ἀτὰρ δὴ καὶ 
-Z/18a/364/7	  ἀνατρίψιος· ἀπὸ γὰρ τοῦ αὐτοῦ ὀνόματος οὐ τὸ αὐτὸ 
-Z/18a/364/8	  ἀποβαίνει. καὶ γὰρ ἂν δήσειεν ἄρθρον ἀνάτριψις χαλαρώ-
-Z/18a/364/9	  τερον τοῦ καιροῦ ἐὸν καὶ λύσειεν ἄρθρον σκληρότερον 
-Z/18a/364/10	  τοῦ καιροῦ ἐόν. ἄλλα διοριεῖται ἡμῖν περὶ ἀνατρίψιος ἐν 
-Z/18a/364/11	  ἄλλῳ λόγῳ. τὸν γοῦν τοιοῦτον ὦμον μαλθα-
-Z/18a/364/12	  κοῖσι χρὴ χερσὶν ἀνατρίβειν, συμφέρει γὰρ καὶ ἄλλως 
-Z/18a/364/13	  πρῃέως. 
-Z/18a/364/14	          — — — 
-Z/18a/364/15	    Εἰς τὸ μηδὲν ὑπολειφθῆναι λείψανον τῆς φλεγμονῆς 
-Z/18a/364/16	σκιῤῥῶδες ἐπιτήδειός ἐστιν ἡσύχως τε καὶ λιπαρῶς ἡ τρί-
-Z/18a/364/17	ψις γιγνομένη. χρὴ δ' αὐτὴν ποιεῖσθαι πολυειδῶς, περι-
-Z/18a/364/18	φέρεσθαι τὰς χεῖρας ἄνωθέν τε κάτω καὶ κάτωθεν ἄνω·  
-Z/18a/365/1	κἄπειτα λοξὰς οὐ κάτωθεν ἄνω μόνον, ἀλλὰ καὶ ἄνωθεν 
-Z/18a/365/2	κάτω. καὶ μὲν δὴ καὶ τὰς ἐν κύκλῳ τε καὶ οἷον ἐγκαρσίας 
-Z/18a/365/3	ἀπό τε τῶν δεξιῶν ἐπὶ τὰ ἀριστερὰ καὶ αὖθις ἐπ' ἐκείνων 
-Z/18a/365/4	ἐπὶ τὰ δεξιὰ, χάριν τοῦ τὰς ἶνας ἁπάσας μαλάττεσθαι τῶν 
-Z/18a/365/5	μυῶν. τὸ γὰρ τῆς ἀνατρίψεως ὄνομα τοῖς παλαιοῖς ἀντὶ 
-Z/18a/365/6	τοῦ τῆς τρίψεως ἐλέγετο. μὴ τοίνυν ὑπονοήσῃς πῶς 
-Z/18a/365/7	ἔδοξάν τινες ἀξιοῦν αὐτὸν ἐκ τῶν κάτω μερῶν ἄνω ποιεῖ-
-Z/18a/365/8	σθαι τὴν φορὰν τῶν χειρῶν, ὁπότε τὸν ὦμον ἀνατρίβομεν, 
-Z/18a/365/9	ἀλλὰ τὸ ἀνατρίβειν αὐτὸ συμβαίνει ὅλου τοῦ γένους τῶν 
-Z/18a/365/10	τρίψεων ὂν δηλωτικὸν οὐ μιᾶς διαφορᾶς τῆς κάτωθεν ἄνω. 
-Z/18a/365/11	δῆλον δὲ τοῦτο ποιεῖ λέγων αὐτὸς, ἀλλὰ διώρισται περὶ 
-Z/18a/365/12	ἀνατρίψεως ἐν ἄλλῳ λόγῳ· οὐ γὰρ δήπου τὸν περὶ μιᾶς 
-Z/18a/365/13	διαφορᾶς λόγον ἐρεῖν ἐπαγγέλλεται, τὰς ἄλλας λιπών. καὶ 
-Z/18a/365/14	μέντοι κἀν τῷ κατ' ἰητρεῖον ἁπάσας ἐδήλωσεν αὐτὰς ὀνο-
-Z/18a/365/15	μάζων κἀκεῖ τὸ γένος ὅλον, ἀνάτριψις δύναται λύσαι, δῆσαι, 
-Z/18a/365/16	σαρκῶσαι, μινυθῆσαι καὶ τὰ τούτοις ἐφεξῆς, ὑπὲρ ὧν ἐν  
-Z/18a/366/1	τε τοῖς εἰς ἐκεῖνο τὸ βιβλίον ὑπομνήμασι λέλεκται καὶ 
-Z/18a/366/2	μέντοι κατὰ τὴν ὑγιεινὴν πραγματείαν εἴρηται τελεώτατα. 
-Z/18a/366/3	          — — — 
-Z/18a/366/4	            λαʹ. 
-Z/18a/366/5	Τὸ δὲ ἄρθρον διακινέειν μὴ βίῃ, ἀλλὰ τοσοῦτον, ὅσον ἀνω-
-Z/18a/366/6	  δύνως κινήσεται. καθίσταται δὲ πάντα τὰ μὲν ἐν πλείονι 
-Z/18a/366/7	  χρόνω, τὰ δ' ἐν ἐλάσσονι. 
-Z/18a/366/8	          — — — 
-Z/18a/366/9	    Οὐδέν ἐστι χρησιμώτερον τῆς τοιαύτης κινήσεως ἐν 
-Z/18a/366/10	παρακμαζούσαις φλεγμοναῖς. λύει γὰρ αὐτῶν τὸ λείψανον 
-Z/18a/366/11	ἅπαν, ἐξ οὗ πέφυκεν ἀμεληθέντος ἀγκυλοῦσθαί τε καὶ δεσ-
-Z/18a/366/12	μεῖσθαι τὰ ἄρθρα, καλοῦσι γὰρ ἑκατέρως τὸ πάθημα. 
-Z/18a/366/13	          — — — 
-Z/18a/366/14	            λβʹ. 
-Z/18a/366/15	Γινώσκειν δὲ εἰ ἐκπέπτωκεν ὁ βραχίων τούτοισι χρὴ τοῖσι 
-Z/18a/366/16	  σημείοισι. 
-Z/18a/366/17	          — — —  
-Z/18a/367/1	    Κἀν τῷ περὶ τῶν ἀγμῶν ἐπὶ τοὺς ἁμαρτάνοντας ἧκε 
-Z/18a/367/2	τῷ λόγῳ προτέρους καὶ νῦν οὕτω πράξας, ἐπειδὴ συνάψας 
-Z/18a/367/3	τῷ πρὸς ἐκείνους ἐλέγχῳ καὶ περὶ τῆς ἐμβολῆς εἶπεν, οὐ 
-Z/18a/367/4	μόνον ἑπομένοις τοῖς εἰρημένοις, ἀλλὰ καὶ μαρτυροῦσιν, ἐπ' 
-Z/18a/367/5	ἐκείνην ἀφίκετο προτέραν, εἶθ' ἑξῆς νῦν διδάσκει τὰ γνωρί-
-Z/18a/367/6	σματα τοῦ κατ' ὦμον ὀλισθήματος. ἐπὶ μὲν τῶν ἔργων 
-Z/18a/367/7	τῆς τέχνης ἐξ ἀνάγκης προηγούμενα, κατὰ δὲ τὴν 
-Z/18a/367/8	διδασκαλίαν οὐκ ἐξ ἀνάγκης. ἔστω δέ σοι τὸ γνώρισμα τῶν 
-Z/18a/367/9	ἑπομένων ἢ προηγουμένων ἐξ ἀνάγκης τὸ μὴ δύνασθαι κα-
-Z/18a/367/10	λῶς ἤτοι πραχθῆναι τὸ ἑπόμενον ἔργον ἢ νοηθῆναι τὸ μά-
-Z/18a/367/11	θημα, πρὶν γνωρισθῆναι τὸ ἡγούμενον. ἡ τοίνυν ἐμβολὴ 
-Z/18a/367/12	τῶν ἐξηρθρηκότων πρὸ μὲν τοῦ νοηθῆναι τὴν μετάστασιν 
-Z/18a/367/13	τοῦ ἐκπεσόντος εἰς τὶ χωρίον ἐγένετο, διδαχθῆναι σαφῶς οὐ 
-Z/18a/367/14	δύναται, πρὶν μέντοι τὰ σημεῖα μαθεῖν αὐτῆς, ἐγχωρεῖ 
-Z/18a/367/15	διδαχθῆναι. μόνον γοῦν τοῦτο μεμαθηκότος ἐν ἀρχῇ τοῦ 
-Z/18a/367/16	λόγου τὸ γίγνεσθαι τὴν ἔκπτωσιν εἰς μασχάλην, αὐτοί γ' 
-Z/18a/367/17	ἐπινοῆσαι τὴν ἐμβολὴν ἐδυνάμεθα καὶ διδάσκοντος ἑτέρου 
-Z/18a/367/18	μαθεῖν, οὐ μὴν ἄνευ τοῦ γνῶναι σαφῶς ὅτι εἰς μασχάλην  
-Z/18a/368/1	ἔκπτωσις γίγνεται πρὸ τοῦ γνῶναι τὴν φύσιν ἅπασαν τῆς 
-Z/18a/368/2	διαρθρώσεως. εἰ μὲν οὖν τις εἰπὼν ἐμβολὴν ἐφεξῆς διδά-
-Z/18a/368/3	σκει ποίας διαφορὰς ὀλισθήματος εἴρηκεν ἐμβολὴν, ἐναλ-
-Z/18a/368/4	λάττει τάξιν ἀναγκαίαν, ὥσπερ εἰ καὶ ὅσον τις ἐπὶ τὴν 
-Z/18a/368/5	διαφορὰν τῆς ἐκπτώσεως ἀφικόμενος ἐν τῇ διδασκαλίᾳ πρό-
-Z/18a/368/6	τερον αὐτῆς ἐπὶ τὴν φύσιν ἔρχεται τῆς διαρθρώσεως. εἰ 
-Z/18a/368/7	γὰρ ὅλως ἐνόησέ τις ὅπως εἰς μασχάλην ἔκπτωσις γίγνεται 
-Z/18a/368/8	περιττὸν αὐτῷ διδάσκεσθαι τὴν φύσιν τῆς διαρθρώσεως. 
-Z/18a/368/9	εἰ δὲ πρώτην μὲν ἀκουστέον, ὡς μάθοι ταύτην ὁποία τίς 
-Z/18a/368/10	ἐστιν, ἐφεξῆς δὲ τὴν ἔκπτωσιν, οὐδὲν ἐνδεῖ τοῦτο πρὸς τὴν 
-Z/18a/368/11	τῆς ἐμβολῆς διδασκαλίαν. ἀμέλει καὶ νῦν ἡμῖν οὐδὲν ἐνενόη-
-Z/18a/368/12	σεν εἰς τὴν τῶν ἐμβολῶν νόησιν ἡ τῶν σημείων ἄγνοια καὶ 
-Z/18a/368/13	τοῦτο ἐν πάσῃ διδασκαλίᾳ θεραπείας ἐστί. δύναται γάρ τις 
-Z/18a/368/14	ἥπατος φλεγμονῆς διδάσκεσθαι θεραπείαν ἢ κοιλίας ἢ νε-
-Z/18a/368/15	φρῶν ἢ κώλου πρὸ τῆς διαγνώσεως τῶν ἐν αὐτοῖς παθῶν, 
-Z/18a/368/16	οὐ μὴν θεραπεῦσαι δύναται πρὸ τῆς διαγνώσεως, ὥσπερ οὐ 
-Z/18a/368/17	κατὰ μέθοδον ἢ εὑρεῖν τὴν θεραπείαν ἢ διδαχθῆναι πρὸς  
-Z/18a/369/1	ἑτέρου, πρὶν ἀκριβῶς γνῶναι τοῦ θεραπευομένου μορίου τὴν 
-Z/18a/369/2	φύσιν. 
-Z/18a/369/3	          — — — 
-Z/18a/369/4	            λγʹ. 
-Z/18a/369/5	Τοῦτο μὲν ἐπειδὴ δίκαιον ἔχουσι τὸ σῶμα οἱ ἄνθρωποι καὶ 
-Z/18a/369/6	  τὰς χεῖρας καὶ τὰ σκέλεα παραδείγματι χρέεσθαι δεῖ τῷ 
-Z/18a/369/7	  ὑγιεῖ πρὸς τὸ μὴ ὑγιὲς καὶ τῷ μὴ ὑγιεῖ πρὸς τὸ ὑγιὲς 
-Z/18a/369/8	  μήτ' ἀλλότρια ἄρθρα καθορῶντα. 
-Z/18a/369/9	          — — — 
-Z/18a/369/10	    Τὸ ἀκριβῶς ἴσον ἑκατέρωθεν ἐκ δεξιῶν γε καὶ ἀριστε-
-Z/18a/369/11	ρῶν δίκαιον ὠνόμασεν, ἐπεὶ δὲ τῶν κώλων ἰδέαι διαφέρου-
-Z/18a/369/12	σαι τοῖς ἀνθρώποις εἰσὶν, ἀξιοῖ παραβάλλεσθαι τὸ τοῦ πε-
-Z/18a/369/13	πονθότος αὐτοῦ κῶλον ὁμόζυγον ἐξ ἐκείνου τε τεκμαίρεσθαι 
-Z/18a/369/14	πόσον ἐξήλλακται τοῦ κατὰ φύσιν. 
-Z/18a/369/15	          — — —  
-Z/18a/370/1	            λδʹ. 
-Z/18a/370/2	Ἄλλοι γὰρ ἄλλων μᾶλλον ἔξαρθροι πεφύκασιν, ἄλλα τὰ 
-Z/18a/370/3	  αὐτὰ τοῦ κάμνοντος, ἢν ἀνόμοιον ἔῃ τὸ ὑγιὲς τῷ κά-
-Z/18a/370/4	  μνοντι. 
-Z/18a/370/5	          — — — 
-Z/18a/370/6	    Τοὺς ἐκκείμενα καὶ προὔχοντα κεκτημένους τὰ 
-Z/18a/370/7	ἄρθρα κέκληκεν ἐξάρθρους ἐν αὐτῷ τῷ κατὰ φύσιν ἔχειν. 
-Z/18a/370/8	          — — — 
-Z/18a/370/9	            λεʹ. 
-Z/18a/370/10	Καὶ τοῦτο εἰρήσεται μὲν ὀρθῶς, παραξύνεσιν δὲ ἔχει πάνυ 
-Z/18a/370/11	  πολλήν. διὰ τὰ τοιαῦτα καὶ οὐκ ἀρκέει μοῦνον λόγῳ εἰ-
-Z/18a/370/12	  δέναι τὴν τέχνην ταύτην, ἀλλὰ καὶ ὁμιλίῃ ὁμιλέειν. 
-Z/18a/370/13	          — — — 
-Z/18a/370/14	    Οὐχ ἁπλῶς ἅπασαν ἄγνοιαν ὀνομάζει παρασύνεσιν, 
-Z/18a/370/15	ἀλλὰ τὴν παρακειμένην τε καὶ τὴν πλησιάζουσαν τῇ γνώσει. 
-Z/18a/370/16	διδάξει δ' αὐτὸς διὰ τῶν ἐφεξῆς, ὅπως ἐξαπατᾶσθαι συμ-
-Z/18a/370/17	βαίνει τοῖς ἐνίοτε παραβάλλουσι τὸ ἐφεξῆς τὸ ὑγιὲς τῷ πε-
-Z/18a/370/18	πονθότι. 
-Z/18a/370/19	          — — —  
-Z/18a/371/1	            λστʹ. 
-Z/18a/371/2	Πολλοὶ γὰρ ὑπὸ ὀδύνης ἢ ὑπ' ἀλλοίης προφάσιος οὐκ ἐξε-
-Z/18a/371/3	  στεώτων αὐτέοισι τῶν ἄρθρων ὅμως οὐ δύνανται ἐς τὰ 
-Z/18a/371/4	  ὅμοια σχήματα καθιστάναι, ἐς οἷά περ τὸ ὑγιαῖνον σῶμα 
-Z/18a/371/5	  σχηματίζεται. προξυνιέναι δὲ δεῖ οὖν καὶ ἐννοεῖν καὶ τὸ 
-Z/18a/371/6	  τοιόνδε σχῆμα χρὴ, ἀτὰρ καὶ ἐν τῇ μασχάλῃ ἡ κεφαλὴ 
[0057]  [096]  []  []

-Z/18a/371/7	  τοῦ βραχίονος φαίνεται ἐγκειμένη, πολλῷ μᾶλλον τοῦ 
-Z/18a/371/8	  ἐκπεπτωκότος ἢ τοῦ ὑγιέος. τοῦτο δὲ ἄνωθεν κατὰ τὴν 
-Z/18a/371/9	  ἐπωμίδα κοῖλον φαίνεται τὸ χωρίον καὶ τὸ τοῦ ἀκρωμίου 
-Z/18a/371/10	  ὀστέου ἐξέχον φαίνεται, ἅτε ὑποδεδυκότος τοῦ ἄρθρου ἐς 
-Z/18a/371/11	  τὸ κάτω τοῦ χωρίου. 
-Z/18a/371/12	          — — — 
-Z/18a/371/13	    Μίαν μὲν τήνδε παρασύνεσιν, ὡς αὐτὸς ὠνόμασεν, ἐδί-
-Z/18a/371/14	δαξεν ἐν τῷ νῦν λόγῳ περὶ τὰ σχήματα γιγνομένην, 
-Z/18a/371/15	ἐνίοτε γὰρ οὐ δύνανταί τινα σχήματα περιτιθέναι τοῖς πε-
-Z/18a/371/16	πονθόσι κώλοις. οἱ κάμνοντες δὲ οὐ δι' ἔκπτωσιν ἄρθρου 
-Z/18a/371/17	τοῦτο πάσχουσι, ἀλλὰ δι' ὀδύνην ἢ σύστασιν μυός. ἐφεξῆς 
-Z/18a/371/18	δὲ ἑτέραν ἄγνοιαν διδάσκει. 
-Z/18a/371/19	          — — —  
-Z/18a/372/1	            λζʹ. 
-Z/18a/372/2	Παραξύνεσιν μὲν καὶ ἐν τούτῳ ἔχει τινὰ, ἀλλ' ὕστερον περὶ 
-Z/18a/372/3	  αὐτοῦ γεγράψεται, ἄξιον γὰρ γραφῆς ἐστι. 
-Z/18a/372/4	          — — — 
-Z/18a/372/5	    Τὸ κατὰ τὴν ἐπωμίδα κοῖλον φαίνεσθαι τὸ χωρίον, 
-Z/18a/372/6	ἔχειν τινὰ διαμαρτίαν φησὶν, ἣν ὕστερον ἐρεῖν ἐπαγγέλλεται. 
-Z/18a/372/7	γίγνεται γὰρ ἐνίοτε τοῦτο διασπασθείσης τῆς κλειδὸς ἀπὸ 
-Z/18a/372/8	τῆς ὠμοπλάτης. 
-Z/18a/372/9	          — — — 
-Z/18a/372/10	            ληʹ. 
-Z/18a/372/11	Τοῦτο δὲ τοῦ ἐκπεπτωκότος ὁ ἀγκὼν φαίνεται ἀφεστεὼς 
-Z/18a/372/12	  μᾶλλον ἀπὸ τῶν πλευρέων ἢ τοῦ ἑτέρου. εἰ μέντοι τις 
-Z/18a/372/13	  προσαναγκάζοι, προσάγεται μὲν, ἐπιπόνως δέ. 
-Z/18a/372/14	          — — — 
-Z/18a/372/15	    Τοῦτο σημεῖον ἔχει παρακείμενον σφάλμα καὶ 
-Z/18a/372/16	εἰ ἔτι ὁ κατὰ τὴν μασχάλην ἀγκὼν ὑποπιπτούσης ἐνταῦθα 
-Z/18a/372/17	τοῖς ἁπτομένοις τῆς κεφαλῆς τοῦ βραχίονος, δι' ἣν οὐδὲ 
-Z/18a/372/18	προσάγειν δύναται ταῖς πλευραῖς τὴν χεῖρα χωρὶς ὀδύνης 
-Z/18a/372/19	μεγάλης. 
-Z/18a/372/20	          — — —  
-Z/18a/373/1	            λθʹ. 
-Z/18a/373/2	Τοῦτο δὲ ἆραι ἄνω τὴν χεῖρα παρὰ τὸ οὖς ἐκτεταμένου 
-Z/18a/373/3	  τοῦ ἀγκῶνος οὐ μάλα δύναται, ὥσπερ τὴν ὑγιέα οὐδὲ 
-Z/18a/373/4	  παράγειν ἔνθα καὶ ἔνθα ὁμοίως. τά τε οὖν σημήϊα ταῦτά 
-Z/18a/373/5	  ἐστιν ὤμου ἐκπεπτωκότος αἵ τε ἐμβολαὶ γεγραμμέναι αἵ 
-Z/18a/373/6	  τε ἰητρεῖαι αὗται. 
-Z/18a/373/7	          — — — 
-Z/18a/373/8	    Τοῦτο τὸ σημεῖον ὃ μικρὸν ἔμπροσθεν ἔφη παρασύνε-
